last_name,first_name,gender,country,month,year,job,payment,rating
Meadows,Joseph,female,South Georgia and the South Sandwich Islands,8,2022,Data scientist,1993.13,8.7
Lee,Carlos,male,Madagascar,7,2020,Civil Service administrator,1818.99,9.0
Williams,Brandon,male,Cameroon,6,2023,Civil Service administrator,1870.16,9.0
Ramirez,Michael,female,Saint Martin,8,2022,Statistician,2139.04,8.5
Lozano,William,female,Saint Martin,6,2020,Civil Service administrator,2043.05,8.0
Rangel,Alex,male,South Georgia and the South Sandwich Islands,11,2022,"Librarian, academic",2268.78,9.8
Lewis,Larry,male,Tokelau,6,2023,Civil Service administrator,2134.46,7.7
Garcia,Peter,male,Algeria,9,2021,"Librarian, academic",2068.86,6.9
Munoz,Michael,male,Tokelau,9,2020,Data scientist,1973.44,10.0
Medina,Kenneth,female,Tonga,3,2023,Statistician,1992.74,8.9
Long,Steven,male,Madagascar,4,2023,Statistician,1966.9,6.0
Galvan,Adam,female,Tokelau,12,2020,"Librarian, academic",1945.45,6.8
Snyder,William,male,South Georgia and the South Sandwich Islands,4,2021,Civil Service administrator,2187.66,8.1
Davis,Alexander,male,Algeria,8,2022,Statistician,1964.12,7.7
Gonzalez,Mark,male,Seychelles,3,2021,Civil Service administrator,1943.84,5.8
Bryant,Donald,female,Ecuador,1,2023,"Librarian, academic",1997.3,6.1
Villanueva,Johnny,male,Cameroon,10,2020,Civil Service administrator,2056.86,8.0
Durham,William,female,Saint Martin,5,2022,Statistician,1905.6,10.0
Holland,Howard,male,South Georgia and the South Sandwich Islands,12,2023,Civil Service administrator,1966.59,6.5
Williams,Connor,female,South Georgia and the South Sandwich Islands,6,2020,Civil Service administrator,1979.96,9.5
Hughes,Michael,male,Seychelles,8,2023,Civil Service administrator,1891.58,6.0
Wade,Joseph,male,Algeria,5,2021,Civil Service administrator,2111.31,5.4
Drake,Ryan,male,South Georgia and the South Sandwich Islands,1,2020,Civil Service administrator,1995.11,7.8
Hamilton,Terry,male,Madagascar,5,2021,Civil Service administrator,1903.58,5.9
Salazar,Joseph,male,Tokelau,3,2022,Statistician,1883.24,5.4
Snyder,Michael,male,Tokelau,9,2023,Data scientist,2041.42,9.5
Webster,Keith,male,Algeria,7,2020,Statistician,1868.76,7.1
Chavez,Jack,male,Seychelles,8,2023,Data scientist,2001.59,9.6
Cole,Dillon,male,Saint Martin,8,2020,Civil Service administrator,2086.15,10.0
Wilson,Francis,female,Saint Martin,5,2021,"Librarian, academic",1964.55,10.0
Nielsen,Paul,male,Saint Martin,1,2021,Statistician,2062.24,9.7
Cole,Andrew,male,Saint Vincent and the Grenadines,3,2020,Statistician,1989.03,5.9
Hill,Christopher,male,Tonga,3,2020,Civil Service administrator,1908.45,5.3
Anderson,Thomas,male,Ecuador,1,2022,Civil Service administrator,1652.41,8.2
Castro,Ray,male,Algeria,4,2020,Statistician,1935.4,6.0
Perkins,Michael,male,Tonga,10,2023,Statistician,2028.47,6.7
Gordon,Timothy,male,Tokelau,11,2023,Statistician,1810.49,9.7
Kim,Johnathan,male,Seychelles,8,2021,Statistician,1860.11,8.5
Jimenez,Timothy,male,Tonga,11,2022,Statistician,1991.12,7.6
Decker,Garrett,male,Algeria,11,2020,Statistician,1813.34,9.4
Alexander,David,male,Cameroon,8,2020,Statistician,2052.95,5.8
Hart,Louis,female,Tokelau,7,2023,Data scientist,1930.38,7.2
Delgado,Thomas,male,Madagascar,7,2022,Statistician,1832.18,9.6
Frazier,Michael,male,Saint Vincent and the Grenadines,12,2022,Statistician,2054.28,9.3
Garza,Ronald,male,Algeria,9,2021,Statistician,1998.7,6.0
Turner,Brian,male,Cameroon,8,2020,"Librarian, academic",2072.86,8.6
Anderson,Jack,male,Seychelles,5,2021,Statistician,2164.01,6.0
Salinas,Thomas,male,Algeria,7,2022,Civil Service administrator,1936.52,7.1
Andrade,Steven,male,Tokelau,4,2023,Civil Service administrator,1962.19,9.5
Davis,John,male,Cameroon,4,2023,Civil Service administrator,2060.69,5.2
Whitaker,James,male,Algeria,9,2022,Data scientist,2003.66,9.7
Mitchell,Anthony,male,South Georgia and the South Sandwich Islands,8,2022,Statistician,2074.19,7.7
Huber,Adam,female,Ecuador,2,2023,"Librarian, academic",1910.75,9.2
Bond,Edward,male,Tonga,12,2021,"Librarian, academic",2030.51,7.0
Barnes,Ernest,male,South Georgia and the South Sandwich Islands,8,2021,"Librarian, academic",1991.92,5.7
Robertson,John,male,Saint Martin,1,2020,Statistician,2165.86,10.0
Stanley,Marvin,male,Cameroon,11,2021,Statistician,1966.04,7.9
Parker,Stephen,male,Tokelau,9,2020,"Librarian, academic",1950.43,5.7
Taylor,William,male,Cameroon,8,2021,Civil Service administrator,1851.3,5.1
Bell,Jesse,male,Seychelles,10,2023,Civil Service administrator,1972.28,7.2
Thomas,Todd,male,Algeria,2,2020,Data scientist,1745.84,8.8
Donovan,Sergio,male,Madagascar,10,2021,Civil Service administrator,1909.0,7.9
Bright,James,male,Cameroon,10,2021,Statistician,2048.78,7.4
Silva,Christian,male,Algeria,10,2020,"Librarian, academic",2040.01,7.9
Taylor,Aaron,male,Algeria,5,2023,Civil Service administrator,2102.34,8.0
Jackson,Miguel,female,Madagascar,5,2023,Civil Service administrator,1996.32,5.2
Mejia,Robert,male,Tokelau,12,2023,Civil Service administrator,2127.79,5.7
Hubbard,Gary,male,Seychelles,10,2022,"Librarian, academic",2019.25,9.3
Foster,Terry,male,Tokelau,10,2022,Statistician,2128.17,7.3
Taylor,Ronald,male,Algeria,11,2021,"Librarian, academic",1876.2,7.8
Wallace,Andrew,male,South Georgia and the South Sandwich Islands,2,2022,"Librarian, academic",2015.61,9.4
Gray,Daniel,male,Tokelau,3,2021,Data scientist,1976.6,5.1
Smith,Marvin,male,Tokelau,3,2021,Civil Service administrator,2036.32,5.9
White,Ricky,male,Tokelau,2,2021,Civil Service administrator,1981.55,9.5
Conway,Brian,female,Saint Vincent and the Grenadines,1,2021,Civil Service administrator,2020.16,7.2
Buckley,James,male,Cameroon,8,2023,Data scientist,1998.66,6.5
Hudson,Johnathan,male,Algeria,7,2022,Civil Service administrator,2031.81,8.2
Bennett,Justin,male,Cameroon,8,2022,Data scientist,1989.95,7.2
Parker,Robert,male,Cameroon,3,2023,Data scientist,1872.58,5.3
Wilson,Bryan,female,Saint Vincent and the Grenadines,5,2020,Data scientist,2037.53,8.7
Sims,Paul,male,Ecuador,5,2022,Data scientist,2039.25,8.8
Thompson,Jerry,female,Ecuador,2,2021,Data scientist,1968.53,8.7
Nixon,John,male,South Georgia and the South Sandwich Islands,1,2023,Civil Service administrator,2083.18,9.7
Ryan,Dean,male,Seychelles,7,2023,Civil Service administrator,1990.86,5.6
Whitehead,Ronald,male,Cameroon,4,2022,"Librarian, academic",2039.39,5.8
Jenkins,Allen,male,Ecuador,4,2022,"Librarian, academic",2075.79,7.7
Walker,Zachary,male,South Georgia and the South Sandwich Islands,7,2023,Civil Service administrator,1928.63,8.1
Richardson,Peter,female,Tokelau,8,2020,Statistician,2145.09,6.7
Park,Bradley,female,South Georgia and the South Sandwich Islands,11,2023,Statistician,2134.47,5.1
Ryan,Jacob,male,Ecuador,7,2022,"Librarian, academic",2003.51,9.1
Cooper,Jeremy,female,South Georgia and the South Sandwich Islands,9,2021,Statistician,2074.59,6.0
White,Michael,male,Tonga,9,2021,Statistician,2030.1,5.6
Cooley,Nathan,male,Ecuador,2,2021,Statistician,1873.49,7.6
Moore,Jeremy,male,Tonga,2,2022,Data scientist,2104.4,9.2
Richards,Brandon,male,South Georgia and the South Sandwich Islands,1,2023,Statistician,1960.55,6.2
Castro,Roy,male,Tonga,8,2020,Data scientist,2071.73,5.7
Townsend,Kenneth,male,South Georgia and the South Sandwich Islands,7,2020,Data scientist,1987.49,7.2
Hale,Christopher,female,Saint Martin,8,2022,"Librarian, academic",1816.02,8.8
Castillo,Justin,female,Madagascar,2,2020,Statistician,1997.48,8.4
Glover,Christopher,male,Madagascar,3,2021,Data scientist,1960.51,9.0
Myers,Michael,male,Algeria,6,2020,Data scientist,2063.09,7.6
Cook,Michael,male,Tokelau,6,2023,Data scientist,1814.6,7.0
Turner,Daniel,male,Tokelau,5,2022,Data scientist,1992.1,5.1
Butler,Julian,male,South Georgia and the South Sandwich Islands,7,2020,Civil Service administrator,2036.3,7.5
Black,Jesus,male,Ecuador,12,2020,"Librarian, academic",1802.14,9.3
Moyer,Tyrone,male,Algeria,11,2023,Civil Service administrator,2054.06,7.3
Howell,Ryan,female,Algeria,10,2022,"Librarian, academic",1901.48,9.2
Johnson,Patrick,male,Ecuador,6,2022,Civil Service administrator,1950.69,6.9
Harris,George,male,Tokelau,6,2020,"Librarian, academic",2119.61,7.0
Newman,George,male,Cameroon,2,2022,Data scientist,1986.12,6.6
Miller,Dean,male,South Georgia and the South Sandwich Islands,2,2022,Civil Service administrator,2041.01,8.2
Barrera,Frank,male,South Georgia and the South Sandwich Islands,3,2023,Civil Service administrator,1912.1,9.1
Cooper,Keith,male,Seychelles,11,2023,Statistician,1964.69,8.2
