last_name,first_name,gender,country,month,year,job,payment,rating
Watson,Ralph,male,Tajikistan,3,2020,Publishing rights manager,2020.2,8.6
Rosales,Christopher,male,Mali,8,2020,Automotive engineer,2046.43,7.0
Franco,Jacob,female,Mali,5,2020,"Production assistant, television",1996.61,8.0
Weeks,John,female,Germany,2,2021,Automotive engineer,1929.47,8.9
Guzman,Robert,male,Tajikistan,12,2021,"Production assistant, television",1917.79,8.0
Jackson,Stephen,male,Japan,5,2021,Publishing rights manager,1866.87,7.8
Craig,Timothy,male,Comoros,3,2020,"Social research officer, government",2109.81,9.4
Ortiz,George,female,Japan,1,2023,"Social research officer, government",1844.11,9.5
Meyer,Jose,female,Tajikistan,6,2022,Automotive engineer,2091.67,8.8
Hunter,John,male,Wallis and Futuna,9,2020,"Production assistant, television",2147.45,5.6
Arnold,John,male,Comoros,10,2023,Automotive engineer,1962.24,9.5
Griffin,Richard,male,Korea,6,2022,Automotive engineer,1925.84,8.3
Lewis,Scott,male,Czech Republic,9,2020,Publishing rights manager,2134.39,10.0
Hawkins,Theodore,male,Kyrgyz Republic,2,2021,Automotive engineer,1981.32,9.0
Johnson,Michael,male,Korea,7,2020,Automotive engineer,2124.22,6.6
Gutierrez,Daniel,female,Wallis and Futuna,11,2020,Publishing rights manager,2093.94,6.8
Scott,Samuel,female,Tajikistan,9,2023,"Production assistant, television",1901.24,6.6
Ramos,Daniel,female,Comoros,3,2023,"Social research officer, government",1942.24,8.6
Hammond,Christopher,male,Czech Republic,6,2020,Publishing rights manager,1939.52,5.3
Gonzalez,Ryan,male,Korea,9,2020,Automotive engineer,1924.59,8.8
Dougherty,Sean,male,Korea,10,2020,"Social research officer, government",2060.08,5.6
Villa,Andrew,male,Japan,10,2023,Automotive engineer,2016.95,9.4
Owen,James,male,Korea,9,2021,"Social research officer, government",1961.95,7.5
Martinez,Tyler,female,Korea,5,2022,"Production assistant, television",2121.08,5.4
Fletcher,Joseph,female,Wallis and Futuna,10,2023,Publishing rights manager,1908.29,6.3
Hall,Seth,female,Kyrgyz Republic,3,2020,Automotive engineer,2078.05,8.7
Wolfe,James,female,Czech Republic,3,2021,Automotive engineer,1951.27,7.2
Evans,Austin,female,Mali,5,2020,"Social research officer, government",1808.89,7.2
Nichols,William,female,Tajikistan,1,2021,"Production assistant, television",2128.11,9.4
Jensen,Donald,female,Czech Republic,12,2021,"Social research officer, government",2201.73,5.0
Brooks,Bruce,female,Mali,1,2020,Automotive engineer,2114.54,5.5
Dickerson,Kevin,female,Tajikistan,9,2021,"Production assistant, television",1871.41,8.0
Conway,David,male,Mali,5,2022,"Social research officer, government",2003.76,8.4
Parker,Oscar,male,Korea,8,2021,Automotive engineer,2015.85,9.1
Gomez,Joseph,male,Wallis and Futuna,6,2020,Automotive engineer,1898.59,9.3
Martin,Timothy,female,Japan,8,2021,"Social research officer, government",1929.79,7.9
Parker,Paul,female,Tajikistan,6,2021,"Production assistant, television",1971.58,9.1
Simmons,Richard,male,Czech Republic,7,2020,"Social research officer, government",1964.04,5.2
Taylor,Jeffery,male,Kyrgyz Republic,8,2020,"Production assistant, television",2126.54,8.7
Conrad,Robert,female,Kyrgyz Republic,4,2020,Publishing rights manager,1990.45,6.2
Boone,Charles,female,Germany,6,2021,Publishing rights manager,1878.28,10.0
Curry,Charles,male,Germany,4,2022,Automotive engineer,1940.78,7.2
Mata,Edward,male,Tajikistan,2,2022,Publishing rights manager,1917.72,5.9
Reed,Gregory,female,Mali,2,2022,Automotive engineer,1986.41,6.3
Melendez,Brandon,female,Korea,7,2020,Publishing rights manager,1968.79,9.9
Chapman,Eric,male,Wallis and Futuna,11,2020,"Production assistant, television",1828.57,7.5
Jimenez,Matthew,female,Wallis and Futuna,10,2023,"Production assistant, television",2024.73,9.4
Hill,Brian,female,Tajikistan,12,2021,"Production assistant, television",2072.83,8.6
Greene,Jared,male,Mali,1,2021,Automotive engineer,1982.11,7.0
Hall,Justin,male,Japan,7,2021,"Production assistant, television",2056.49,9.4
Carroll,Wayne,female,Germany,12,2022,Automotive engineer,1928.42,10.0
Flores,Matthew,female,Kyrgyz Republic,12,2022,Publishing rights manager,2127.23,5.4
Elliott,Timothy,female,Tajikistan,3,2022,"Production assistant, television",1951.0,8.6
Conner,Robert,male,Tajikistan,7,2023,"Production assistant, television",2021.56,7.0
Elliott,James,male,Mali,5,2021,Publishing rights manager,1973.36,7.4
Pitts,Jacob,male,Kyrgyz Republic,5,2020,Publishing rights manager,1930.92,5.9
Horton,James,male,Germany,12,2022,"Production assistant, television",2104.51,10.0
Brady,Jonathon,male,Korea,8,2020,"Production assistant, television",1991.65,5.2
Rodriguez,Joe,female,Czech Republic,1,2023,"Production assistant, television",1958.6,6.5
Hansen,Richard,female,Czech Republic,12,2020,Automotive engineer,1943.4,6.7
Hawkins,John,male,Japan,6,2023,Automotive engineer,2014.29,6.2
Jensen,David,male,Tajikistan,5,2023,"Production assistant, television",1950.91,8.7
Henry,Craig,male,Kyrgyz Republic,6,2020,Automotive engineer,2115.68,7.9
Krause,Mark,male,Germany,6,2022,"Production assistant, television",2040.29,10.0
Romero,Jordan,male,Mali,8,2022,"Production assistant, television",2080.58,9.0
Daniels,Anthony,male,Germany,11,2023,Automotive engineer,2156.0,10.0
Fuentes,Brandon,male,Japan,8,2021,Publishing rights manager,1966.81,6.1
Daniel,Eric,female,Korea,4,2022,"Social research officer, government",1969.38,9.0
Hall,Harold,female,Japan,1,2021,Publishing rights manager,1907.48,8.8
Butler,Jeffrey,male,Tajikistan,7,2023,"Production assistant, television",2089.7,9.9
Richards,Troy,male,Korea,2,2022,Publishing rights manager,1972.35,9.6
Zavala,David,male,Japan,8,2021,Automotive engineer,1994.51,6.7
Garcia,Ryan,female,Japan,11,2022,"Production assistant, television",2040.61,9.4
Horton,Frank,male,Mali,10,2023,"Social research officer, government",1927.86,7.8
Bradford,Andrew,male,Germany,2,2020,Publishing rights manager,2031.26,10.0
Harris,John,male,Tajikistan,9,2020,"Production assistant, television",2076.7,6.0
Haley,William,female,Comoros,5,2023,Publishing rights manager,1909.89,7.8
Lopez,Ronald,female,Kyrgyz Republic,4,2021,Automotive engineer,2056.12,8.9
Thomas,Garrett,male,Kyrgyz Republic,3,2023,"Production assistant, television",1981.3,8.1
Lopez,Justin,male,Mali,10,2020,Automotive engineer,1961.0,5.7
Cooper,Robert,female,Japan,10,2021,"Social research officer, government",2095.66,9.8
Hines,Randy,male,Tajikistan,12,2022,Publishing rights manager,2168.34,5.1
French,Bryan,male,Tajikistan,4,2023,"Production assistant, television",1933.2,7.2
