last_name,first_name,gender,country,month,year,job,payment,rating
Lopez,Mark,female,Kuwait,9,2022,"Surveyor, insurance",2117.58,9.2
Mendez,Robert,female,Kuwait,8,2020,"Therapist, art",1947.76,9.9
Torres,Mark,female,Guernsey,6,2023,"Therapist, art",2080.27,6.4
Pitts,Nathaniel,female,Zimbabwe,3,2021,"Surveyor, insurance",2161.28,6.6
Sanders,Willie,female,North Macedonia,5,2022,"Social research officer, government",2026.0,5.1
Cummings,Jose,female,Hungary,8,2021,"Surveyor, insurance",2037.15,7.9
Cole,Daniel,female,Kuwait,7,2021,"Surveyor, insurance",1997.54,9.3
Casey,Steven,female,Guernsey,3,2022,"Surveyor, insurance",1728.75,6.3
Cox,Sean,male,Micronesia,6,2020,"Therapist, art",1876.12,9.6
Mann,John,male,North Macedonia,2,2023,"Therapist, art",2094.08,5.1
Torres,Lawrence,female,Hungary,8,2023,"Therapist, art",1924.83,6.7
Price,Michael,female,Hungary,4,2023,"Surveyor, insurance",2091.59,6.7
Sanders,Devin,female,Micronesia,1,2021,"Therapist, art",1983.32,10.0
Lucas,Brian,female,North Macedonia,6,2021,"Surveyor, insurance",2091.8,7.6
Santana,Ryan,female,Kuwait,5,2022,"Surveyor, insurance",2040.19,6.3
Payne,John,female,Zimbabwe,5,2023,"Social research officer, government",1934.49,7.3
Acosta,Keith,female,Hungary,1,2022,"Therapist, art",1841.09,8.5
Krueger,Richard,male,Kuwait,7,2022,"Therapist, art",2043.63,9.4
Santos,Kent,female,Hungary,6,2023,"Therapist, art",2022.59,7.8
Stafford,Donald,male,Micronesia,3,2022,"Therapist, art",1943.69,10.0
Perez,Mark,female,Zimbabwe,5,2022,"Surveyor, insurance",2081.9,8.1
Montoya,Juan,female,Guernsey,6,2021,"Therapist, art",1774.9,7.2
Dominguez,Brian,female,Hungary,12,2023,"Surveyor, insurance",1967.77,8.1
Maldonado,Jeremy,male,Kuwait,4,2020,"Surveyor, insurance",1936.31,10.0
Brown,Paul,female,Kuwait,8,2022,"Therapist, art",1803.87,7.7
Schneider,Charles,female,Guernsey,5,2021,"Therapist, art",2033.81,7.0
Lewis,Mark,female,Zimbabwe,1,2020,"Social research officer, government",2032.15,5.8
Burton,Nicholas,female,Hungary,12,2022,"Therapist, art",1997.96,5.2
Ritter,Gregory,male,Guernsey,7,2021,"Therapist, art",1955.53,5.6
Powell,Eric,male,Guernsey,1,2022,"Social research officer, government",2109.51,9.6
Nelson,Charles,male,Micronesia,1,2020,"Surveyor, insurance",2071.49,7.9
Campbell,Daniel,male,Zimbabwe,5,2020,"Social research officer, government",2095.31,7.7
Martinez,Justin,male,Kuwait,6,2020,"Therapist, art",2031.56,8.0
Glover,Michael,female,Zimbabwe,12,2023,"Social research officer, government",2025.68,7.2
Garza,John,female,Micronesia,2,2020,"Surveyor, insurance",2206.33,9.9
Jimenez,Jeffrey,female,Hungary,9,2020,"Therapist, art",2064.61,8.0
Fry,Duane,female,North Macedonia,12,2023,"Surveyor, insurance",2003.73,7.5
White,Christopher,female,North Macedonia,7,2020,"Surveyor, insurance",1859.92,5.9
Arellano,Shaun,male,Kuwait,6,2022,"Surveyor, insurance",2084.72,5.9
Smith,Lance,female,Zimbabwe,9,2021,"Therapist, art",1935.77,6.1
Stephenson,Daniel,female,Kuwait,5,2020,"Surveyor, insurance",1873.48,7.9
Wong,Dylan,female,Hungary,3,2022,"Therapist, art",1979.24,7.3
Everett,James,female,Guernsey,6,2023,"Social research officer, government",1970.88,6.7
Nguyen,Scott,female,North Macedonia,7,2020,"Therapist, art",2023.52,9.4
Fisher,Kevin,female,Micronesia,3,2020,"Surveyor, insurance",1907.62,7.9
Hamilton,Richard,female,Micronesia,9,2023,"Surveyor, insurance",1921.67,9.9
Stephens,Fred,female,Hungary,8,2022,"Surveyor, insurance",1975.64,8.5
Allison,Clifford,female,Micronesia,6,2022,"Surveyor, insurance",2018.25,10.0
Hodge,Christopher,male,Guernsey,12,2023,"Surveyor, insurance",1965.26,8.2
Martinez,Michael,female,Hungary,8,2021,"Therapist, art",2071.95,5.3
Young,Brandon,female,Guernsey,10,2023,"Surveyor, insurance",2012.11,6.3
Weber,William,male,North Macedonia,1,2020,"Therapist, art",2156.02,6.6
Wyatt,Joshua,male,Micronesia,8,2020,"Therapist, art",2034.33,7.9
Byrd,David,female,Hungary,11,2023,"Surveyor, insurance",2031.16,7.9
Young,David,male,Zimbabwe,5,2021,"Therapist, art",2069.69,9.1
Rangel,Jesse,male,Micronesia,8,2023,"Therapist, art",1957.32,10.0
Cannon,John,male,Kuwait,9,2021,"Social research officer, government",1917.9,7.7
Mccormick,Ronnie,female,Kuwait,5,2020,"Surveyor, insurance",2012.48,6.3
Stein,Karl,male,Zimbabwe,11,2021,"Surveyor, insurance",1889.4,8.2
Holland,Ryan,female,Zimbabwe,4,2020,"Therapist, art",2058.33,5.0
May,Alan,male,Kuwait,9,2023,"Social research officer, government",1930.08,5.4
Benitez,David,female,Guernsey,3,2022,"Therapist, art",2184.3,5.7
Moody,Darryl,female,Guernsey,5,2023,"Therapist, art",1965.36,10.0
Porter,Michael,female,North Macedonia,9,2023,"Therapist, art",2050.29,5.2
Rodriguez,Ryan,male,North Macedonia,4,2021,"Social research officer, government",1993.15,8.3
Cox,Ryan,male,Kuwait,1,2020,"Therapist, art",2084.06,9.3
Anderson,Fernando,female,Zimbabwe,1,2023,"Surveyor, insurance",2033.65,8.9
Smith,Kevin,male,Kuwait,9,2022,"Therapist, art",2235.28,7.1
Estes,Robert,female,Zimbabwe,8,2022,"Social research officer, government",2020.93,7.9
Chavez,Danny,female,Micronesia,12,2021,"Therapist, art",1875.33,7.2
Mccall,Brandon,female,Micronesia,7,2023,"Social research officer, government",1960.13,7.4
Zimmerman,Harry,female,Kuwait,8,2023,"Therapist, art",2031.14,8.0
Harris,Matthew,female,Kuwait,5,2021,"Therapist, art",1992.1,7.0
Johnson,Dennis,female,Micronesia,9,2020,"Social research officer, government",2030.14,7.8
Jordan,Eddie,female,North Macedonia,6,2021,"Surveyor, insurance",2169.77,6.9
Martinez,Tyler,female,Zimbabwe,7,2020,"Surveyor, insurance",2032.83,9.2
Hurst,Michael,female,Micronesia,9,2021,"Social research officer, government",2057.57,7.6
Riley,Edward,female,Guernsey,11,2020,"Therapist, art",2104.87,9.7
Anderson,Cameron,male,Guernsey,2,2022,"Social research officer, government",1918.13,7.2
Kennedy,David,female,Micronesia,7,2022,"Therapist, art",2262.51,10.0
Wheeler,Levi,female,Kuwait,1,2020,"Surveyor, insurance",2078.59,5.2
White,Eddie,female,Hungary,6,2022,"Therapist, art",1904.63,7.2
Hall,Austin,female,Guernsey,6,2021,"Therapist, art",1923.33,9.8
Carr,Chad,male,Hungary,6,2020,"Social research officer, government",1993.61,7.8
Yang,Aaron,male,Kuwait,6,2023,"Social research officer, government",1929.04,9.1
Olsen,Jeffrey,female,North Macedonia,10,2022,"Social research officer, government",1887.49,9.5
Wallace,Ernest,female,Kuwait,6,2023,"Social research officer, government",2012.61,9.0
Harrison,John,female,North Macedonia,6,2022,"Therapist, art",2035.16,6.5
Ortiz,Corey,female,Guernsey,7,2023,"Therapist, art",1950.72,8.9
Chavez,James,female,Zimbabwe,4,2022,"Therapist, art",2002.86,7.5
Cross,John,female,Kuwait,4,2023,"Therapist, art",2043.72,6.1
Johnson,Nicholas,female,Kuwait,6,2023,"Therapist, art",2019.92,8.2
Quinn,Edgar,female,Micronesia,2,2023,"Therapist, art",2104.51,8.8
Nolan,Alan,male,Kuwait,3,2023,"Therapist, art",1789.92,7.0
Floyd,Allen,female,North Macedonia,10,2023,"Therapist, art",2014.62,6.9
Torres,Terry,female,Micronesia,7,2022,"Social research officer, government",1962.93,7.1
Wagner,Bradley,female,Zimbabwe,1,2023,"Therapist, art",1929.11,8.5
Moore,Blake,female,Micronesia,7,2023,"Surveyor, insurance",1970.33,7.5
Nelson,Christopher,female,Guernsey,3,2022,"Surveyor, insurance",1880.8,7.8
Howard,Kenneth,male,Guernsey,2,2021,"Social research officer, government",1809.33,6.6
Hughes,James,male,Guernsey,9,2020,"Social research officer, government",1981.99,7.5
Snyder,Ronnie,female,Micronesia,7,2023,"Surveyor, insurance",2021.02,9.7
Scott,Tyler,female,Guernsey,2,2020,"Surveyor, insurance",1933.35,8.2
Alvarez,Ryan,female,North Macedonia,12,2021,"Therapist, art",1941.64,7.8
Johnson,Brian,female,Kuwait,5,2020,"Therapist, art",2029.84,9.1
Holder,James,female,Micronesia,2,2022,"Surveyor, insurance",1945.42,8.1
Jones,Christopher,female,Zimbabwe,12,2020,"Therapist, art",1882.35,8.2
Pruitt,Alexander,female,Kuwait,4,2023,"Social research officer, government",1986.94,5.1
Jones,Christopher,female,Zimbabwe,8,2023,"Surveyor, insurance",1964.84,7.5
Bowers,Brian,female,Guernsey,9,2023,"Surveyor, insurance",2062.18,7.3
Berger,William,male,Kuwait,9,2023,"Therapist, art",2028.58,9.9
Wilcox,John,male,Zimbabwe,8,2021,"Therapist, art",2138.73,7.3
Sanders,Alan,female,Micronesia,3,2020,"Therapist, art",1996.4,10.0
Robertson,Mike,female,North Macedonia,8,2020,"Therapist, art",2114.55,7.9
Carlson,Gregory,male,Kuwait,10,2023,"Social research officer, government",2086.73,6.6
Bailey,Troy,female,North Macedonia,10,2021,"Therapist, art",2139.93,6.4
Sawyer,Patrick,female,Guernsey,10,2020,"Social research officer, government",1777.24,7.0
Joseph,Jonathan,female,Micronesia,12,2022,"Therapist, art",1961.68,9.0
Gilbert,Raymond,female,Micronesia,7,2023,"Therapist, art",2108.35,10.0
Park,Michael,female,Guernsey,6,2021,"Therapist, art",1972.39,8.9
Garcia,Jason,male,Kuwait,6,2022,"Social research officer, government",2025.2,7.4
Zhang,William,female,Hungary,9,2023,"Therapist, art",2135.59,9.7
Alexander,James,male,Guernsey,6,2023,"Surveyor, insurance",2080.09,9.5
Lopez,Rick,female,Hungary,7,2021,"Social research officer, government",1812.66,7.7
Jones,Jeffrey,female,Guernsey,7,2021,"Social research officer, government",2079.31,9.9
Kirk,Nathaniel,female,Hungary,6,2020,"Surveyor, insurance",2099.31,9.9
Hill,Oscar,male,Guernsey,8,2023,"Therapist, art",2058.65,8.1
Perry,Jonathan,male,Micronesia,11,2023,"Surveyor, insurance",2071.88,7.8
Anderson,Gabriel,male,North Macedonia,10,2021,"Surveyor, insurance",2102.66,9.1
Yang,Michael,female,Hungary,12,2020,"Therapist, art",2101.62,8.8
Martin,Matthew,female,North Macedonia,8,2022,"Surveyor, insurance",1834.29,6.9
Barnett,Robert,female,North Macedonia,4,2020,"Therapist, art",2027.76,8.1
Armstrong,Devin,female,Hungary,11,2020,"Social research officer, government",2091.49,8.6
Sanchez,Michael,female,Hungary,7,2022,"Therapist, art",1839.57,8.9
Norton,Gary,female,Kuwait,2,2023,"Therapist, art",1944.31,8.5
Lara,Eric,female,Zimbabwe,3,2020,"Social research officer, government",2006.09,5.6
Brown,Brian,female,North Macedonia,2,2023,"Surveyor, insurance",2048.19,8.2
Reyes,Dan,male,Micronesia,7,2023,"Surveyor, insurance",1852.5,9.3
Reese,Joseph,male,Kuwait,5,2022,"Surveyor, insurance",1932.27,6.7
Guzman,Joseph,female,Kuwait,7,2021,"Surveyor, insurance",1997.83,8.5
Krause,William,female,Kuwait,9,2022,"Therapist, art",1921.34,8.9
Harris,Jeffrey,female,Hungary,9,2020,"Social research officer, government",2018.0,6.9
Jarvis,Douglas,female,Hungary,5,2022,"Surveyor, insurance",1856.87,5.4
Salazar,Gerald,female,North Macedonia,4,2021,"Social research officer, government",1774.85,6.9
Robinson,Melvin,female,North Macedonia,1,2022,"Social research officer, government",2170.07,7.3
Zamora,James,female,Zimbabwe,5,2021,"Therapist, art",1810.68,7.6
King,Ryan,female,Kuwait,1,2023,"Therapist, art",2102.88,6.6
Davis,Daniel,male,Kuwait,7,2021,"Surveyor, insurance",1890.75,6.3
