last_name,first_name,gender,country,month,year,job,payment,rating
Smith,Lawrence,male,Gabon,1,2022,"Designer, ceramics/pottery",1879.6,7.0
Manning,Michael,male,Tokelau,4,2021,Fish farm manager,1928.42,6.1
Daniels,Bruce,female,Gabon,8,2022,Race relations officer,1883.69,7.1
Gutierrez,Matthew,female,Paraguay,9,2020,Nature conservation officer,1923.3,7.1
Thompson,Matthew,male,Cape Verde,3,2023,"Designer, ceramics/pottery",2065.67,5.1
Gamble,Brendan,male,Brazil,10,2020,"Designer, ceramics/pottery",2008.58,5.8
Morrow,Jacob,female,Brunei Darussalam,6,2020,Nature conservation officer,1781.49,7.5
Keller,Henry,female,Cape Verde,1,2020,Race relations officer,2159.24,6.5
Stanley,Brian,male,Saint Vincent and the Grenadines,7,2020,Fish farm manager,2041.76,5.4
Carlson,James,male,Gabon,12,2022,"Designer, ceramics/pottery",2134.11,5.7
Sanders,Christian,female,Papua New Guinea,12,2020,"Designer, ceramics/pottery",2036.14,8.9
Stephens,James,male,Brazil,12,2023,"Designer, ceramics/pottery",1844.42,5.8
Calderon,Parker,male,Cape Verde,5,2023,Race relations officer,1916.01,7.2
Welch,James,male,Gabon,10,2021,Fish farm manager,1941.34,5.6
Price,Timothy,male,Saint Vincent and the Grenadines,11,2023,Race relations officer,1959.0,5.9
Jennings,Cody,female,Saint Vincent and the Grenadines,11,2022,"Designer, ceramics/pottery",2162.39,7.8
Higgins,Keith,male,Tokelau,9,2020,Fish farm manager,2061.47,7.3
Perez,Christopher,male,Papua New Guinea,1,2020,"Designer, ceramics/pottery",2005.94,5.5
Porter,James,female,Cape Verde,5,2021,Fish farm manager,1881.51,9.3
Patel,David,female,Saint Vincent and the Grenadines,5,2023,Fish farm manager,1989.97,6.4
Parker,Taylor,male,Cape Verde,2,2023,Fish farm manager,2012.98,9.2
Floyd,Michael,male,Tokelau,9,2023,"Designer, ceramics/pottery",1893.1,5.3
Clark,Jeffery,male,Brunei Darussalam,9,2023,Fish farm manager,2061.33,8.8
Larsen,Billy,female,Palestinian Territory,6,2020,"Designer, ceramics/pottery",2182.89,5.7
Martin,Joel,female,Gabon,11,2020,Race relations officer,2032.95,9.7
Bradley,Michael,female,Cape Verde,6,2021,Fish farm manager,2020.03,6.6
Watkins,Paul,female,Papua New Guinea,10,2020,"Designer, ceramics/pottery",1975.17,7.0
Jenkins,John,male,Tokelau,9,2021,Nature conservation officer,2248.71,7.1
Lopez,Aaron,female,Cape Verde,10,2023,Fish farm manager,2196.82,8.7
Hull,Jose,male,Paraguay,3,2022,"Designer, ceramics/pottery",2050.85,9.4
Cole,Michael,female,Gabon,11,2022,"Designer, ceramics/pottery",1811.35,5.9
Parker,Jason,female,Paraguay,2,2022,"Designer, ceramics/pottery",2139.39,8.8
Barnett,Benjamin,female,Papua New Guinea,2,2023,Fish farm manager,1999.17,5.2
Mora,Francisco,female,Paraguay,9,2020,Race relations officer,2005.32,7.2
Gibbs,Adam,female,Gabon,8,2022,Fish farm manager,1840.81,7.3
Erickson,Daniel,female,Cape Verde,2,2022,"Designer, ceramics/pottery",1919.24,7.9
Doyle,Duane,female,Saint Vincent and the Grenadines,10,2022,Race relations officer,2114.21,6.9
Sexton,Christian,female,Brunei Darussalam,1,2023,Fish farm manager,1944.02,8.5
Newman,John,female,Cape Verde,3,2022,Race relations officer,2040.72,5.4
Atkins,Aaron,male,Cape Verde,2,2021,Fish farm manager,2031.79,5.6
Kerr,Randy,female,Tokelau,12,2020,"Designer, ceramics/pottery",1875.54,6.2
Ramos,Brandon,male,Paraguay,1,2020,"Designer, ceramics/pottery",1914.65,7.6
Smith,Ronald,female,Brazil,8,2023,Fish farm manager,1970.13,7.0
Mitchell,David,male,Tokelau,10,2023,Race relations officer,1892.3,8.8
Harris,Timothy,male,Brazil,9,2023,Fish farm manager,2065.17,7.3
Davis,Stephen,female,Paraguay,8,2020,Race relations officer,2174.44,7.2
Thompson,Brian,male,Brazil,5,2020,Estate agent,2043.11,7.7
Carter,Douglas,female,Paraguay,5,2023,Fish farm manager,2116.91,5.3
Chambers,David,male,Cape Verde,7,2021,Fish farm manager,1994.95,5.1
Allison,Kevin,male,Gabon,12,2021,Fish farm manager,2112.31,9.2
Davidson,Matthew,male,Palestinian Territory,6,2021,Nature conservation officer,2060.7,6.4
Ramirez,Joshua,female,Cape Verde,12,2023,Nature conservation officer,2022.53,7.3
Morris,Martin,male,Tokelau,5,2023,Nature conservation officer,1863.17,9.6
Hill,Paul,female,Tokelau,11,2021,Fish farm manager,1951.9,9.5
Mcdowell,Edward,male,Papua New Guinea,6,2020,Estate agent,1801.57,8.7
Johnson,John,male,Brunei Darussalam,10,2022,Race relations officer,2002.69,7.4
Hurst,Eric,male,Gabon,11,2021,Fish farm manager,2029.44,8.5
Valenzuela,Jonathan,female,Papua New Guinea,7,2020,Fish farm manager,2159.22,5.4
Edwards,Christopher,female,Brunei Darussalam,8,2020,Race relations officer,1878.61,9.8
Davis,David,male,Papua New Guinea,11,2023,Race relations officer,1997.41,9.7
Gregory,Ricky,female,Gabon,2,2020,Race relations officer,2068.49,7.8
Singleton,Michael,male,Saint Vincent and the Grenadines,7,2020,Race relations officer,2004.9,7.3
Patrick,Russell,male,Brazil,6,2022,Nature conservation officer,2110.95,9.7
Cole,Rodney,female,Palestinian Territory,10,2022,Race relations officer,1892.02,5.6
Parker,Antonio,female,Brunei Darussalam,12,2023,"Designer, ceramics/pottery",2055.46,10.0
Harmon,James,female,Papua New Guinea,1,2022,Race relations officer,2199.57,9.5
