last_name,first_name,gender,country,month,year,job,payment,rating
Hart,Steven,male,Cyprus,8,2021,"Therapist, occupational",2106.56,8.3
Blackwell,Richard,female,French Guiana,10,2022,"Therapist, occupational",1957.76,8.4
Short,Jesse,female,Philippines,2,2022,"Engineer, communications",1983.82,6.3
Perez,John,male,French Guiana,12,2023,"Engineer, communications",2022.82,6.4
Johnson,Chad,female,Tonga,10,2021,"Therapist, occupational",1959.61,8.0
Fitzgerald,Jamie,female,Cyprus,8,2020,"Engineer, communications",1962.12,7.0
Padilla,Thomas,female,French Guiana,1,2021,"Therapist, occupational",1919.6,6.7
Hurst,Zachary,female,Tonga,3,2021,Field trials officer,1966.99,5.0
Ashley,Steven,female,American Samoa,9,2022,Field trials officer,1944.04,9.3
Gordon,Nicholas,female,American Samoa,8,2022,"Therapist, occupational",1906.02,9.7
Ward,Chris,female,Tonga,11,2020,Maintenance engineer,1970.64,5.8
Marshall,Charles,male,French Guiana,12,2020,"Therapist, occupational",1928.35,7.0
Evans,David,female,American Samoa,3,2021,Patent attorney,1946.09,7.7
Cowan,Kenneth,male,French Guiana,12,2021,Field trials officer,1958.95,5.3
Williams,Joseph,female,Cyprus,2,2020,"Engineer, communications",2173.11,6.6
Erickson,Matthew,female,American Samoa,3,2022,"Engineer, communications",1986.99,8.3
Chapman,Aaron,female,Tajikistan,6,2023,"Engineer, communications",1948.62,10.0
Morris,Vincent,female,Cyprus,10,2020,Patent attorney,1980.49,9.2
Porter,Sergio,female,Tonga,1,2023,Maintenance engineer,1957.43,7.0
Young,David,female,Bermuda,5,2021,"Engineer, communications",2179.04,5.3
Cabrera,Luis,female,Tajikistan,8,2020,Patent attorney,2060.14,7.3
Bailey,Matthew,female,Cyprus,11,2021,"Engineer, communications",1942.79,5.9
Stewart,William,female,French Guiana,12,2021,"Therapist, occupational",1930.35,5.6
Pearson,Jonathan,female,Cyprus,9,2021,Field trials officer,1914.91,7.5
Glover,Corey,female,Philippines,6,2021,"Engineer, communications",1901.76,6.4
Graham,Nicholas,female,French Guiana,8,2023,"Therapist, occupational",2082.96,5.5
Richardson,Joseph,female,Tonga,6,2023,"Librarian, public",2031.53,7.5
Sanchez,Zachary,female,French Guiana,5,2020,Field trials officer,1996.35,9.2
Fisher,Anthony,female,Cyprus,2,2020,"Engineer, communications",2074.86,6.9
Oconnor,Richard,female,American Samoa,6,2021,Maintenance engineer,2125.77,5.0
Cruz,Joseph,female,French Guiana,12,2023,Field trials officer,2026.49,7.5
Cox,Robert,male,French Guiana,7,2020,"Librarian, public",2030.05,9.6
White,Michael,female,American Samoa,10,2020,Maintenance engineer,2009.72,9.9
Ruiz,Kyle,female,American Samoa,5,2021,"Therapist, occupational",1926.54,5.5
Davis,Adam,female,Cyprus,2,2020,"Engineer, communications",1842.98,9.5
Ramsey,Christopher,female,Tajikistan,7,2023,"Therapist, occupational",1985.27,10.0
Ellis,Cody,female,Philippines,12,2021,"Librarian, public",1783.67,9.4
Sanchez,Miguel,female,Tajikistan,7,2023,"Engineer, communications",1831.78,10.0
Aguilar,Ethan,female,Cyprus,8,2022,"Engineer, communications",1977.3,5.0
Walker,Jeffery,female,Philippines,8,2023,Patent attorney,2139.86,8.2
Osborne,Casey,female,Tajikistan,12,2020,"Engineer, communications",1957.19,10.0
Roberts,Joe,female,Philippines,6,2023,"Therapist, occupational",1838.12,8.2
Miller,Russell,male,American Samoa,12,2023,Maintenance engineer,2204.39,9.5
Winters,Lucas,female,Tajikistan,6,2020,Field trials officer,1866.28,9.9
Pacheco,Christopher,female,French Guiana,12,2021,"Therapist, occupational",1879.84,6.8
Bradley,Christopher,female,American Samoa,1,2021,Maintenance engineer,2126.44,6.7
Potter,Anthony,female,Tajikistan,1,2020,"Therapist, occupational",1900.22,10.0
Lopez,Matthew,female,Tonga,12,2023,"Therapist, occupational",1964.76,6.1
Parker,Brent,female,Tajikistan,7,2020,"Engineer, communications",2058.14,9.5
Burton,Shane,female,Tonga,10,2022,"Librarian, public",1890.05,8.6
Mccarthy,Michael,female,Bermuda,8,2023,"Therapist, occupational",1963.3,8.1
Ward,Steven,female,Bermuda,6,2022,"Therapist, occupational",2040.75,7.5
Briggs,Charles,female,Tonga,3,2023,Field trials officer,1983.25,7.6
Wright,Vincent,male,Bermuda,9,2022,Patent attorney,2097.45,9.9
Cobb,Caleb,female,French Guiana,7,2023,Field trials officer,2115.1,7.1
Day,Anthony,female,Tonga,12,2020,"Therapist, occupational",1825.02,7.1
Garcia,Andrew,female,Tajikistan,3,2021,"Therapist, occupational",2010.75,8.4
Diaz,Paul,female,Tajikistan,10,2020,Field trials officer,1960.67,8.8
Stephens,Calvin,female,American Samoa,8,2021,Field trials officer,2021.92,8.4
Bowers,Juan,female,Cyprus,9,2020,"Therapist, occupational",2021.93,6.1
Payne,Chris,female,American Samoa,2,2023,"Therapist, occupational",2091.88,5.7
Buckley,Jonathan,female,Tonga,8,2021,Field trials officer,2076.41,7.6
