last_name,first_name,gender,country,month,year,job,payment,rating
Peterson,Wesley,female,Bangladesh,5,2022,"Engineer, site",1945.78,9.1
Mccoy,Zachary,male,Ecuador,10,2021,Chartered accountant,1896.11,5.4
Howard,Kenneth,female,Bhutan,10,2023,"Engineer, site",1852.64,8.0
Preston,David,male,Bangladesh,11,2022,"Engineer, site",1996.94,6.9
Stephens,Jeffrey,female,Ecuador,6,2022,Television camera operator,1978.23,8.7
Norton,Chad,female,Ecuador,10,2021,"Engineer, site",2084.53,7.0
Leonard,Ricardo,male,Luxembourg,2,2020,Chartered accountant,1879.21,9.5
Valdez,Gary,male,Luxembourg,6,2022,Television camera operator,1898.28,10.0
Jennings,William,female,Ecuador,9,2020,Meteorologist,2039.9,8.2
Aguilar,Jeffrey,male,Sudan,6,2021,Meteorologist,2096.08,8.0
Anderson,Danny,male,Faroe Islands,4,2021,Television camera operator,2095.35,6.5
Carr,Brian,male,Bhutan,5,2023,Chartered accountant,1912.9,6.1
Smith,Daniel,male,Ecuador,4,2020,Chartered accountant,2047.71,8.7
Rowland,John,male,Bhutan,5,2022,Chartered accountant,2049.27,5.8
Hays,Gregory,male,Sudan,3,2023,"Engineer, site",1968.63,8.0
Blackburn,David,male,Sudan,10,2022,Meteorologist,1923.34,7.0
Wood,Caleb,male,Guinea-Bissau,10,2020,"Engineer, site",1903.14,5.9
Diaz,John,female,Guinea-Bissau,4,2022,Chartered accountant,2073.54,7.6
Hall,Dustin,female,Bhutan,3,2020,"Engineer, site",1845.01,5.8
Scott,Russell,female,Sudan,12,2020,Television camera operator,2043.72,5.5
Wilson,Kenneth,male,Faroe Islands,12,2021,Television camera operator,2013.18,7.8
Fleming,Brian,male,Falkland Islands (Malvinas),3,2020,"Exhibitions officer, museum/gallery",1916.4,7.4
Soto,Aaron,male,Falkland Islands (Malvinas),8,2021,Television camera operator,1932.35,8.7
Jackson,Timothy,female,Guinea-Bissau,12,2021,"Engineer, site",1980.41,6.8
Parsons,Kenneth,female,Bhutan,4,2021,Chartered accountant,2056.81,8.1
Carlson,Trevor,female,Sudan,11,2020,Television camera operator,2108.96,6.9
Thomas,Roger,male,Luxembourg,5,2023,"Exhibitions officer, museum/gallery",1993.5,7.5
Ford,Timothy,male,Bangladesh,6,2022,Meteorologist,1918.89,5.3
Gates,Gary,male,Ecuador,11,2023,Television camera operator,1992.79,7.9
Andrews,Jeremy,female,Luxembourg,3,2020,Television camera operator,1989.77,10.0
Franklin,Justin,female,Sudan,8,2022,"Engineer, site",1944.74,7.6
Carpenter,Matthew,male,Ecuador,1,2023,Chartered accountant,1929.07,7.3
Pierce,Eddie,male,Guinea-Bissau,2,2023,"Engineer, site",2020.27,5.7
Roberson,Sean,male,Luxembourg,5,2020,"Engineer, site",1915.8,8.9
Smith,John,female,Ecuador,10,2023,"Engineer, site",1924.85,8.5
Strickland,Christopher,male,Bhutan,5,2022,"Exhibitions officer, museum/gallery",2035.05,6.2
Turner,Jonathan,male,Bhutan,9,2021,Television camera operator,1976.86,7.1
Simmons,Joseph,female,Bangladesh,12,2022,"Engineer, site",2090.17,9.5
Johnson,Joel,male,Sudan,11,2020,Television camera operator,1988.15,7.8
Smith,Joseph,female,Bhutan,6,2021,Meteorologist,2017.26,9.0
Schmidt,Michael,female,Faroe Islands,6,2022,Meteorologist,1969.22,8.1
Stone,Cameron,female,Ecuador,6,2022,Television camera operator,1830.78,6.6
Schneider,Mark,female,Ecuador,7,2023,Television camera operator,2082.17,9.4
Gentry,Jason,female,Ecuador,5,2020,Meteorologist,1838.78,9.9
Thomas,Ralph,male,Guinea-Bissau,7,2023,Chartered accountant,1940.53,8.2
Collins,Daniel,male,Luxembourg,5,2022,Chartered accountant,1899.18,8.2
Collins,James,male,Ecuador,8,2022,Chartered accountant,1868.14,8.6
Richardson,William,female,Falkland Islands (Malvinas),10,2021,"Engineer, site",1868.45,9.0
Roberts,Paul,male,Sudan,3,2021,Television camera operator,2111.68,7.4
Livingston,Joseph,female,Sudan,3,2023,Chartered accountant,2007.28,8.5
Gonzalez,George,female,Luxembourg,12,2021,"Engineer, site",2053.19,10.0
Weaver,Andrew,male,Ecuador,12,2020,Meteorologist,1901.08,8.1
Hawkins,Brandon,female,Falkland Islands (Malvinas),7,2021,Television camera operator,1986.74,8.0
Miller,David,female,Falkland Islands (Malvinas),10,2021,Television camera operator,1888.18,7.0
Rose,Justin,female,Bangladesh,11,2023,Chartered accountant,1873.98,6.7
Frank,John,female,Faroe Islands,5,2020,Television camera operator,2028.35,8.8
Gilmore,Thomas,female,Falkland Islands (Malvinas),7,2021,Television camera operator,1870.1,7.9
Taylor,James,female,Bhutan,8,2022,Chartered accountant,1826.23,5.8
Robbins,Jared,male,Luxembourg,5,2023,Meteorologist,2253.97,10.0
Cooper,Christopher,male,Luxembourg,1,2021,Chartered accountant,1914.75,7.2
Finley,Robert,male,Ecuador,8,2022,Television camera operator,1824.86,8.0
Jones,Jason,male,Luxembourg,2,2023,"Engineer, site",1963.23,7.1
Smith,William,female,Sudan,7,2021,Meteorologist,1861.83,8.4
Navarro,Robert,male,Luxembourg,8,2021,Meteorologist,2004.23,7.9
Simpson,Daniel,female,Bhutan,6,2021,"Engineer, site",2075.92,6.3
King,Robert,male,Guinea-Bissau,5,2022,Meteorologist,1864.05,8.3
Thompson,Paul,male,Luxembourg,3,2020,Meteorologist,2086.52,7.0
Duarte,Jay,male,Falkland Islands (Malvinas),4,2023,Meteorologist,1886.87,5.1
Tucker,Christopher,female,Ecuador,7,2020,Chartered accountant,2137.77,6.9
Simpson,Mitchell,female,Luxembourg,8,2020,"Exhibitions officer, museum/gallery",2004.47,9.7
Carter,Colin,male,Ecuador,8,2021,Chartered accountant,2052.85,9.7
Medina,Charles,female,Bangladesh,12,2022,Television camera operator,2018.7,5.7
Foster,Frank,female,Luxembourg,8,2020,Chartered accountant,2125.16,7.8
Ingram,Anthony,male,Bhutan,10,2020,Chartered accountant,2148.26,6.3
Hubbard,Bradley,female,Falkland Islands (Malvinas),8,2022,Meteorologist,2169.31,5.1
Lawrence,Joseph,male,Sudan,1,2022,"Engineer, site",2067.93,5.2
Soto,Edward,male,Bhutan,8,2020,Chartered accountant,1846.01,5.9
Cruz,William,male,Bangladesh,7,2023,"Exhibitions officer, museum/gallery",2041.17,5.9
Campbell,Michael,female,Ecuador,2,2021,Meteorologist,1856.54,6.1
Garcia,Trevor,male,Bangladesh,1,2020,"Engineer, site",2159.17,5.5
Caldwell,William,female,Luxembourg,8,2022,"Engineer, site",2010.35,7.7
Grimes,Tyler,male,Falkland Islands (Malvinas),2,2020,"Engineer, site",1951.41,7.3
Miller,Steve,male,Sudan,12,2022,Television camera operator,1982.08,7.3
Hill,Michael,female,Sudan,3,2023,Meteorologist,2184.2,9.0
Barr,Michael,female,Guinea-Bissau,10,2023,Meteorologist,2014.78,6.9
Flores,Christopher,female,Bhutan,5,2021,"Engineer, site",2009.68,5.9
Peterson,Allen,male,Luxembourg,11,2023,Television camera operator,1956.24,8.8
Ingram,Joseph,female,Bangladesh,4,2023,Meteorologist,1989.64,6.3
Mccoy,Carl,female,Sudan,3,2022,Television camera operator,1963.29,8.8
Kramer,Aaron,female,Faroe Islands,12,2021,"Engineer, site",1872.76,5.1
Rodriguez,Jesse,male,Falkland Islands (Malvinas),7,2022,"Engineer, site",2182.12,7.0
Jordan,Matthew,female,Luxembourg,2,2020,Television camera operator,2140.77,10.0
Page,Brandon,female,Sudan,9,2022,Meteorologist,1904.68,5.1
Lopez,Vincent,male,Faroe Islands,6,2021,"Exhibitions officer, museum/gallery",2013.36,9.0
Martinez,Matthew,male,Ecuador,7,2022,Television camera operator,1877.38,6.3
Long,Eric,male,Ecuador,6,2023,"Exhibitions officer, museum/gallery",1849.42,5.9
Hernandez,Gregory,male,Bangladesh,2,2023,"Engineer, site",2022.91,8.8
Delgado,Jay,male,Bangladesh,7,2020,"Engineer, site",2121.06,9.5
Pham,Mark,male,Falkland Islands (Malvinas),9,2023,"Engineer, site",2140.92,5.5
Khan,Chad,male,Faroe Islands,7,2022,"Exhibitions officer, museum/gallery",2074.2,6.9
Fischer,Aaron,male,Falkland Islands (Malvinas),7,2023,Chartered accountant,2123.41,7.2
Garcia,Austin,female,Luxembourg,5,2020,Chartered accountant,2034.7,8.0
Lambert,Michael,male,Bhutan,6,2021,"Engineer, site",1983.26,5.0
Thomas,Walter,female,Sudan,7,2021,Meteorologist,2001.24,7.8
Gonzalez,Charles,female,Luxembourg,5,2022,"Engineer, site",1950.4,10.0
Taylor,Patrick,male,Ecuador,4,2022,Television camera operator,2082.56,8.2
Hickman,Andre,female,Sudan,4,2020,Television camera operator,1970.02,9.5
Santos,Christopher,male,Guinea-Bissau,8,2023,Meteorologist,2098.24,7.4
Lambert,Chris,male,Bangladesh,6,2020,Meteorologist,2024.79,5.9
Garcia,Benjamin,male,Luxembourg,10,2023,Chartered accountant,1827.27,10.0
Ross,Patrick,female,Sudan,1,2020,"Exhibitions officer, museum/gallery",1918.19,9.3
Hernandez,Philip,female,Falkland Islands (Malvinas),5,2020,"Engineer, site",1886.13,10.0
Munoz,Gregory,female,Ecuador,9,2021,Meteorologist,2062.6,8.3
Russell,Raymond,female,Bhutan,11,2021,Chartered accountant,2199.03,6.5
Sawyer,David,female,Luxembourg,10,2021,Meteorologist,1947.21,10.0
Hernandez,Jesse,female,Faroe Islands,5,2023,Television camera operator,1891.65,8.0
Coleman,Tyler,male,Luxembourg,9,2020,"Engineer, site",1861.33,10.0
Yates,Jay,female,Faroe Islands,2,2022,"Engineer, site",2086.36,6.7
Hernandez,Joshua,male,Bangladesh,12,2021,Television camera operator,1942.84,7.8
Park,Scott,male,Sudan,9,2022,"Exhibitions officer, museum/gallery",2144.61,9.4
Johnson,Ryan,female,Faroe Islands,12,2023,"Engineer, site",2204.16,7.0
Sutton,Andrew,male,Luxembourg,4,2022,Meteorologist,1998.87,10.0
Hawkins,Robert,female,Falkland Islands (Malvinas),3,2022,Television camera operator,2088.11,8.8
Jenkins,Logan,male,Bhutan,2,2023,"Exhibitions officer, museum/gallery",2032.58,9.7
Hart,James,male,Bhutan,7,2023,Chartered accountant,1850.24,8.2
Reeves,Charles,female,Luxembourg,3,2020,Meteorologist,2008.79,10.0
Stokes,John,female,Bangladesh,1,2021,"Engineer, site",1923.46,8.2
Martin,Stephen,female,Guinea-Bissau,2,2021,Meteorologist,1903.05,7.6
Price,Robert,female,Bangladesh,3,2020,Television camera operator,2045.68,7.2
Romero,Christopher,female,Sudan,7,2022,Meteorologist,2044.6,9.2
French,Joseph,male,Sudan,5,2022,Chartered accountant,2001.91,10.0
Garcia,Daniel,male,Falkland Islands (Malvinas),11,2022,Television camera operator,2201.43,5.2
Soto,Alan,male,Faroe Islands,11,2022,Television camera operator,1942.07,7.6
Coleman,Carl,female,Luxembourg,11,2021,"Exhibitions officer, museum/gallery",2098.28,9.2
Bailey,John,male,Guinea-Bissau,11,2022,Chartered accountant,2120.58,6.1
Reyes,Shaun,male,Bhutan,3,2020,"Exhibitions officer, museum/gallery",1947.36,7.7
Andersen,Mark,male,Guinea-Bissau,4,2021,"Exhibitions officer, museum/gallery",2176.27,9.3
Cordova,Luis,female,Sudan,3,2021,"Engineer, site",2264.35,9.1
Allison,Aaron,female,Luxembourg,4,2022,"Exhibitions officer, museum/gallery",2004.38,10.0
James,Danny,male,Bangladesh,1,2020,"Engineer, site",2029.24,9.7
Henry,Richard,male,Bhutan,10,2022,"Engineer, site",2144.07,7.8
