last_name,first_name,gender,country,month,year,job,payment,rating
Smith,Spencer,female,Thailand,6,2023,Psychiatrist,2137.63,7.8
Robertson,Brian,female,Austria,11,2021,Chartered management accountant,1915.95,8.6
Weber,Edward,female,Togo,8,2021,Chartered management accountant,1881.57,9.8
Mcneil,Travis,female,Thailand,12,2022,Psychiatrist,2058.15,9.4
Turner,Andrew,female,Slovakia (Slovak Republic),7,2020,Ophthalmologist,1729.1,8.7
King,David,male,Slovakia (Slovak Republic),11,2023,Psychiatrist,2023.19,8.8
Le,Luis,female,Togo,10,2020,"Surveyor, planning and development",2111.62,6.3
Berry,William,female,Togo,8,2022,Chartered management accountant,2016.72,5.2
Green,Isaiah,female,Luxembourg,8,2022,Chartered management accountant,2065.16,5.6
Hancock,Matthew,female,Austria,12,2023,Psychiatrist,1948.27,8.6
Mcclain,Christopher,female,Togo,10,2020,Chartered management accountant,2118.99,8.6
Koch,Michael,female,Qatar,9,2023,Psychiatrist,1967.83,8.4
Richard,Michael,female,Ireland,11,2021,"Surveyor, planning and development",2054.3,7.1
Ross,Todd,female,Togo,6,2023,Chartered management accountant,2092.56,5.2
Miller,Calvin,female,Austria,11,2022,Psychiatrist,1902.01,8.0
Davies,Jose,female,Ireland,6,2021,Psychiatrist,2018.76,5.5
Rivera,Jacob,female,Kenya,12,2020,Psychiatrist,1945.59,7.7
Sanders,Richard,female,Ireland,7,2021,Psychiatrist,2045.48,6.3
Vasquez,William,female,Ireland,4,2023,Psychiatrist,1951.84,5.3
Rice,Nicolas,female,Ireland,4,2023,"Surveyor, planning and development",2052.5,7.4
Rosario,Peter,female,Luxembourg,10,2020,Chartered management accountant,1826.08,7.8
Baker,Christopher,female,Benin,9,2022,Psychiatrist,1806.08,8.2
Boyd,Justin,female,Luxembourg,8,2023,"Surveyor, planning and development",1961.87,6.8
Ortiz,Eric,female,Ireland,9,2023,Chartered management accountant,1849.42,7.8
Gonzalez,Matthew,female,Togo,9,2021,Psychiatrist,2172.91,10.0
Johnson,James,female,Thailand,11,2022,Ophthalmologist,1947.17,6.2
Dougherty,Joseph,female,Sudan,10,2021,Psychiatrist,2111.87,7.4
Pitts,Kyle,female,Benin,5,2020,Ophthalmologist,1972.15,8.3
Manning,Paul,female,Slovakia (Slovak Republic),4,2020,Psychiatrist,1894.42,5.2
Gonzalez,Gabriel,female,Sudan,9,2023,Ophthalmologist,2079.77,9.8
May,Joseph,female,Qatar,5,2022,"Surveyor, planning and development",1886.74,8.4
Ramirez,Anthony,female,Austria,3,2022,"Surveyor, planning and development",1973.96,10.0
Peterson,Jeremy,female,Thailand,12,2020,"Surveyor, planning and development",2150.72,5.5
Ray,Richard,male,Thailand,8,2021,Chartered management accountant,2008.52,9.6
Smith,Curtis,female,Luxembourg,10,2021,Psychiatrist,1960.09,5.3
Brown,Brandon,female,Thailand,10,2021,"Surveyor, planning and development",2026.57,7.4
Williams,Travis,female,Thailand,1,2023,"Surveyor, planning and development",1999.47,7.0
Williams,James,female,Austria,7,2020,Psychiatrist,2060.69,10.0
Fleming,Phillip,female,Togo,3,2022,Ophthalmologist,1905.5,5.4
Baldwin,Kelly,female,Kenya,12,2021,"Surveyor, planning and development",2116.02,8.0
Martin,James,female,Luxembourg,2,2022,Chartered management accountant,1999.28,6.6
Butler,Timothy,female,Slovakia (Slovak Republic),9,2020,Psychiatrist,1955.92,5.4
Young,David,male,Austria,8,2021,"Surveyor, planning and development",2111.62,7.9
Yates,Daniel,female,Sudan,4,2021,"Surveyor, planning and development",1989.84,7.9
Jones,Anthony,female,Benin,9,2023,Chartered management accountant,1918.88,7.5
Mcbride,Andrew,male,Ireland,7,2021,Ophthalmologist,1956.69,9.3
Smith,Connor,female,Togo,6,2023,"Surveyor, planning and development",2061.66,7.6
Pitts,James,female,Togo,3,2022,Ophthalmologist,2020.01,5.3
Acosta,Christopher,female,Togo,11,2023,Chartered management accountant,1955.17,8.6
Williams,Eric,female,Benin,12,2020,Chartered management accountant,2183.42,7.9
Lee,Jacob,male,Austria,9,2023,Psychiatrist,2112.46,10.0
Holmes,Jacob,female,Thailand,3,2022,"Surveyor, planning and development",1826.21,6.9
Rios,Ryan,male,Kenya,7,2022,"Surveyor, planning and development",2084.35,8.3
Randolph,Michael,female,Thailand,6,2023,"Surveyor, planning and development",2066.38,6.4
Weaver,Sean,female,Togo,5,2020,Psychiatrist,2039.23,9.8
Bass,Michael,male,Qatar,2,2020,Chartered management accountant,2090.48,7.4
Levy,Aaron,female,Kenya,8,2020,Psychiatrist,2198.39,5.2
Ross,Christopher,female,Kenya,5,2023,Ophthalmologist,1948.4,9.8
Oconnor,David,female,Thailand,6,2021,Chartered management accountant,1949.09,9.2
Ray,Anthony,male,Togo,7,2020,Psychiatrist,2260.79,6.0
Powers,Richard,female,Thailand,12,2021,Psychiatrist,2154.5,5.6
Grant,David,female,Qatar,5,2020,Chartered management accountant,1814.72,6.3
Oneill,James,female,Togo,2,2022,Psychiatrist,1998.14,8.0
Mendez,Aaron,female,Benin,4,2020,"Surveyor, planning and development",2022.94,9.5
Solomon,Scott,female,Qatar,2,2020,Ophthalmologist,1927.3,5.5
Cooper,William,female,Benin,4,2020,Ophthalmologist,2053.93,9.4
Walton,Mitchell,female,Austria,6,2023,Psychiatrist,2181.58,10.0
Navarro,Charles,female,Benin,12,2023,"Surveyor, planning and development",2137.28,7.0
Taylor,Tim,female,Thailand,12,2022,Ophthalmologist,1924.91,8.5
Parker,Henry,female,Thailand,5,2022,"Surveyor, planning and development",2113.91,7.1
Trevino,David,female,Luxembourg,4,2021,Ophthalmologist,1765.18,7.8
Scott,John,female,Ireland,7,2020,Psychiatrist,1946.0,7.6
Fowler,Connor,female,Togo,11,2020,Psychiatrist,2153.44,7.6
Stevenson,Harry,female,Kenya,3,2023,Ophthalmologist,2046.64,9.5
Sullivan,Douglas,female,Togo,7,2023,Chartered management accountant,2001.49,7.4
Stewart,Chris,female,Thailand,3,2021,"Surveyor, planning and development",2041.83,6.7
Smith,Christopher,female,Thailand,5,2020,Psychiatrist,2128.48,5.4
Mccann,Steven,female,Ireland,9,2021,Chartered management accountant,1915.13,7.8
Martinez,Anthony,female,Togo,1,2023,Ophthalmologist,1959.21,9.0
Mitchell,Nathaniel,female,Sudan,11,2020,"Surveyor, planning and development",2241.51,6.0
Johnson,Jeffrey,female,Benin,5,2020,Psychiatrist,2020.01,9.6
Daniel,John,female,Austria,4,2022,Chartered management accountant,2182.35,7.3
Snyder,David,female,Qatar,1,2021,Psychiatrist,2192.77,5.2
Macias,David,female,Benin,6,2022,Ophthalmologist,2132.34,9.3
