last_name,first_name,gender,country,month,year,job,payment,rating
Taylor,Daniel,male,Austria,6,2023,"Therapist, art",1998.49,7.8
Nguyen,Todd,male,Austria,12,2020,"Therapist, art",2106.41,6.6
Marsh,Nicholas,male,Nigeria,7,2020,Immunologist,1999.76,9.8
Miller,Juan,male,Austria,1,2020,"Engineer, agricultural",1915.83,5.3
Knight,David,female,Netherlands,5,2021,"Engineer, agricultural",2104.08,9.5
Reed,Joshua,male,Maldives,2,2021,Immunologist,1870.21,7.2
Fields,Bobby,female,Norfolk Island,11,2021,Immunologist,1832.25,5.4
Daniels,Rickey,male,Netherlands,12,2020,"Engineer, agricultural",1975.8,9.9
Anderson,Shawn,female,Austria,1,2023,Scientific laboratory technician,1965.39,6.9
Martin,Shane,male,Netherlands,11,2020,"Therapist, art",2078.36,8.3
Young,Vincent,male,Netherlands,7,2020,Scientific laboratory technician,2017.72,8.6
Erickson,Daniel,male,Netherlands,12,2021,"Engineer, agricultural",2038.1,10.0
Cohen,Mark,male,Norfolk Island,12,2020,"Engineer, agricultural",1999.61,6.8
Doyle,Michael,male,Norfolk Island,8,2020,"Engineer, agricultural",2030.31,6.5
Lane,David,female,Netherlands,8,2021,"Engineer, agricultural",1877.09,7.3
Johnson,Billy,female,Austria,3,2022,Insurance account manager,1980.88,5.8
Rosales,Eduardo,male,Nigeria,3,2022,"Engineer, agricultural",2151.31,8.8
Thomas,Andrew,male,Austria,12,2021,"Therapist, art",2153.42,6.4
Daniels,Terry,female,Austria,4,2020,"Engineer, agricultural",2028.45,8.5
Sanchez,James,male,Nigeria,3,2021,Insurance account manager,2065.91,8.4
Franklin,Michael,male,Maldives,7,2020,Insurance account manager,2040.2,5.1
Matthews,Brad,male,Netherlands,9,2023,Insurance account manager,1902.77,7.9
Jackson,Joseph,male,Norfolk Island,7,2021,Scientific laboratory technician,2098.87,6.5
Harrington,Joseph,female,Norfolk Island,7,2022,Insurance account manager,1887.83,8.3
Sanchez,Dwayne,male,Austria,3,2022,"Engineer, agricultural",1902.8,6.0
Hughes,Richard,male,Netherlands,7,2023,Scientific laboratory technician,1888.73,9.4
Wells,Curtis,female,Austria,11,2021,"Therapist, art",1904.14,6.6
Goodman,Michael,male,Malawi,3,2022,"Engineer, agricultural",1754.74,8.2
Larsen,William,female,Nigeria,5,2021,Scientific laboratory technician,1991.09,9.3
Miller,Henry,male,Norfolk Island,1,2021,Immunologist,1850.15,5.2
Yang,Joshua,female,Norfolk Island,11,2023,Insurance account manager,2082.1,8.7
Brown,Ian,male,Netherlands,11,2020,"Therapist, art",2052.77,7.0
Leon,Chad,male,Norfolk Island,9,2021,"Therapist, art",1827.93,5.7
Swanson,Scott,male,Maldives,5,2021,"Engineer, agricultural",1918.38,9.9
Wolfe,Kyle,female,Austria,1,2020,Scientific laboratory technician,1673.82,9.3
Roberson,Nathan,male,Nigeria,1,2020,Scientific laboratory technician,1980.02,9.7
Williams,Jesse,male,Norfolk Island,3,2022,"Engineer, agricultural",2098.9,6.7
Rosario,Gregory,male,Norfolk Island,1,2023,"Therapist, art",1955.34,7.8
Parks,Scott,male,Nigeria,6,2022,Insurance account manager,2035.38,7.9
Sanchez,Steven,male,Malawi,6,2023,"Engineer, agricultural",1988.98,10.0
Thompson,Dennis,male,Maldives,5,2020,Immunologist,2012.56,7.6
Cummings,Spencer,male,Norfolk Island,1,2020,Insurance account manager,2027.75,5.8
Thompson,William,male,Nigeria,5,2022,Insurance account manager,1966.61,8.3
Rice,Gerald,male,Netherlands,5,2021,"Engineer, agricultural",2078.79,10.0
Martinez,Alex,female,Norfolk Island,12,2020,Scientific laboratory technician,2132.98,5.4
Nichols,Michael,female,Malawi,4,2020,"Engineer, agricultural",1955.92,8.4
Keller,Paul,male,Austria,7,2021,"Engineer, agricultural",1894.74,9.2
Sellers,Tony,male,Malawi,8,2022,Immunologist,1799.89,5.3
Carlson,Jerry,female,Austria,4,2020,"Therapist, art",1974.25,5.3
Johnson,Gregory,male,Netherlands,4,2021,"Engineer, agricultural",1938.75,10.0
Chavez,Jack,female,Malawi,9,2022,Scientific laboratory technician,2010.91,8.8
Sanchez,Nicholas,female,Netherlands,5,2020,Immunologist,2077.52,8.2
Davis,Matthew,female,Malawi,4,2021,Immunologist,2002.84,6.7
Sutton,Kevin,female,Malawi,12,2023,Immunologist,1892.82,7.4
Schmidt,Ricky,male,Netherlands,3,2022,Immunologist,2015.79,10.0
Dixon,Brian,female,Netherlands,5,2023,Scientific laboratory technician,2083.3,10.0
Hill,Thomas,male,Austria,6,2023,Immunologist,2011.66,6.9
Mahoney,Michael,female,Norfolk Island,7,2023,Scientific laboratory technician,2020.62,9.5
Key,Dean,male,Nigeria,6,2021,Insurance account manager,2137.75,5.8
Holmes,Gabriel,female,Nigeria,12,2021,Scientific laboratory technician,2018.88,6.8
