last_name,first_name,gender,country,month,year,job,payment,rating
Jones,Cody,female,Peru,1,2021,IT sales professional,1963.55,5.7
Turner,Roy,female,Peru,1,2023,IT sales professional,2239.5,7.1
Smith,Jose,female,Peru,9,2021,Community development worker,1836.8,6.2
Walsh,Shane,female,Congo,11,2021,Medical physicist,1957.17,8.3
Chavez,Steven,male,Lao People's Democratic Republic,6,2020,Medical physicist,2055.03,9.0
Rogers,Travis,female,New Zealand,3,2021,Barrister,1922.65,7.6
Park,Todd,female,Lao People's Democratic Republic,8,2020,Medical physicist,2135.73,5.2
Brewer,Gary,female,Congo,8,2021,IT sales professional,2041.22,5.5
Hamilton,Jonathon,female,Saint Lucia,2,2021,Medical physicist,2120.81,9.1
Hernandez,Brian,male,Zimbabwe,1,2021,IT sales professional,2019.31,5.5
Graves,Gregory,male,Zimbabwe,8,2023,Community development worker,2086.01,8.9
Perez,Brandon,female,Saint Lucia,8,2021,Barrister,1896.09,9.8
Taylor,Jeffrey,female,Israel,4,2023,Medical physicist,2045.67,6.7
Perry,Jeffrey,female,Saint Lucia,2,2021,IT sales professional,1958.47,7.9
Rodriguez,Phillip,female,Botswana,11,2020,Barrister,2105.73,6.3
Curry,James,female,Zimbabwe,1,2021,Community development worker,1892.74,5.5
Armstrong,Joshua,male,Botswana,5,2021,Medical physicist,1852.95,5.9
Smith,James,female,Peru,10,2022,Community development worker,1969.03,7.6
Gordon,Jesse,male,Peru,11,2021,Medical physicist,2018.75,7.9
Christensen,Scott,female,Zimbabwe,5,2020,Community development worker,1954.05,6.2
Douglas,Parker,female,Peru,6,2023,Community development worker,1952.48,6.7
Ayala,James,male,Saint Lucia,9,2020,Medical physicist,2104.06,5.9
Kelly,Christopher,female,Lao People's Democratic Republic,8,2022,IT sales professional,1999.73,6.6
Owens,Kevin,male,Peru,8,2023,Medical physicist,2066.14,7.2
Young,Andrew,female,Saint Lucia,12,2020,IT sales professional,1907.0,5.9
Hoover,Steve,female,Peru,11,2023,Medical physicist,1992.29,9.9
Hall,Joshua,male,New Zealand,3,2022,IT sales professional,1931.94,10.0
Thomas,Joshua,female,Botswana,7,2021,Barrister,2051.89,5.7
Smith,Maxwell,female,Zimbabwe,3,2020,Community development worker,1859.26,9.8
Maldonado,Hector,female,New Zealand,8,2023,Community development worker,2065.72,10.0
Reyes,Adam,female,New Zealand,5,2021,Community development worker,2036.21,9.5
Shannon,Nicholas,female,Peru,5,2020,Medical physicist,1958.19,8.8
Fleming,Gregory,male,Zimbabwe,1,2020,Barrister,1997.14,8.6
Johnson,Scott,female,Zimbabwe,5,2023,Medical physicist,2014.14,7.4
Beard,Michael,female,Congo,2,2022,Community development worker,2155.03,6.0
Ray,Mark,female,Zimbabwe,10,2020,Community development worker,1966.98,7.2
James,Jeff,female,Peru,6,2021,Medical physicist,1805.32,10.0
Greene,Daniel,female,Zimbabwe,11,2023,IT sales professional,2099.87,5.9
Brown,Dustin,female,Congo,5,2022,Medical physicist,2172.06,9.5
King,Matthew,female,New Zealand,7,2021,Medical physicist,2040.5,10.0
Dudley,Andre,female,Saint Lucia,12,2021,IT sales professional,1982.78,7.7
Nguyen,Mitchell,female,Saint Lucia,11,2021,IT sales professional,1975.86,10.0
Robertson,Michael,female,Zimbabwe,1,2020,IT sales professional,2067.31,8.7
Anderson,Curtis,male,Saint Lucia,8,2023,IT sales professional,1828.34,9.0
Duncan,Jack,female,New Zealand,6,2020,Community development worker,1948.08,7.2
Dawson,Robert,female,Lao People's Democratic Republic,1,2022,Barrister,2030.95,5.7
Williams,James,male,Israel,5,2023,Medical physicist,2113.85,8.3
Thomas,Jason,male,Zimbabwe,2,2022,Community development worker,2042.36,10.0
Erickson,Christopher,male,Lao People's Democratic Republic,10,2021,IT sales professional,1863.0,10.0
