last_name,first_name,gender,country,month,year,job,payment,rating
Cunningham,Robert,male,Tonga,2,2020,Company secretary,2079.61,8.3
Rogers,Austin,male,Bahamas,2,2020,Furniture conservator/restorer,1974.16,6.4
Salinas,Frank,male,Equatorial Guinea,4,2020,Furniture conservator/restorer,1936.51,5.1
Johnson,Craig,male,Tonga,7,2020,Manufacturing systems engineer,2047.9,8.9
Parker,Thomas,male,Finland,7,2023,Furniture conservator/restorer,1967.08,8.1
Williams,Eric,male,Equatorial Guinea,2,2021,Manufacturing systems engineer,2041.78,8.5
Barber,David,male,Switzerland,4,2023,Company secretary,1903.13,8.6
Lam,Christopher,male,Equatorial Guinea,7,2020,Furniture conservator/restorer,1887.2,8.5
Smith,James,male,Equatorial Guinea,7,2023,Manufacturing systems engineer,1993.78,6.2
Barnes,Bryan,male,Bahamas,11,2020,Manufacturing systems engineer,1953.91,9.9
Medina,Lee,female,Iraq,4,2021,Furniture conservator/restorer,1998.99,9.2
Mcintyre,James,male,Tonga,4,2022,Manufacturing systems engineer,1892.81,6.6
Collins,Tyrone,male,Christmas Island,4,2020,Furniture conservator/restorer,2067.93,5.3
Murphy,Mark,female,Bahamas,9,2023,Furniture conservator/restorer,1994.13,9.5
Hensley,David,male,Equatorial Guinea,12,2020,Manufacturing systems engineer,2027.79,9.8
Thomas,Nathan,male,Finland,10,2020,Furniture conservator/restorer,2049.84,5.4
Ward,Steven,male,Bahamas,9,2020,Company secretary,2036.21,8.0
Hoffman,Ian,male,Antarctica (the territory South of 60 deg S),8,2023,Furniture conservator/restorer,2003.05,9.3
Singh,Joshua,male,Antarctica (the territory South of 60 deg S),12,2022,Company secretary,2072.1,7.9
Young,Michael,male,Bahamas,7,2023,Furniture conservator/restorer,2184.76,7.6
Lowe,Shannon,male,Micronesia,6,2020,Furniture conservator/restorer,2068.41,7.6
White,Christopher,female,Switzerland,5,2021,Company secretary,2028.73,9.2
Mitchell,Eric,male,Tonga,6,2020,Company secretary,1796.77,9.9
Jones,Brian,male,Finland,1,2023,Furniture conservator/restorer,1878.16,6.9
Phillips,Alexander,male,Finland,5,2022,Furniture conservator/restorer,1870.48,8.4
Bass,Nicholas,male,Iraq,7,2023,Furniture conservator/restorer,2104.84,7.3
James,Brent,male,Lebanon,2,2021,Company secretary,1967.43,5.2
Nelson,Charles,male,Equatorial Guinea,1,2023,Manufacturing systems engineer,2149.23,6.8
Davis,Walter,male,Finland,5,2021,Manufacturing systems engineer,2162.42,6.7
