last_name,first_name,gender,country,month,year,job,payment,rating
Adams,Matthew,male,Jordan,5,2020,Further education lecturer,2114.53,5.3
Nguyen,Drew,male,South Georgia and the South Sandwich Islands,9,2020,Further education lecturer,1940.62,9.0
Smith,Charles,male,South Georgia and the South Sandwich Islands,7,2021,Information systems manager,1901.05,6.0
Oconnell,Joseph,male,Greenland,3,2020,Information systems manager,1849.8,7.3
Hughes,Eric,male,Equatorial Guinea,7,2020,Press sub,1873.86,5.2
Morgan,Joshua,female,Algeria,4,2021,Further education lecturer,2085.53,7.9
Schultz,Christopher,male,Greenland,8,2021,Press sub,2026.59,5.6
Watson,Jeffrey,male,Greenland,3,2021,IT trainer,2047.2,8.9
Aguilar,Richard,male,Jordan,1,2023,Further education lecturer,1956.44,7.7
Byrd,Harold,male,Equatorial Guinea,8,2020,Further education lecturer,2080.88,8.2
Douglas,Kevin,male,Jordan,9,2022,Location manager,1906.19,6.8
Chang,John,male,Equatorial Guinea,5,2021,Location manager,2113.67,9.3
Navarro,Matthew,female,South Georgia and the South Sandwich Islands,5,2022,Further education lecturer,1975.3,8.8
Cox,Michael,female,Estonia,9,2023,Further education lecturer,2212.24,10.0
Harris,Perry,male,Estonia,12,2022,Further education lecturer,2032.46,9.0
Robinson,William,male,Fiji,12,2022,Information systems manager,1892.23,5.2
Parker,Jose,female,Austria,6,2022,IT trainer,2015.32,7.9
Clark,Andrew,male,Algeria,11,2022,Information systems manager,2032.62,7.9
Green,Shawn,male,South Georgia and the South Sandwich Islands,7,2023,IT trainer,1894.88,8.0
Turner,Nicholas,male,Greenland,6,2020,Press sub,2093.51,9.1
Donaldson,Derek,male,South Georgia and the South Sandwich Islands,10,2021,"Therapist, art",2049.73,8.0
Alvarado,Steven,female,South Georgia and the South Sandwich Islands,3,2022,Further education lecturer,2178.32,8.5
Warner,Steven,male,Fiji,11,2023,IT trainer,1962.8,5.8
Chapman,Gregory,female,Fiji,6,2020,IT trainer,2168.04,6.5
Fields,Peter,female,Algeria,1,2021,IT trainer,1950.33,7.1
Ramirez,Walter,female,Jordan,5,2021,Information systems manager,1789.03,8.3
Skinner,Luke,male,Jordan,3,2022,"Therapist, art",1820.0,8.7
Colon,Christopher,male,Algeria,5,2021,IT trainer,2010.83,8.6
Marks,Billy,male,Algeria,12,2021,Information systems manager,1911.71,5.2
Peterson,Isaac,male,South Georgia and the South Sandwich Islands,8,2021,Further education lecturer,2193.78,7.9
Callahan,Cody,male,Greenland,5,2020,Press sub,1984.28,7.7
Smith,Robert,male,Jordan,7,2021,IT trainer,2052.08,8.8
Fuentes,Mark,male,Greenland,8,2022,Further education lecturer,1937.22,7.2
Lee,Antonio,male,Jordan,3,2020,Location manager,1959.15,9.0
Ward,Michael,male,South Georgia and the South Sandwich Islands,4,2022,IT trainer,2031.38,6.0
Atkinson,Jordan,female,Greenland,4,2022,Further education lecturer,2015.89,6.8
White,Edward,male,Estonia,5,2022,IT trainer,2115.77,7.3
Fields,Eric,female,Austria,9,2020,Further education lecturer,2131.41,8.8
Mitchell,Joseph,male,Equatorial Guinea,7,2020,"Therapist, art",2042.36,9.2
Hines,Jacob,female,Jordan,8,2022,Location manager,2199.96,7.6
Martin,Gerald,male,Greenland,4,2022,Location manager,1914.18,5.8
Francis,Trevor,male,Equatorial Guinea,8,2023,IT trainer,2022.11,6.6
Daniels,John,male,Austria,7,2020,Further education lecturer,2051.45,5.3
Bentley,Jose,female,Jordan,2,2023,"Therapist, art",2026.46,8.2
Johnston,Tracy,female,Austria,6,2023,IT trainer,1968.93,6.7
Martinez,Spencer,male,Estonia,2,2020,Further education lecturer,2131.04,10.0
Townsend,Michael,male,Equatorial Guinea,8,2023,IT trainer,2061.6,7.2
Morales,Henry,male,Estonia,6,2023,Press sub,2057.3,7.1
Patrick,Alexander,male,Equatorial Guinea,5,2020,Press sub,1896.13,8.9
Owens,Kevin,female,Equatorial Guinea,2,2021,Information systems manager,1970.7,7.5
Duffy,Danny,male,Algeria,9,2021,Information systems manager,1882.03,8.8
Harrington,Jonathan,male,Jordan,8,2022,"Therapist, art",2118.2,6.3
Riley,Patrick,male,Jordan,4,2020,IT trainer,2135.73,8.7
Nelson,Frank,male,Jordan,4,2022,"Therapist, art",2049.35,8.8
Curry,Gregory,male,Algeria,5,2021,Further education lecturer,2036.84,6.4
Martin,Lance,male,Jordan,1,2021,IT trainer,1940.15,9.3
Elliott,Shawn,male,Equatorial Guinea,8,2021,Location manager,1945.93,9.3
Heath,Earl,male,Jordan,12,2023,"Therapist, art",2119.27,9.6
Pierce,Cody,male,South Georgia and the South Sandwich Islands,1,2023,Press sub,1814.94,5.1
Schroeder,Rodney,male,Austria,5,2021,"Therapist, art",1844.02,7.4
Weber,Christian,female,Jordan,8,2022,Information systems manager,2151.34,10.0
Lara,Terry,male,Jordan,3,2023,"Therapist, art",1958.46,9.3
Flores,Walter,male,Jordan,12,2021,Location manager,1995.19,6.7
Skinner,Daniel,male,Jordan,5,2022,IT trainer,2003.09,9.7
Smith,Jason,male,Greenland,1,2021,Location manager,2092.69,9.8
Williams,Jared,male,Fiji,9,2022,IT trainer,2175.66,6.6
Craig,Christopher,male,Fiji,4,2020,"Therapist, art",1972.58,8.5
Krause,Luke,male,Fiji,12,2022,Further education lecturer,2082.89,5.6
Perry,Kevin,male,Jordan,12,2022,Press sub,2165.03,9.7
Murphy,Juan,male,Greenland,7,2023,Further education lecturer,2086.83,8.9
Stevens,Joseph,male,Jordan,2,2023,Further education lecturer,1951.21,8.5
Campbell,Brandon,female,Equatorial Guinea,8,2023,Location manager,2000.32,8.6
Norris,Jonathan,female,Austria,2,2020,IT trainer,1972.78,6.5
Ray,Matthew,male,Algeria,6,2021,IT trainer,2019.31,6.1
Ward,Brandon,male,South Georgia and the South Sandwich Islands,8,2020,IT trainer,2084.78,5.5
Perez,Michael,female,Jordan,12,2023,"Therapist, art",1854.33,6.4
Gregory,Ryan,male,Algeria,4,2022,"Therapist, art",1912.71,6.5
Webb,David,female,Greenland,3,2021,Location manager,1920.0,5.7
Mcconnell,Robert,male,Equatorial Guinea,2,2020,Location manager,1866.56,8.6
Mueller,Michael,male,Jordan,2,2023,Location manager,1983.48,6.3
Chaney,Bryan,female,Equatorial Guinea,12,2023,IT trainer,2077.66,8.1
Downs,Bradley,female,Algeria,8,2023,IT trainer,2087.65,8.2
Simpson,Juan,female,Algeria,10,2021,IT trainer,1837.32,7.0
Townsend,Aaron,male,Greenland,8,2023,"Therapist, art",1994.17,8.2
Wells,Michael,male,Fiji,3,2020,Press sub,2083.94,5.7
Norris,Ricky,female,Jordan,2,2022,Information systems manager,2133.18,5.0
Hanson,Andrew,male,Algeria,7,2022,IT trainer,1827.25,6.0
Flores,Joshua,male,Fiji,4,2022,IT trainer,2183.19,6.6
Rose,Daniel,male,Equatorial Guinea,12,2021,Location manager,2092.23,5.2
Thornton,Michael,male,Equatorial Guinea,2,2021,Further education lecturer,2071.79,9.6
Bowen,James,female,Fiji,6,2023,Further education lecturer,2058.58,6.8
Schwartz,Daniel,male,Austria,1,2020,IT trainer,1966.34,9.7
Murphy,Brandon,male,Austria,9,2023,Further education lecturer,1996.92,7.3
Hernandez,Douglas,male,Austria,7,2021,Information systems manager,2105.98,9.8
Hammond,Edward,male,Greenland,2,2022,Location manager,1921.24,9.2
Martinez,Joshua,male,Austria,6,2022,"Therapist, art",2098.52,8.9
Solomon,John,male,Jordan,2,2022,Press sub,1969.67,8.4
Jones,Jeffery,male,Equatorial Guinea,1,2022,Location manager,1981.75,9.3
Cruz,Roy,female,Fiji,6,2023,IT trainer,2010.7,5.4
Flynn,Juan,female,Fiji,7,2021,IT trainer,1924.9,8.8
Holland,Derek,male,Algeria,7,2022,Further education lecturer,1814.88,5.5
Ramirez,Samuel,female,Fiji,7,2020,Location manager,1984.27,5.8
Davis,Wesley,female,Equatorial Guinea,5,2020,"Therapist, art",2041.58,5.5
Garcia,Allen,male,Jordan,4,2020,"Therapist, art",2016.47,5.8
Sandoval,Andrew,female,Jordan,6,2023,Location manager,2132.34,8.9
Ortiz,Aaron,male,Greenland,6,2023,Further education lecturer,2007.56,9.0
