last_name,first_name,gender,country,month,year,job,payment,rating
Copeland,Anthony,female,Vanuatu,5,2021,"Conservation officer, nature",1930.61,10.0
Flores,Patrick,female,Oman,7,2020,Equality and diversity officer,2085.42,8.8
Horton,Larry,female,French Polynesia,11,2023,"Psychologist, forensic",1949.43,10.0
Hall,Scott,female,Lesotho,4,2020,Company secretary,1972.78,8.9
Reyes,Bobby,female,Morocco,8,2022,Company secretary,2057.25,8.1
Armstrong,Max,female,Eritrea,3,2021,"Conservation officer, nature",1904.33,9.1
Sanchez,John,female,Lesotho,8,2023,Equality and diversity officer,2054.87,9.5
Martin,Robert,female,Eritrea,7,2022,Horticultural consultant,1902.89,5.9
Hayes,Micheal,female,Turks and Caicos Islands,9,2021,Animator,2028.62,8.8
Wolf,Casey,female,Belgium,7,2022,"Conservation officer, nature",1927.55,6.7
Reyes,Robert,female,Vanuatu,12,2021,"Conservation officer, nature",2001.49,6.5
Fields,Kenneth,female,Turks and Caicos Islands,12,2020,Equality and diversity officer,2010.13,5.0
Bell,Antonio,female,Belgium,1,2023,Animator,1939.55,7.7
Barber,John,female,Vanuatu,4,2020,Company secretary,1991.02,7.1
Taylor,Alec,male,Vanuatu,5,2020,Horticultural consultant,1901.99,8.2
Chan,James,female,Netherlands Antilles,8,2020,"Conservation officer, nature",1918.75,9.6
Gordon,Daniel,female,Eritrea,2,2022,Animator,1895.54,8.9
Hernandez,Christopher,female,Netherlands Antilles,8,2021,Animator,2201.17,8.5
Marquez,Joseph,male,Morocco,8,2022,Animator,2003.85,6.8
Palmer,Brian,female,Morocco,7,2022,"Psychologist, forensic",2024.87,7.8
Melton,Jim,male,Bosnia and Herzegovina,7,2021,Animator,1948.76,5.7
Ward,Javier,female,French Polynesia,7,2020,Animator,2017.62,10.0
Williams,Michael,female,Bosnia and Herzegovina,4,2023,Horticultural consultant,2125.03,5.6
Evans,Bradley,male,Eritrea,2,2023,"Conservation officer, nature",1982.3,5.4
Leach,Jon,female,French Polynesia,7,2022,"Conservation officer, nature",1988.24,7.6
Brown,Scott,male,Morocco,1,2022,Company secretary,1864.25,7.9
Reeves,Brian,female,Lesotho,7,2022,"Psychologist, forensic",1869.5,9.5
Clark,Gregory,female,Bosnia and Herzegovina,6,2021,"Psychologist, forensic",2124.55,8.3
Wright,Tyler,female,Eritrea,6,2023,"Conservation officer, nature",2130.61,7.6
Rodriguez,Joel,female,Belgium,7,2021,Animator,2091.0,9.0
Garner,John,male,French Polynesia,4,2021,Animator,1923.98,10.0
Singleton,Robert,female,French Polynesia,6,2020,Company secretary,2145.9,9.4
Fields,James,female,Belgium,10,2023,Animator,2042.8,6.9
Ball,Vincent,female,Netherlands Antilles,1,2023,Animator,1934.52,6.0
Barry,Michael,female,Lesotho,4,2022,Company secretary,1940.21,5.1
Lopez,Angel,female,Eritrea,1,2022,"Psychologist, forensic",1924.42,6.3
Rivera,Andrew,female,Eritrea,8,2023,"Psychologist, forensic",2234.12,7.6
Chambers,James,female,Oman,4,2020,Equality and diversity officer,1917.41,7.9
Murphy,Daniel,female,Netherlands Antilles,7,2020,"Conservation officer, nature",1932.99,6.8
Edwards,Bryan,female,Belgium,11,2021,"Psychologist, forensic",2182.18,6.7
Brown,Jose,male,Turks and Caicos Islands,9,2023,"Conservation officer, nature",1843.72,10.0
Barber,Philip,female,Turks and Caicos Islands,5,2023,Horticultural consultant,1990.32,8.8
Hanna,Jesus,female,Turks and Caicos Islands,8,2022,Horticultural consultant,1996.17,9.9
Perez,Daniel,female,Eritrea,9,2020,Animator,1979.14,6.1
Rodriguez,Jeremy,female,Lesotho,7,2022,Horticultural consultant,2061.68,9.0
Anderson,Anthony,female,Eritrea,1,2022,Horticultural consultant,1926.36,7.3
Jones,Jonathan,female,Morocco,2,2023,"Psychologist, forensic",2012.72,9.8
Calhoun,Jason,female,Netherlands Antilles,3,2021,"Conservation officer, nature",1752.3,5.8
Hunt,James,female,Lesotho,12,2021,Company secretary,1796.48,7.1
Preston,Joseph,female,Eritrea,3,2022,"Psychologist, forensic",1946.39,5.3
Patterson,Kenneth,male,Lesotho,7,2022,Equality and diversity officer,2079.66,9.8
Baker,Paul,female,Eritrea,12,2021,"Psychologist, forensic",1972.69,5.8
Cunningham,Dylan,male,Netherlands Antilles,5,2022,Company secretary,1935.69,7.3
Hicks,James,male,Bosnia and Herzegovina,8,2020,Animator,2170.25,7.5
Johnson,Jared,male,Eritrea,12,2020,Animator,1931.64,6.8
Gibson,Bill,female,Turks and Caicos Islands,6,2023,"Conservation officer, nature",2007.03,7.3
Simmons,Allen,female,Bosnia and Herzegovina,12,2020,Company secretary,1746.82,9.9
Watson,Joshua,female,Oman,8,2022,Animator,1904.03,9.4
Smith,Mark,male,Morocco,5,2021,Company secretary,2145.19,9.8
Ramsey,Antonio,female,Oman,8,2020,"Psychologist, forensic",1966.18,8.4
Bradley,Michael,female,Eritrea,2,2021,Animator,1984.62,7.4
Hampton,Jeffrey,female,French Polynesia,10,2020,"Conservation officer, nature",2119.53,10.0
Wright,Stephen,male,French Polynesia,12,2020,Company secretary,2057.59,10.0
Figueroa,Jordan,female,Morocco,6,2023,Company secretary,2111.63,9.5
Thompson,Ryan,male,Netherlands Antilles,7,2021,Animator,2080.95,6.0
Gonzales,Michael,female,Netherlands Antilles,8,2023,Equality and diversity officer,2191.59,5.4
Goodman,Bill,female,Morocco,5,2020,Company secretary,2167.89,9.8
Palmer,James,female,Turks and Caicos Islands,10,2023,"Psychologist, forensic",2025.05,9.7
Galloway,Brian,female,Lesotho,11,2021,Company secretary,1924.09,7.9
Nelson,Brian,female,Lesotho,12,2020,"Psychologist, forensic",1911.06,8.5
Johnson,Clayton,male,Eritrea,4,2020,Animator,2002.77,5.7
Robinson,Michael,male,Bosnia and Herzegovina,2,2021,Company secretary,1984.29,6.7
Oconnell,Paul,female,Lesotho,8,2021,Equality and diversity officer,1991.76,7.1
Davis,Clifford,male,Turks and Caicos Islands,1,2021,"Conservation officer, nature",1864.77,9.5
Simon,Spencer,female,Lesotho,5,2020,Horticultural consultant,2173.74,6.5
Mosley,Howard,female,Bosnia and Herzegovina,12,2021,"Psychologist, forensic",2063.93,9.3
Cooper,David,male,Morocco,11,2021,Animator,2062.28,7.0
Wilson,Kyle,female,Turks and Caicos Islands,6,2021,Horticultural consultant,2252.43,7.1
Bell,Brian,female,Lesotho,9,2020,Company secretary,1745.69,9.5
Scott,Ryan,female,Turks and Caicos Islands,8,2020,Horticultural consultant,1965.34,8.4
Zuniga,Garrett,female,Oman,2,2022,"Conservation officer, nature",1853.96,6.6
Sawyer,Damon,female,Oman,5,2022,Animator,2021.69,6.3
Murphy,Kenneth,female,Morocco,8,2022,Equality and diversity officer,1910.96,6.4
Weber,Gary,male,Turks and Caicos Islands,2,2022,Horticultural consultant,2096.07,6.5
Lawrence,Raymond,female,Lesotho,8,2020,"Psychologist, forensic",1966.67,6.9
Ward,Leslie,female,French Polynesia,9,2021,"Conservation officer, nature",2080.73,9.6
Berry,Thomas,male,Oman,8,2022,"Psychologist, forensic",2119.64,8.0
Parsons,Christopher,female,Morocco,6,2022,"Psychologist, forensic",2249.91,9.9
Jones,Alan,male,Morocco,9,2020,"Psychologist, forensic",1976.83,8.7
Wang,Logan,female,Netherlands Antilles,8,2020,"Psychologist, forensic",1923.58,6.9
Lewis,Dylan,female,Bosnia and Herzegovina,6,2020,"Conservation officer, nature",1948.55,7.1
Green,Joshua,female,Oman,4,2022,Company secretary,2029.03,9.5
Spence,Dennis,female,Vanuatu,5,2023,"Psychologist, forensic",1892.04,7.9
Smith,Eric,male,Belgium,7,2021,"Psychologist, forensic",1978.57,9.4
Harris,Timothy,female,Oman,12,2022,"Psychologist, forensic",2028.0,6.9
Sims,Vincent,male,Netherlands Antilles,6,2022,Equality and diversity officer,2077.2,8.7
Callahan,Leon,female,Netherlands Antilles,7,2023,Animator,2239.68,7.2
Carson,James,female,Vanuatu,4,2022,"Conservation officer, nature",2051.54,9.6
Little,Bryan,female,Morocco,5,2023,"Conservation officer, nature",1929.95,6.9
Torres,Alex,male,Netherlands Antilles,12,2020,Company secretary,1944.78,6.2
Fuentes,Danny,female,Bosnia and Herzegovina,11,2021,"Psychologist, forensic",1898.16,8.4
Dunlap,Joshua,male,Oman,8,2022,"Psychologist, forensic",2017.01,5.3
Tucker,Vincent,female,Bosnia and Herzegovina,11,2023,"Conservation officer, nature",2020.72,9.0
Kelly,Dennis,female,Eritrea,3,2020,Company secretary,1957.67,9.1
Haley,Christian,female,Morocco,5,2021,"Psychologist, forensic",1999.8,9.9
Green,Travis,female,Eritrea,7,2020,"Psychologist, forensic",2026.98,8.6
Morales,Jeffrey,female,Turks and Caicos Islands,6,2020,"Conservation officer, nature",1875.05,5.9
Morris,Dylan,male,French Polynesia,5,2022,"Conservation officer, nature",1930.55,8.4
Harris,Blake,female,Lesotho,7,2021,Horticultural consultant,2015.38,7.2
Olsen,Shawn,female,Vanuatu,5,2022,"Psychologist, forensic",1907.88,8.3
Bass,Carlos,female,Lesotho,6,2020,Animator,1898.03,8.7
Poole,John,female,French Polynesia,11,2020,Company secretary,1789.45,9.2
