last_name,first_name,gender,country,month,year,job,payment,rating
Cooper,Matthew,male,Switzerland,4,2022,Immunologist,2074.01,5.0
Garcia,Daniel,female,Micronesia,2,2022,"Nurse, adult",1790.24,9.0
Scott,Nathan,female,Kuwait,2,2022,Museum education officer,1966.24,7.9
Singh,Michael,female,Kuwait,10,2023,"Engineer, building services",2010.2,10.0
Hutchinson,Jason,female,Kuwait,11,2022,Leisure centre manager,2160.55,10.0
Meadows,Robert,female,Micronesia,5,2020,Commissioning editor,1900.7,6.7
Wagner,Justin,male,Switzerland,1,2023,Leisure centre manager,2157.12,7.5
Jackson,John,female,South Georgia and the South Sandwich Islands,9,2021,"Nurse, adult",2041.32,6.9
Good,Todd,male,Kuwait,6,2022,Leisure centre manager,1927.2,7.0
Smith,Eric,female,Micronesia,8,2022,Museum education officer,1957.35,7.3
Johnson,Lee,female,Ukraine,7,2022,Commissioning editor,2054.3,7.8
Coleman,Thomas,female,South Georgia and the South Sandwich Islands,8,2021,"Nurse, adult",2038.5,7.4
Farrell,Brandon,male,Kyrgyz Republic,12,2022,Immunologist,1875.83,8.0
Robinson,Rodney,female,Vietnam,8,2020,"Engineer, building services",1910.61,8.3
Lucas,Alexander,female,Switzerland,8,2022,Museum education officer,2098.18,5.8
Williams,Anthony,male,Micronesia,8,2020,"Nurse, adult",1931.33,7.3
Acosta,Paul,male,Vietnam,4,2022,"Nurse, adult",1857.61,6.4
Jenkins,Lance,female,South Georgia and the South Sandwich Islands,7,2021,Museum education officer,1964.52,5.4
Moran,Justin,female,South Georgia and the South Sandwich Islands,7,2021,"Engineer, building services",2006.81,5.9
Nelson,Jonathan,male,Micronesia,7,2023,Immunologist,2115.46,6.7
Arias,Craig,female,Kyrgyz Republic,8,2021,"Engineer, building services",1949.4,6.1
Chaney,Jacob,female,South Georgia and the South Sandwich Islands,11,2021,Commissioning editor,2142.28,6.1
Rojas,Daniel,male,Kyrgyz Republic,10,2021,"Nurse, adult",2127.14,7.7
Fleming,Nicholas,female,South Georgia and the South Sandwich Islands,9,2023,Immunologist,1835.06,8.8
Clark,Daniel,female,Vanuatu,4,2022,Commissioning editor,2017.03,6.4
