last_name,first_name,gender,country,month,year,job,payment,rating
Anderson,James,female,Bulgaria,7,2023,"Journalist, magazine",1950.96,5.3
Gillespie,Edward,male,Uruguay,2,2022,Arboriculturist,2301.7,9.7
Walker,Adam,female,Liberia,2,2021,Farm manager,1903.14,8.5
Espinoza,Matthew,female,Panama,12,2023,Clinical cytogeneticist,2053.99,9.7
Dougherty,Nathan,male,Belarus,8,2020,Farm manager,1831.59,7.4
Maldonado,Gene,male,French Guiana,12,2023,Farm manager,1951.33,9.1
Steele,Mark,male,Liberia,1,2021,Arboriculturist,2146.12,7.4
Crawford,Joseph,male,Uruguay,7,2020,Arboriculturist,2055.09,6.4
White,Alan,male,Panama,8,2022,"Journalist, magazine",1996.62,7.6
Barnett,John,male,Uruguay,5,2021,Farm manager,2021.77,6.5
Brewer,Andrew,male,Panama,2,2020,"Journalist, magazine",1895.53,8.3
Rodriguez,Taylor,male,Liberia,4,2023,Farm manager,2204.04,5.5
Bryant,Samuel,female,Bulgaria,4,2023,"Journalist, magazine",1983.97,7.2
Long,Donald,female,Liberia,10,2021,Arboriculturist,1978.26,9.2
Hill,Edwin,female,Belarus,12,2020,"Journalist, magazine",1981.55,8.9
Valencia,Michael,female,Uruguay,9,2022,Arboriculturist,2041.53,9.6
Lane,Dale,male,Guinea-Bissau,1,2021,"Journalist, magazine",2189.13,9.3
Fleming,Andrew,female,Uruguay,9,2023,Farm manager,1996.04,5.9
Roberts,Jonathan,male,Liberia,1,2021,Farm manager,2183.17,8.7
Jones,David,male,Uruguay,6,2021,Clinical cytogeneticist,2136.18,8.3
Harrison,Victor,female,Bulgaria,3,2022,Clinical cytogeneticist,1996.64,6.8
Ramsey,Gregory,male,Liberia,6,2022,"Journalist, magazine",2040.64,5.2
Wright,Jack,female,Panama,7,2021,Farm manager,1904.96,9.1
Weber,William,male,Uruguay,11,2022,"Journalist, magazine",1974.31,9.8
Martin,Travis,male,Bulgaria,6,2020,Farm manager,1910.34,6.3
Gomez,Michael,female,Bulgaria,4,2020,"Journalist, magazine",1816.23,7.9
Parker,Brent,female,Panama,4,2020,"Journalist, magazine",1884.32,6.6
Jones,Nicholas,female,Bulgaria,5,2020,"Journalist, magazine",1967.69,9.4
Gonzalez,Charles,female,Mauritius,12,2021,"Journalist, magazine",1946.19,6.6
Ewing,Nathan,female,Panama,7,2022,Clinical cytogeneticist,1975.8,6.7
Williams,Brian,female,Bulgaria,6,2020,"Journalist, magazine",1957.55,7.3
Jackson,Shane,male,French Guiana,10,2023,Clinical cytogeneticist,2044.35,9.1
White,Larry,female,Guinea-Bissau,4,2021,Arboriculturist,1904.26,8.7
Tyler,Mike,female,Uruguay,12,2022,Arboriculturist,2006.28,6.6
