last_name,first_name,gender,country,month,year,job,payment,rating
Garrett,Benjamin,male,Israel,3,2023,Sports therapist,2097.13,10.0
Blair,Jeffrey,male,Thailand,11,2022,Press sub,2042.89,7.3
Barry,William,male,Saint Kitts and Nevis,7,2022,Passenger transport manager,2158.84,5.6
Williams,Shane,male,Indonesia,7,2020,Sports therapist,1988.17,5.1
Santana,Jeffery,male,Burundi,6,2020,Sports therapist,1986.25,9.6
Berger,Adam,male,Equatorial Guinea,6,2020,Information officer,2096.26,7.9
Morris,Marc,male,Indonesia,6,2023,Passenger transport manager,1839.97,5.4
Davenport,Jared,male,Saint Kitts and Nevis,1,2022,Passenger transport manager,1916.35,9.2
Davis,Jonathan,male,Burundi,12,2022,Press sub,2109.68,6.3
Hill,Craig,male,Israel,4,2021,Press sub,2102.95,8.8
Taylor,Jeffrey,male,Burundi,11,2022,Passenger transport manager,2221.01,8.7
Walker,Justin,male,Israel,6,2021,Sports therapist,2059.26,8.2
Leach,Rodney,male,Israel,9,2020,Magazine features editor,1899.4,8.0
George,Scott,female,Burundi,9,2022,Press sub,1971.26,8.3
Klein,Martin,male,Greenland,11,2023,Press sub,2089.66,5.9
Sanford,Edward,male,Burundi,12,2022,Press sub,1727.83,8.6
Schultz,Douglas,male,Indonesia,3,2020,Sports therapist,1913.42,6.2
Bowers,Joseph,male,Nicaragua,10,2021,Sports therapist,1909.32,5.2
Walker,Jonathon,male,Israel,9,2023,Passenger transport manager,1803.13,10.0
Hunter,Michael,male,Saint Kitts and Nevis,6,2021,Information officer,1828.34,8.9
Miller,Matthew,female,Nicaragua,1,2022,Press sub,2120.28,6.3
Hunt,Patrick,male,Israel,7,2022,Press sub,1951.24,9.8
Mcpherson,Timothy,female,Nicaragua,11,2023,Press sub,1904.63,7.7
Dominguez,Joel,male,Burundi,4,2022,Press sub,1841.74,9.2
Fields,Lee,male,Indonesia,7,2022,Passenger transport manager,1963.0,5.5
Patrick,William,male,Saint Kitts and Nevis,10,2022,Information officer,2050.92,7.7
Sandoval,Billy,male,Thailand,9,2021,Magazine features editor,1823.32,8.5
Woods,Kenneth,male,Nicaragua,12,2022,Sports therapist,1952.61,5.5
Johnson,Dwayne,male,Thailand,5,2021,Press sub,1990.54,7.9
Williams,Robert,male,Thailand,4,2023,Sports therapist,1888.83,8.1
Andrews,Kenneth,male,Israel,5,2021,Sports therapist,1873.17,9.7
Cole,Phillip,male,Israel,5,2020,Sports therapist,1948.61,8.9
Robinson,Christopher,male,Saint Kitts and Nevis,5,2023,Information officer,1934.08,9.7
Calhoun,Xavier,male,Burundi,2,2022,Sports therapist,1971.65,7.2
Bailey,Roy,male,Saint Kitts and Nevis,7,2021,Passenger transport manager,1902.7,8.6
Jones,Steven,female,Indonesia,5,2022,Press sub,1920.85,5.4
Lee,Bernard,male,Indonesia,6,2022,Sports therapist,2008.14,7.3
Franklin,Brandon,male,Israel,10,2020,Passenger transport manager,1859.65,9.6
Miller,Nathaniel,female,Israel,5,2023,Sports therapist,2154.42,10.0
Russell,Robert,male,Burundi,8,2021,Information officer,2091.13,8.7
Garcia,Isaac,male,Burundi,8,2020,Magazine features editor,1924.35,7.8
Sullivan,John,male,Israel,12,2022,Sports therapist,2084.09,8.8
Henry,Michael,male,Saint Kitts and Nevis,6,2023,Sports therapist,2121.58,5.6
Martinez,Joshua,male,Israel,2,2021,Passenger transport manager,2073.64,10.0
Taylor,Anthony,male,Israel,1,2023,Information officer,2019.66,10.0
Price,Johnathan,male,Indonesia,12,2023,Magazine features editor,2117.55,9.2
Serrano,Edward,male,Israel,5,2022,Magazine features editor,1945.75,10.0
Baldwin,James,male,Saint Kitts and Nevis,7,2020,Passenger transport manager,2039.26,7.0
Conway,Lance,male,Thailand,7,2023,Sports therapist,2089.15,5.4
Murphy,Lonnie,male,Thailand,1,2023,Press sub,1993.23,9.6
Bautista,Todd,male,Burundi,11,2023,Press sub,1934.72,7.5
Cardenas,David,male,Indonesia,5,2021,Information officer,2072.66,8.9
George,Mark,male,Equatorial Guinea,11,2020,Magazine features editor,1805.78,9.2
Warren,Ryan,male,Burundi,9,2023,Passenger transport manager,2107.61,10.0
Freeman,Matthew,male,Burundi,11,2023,Passenger transport manager,2053.6,5.8
Rodriguez,Stephen,male,Israel,9,2022,Sports therapist,1935.39,9.4
Robinson,Paul,male,Israel,3,2023,Press sub,1981.09,10.0
Fernandez,Steven,male,Equatorial Guinea,12,2023,Press sub,2151.43,7.5
Hansen,Scott,male,Burundi,8,2022,Magazine features editor,2063.06,5.4
Martin,Stuart,male,Thailand,5,2022,Press sub,1888.11,8.3
Norton,Andrew,male,Israel,1,2022,Press sub,2075.05,9.9
Patterson,Hunter,male,Equatorial Guinea,10,2021,Sports therapist,2039.02,9.8
Strong,Mark,female,Thailand,6,2023,Passenger transport manager,2211.76,9.8
Williams,Ryan,male,Israel,5,2022,Magazine features editor,2005.41,7.8
Smith,John,male,Israel,3,2023,Press sub,1940.61,8.2
Mueller,Scott,male,Burundi,4,2023,Sports therapist,1974.3,7.3
Hughes,Joshua,male,Israel,12,2022,Information officer,1912.5,9.5
Lee,Aaron,male,Equatorial Guinea,8,2022,Sports therapist,1994.72,7.1
Graves,Antonio,male,Nicaragua,7,2022,Sports therapist,1925.1,8.0
Garcia,Billy,male,Thailand,3,2023,Sports therapist,2073.36,7.6
Gallegos,James,male,Nicaragua,12,2020,Sports therapist,2133.63,7.7
Miller,Christopher,male,Equatorial Guinea,4,2021,Magazine features editor,2083.91,6.1
Moore,Colin,male,Israel,7,2020,Sports therapist,2019.18,10.0
Harris,William,female,Equatorial Guinea,4,2023,Information officer,2132.95,8.0
Coleman,Blake,male,Israel,10,2022,Passenger transport manager,2128.82,10.0
Wright,John,male,Indonesia,7,2022,Press sub,1966.45,5.3
Rodriguez,Christopher,male,Indonesia,10,2020,Press sub,2053.5,7.5
Lopez,Travis,male,Burundi,3,2020,Magazine features editor,1966.3,8.2
Morgan,Christopher,male,Greenland,7,2022,Press sub,1949.41,5.5
Lynch,Thomas,male,Thailand,11,2023,Passenger transport manager,1800.9,5.0
Smith,Gary,male,Nicaragua,8,2020,Information officer,1982.08,5.8
Bates,Jeremy,male,Thailand,5,2022,Information officer,1970.28,7.5
Ward,Randall,male,Thailand,8,2022,Sports therapist,2008.92,7.7
