last_name,first_name,gender,country,month,year,job,payment,rating
James,Tanner,female,Armenia,12,2022,Analytical chemist,2007.88,5.5
Marshall,Chad,female,Togo,8,2021,Publishing rights manager,1973.11,9.3
Clark,Jerry,female,Togo,3,2022,Publishing rights manager,1977.73,10.0
Holland,David,female,Armenia,3,2022,Mental health nurse,2138.64,6.5
Green,Bradley,male,Austria,3,2023,Publishing rights manager,1927.03,7.5
Evans,Dan,female,New Caledonia,5,2021,Publishing rights manager,2057.87,7.3
Anderson,Joseph,female,Togo,6,2021,Publishing rights manager,2053.56,7.9
Underwood,Jeremy,female,New Caledonia,11,2021,"Designer, blown glass/stained glass",1859.51,6.2
Myers,Paul,female,Togo,6,2023,Mental health nurse,1922.32,8.0
Jones,Christian,female,Austria,5,2020,"Sales professional, IT",2188.69,6.6
Ellis,Andrew,female,Mauritius,2,2022,"Sales professional, IT",2046.37,6.8
Bonilla,Julian,male,New Caledonia,5,2021,Publishing rights manager,1989.92,9.3
Green,Casey,female,Austria,6,2022,"Sales professional, IT",2170.2,6.2
Sims,William,female,Armenia,8,2020,"Designer, blown glass/stained glass",1983.69,7.4
Miller,Dale,female,Mauritius,8,2020,"Designer, blown glass/stained glass",2015.51,9.8
Johnson,Troy,female,New Caledonia,12,2021,"Sales professional, IT",1885.11,6.1
Mccoy,Gabriel,female,Togo,6,2022,"Sales professional, IT",1796.28,9.3
Smith,Zachary,female,Mauritius,7,2020,"Designer, blown glass/stained glass",1831.73,8.6
Rose,Dominic,female,Austria,9,2021,Clothing/textile technologist,1955.41,9.4
Molina,Richard,female,Togo,9,2020,Publishing rights manager,2023.61,8.1
Jackson,Ryan,male,New Caledonia,3,2021,Mental health nurse,2048.92,6.5
Moreno,Dennis,female,Mauritius,9,2020,"Sales professional, IT",2006.06,9.6
Joseph,Wayne,male,Austria,3,2023,"Designer, blown glass/stained glass",2312.54,7.1
Ramirez,Glenn,male,Mauritius,4,2020,"Designer, blown glass/stained glass",1853.72,8.1
Mccall,Michael,female,Mauritius,5,2021,Analytical chemist,1900.18,9.9
Romero,David,female,Togo,3,2020,Mental health nurse,1925.99,7.7
Richmond,Steven,female,Armenia,1,2021,Analytical chemist,1889.97,10.0
Cervantes,Daniel,male,New Caledonia,9,2022,Analytical chemist,2001.61,7.8
Crawford,Benjamin,male,Mauritius,8,2023,"Designer, blown glass/stained glass",2070.52,9.0
Hoover,Michael,female,Mauritius,12,2020,Clothing/textile technologist,1996.9,6.6
Wolf,Michael,female,New Caledonia,7,2022,"Sales professional, IT",1910.7,9.4
Nelson,Aaron,female,New Caledonia,9,2020,Clothing/textile technologist,1944.0,6.7
Phillips,Jerry,female,Togo,11,2020,Clothing/textile technologist,1894.14,8.6
Soto,Bryan,male,Togo,2,2021,"Sales professional, IT",2121.72,10.0
Rivera,Andrew,female,Togo,11,2023,"Sales professional, IT",2078.04,7.1
Perez,Christopher,female,New Caledonia,2,2021,Publishing rights manager,2002.49,6.8
Jensen,Jason,female,Mauritius,7,2021,Publishing rights manager,1918.38,9.3
Wade,Dominic,male,Armenia,9,2020,"Designer, blown glass/stained glass",1903.59,5.6
Gutierrez,Jeffrey,female,Togo,11,2021,Mental health nurse,2003.01,10.0
Clark,Louis,female,Armenia,8,2021,Analytical chemist,1909.19,6.0
Harris,Casey,male,New Caledonia,1,2021,"Designer, blown glass/stained glass",2025.56,6.2
Shelton,Mark,female,Armenia,3,2023,"Designer, blown glass/stained glass",1954.62,8.3
Mitchell,Christopher,female,Armenia,1,2022,Mental health nurse,1967.84,7.4
Mccann,Douglas,female,New Caledonia,4,2021,"Designer, blown glass/stained glass",1920.64,6.3
Jones,David,female,New Caledonia,7,2022,"Designer, blown glass/stained glass",2035.72,8.0
Parker,Brent,male,Mauritius,7,2022,Analytical chemist,1717.72,5.8
Hansen,Jeffrey,female,Mauritius,2,2020,Publishing rights manager,1980.85,8.8
Wright,Michael,female,Armenia,4,2020,Mental health nurse,2023.76,9.8
Rose,Jose,female,New Caledonia,8,2020,Publishing rights manager,1982.22,6.7
Thomas,Chad,male,New Caledonia,2,2022,"Designer, blown glass/stained glass",2057.88,9.9
Medina,Steven,female,Mauritius,1,2021,Analytical chemist,2097.46,9.1
Sullivan,Larry,female,New Caledonia,5,2021,"Sales professional, IT",2099.44,6.9
Beard,Jesus,male,New Caledonia,10,2020,"Designer, blown glass/stained glass",1918.47,9.2
Martin,John,female,Mauritius,3,2021,Publishing rights manager,2128.22,9.2
Lewis,Jordan,male,New Caledonia,8,2020,Publishing rights manager,1959.62,5.6
Crawford,Michael,female,Armenia,10,2021,Publishing rights manager,2010.37,5.2
Brennan,Mark,female,Mauritius,11,2020,Publishing rights manager,2008.51,6.2
Woodard,Craig,female,New Caledonia,7,2023,Publishing rights manager,1892.78,6.0
Castaneda,William,female,Armenia,6,2022,Publishing rights manager,1975.34,6.9
Shannon,Malik,male,Armenia,7,2022,"Designer, blown glass/stained glass",1954.29,9.8
Marsh,Michael,female,Austria,5,2021,Clothing/textile technologist,1943.37,5.1
Frazier,David,female,Armenia,4,2021,Publishing rights manager,1965.85,7.2
Cooper,Jose,female,Mauritius,5,2021,"Sales professional, IT",2186.09,9.3
Nichols,Reginald,female,Togo,4,2021,"Sales professional, IT",1936.38,7.8
Meyer,Brian,female,Mauritius,8,2023,Publishing rights manager,1928.25,8.4
Martinez,Richard,female,New Caledonia,11,2021,Clothing/textile technologist,1914.53,7.5
Cook,Robert,female,Mauritius,8,2020,"Sales professional, IT",1898.11,6.1
Simmons,Evan,male,Togo,12,2021,"Designer, blown glass/stained glass",2004.77,7.4
Christian,Brian,female,Mauritius,11,2021,Mental health nurse,2058.61,8.0
Brennan,Gregory,female,Togo,8,2023,"Sales professional, IT",1984.97,8.3
Brown,Richard,female,Armenia,2,2023,Analytical chemist,2214.26,5.6
Washington,Shaun,female,New Caledonia,7,2021,Analytical chemist,1963.9,7.9
Short,Bradley,female,Austria,12,2020,"Designer, blown glass/stained glass",2218.97,7.8
Singleton,Manuel,female,Austria,5,2020,"Sales professional, IT",1994.92,6.4
Harris,Spencer,female,Togo,3,2020,Analytical chemist,1977.71,7.9
Chapman,Brandon,female,New Caledonia,2,2022,Clothing/textile technologist,2057.65,8.1
Bailey,Richard,female,Mauritius,5,2022,Clothing/textile technologist,1931.62,9.3
Barnes,Michael,female,New Caledonia,8,2021,Publishing rights manager,2017.69,8.7
