last_name,first_name,gender,country,month,year,job,payment,rating
Warner,David,female,Hungary,11,2022,Associate Professor,1858.17,8.0
Rodriguez,Jeffrey,female,Mongolia,7,2020,Associate Professor,2028.93,7.1
Norton,Daniel,male,Togo,3,2020,Associate Professor,2074.31,6.7
Stein,Dustin,female,United States of America,6,2020,"Scientist, physiological",2025.28,10.0
Walls,Brian,female,Mongolia,12,2020,Information officer,1905.25,7.4
Garcia,Christopher,male,Mongolia,6,2020,Associate Professor,2108.15,5.1
Herrera,Tracy,female,Kyrgyz Republic,3,2020,Ship broker,1976.3,7.5
Spencer,Brian,female,Togo,12,2022,Information officer,2094.44,8.4
Harris,Joseph,male,Mongolia,3,2020,Information officer,2190.46,9.8
Martinez,Joshua,female,Togo,6,2023,Information officer,2252.2,6.7
Rivera,Michael,female,Guyana,8,2022,"Scientist, physiological",2053.59,7.1
Chang,Nicholas,female,Greenland,7,2023,Ship broker,2081.39,5.7
House,Michael,female,Hungary,2,2021,Ship broker,1958.81,9.7
Fisher,Johnny,female,Greenland,3,2021,"Scientist, physiological",1901.03,9.2
Green,Andrew,female,Kyrgyz Republic,7,2020,Information officer,2040.1,8.4
Reed,Jeffrey,female,Cote d'Ivoire,9,2020,Ship broker,1929.28,5.5
Gonzalez,Michael,male,Guyana,3,2020,Information officer,2088.93,6.1
Martinez,Jason,female,Mongolia,5,2023,"Scientist, physiological",2064.4,6.5
Perez,Christopher,male,United States of America,11,2021,Associate Professor,2066.79,10.0
Brooks,Kevin,female,United States of America,11,2023,"Scientist, physiological",1890.64,9.1
Booker,Edward,female,Greenland,8,2021,Information officer,1972.76,9.8
Medina,Alexander,female,Lebanon,7,2020,"Scientist, physiological",2037.07,6.6
Roman,Joel,male,Greenland,7,2023,Associate Professor,1846.51,8.8
Cooper,Michael,female,Cote d'Ivoire,11,2023,"Scientist, physiological",2016.58,7.9
Thompson,Eduardo,female,Togo,4,2022,Associate Professor,1986.7,8.9
Anderson,Thomas,female,Guyana,3,2022,Ship broker,2045.08,5.3
Houston,Hector,male,Cote d'Ivoire,5,2022,Associate Professor,1967.47,5.7
Dixon,Kyle,female,Cote d'Ivoire,7,2021,"Scientist, physiological",2030.17,9.4
Garcia,Daniel,female,Guyana,4,2022,Information officer,2070.55,9.5
Cox,Steven,male,Hungary,5,2023,Ship broker,1983.49,6.6
Bowman,Marcus,female,Mongolia,2,2020,Information officer,2245.61,7.7
Moon,Matthew,female,Kyrgyz Republic,5,2023,Ship broker,1970.04,9.1
Malone,Philip,male,Mongolia,5,2021,Ship broker,2137.46,7.9
Martin,Arthur,female,United States of America,6,2020,Ship broker,2213.99,10.0
Luna,Tyler,male,Greenland,10,2020,Associate Professor,1881.95,7.8
Cantu,Antonio,female,Greenland,2,2022,Ship broker,2039.99,6.8
Gaines,William,female,United States of America,11,2022,Associate Professor,1940.74,10.0
Gutierrez,Randy,female,Togo,10,2022,Information officer,1980.86,7.2
Soto,Scott,female,Kyrgyz Republic,1,2021,Associate Professor,1960.4,6.0
Adams,Nicholas,female,Lebanon,1,2023,Information officer,2066.41,7.7
Watson,William,female,Lebanon,10,2022,Ship broker,2119.17,9.6
Santiago,Adrian,female,Hungary,3,2021,Associate Professor,1877.91,6.3
Gamble,Todd,female,Mongolia,4,2023,Associate Professor,2117.8,9.2
Young,Steven,female,Togo,7,2020,"Scientist, physiological",1939.38,8.3
Nelson,John,male,United States of America,5,2023,Information officer,2039.01,9.4
Pearson,William,male,Kyrgyz Republic,3,2021,Associate Professor,2008.2,8.5
Neal,Sean,male,Lebanon,10,2020,"Scientist, physiological",1851.49,9.7
Blankenship,Richard,female,Lebanon,8,2023,Information officer,2117.51,8.2
Cruz,Joshua,female,Guyana,1,2023,Information officer,1993.27,8.9
Obrien,Derrick,female,Hungary,7,2021,Information officer,2073.48,5.9
Petersen,Roberto,female,Mongolia,12,2023,"Scientist, physiological",2049.59,9.3
Sellers,Robert,male,Greenland,4,2020,Associate Professor,1828.3,8.1
Lang,Jonathan,female,Hungary,2,2023,Ship broker,2154.73,8.9
Adams,Zachary,female,Guyana,11,2022,Ship broker,1905.88,5.0
Roberts,Peter,female,Guyana,7,2020,Ship broker,2047.14,9.4
Watkins,Jack,male,Kyrgyz Republic,6,2020,Ship broker,1970.09,7.7
Terry,John,female,Lebanon,12,2021,Information officer,1989.4,5.5
Bishop,Joseph,female,Cote d'Ivoire,1,2022,Associate Professor,1968.17,6.7
Hernandez,Henry,male,United States of America,8,2022,Information officer,1976.1,10.0
Spencer,Thomas,male,Cote d'Ivoire,7,2021,Ship broker,1933.88,5.6
Brown,Paul,female,Guyana,5,2021,Information officer,1924.75,9.3
Gay,Duane,male,Greenland,6,2022,Information officer,1892.16,5.9
Mcintyre,William,male,Lebanon,2,2020,Information officer,2173.27,6.8
Rich,David,female,Kyrgyz Republic,4,2021,Ship broker,1980.91,5.6
Smith,Nicholas,male,Guyana,11,2021,Information officer,2044.68,9.2
Kim,Nicholas,male,Cote d'Ivoire,6,2023,Associate Professor,1925.44,7.1
Thomas,Taylor,male,Mongolia,7,2021,Information officer,2059.03,5.7
Wilson,Thomas,female,Cote d'Ivoire,12,2023,"Scientist, physiological",2040.56,6.6
Richmond,Justin,female,Cote d'Ivoire,10,2022,Associate Professor,2065.43,9.9
Leonard,William,female,Mongolia,5,2021,Ship broker,1911.61,9.0
Barnes,Jason,female,Cote d'Ivoire,3,2023,Information officer,1941.17,9.5
Carson,Jorge,female,Greenland,7,2020,"Scientist, physiological",1876.64,7.1
Obrien,Isaac,female,Mongolia,6,2023,"Scientist, physiological",1968.82,5.5
Sanchez,Jimmy,male,Kyrgyz Republic,5,2023,"Scientist, physiological",1861.3,6.2
Thompson,Samuel,female,Cote d'Ivoire,9,2021,Associate Professor,1921.71,8.0
Smith,Kyle,female,Cote d'Ivoire,7,2022,Information officer,2214.17,6.5
Yoder,Michael,male,Togo,2,2020,Information officer,2198.89,9.2
Thomas,Lonnie,female,Guyana,3,2022,Associate Professor,2048.0,8.9
Best,Charles,male,Kyrgyz Republic,11,2020,"Scientist, physiological",1971.67,7.0
Stephens,Michael,male,Lebanon,2,2022,Associate Professor,1981.34,6.3
Patel,James,female,United States of America,3,2021,Information officer,1986.3,7.9
Wright,Alex,female,Hungary,4,2023,Ship broker,1867.87,5.1
Nelson,Billy,male,United States of America,1,2021,Information officer,2057.56,10.0
Crawford,Richard,female,Togo,3,2022,Ship broker,2111.58,8.0
Sims,Randy,male,United States of America,4,2022,Associate Professor,1873.2,9.3
Rodriguez,Patrick,female,Greenland,11,2022,"Scientist, physiological",1911.11,7.7
Williamson,Derek,male,United States of America,1,2020,Associate Professor,1958.04,9.4
Hill,John,female,Greenland,1,2023,Associate Professor,1944.73,7.0
Morris,Brian,male,Hungary,5,2023,"Scientist, physiological",2146.98,5.6
Daniels,Christopher,female,Hungary,7,2023,Information officer,2045.39,7.7
Hunt,Jason,female,United States of America,9,2023,Information officer,1914.23,8.7
Nguyen,Anthony,female,Greenland,5,2020,Associate Professor,2085.76,6.3
Wheeler,Brandon,female,Kyrgyz Republic,10,2023,Associate Professor,1917.89,5.3
Berger,Jonathan,female,Guyana,10,2023,Associate Professor,2030.21,9.6
Johnston,Robert,female,Greenland,7,2020,Associate Professor,2065.53,8.5
Hooper,Jesse,female,Cote d'Ivoire,12,2020,Associate Professor,1938.01,8.2
Vance,Kevin,female,Cote d'Ivoire,12,2021,Information officer,2104.77,8.0
Johnson,John,female,Greenland,8,2021,Associate Professor,2000.52,6.6
Perez,Jonathan,female,United States of America,8,2023,Ship broker,2014.53,8.4
Cook,Joseph,female,Hungary,12,2023,Associate Professor,2103.93,7.5
Bennett,John,male,Greenland,5,2021,Information officer,2092.5,9.4
Richardson,Bradley,female,Guyana,3,2022,Associate Professor,2072.19,7.9
Sims,Anthony,female,Guyana,10,2022,Associate Professor,1942.68,7.5
Larsen,Jimmy,female,United States of America,7,2021,Information officer,1719.1,8.9
Smith,Garrett,male,Togo,7,2020,Ship broker,1993.0,10.0
Suarez,John,female,Cote d'Ivoire,11,2020,Associate Professor,2002.5,10.0
Bradley,Jeffery,male,Mongolia,5,2022,Associate Professor,2087.2,9.0
Jones,Bob,female,Cote d'Ivoire,11,2020,Associate Professor,1882.91,6.2
Walsh,Robert,male,Cote d'Ivoire,8,2022,"Scientist, physiological",1849.17,5.8
Cunningham,David,female,Kyrgyz Republic,8,2021,Ship broker,1852.18,7.3
Hartman,James,female,Greenland,11,2021,Ship broker,2154.34,7.5
Stephens,Joseph,female,Guyana,7,2020,"Scientist, physiological",2008.78,8.2
Williams,Shawn,female,Cote d'Ivoire,4,2023,Associate Professor,1994.4,7.0
