last_name,first_name,gender,country,month,year,job,payment,rating
Olson,Brandon,male,United Kingdom,12,2021,Heritage manager,1908.55,5.0
Williams,Jason,female,Luxembourg,7,2023,Hydrogeologist,2058.42,8.8
Stevenson,Mario,male,Western Sahara,8,2022,Television/film/video producer,2001.32,10.0
Coffey,Jonathan,male,Luxembourg,1,2023,Hydrogeologist,2005.64,9.9
Perez,David,male,Philippines,2,2022,Heritage manager,1931.45,7.5
Holmes,Mark,male,Nigeria,7,2023,Heritage manager,2020.05,5.3
Taylor,Steven,male,Philippines,8,2020,Television/film/video producer,1868.9,9.9
Baker,Benjamin,male,Philippines,12,2021,Heritage manager,2072.37,5.0
Lopez,Kenneth,male,Sri Lanka,10,2022,Television/film/video producer,1899.67,8.4
Sawyer,Mark,male,Luxembourg,5,2021,Heritage manager,2090.05,8.5
Ramirez,Benjamin,male,Philippines,12,2020,Field seismologist,2142.0,8.7
Kent,Paul,male,Sri Lanka,9,2021,Television/film/video producer,2065.93,6.9
Smith,Bryan,male,United Kingdom,8,2021,Field seismologist,1964.15,8.3
Huff,Sean,female,Sri Lanka,2,2021,Television/film/video producer,2091.95,6.6
Andrade,Brian,female,Luxembourg,6,2023,Field seismologist,2038.93,5.6
Murphy,Jerry,male,Nigeria,11,2023,Hydrogeologist,2060.07,5.7
Smith,Louis,female,Nigeria,8,2020,Barista,2087.94,8.6
Carlson,Jeffrey,male,United Kingdom,8,2023,Heritage manager,2196.14,9.5
Carter,Richard,male,Philippines,10,2021,Hydrogeologist,2113.71,6.3
Hoffman,Eric,male,United Kingdom,9,2022,Hydrogeologist,2103.16,5.9
Davis,Benjamin,male,Nigeria,10,2021,Heritage manager,1756.47,7.1
Martin,Louis,male,Sri Lanka,6,2020,Land/geomatics surveyor,2016.2,9.3
Page,Kevin,male,Moldova,3,2022,Heritage manager,2104.98,8.1
Wagner,David,male,Jordan,11,2022,Television/film/video producer,1897.06,8.5
Phillips,Kyle,male,Philippines,5,2020,Barista,1972.72,5.3
Raymond,Charles,female,Nigeria,9,2022,Heritage manager,2158.97,7.7
Padilla,Shawn,male,Philippines,7,2022,Television/film/video producer,2004.53,9.5
Jones,Logan,male,Western Sahara,2,2023,Hydrogeologist,1912.51,8.7
Johnson,Ronald,male,Bahamas,3,2020,Television/film/video producer,2084.13,6.2
Monroe,Stephen,male,Nigeria,2,2021,Heritage manager,2139.05,8.7
Webb,Robert,male,United Kingdom,11,2020,Field seismologist,1986.36,7.7
White,Gary,male,Nigeria,12,2021,Barista,1873.84,7.4
Davis,Christian,female,Western Sahara,8,2020,Barista,1938.44,10.0
Jackson,Ricardo,female,Moldova,9,2021,Barista,2017.75,6.1
Wood,Anthony,male,Western Sahara,1,2021,Hydrogeologist,1946.86,10.0
Lopez,Alexander,male,United Kingdom,5,2021,Heritage manager,2005.31,5.1
Cortez,Jeff,female,Sri Lanka,6,2021,Heritage manager,2061.66,5.6
Smith,John,male,Philippines,5,2022,Barista,1969.53,6.3
Johnson,Michael,male,Jordan,12,2020,Television/film/video producer,2084.28,7.3
Williams,Stephen,female,Bahamas,7,2022,Field seismologist,2106.7,9.9
Smith,Brian,male,Sri Lanka,5,2021,Field seismologist,2081.01,5.6
Thornton,Vincent,female,Luxembourg,8,2021,Heritage manager,1961.47,5.4
Wilson,Adam,female,United Kingdom,7,2020,Heritage manager,1904.13,8.2
Romero,Lawrence,female,Moldova,11,2022,Television/film/video producer,2048.14,9.9
Kent,Alex,male,Bahamas,2,2022,Heritage manager,1916.34,8.1
Campbell,Scott,male,Sri Lanka,9,2022,Barista,2102.6,8.7
Smith,Charles,male,Luxembourg,7,2022,Barista,2190.21,5.0
Gordon,David,male,Luxembourg,7,2023,Barista,1891.37,5.1
Grimes,Jeffrey,male,Jordan,3,2023,Barista,2162.45,6.2
Hubbard,Eric,male,Western Sahara,8,2022,Television/film/video producer,2015.31,7.2
Green,Scott,male,Western Sahara,5,2021,Television/film/video producer,1896.28,8.7
Oneal,Corey,male,Luxembourg,8,2022,Hydrogeologist,2036.3,9.2
Bowen,Darryl,male,Sri Lanka,7,2022,Television/film/video producer,1901.38,7.4
Hamilton,Dennis,male,Jordan,2,2021,Television/film/video producer,2098.87,5.7
Hamilton,Timothy,male,Sri Lanka,5,2023,Television/film/video producer,1808.64,7.4
Scott,Kenneth,female,Bahamas,11,2023,Heritage manager,2127.11,6.9
Grant,Daniel,male,Bahamas,11,2021,Field seismologist,1893.45,6.3
Williams,Stephen,male,Moldova,2,2021,Field seismologist,1830.47,9.8
Jones,Colton,male,Sri Lanka,6,2021,Barista,2145.25,7.6
Valenzuela,Michael,male,Western Sahara,12,2021,Field seismologist,1903.38,9.3
Wilson,Danny,male,Sri Lanka,8,2020,Heritage manager,2097.67,8.1
Gutierrez,Kyle,male,Jordan,2,2022,Barista,2022.42,6.2
Smith,Robert,male,United Kingdom,6,2021,Barista,1896.99,5.4
Gibson,Bryan,female,Bahamas,3,2021,Heritage manager,2152.91,9.0
Ray,Brian,male,Jordan,11,2022,Field seismologist,1933.44,7.7
Schneider,David,female,Luxembourg,3,2022,Heritage manager,1932.65,8.3
Hill,John,male,Philippines,8,2022,Heritage manager,1992.03,8.0
Hernandez,Gabriel,male,Sri Lanka,7,2020,Television/film/video producer,1890.9,8.1
Fernandez,Jason,female,Luxembourg,8,2022,Barista,2063.63,5.7
Santos,Timothy,male,Philippines,8,2023,Hydrogeologist,2061.32,5.9
Allison,Thomas,male,Nigeria,10,2021,Field seismologist,2197.42,7.3
Petersen,James,male,Bahamas,5,2022,Heritage manager,1986.39,7.8
Day,Timothy,female,Nigeria,1,2022,Land/geomatics surveyor,1957.96,5.8
Roberson,Justin,male,Sri Lanka,6,2020,Television/film/video producer,1987.57,5.6
Figueroa,Patrick,male,Sri Lanka,5,2022,Hydrogeologist,1876.83,6.5
West,Jason,male,Western Sahara,8,2020,Field seismologist,1963.7,10.0
Weber,Stephen,male,Nigeria,11,2023,Field seismologist,1716.7,9.1
Lee,Daniel,male,Bahamas,4,2023,Barista,2024.09,5.9
Walker,Zachary,female,Moldova,5,2022,Land/geomatics surveyor,2108.74,6.7
Hernandez,Tim,male,Sri Lanka,1,2023,Television/film/video producer,1961.17,10.0
Lyons,Chad,male,Moldova,2,2021,Land/geomatics surveyor,2177.19,9.3
Vaughn,James,female,Sri Lanka,3,2021,Field seismologist,1864.65,8.2
Lopez,Christopher,male,Philippines,7,2022,Television/film/video producer,1885.29,9.9
Wilson,Justin,male,United Kingdom,11,2022,Barista,2048.41,9.3
Johnson,Jacob,male,Bahamas,12,2023,Field seismologist,1820.67,8.2
Douglas,Ryan,male,United Kingdom,7,2023,Barista,1980.37,6.8
Ramirez,Thomas,male,Moldova,2,2021,Television/film/video producer,2097.98,6.6
Smith,Thomas,male,Nigeria,10,2020,Land/geomatics surveyor,1827.39,5.5
Dougherty,William,male,Western Sahara,8,2021,Barista,2069.55,7.2
Porter,Christopher,male,Western Sahara,3,2022,Heritage manager,2006.71,7.1
Moore,Jimmy,male,Sri Lanka,6,2020,Hydrogeologist,2027.68,9.3
Barron,Jaime,male,Sri Lanka,3,2022,Heritage manager,1923.33,6.0
Patel,Jason,male,Moldova,7,2021,Heritage manager,1895.07,7.1
Greene,David,male,Moldova,7,2020,Television/film/video producer,2192.21,9.6
Roman,Daniel,female,Luxembourg,2,2023,Hydrogeologist,2094.55,9.3
Cross,Louis,male,Sri Lanka,2,2022,Field seismologist,1847.17,7.2
Sherman,David,male,Western Sahara,5,2021,Hydrogeologist,1991.33,10.0
Weaver,Oscar,male,Jordan,4,2020,Television/film/video producer,1962.03,10.0
Browning,Joel,male,Western Sahara,12,2021,Television/film/video producer,1957.14,7.8
Smith,Justin,male,Bahamas,4,2020,Land/geomatics surveyor,2065.9,6.4
