last_name,first_name,gender,country,month,year,job,payment,rating
Lee,Joseph,female,Korea,6,2023,Race relations officer,2006.94,5.6
Green,George,female,Swaziland,8,2023,Sports therapist,2091.58,5.8
Turner,Jamie,female,France,8,2022,Rural practice surveyor,1955.42,10.0
Murphy,George,male,Cook Islands,5,2023,Race relations officer,2047.02,7.0
Freeman,Zachary,male,Mauritania,6,2022,Rural practice surveyor,2030.55,7.4
Armstrong,Luke,female,France,2,2020,Health and safety inspector,1808.57,8.9
Brown,Logan,female,France,12,2021,Rural practice surveyor,1970.64,7.7
Moore,Daniel,male,Korea,9,2022,Race relations officer,2113.2,6.1
Sanders,Brian,female,Swaziland,8,2023,Sports therapist,2017.39,5.9
Gaines,Terry,female,Cocos (Keeling) Islands,3,2023,Health and safety inspector,1941.84,6.9
Harvey,Luis,male,Korea,3,2020,Rural practice surveyor,1944.54,8.5
Nichols,David,female,Solomon Islands,10,2021,Health and safety inspector,2003.38,5.2
Hanson,Kevin,female,Mauritania,9,2023,Race relations officer,1924.6,6.6
Cowan,Timothy,female,Algeria,4,2020,Race relations officer,2019.63,5.5
Marks,Robert,female,Cook Islands,8,2020,Health and safety inspector,2054.54,8.6
Boyer,Joseph,female,Sudan,10,2023,Sports therapist,2123.84,6.7
Johnson,Marc,female,Korea,4,2020,Race relations officer,2058.25,8.9
Jackson,Christopher,female,Mauritania,6,2022,Rural practice surveyor,1881.67,5.4
Blanchard,Joseph,female,Mauritania,9,2022,Race relations officer,1940.25,5.8
Warren,Bobby,female,Cocos (Keeling) Islands,8,2020,Health and safety inspector,1906.34,7.5
Hardin,Jason,male,Cocos (Keeling) Islands,7,2023,Race relations officer,2096.0,8.4
Clark,Nicholas,female,Cook Islands,12,2021,Race relations officer,1862.88,6.9
Blevins,Edward,female,Cook Islands,12,2021,Rural practice surveyor,2241.55,8.3
King,Patrick,male,Swaziland,12,2021,Rural practice surveyor,1945.86,6.2
Ewing,Nathan,female,Swaziland,2,2023,Sports therapist,2036.5,9.6
Gonzales,Matthew,female,Swaziland,5,2023,Sports therapist,1837.68,5.7
Hart,William,female,Cocos (Keeling) Islands,12,2022,Race relations officer,1983.38,5.3
Yoder,Keith,female,Mauritania,6,2020,Sports therapist,2056.43,6.6
Taylor,William,female,Solomon Islands,12,2022,Rural practice surveyor,2093.49,5.0
Rojas,Richard,female,Korea,11,2020,Race relations officer,2100.39,7.2
Anderson,Jesse,female,Swaziland,9,2023,Health and safety inspector,1997.99,8.3
Walls,Jeffrey,male,Swaziland,6,2020,Race relations officer,1875.57,9.9
Shea,Brandon,male,Cocos (Keeling) Islands,7,2020,Health and safety inspector,2113.45,7.6
Yang,James,female,Algeria,10,2021,"Nurse, learning disability",2091.8,5.8
Orr,Brian,female,Korea,12,2021,Rural practice surveyor,1964.03,5.4
Valentine,Ryan,male,Cook Islands,12,2020,Health and safety inspector,1829.22,7.9
