last_name,first_name,gender,country,month,year,job,payment,rating
Wagner,Kevin,male,Libyan Arab Jamahiriya,9,2021,Neurosurgeon,1913.04,8.9
Parsons,Christopher,male,Iraq,7,2023,Commissioning editor,2041.45,10.0
Lee,Malik,male,Ghana,8,2020,"Designer, fashion/clothing",1841.83,5.4
Schmidt,Charles,male,Gabon,6,2021,Clinical biochemist,1879.76,6.6
Franklin,William,female,Niue,9,2022,Commissioning editor,1790.02,8.5
Peters,Adam,male,Netherlands Antilles,8,2021,Clinical biochemist,1988.44,7.5
Burns,Howard,male,Gabon,11,2022,Neurosurgeon,1897.74,9.8
Ramirez,Raymond,male,Niue,7,2021,"Designer, fashion/clothing",1944.75,5.8
Espinoza,Charles,male,Gabon,9,2021,Neurosurgeon,1936.42,8.1
Delacruz,Matthew,female,Jordan,5,2023,Neurosurgeon,2047.63,5.3
Chavez,Joshua,male,Heard Island and McDonald Islands,10,2022,"Designer, fashion/clothing",1830.52,7.1
Mcdaniel,Patrick,male,Ghana,12,2023,"Engineer, land",2069.66,7.9
Wheeler,Maurice,male,Uzbekistan,2,2020,"Designer, fashion/clothing",1983.39,7.1
Dodson,Nicholas,male,Uzbekistan,2,2022,Commissioning editor,1940.86,8.4
Jordan,Derrick,female,Iraq,6,2022,Commissioning editor,1929.95,7.7
Clark,Jon,male,Ghana,8,2022,"Designer, fashion/clothing",1839.52,9.4
Wallace,Martin,male,Niue,10,2022,Pathologist,1961.33,9.2
Taylor,Logan,female,Heard Island and McDonald Islands,11,2021,Neurosurgeon,2007.89,9.0
Mason,David,female,Libyan Arab Jamahiriya,1,2023,Commissioning editor,1964.37,9.5
Allen,Adam,male,Gabon,11,2021,Pathologist,1946.61,7.2
Robinson,Curtis,male,Ghana,7,2023,Pathologist,2088.03,6.5
Medina,Timothy,male,Heard Island and McDonald Islands,7,2021,Commissioning editor,2211.74,5.5
Chaney,Paul,male,Ghana,6,2022,Commissioning editor,2047.58,7.8
Roy,Jeffery,male,Heard Island and McDonald Islands,8,2020,Neurosurgeon,2071.78,5.9
Sims,Alexander,male,Jordan,4,2022,Pathologist,2216.72,6.7
Lewis,Brian,male,Ghana,6,2023,Neurosurgeon,2133.4,5.1
Davis,Donald,male,Netherlands Antilles,12,2020,Commissioning editor,1950.67,6.4
Snyder,Anthony,male,Heard Island and McDonald Islands,5,2023,Neurosurgeon,1925.85,8.2
Brown,Jose,female,Ghana,3,2020,Commissioning editor,1886.35,6.1
Benjamin,Steven,male,Niue,8,2020,Pathologist,1982.15,7.4
Porter,Zachary,male,Netherlands Antilles,6,2020,Neurosurgeon,1819.66,8.3
Cox,Kevin,male,Libyan Arab Jamahiriya,7,2021,Neurosurgeon,2182.9,9.1
Hanson,Jack,male,Ghana,6,2023,Neurosurgeon,2130.45,7.2
Wade,David,male,Jordan,11,2020,Clinical biochemist,2107.38,8.6
Kerr,Robert,male,Niue,7,2020,"Designer, fashion/clothing",1911.55,5.8
Singh,Jeffery,female,Iraq,12,2022,"Designer, fashion/clothing",1844.17,8.0
Myers,Juan,male,Gabon,11,2020,Pathologist,2068.78,6.1
Murray,Ryan,female,Libyan Arab Jamahiriya,3,2020,Neurosurgeon,2041.47,7.5
Young,Michael,male,Netherlands Antilles,6,2021,Commissioning editor,1953.24,7.1
Griffin,Kevin,male,Ghana,6,2023,Pathologist,2002.9,8.1
Atkinson,Robert,male,Ghana,3,2021,"Designer, fashion/clothing",2178.78,6.8
Howell,Christopher,female,Gabon,11,2022,"Designer, fashion/clothing",1967.32,8.3
Joseph,Luis,female,Heard Island and McDonald Islands,5,2021,Neurosurgeon,2173.45,8.8
Hughes,Jerry,male,Jordan,5,2023,Neurosurgeon,2058.55,6.2
Sparks,Willie,male,Libyan Arab Jamahiriya,11,2023,Clinical biochemist,1938.21,7.9
Parker,Benjamin,male,Gabon,6,2023,Clinical biochemist,2064.97,8.7
Aguilar,Michael,male,Niue,10,2023,"Engineer, land",1882.03,7.0
Morales,Andrew,male,Ghana,1,2021,"Designer, fashion/clothing",2062.86,9.1
Howard,Gregory,male,Gabon,12,2021,"Engineer, land",1972.89,7.9
Harrington,Christopher,male,Libyan Arab Jamahiriya,5,2023,Pathologist,1873.81,9.5
Jones,Daniel,male,Netherlands Antilles,2,2021,"Engineer, land",2033.02,5.7
Parker,Eugene,male,Iraq,12,2020,Neurosurgeon,2081.77,10.0
Barton,Jason,male,Netherlands Antilles,8,2022,Pathologist,2063.62,9.2
Obrien,Ernest,male,Ghana,5,2020,Pathologist,1956.77,9.1
Martin,Jonathan,male,Ghana,10,2023,Neurosurgeon,1872.0,5.0
Barnes,Keith,female,Iraq,9,2023,Clinical biochemist,1969.52,10.0
Murphy,Brian,male,Uzbekistan,7,2022,Pathologist,2030.22,9.8
Sullivan,Michael,male,Netherlands Antilles,12,2023,Commissioning editor,2071.21,5.3
Williams,Mason,male,Ghana,11,2023,Clinical biochemist,2150.23,8.4
Frank,Brian,male,Jordan,1,2023,Commissioning editor,2098.75,7.8
Harrington,Andre,male,Jordan,3,2020,"Designer, fashion/clothing",1717.83,9.8
Garcia,Luke,female,Gabon,8,2020,"Designer, fashion/clothing",2009.58,5.8
Meza,Joshua,male,Niue,7,2021,Commissioning editor,1974.36,7.6
Adams,Garrett,male,Iraq,3,2022,"Engineer, land",1955.64,8.5
Nichols,Michael,female,Libyan Arab Jamahiriya,8,2021,"Designer, fashion/clothing",1810.92,7.8
Moss,Christopher,male,Netherlands Antilles,4,2022,"Designer, fashion/clothing",1968.71,8.8
Rios,Steven,male,Netherlands Antilles,7,2022,"Designer, fashion/clothing",1966.48,5.9
Davidson,Tommy,male,Libyan Arab Jamahiriya,9,2023,Neurosurgeon,1896.07,6.3
Galloway,Andrew,male,Ghana,2,2022,Neurosurgeon,2051.28,7.2
Young,Jose,male,Heard Island and McDonald Islands,5,2022,"Engineer, land",1883.68,9.0
Williams,John,male,Libyan Arab Jamahiriya,8,2022,Neurosurgeon,2219.26,7.0
Santos,Matthew,male,Jordan,10,2021,Commissioning editor,1940.9,9.1
Smith,Scott,male,Niue,11,2020,"Designer, fashion/clothing",2024.51,6.7
Bailey,Walter,male,Libyan Arab Jamahiriya,6,2023,"Designer, fashion/clothing",1915.49,9.9
Harris,Jonathan,male,Heard Island and McDonald Islands,6,2020,Commissioning editor,2174.0,9.6
Ford,Xavier,male,Ghana,6,2022,Commissioning editor,1945.4,7.0
Wolfe,Joshua,female,Gabon,7,2023,"Designer, fashion/clothing",1728.35,6.0
Barr,Daniel,male,Netherlands Antilles,5,2022,"Designer, fashion/clothing",2174.11,6.2
Rice,David,female,Netherlands Antilles,12,2021,"Designer, fashion/clothing",2151.77,9.3
Rojas,Jeffrey,male,Heard Island and McDonald Islands,5,2020,Pathologist,1854.33,8.5
Freeman,Zachary,male,Gabon,1,2021,Commissioning editor,2013.64,8.7
Gomez,James,female,Netherlands Antilles,4,2022,Commissioning editor,1865.25,6.6
White,Mario,male,Iraq,11,2020,"Designer, fashion/clothing",1852.09,9.1
Ross,Jason,male,Netherlands Antilles,12,2020,"Designer, fashion/clothing",2001.25,6.4
Stewart,Jeremy,male,Ghana,11,2021,Commissioning editor,1999.48,8.2
Davis,Michael,male,Niue,3,2022,Clinical biochemist,2095.42,5.4
Dawson,Eric,male,Niue,1,2020,"Engineer, land",1877.24,7.3
Lutz,Timothy,male,Heard Island and McDonald Islands,6,2020,"Designer, fashion/clothing",1952.76,7.1
Mcmillan,Matthew,male,Netherlands Antilles,6,2022,Commissioning editor,2011.31,6.7
Dunn,Edwin,female,Heard Island and McDonald Islands,7,2023,Neurosurgeon,2089.55,9.9
Ruiz,Kevin,male,Gabon,7,2020,"Designer, fashion/clothing",1931.08,5.2
Griffin,Justin,male,Iraq,12,2022,"Engineer, land",1817.77,8.8
Turner,William,male,Gabon,5,2022,Commissioning editor,2195.29,7.5
Johnson,Jaime,male,Gabon,9,2021,"Designer, fashion/clothing",2153.18,9.5
Nguyen,James,male,Gabon,9,2023,Pathologist,2139.56,6.0
Jones,Steven,male,Libyan Arab Jamahiriya,3,2023,"Designer, fashion/clothing",1939.06,9.6
