last_name,first_name,gender,country,month,year,job,payment,rating
Petersen,Marvin,male,Ireland,6,2023,"Librarian, public",2065.22,8.9
Johnson,Timothy,female,Ireland,8,2021,Pensions consultant,2035.33,5.9
Camacho,Brent,male,Ireland,11,2023,Pensions consultant,2102.66,5.2
Sandoval,Jose,female,Ireland,2,2021,Software engineer,1766.18,5.8
Gutierrez,Richard,female,Portugal,1,2021,"Librarian, public",1973.05,9.4
Adams,Derrick,male,Brazil,10,2022,"Librarian, public",1988.41,8.0
Jones,Edward,female,Portugal,7,2023,Pensions consultant,2188.45,5.3
Potter,James,male,Saint Vincent and the Grenadines,3,2023,Pensions consultant,2057.75,6.0
Brown,Nicholas,male,Saint Vincent and the Grenadines,10,2021,Medical technical officer,1951.16,7.6
Wu,Ricardo,male,Lithuania,3,2021,Medical technical officer,1983.29,10.0
Martin,Michael,female,Portugal,2,2021,Pensions consultant,2038.1,5.5
Allen,Timothy,male,Lithuania,2,2020,"Librarian, public",1868.8,8.6
Wilson,Steven,male,Greenland,2,2023,"Librarian, public",1891.09,5.9
York,Michael,male,Greenland,12,2020,"Librarian, public",2124.7,8.9
Rodriguez,Michael,female,Portugal,4,2023,Pensions consultant,1982.16,8.0
Campos,Allen,female,Lithuania,10,2022,Pensions consultant,1970.67,10.0
Daniel,Tom,female,Sweden,5,2022,Software engineer,2016.02,5.4
Thomas,Steven,female,Greenland,5,2021,Medical technical officer,1968.51,5.6
Rowland,Jonathan,female,Portugal,12,2021,Pensions consultant,1883.43,9.8
Chase,Robert,male,Portugal,8,2020,Pensions consultant,1977.71,5.5
Rivera,Mathew,female,Greenland,2,2022,Medical technical officer,1969.59,9.3
Wilson,Derrick,male,Greenland,2,2021,Pensions consultant,2036.6,6.8
Keller,Eric,male,Portugal,9,2020,Software engineer,1941.91,7.3
Reese,James,male,Brazil,4,2022,Software engineer,1841.36,9.7
Keller,Steven,male,Portugal,2,2020,Software engineer,2043.02,9.1
Rose,Matthew,male,Brazil,7,2023,Pensions consultant,1981.29,9.1
Morales,David,male,Qatar,8,2020,Software engineer,1864.87,5.6
Becker,Steven,male,Qatar,12,2022,Pensions consultant,1895.84,8.4
Monroe,William,female,Lithuania,5,2021,Software engineer,2090.8,10.0
Osborne,Jason,male,Qatar,4,2022,Medical technical officer,1947.49,9.3
Flynn,Matthew,male,Brazil,8,2021,Pensions consultant,2018.43,5.7
Strong,Richard,male,Sweden,12,2022,Pensions consultant,2104.88,6.8
Faulkner,Michael,female,Saint Vincent and the Grenadines,6,2020,Pensions consultant,1932.55,8.7
Harrison,David,female,Saint Vincent and the Grenadines,10,2023,Pensions consultant,1951.99,8.1
Hancock,John,female,Lithuania,7,2022,Pensions consultant,1975.79,8.2
Pittman,William,female,Greenland,11,2023,Pensions consultant,1906.54,7.8
Howard,Clayton,male,Qatar,12,2022,Pensions consultant,2165.23,9.8
Koch,Larry,female,Qatar,8,2021,Software engineer,2043.06,8.7
Smith,Travis,male,Saint Vincent and the Grenadines,6,2021,Pensions consultant,1988.76,5.3
Johnson,Brian,female,Tunisia,6,2022,Pensions consultant,2178.21,5.2
Haas,Gregory,female,Greenland,2,2020,Pensions consultant,2159.62,6.0
Garcia,Rodney,male,Portugal,5,2023,Pensions consultant,2017.24,6.4
