last_name,first_name,gender,country,month,year,job,payment,rating
Castaneda,Brian,female,Cook Islands,7,2020,IT consultant,2017.08,8.7
Taylor,Daniel,female,Spain,8,2023,Jewellery designer,1956.84,5.4
Calderon,Jonathan,female,Spain,12,2023,IT consultant,1991.4,8.9
Schmidt,Jamie,male,Equatorial Guinea,10,2020,Animal nutritionist,2075.96,5.7
Sanchez,James,male,Cook Islands,6,2020,IT consultant,2028.54,8.5
Knight,Keith,female,Slovenia,6,2022,Jewellery designer,1887.94,7.4
Walls,Sean,male,Sweden,12,2020,Jewellery designer,2232.17,8.8
Soto,Stephen,female,Equatorial Guinea,3,2021,Jewellery designer,2012.35,8.5
Lee,Peter,female,Spain,3,2021,IT consultant,1891.54,8.4
Peterson,Derrick,female,Saint Vincent and the Grenadines,10,2021,IT consultant,2176.08,8.6
Nichols,James,female,Sweden,12,2023,IT consultant,1961.0,9.1
Nichols,Brad,female,Spain,4,2021,Animal nutritionist,2094.46,9.3
Wagner,Brian,female,Equatorial Guinea,11,2020,IT consultant,2064.19,9.2
Thompson,Roberto,male,Sweden,10,2023,IT consultant,1955.07,9.4
Berry,Charles,female,Saint Vincent and the Grenadines,2,2022,Animal nutritionist,1904.07,6.7
Huber,Robert,male,Saint Vincent and the Grenadines,5,2022,IT consultant,1985.52,5.2
Kaufman,Steven,female,Saint Vincent and the Grenadines,10,2022,IT consultant,2115.68,5.5
Mcclure,Omar,male,Saint Vincent and the Grenadines,3,2021,Jewellery designer,1920.87,5.5
Norton,Joshua,female,Saint Vincent and the Grenadines,11,2020,Animal nutritionist,1939.62,6.7
Butler,Austin,male,Spain,11,2020,Animal nutritionist,1816.57,8.4
Dyer,William,male,Saint Vincent and the Grenadines,12,2020,Animal nutritionist,1926.86,8.7
Quinn,Antonio,female,Spain,11,2023,IT consultant,2021.23,9.8
Johnson,Marcus,female,Slovenia,11,2021,Animal nutritionist,2050.08,5.7
Santos,Victor,female,Saint Vincent and the Grenadines,10,2021,IT consultant,1842.71,7.9
Armstrong,Andrew,female,Sweden,7,2023,IT consultant,1938.21,8.5
Payne,Jason,female,Spain,4,2023,Jewellery designer,1902.33,5.1
Baldwin,David,female,Spain,6,2020,Animal nutritionist,1877.61,7.6
Schneider,Wesley,female,Equatorial Guinea,4,2020,IT consultant,2013.84,6.4
