last_name,first_name,gender,country,month,year,job,payment,rating
Underwood,Travis,male,Afghanistan,8,2022,Orthoptist,2071.79,9.3
Jackson,Robert,female,Kiribati,6,2020,Chief Executive Officer,2043.8,8.5
David,Joshua,female,Barbados,1,2022,"Engineer, aeronautical",1884.96,5.0
Baird,Jerry,female,Barbados,10,2023,Cytogeneticist,1943.25,5.7
Zavala,Joshua,male,Afghanistan,5,2020,Chief Executive Officer,2046.18,6.6
Green,Brian,female,Barbados,3,2023,Cytogeneticist,2092.76,5.3
Johnson,Robert,female,United Kingdom,5,2023,"Engineer, aeronautical",1859.55,5.8
Morris,Jeremy,male,Venezuela,3,2021,Orthoptist,1971.23,9.0
Hines,Patrick,male,Algeria,6,2022,Geographical information systems officer,1925.28,6.5
Quinn,Patrick,male,Israel,11,2020,Orthoptist,2079.62,7.2
Williams,Richard,male,Israel,4,2020,"Engineer, aeronautical",2148.53,10.0
Keller,Phillip,female,Afghanistan,4,2021,Orthoptist,2065.86,8.0
Wilkinson,Charles,male,United Kingdom,3,2021,Chief Executive Officer,2190.47,9.5
Barnes,William,female,Afghanistan,8,2020,Geographical information systems officer,1976.61,9.2
Hernandez,John,male,Kiribati,12,2020,Chief Executive Officer,1924.65,9.4
Cuevas,Justin,male,Liberia,7,2022,Geographical information systems officer,1848.99,8.1
Taylor,James,male,United Kingdom,4,2021,Orthoptist,1951.97,7.9
Kennedy,Aaron,female,Kiribati,3,2020,Chief Executive Officer,2059.28,6.8
Stewart,Scott,male,United Kingdom,9,2023,Cytogeneticist,2002.66,6.8
Gilmore,Gary,male,Venezuela,7,2021,Geographical information systems officer,2043.17,8.5
Walker,John,male,Israel,4,2021,Orthoptist,1993.3,8.4
Arias,Brian,male,Afghanistan,12,2022,Cytogeneticist,2038.77,9.6
Smith,Scott,male,Cuba,7,2021,Orthoptist,2007.14,8.0
Hall,Thomas,male,Venezuela,8,2021,Geographical information systems officer,2047.17,8.8
Smith,John,male,Algeria,5,2020,Geographical information systems officer,2081.98,7.6
