last_name,first_name,gender,country,month,year,job,payment,rating
Schroeder,Carlos,female,Bangladesh,10,2022,Air traffic controller,1927.47,5.6
Gonzales,Philip,male,Libyan Arab Jamahiriya,2,2021,Nature conservation officer,2123.82,8.0
Perry,Lee,male,Libyan Arab Jamahiriya,6,2022,"Designer, ceramics/pottery",2102.86,6.9
Smith,Michael,female,Cook Islands,3,2021,"Engineer, aeronautical",1986.07,9.2
Wilson,Keith,male,Cook Islands,12,2023,Air traffic controller,1854.53,7.1
Young,Charles,male,Bangladesh,12,2022,Nature conservation officer,1938.1,8.8
Tate,Micheal,female,Bangladesh,7,2020,"Designer, ceramics/pottery",2068.4,5.2
Patterson,Zachary,male,Cook Islands,5,2023,"Engineer, aeronautical",2082.18,9.0
Ochoa,William,female,Albania,4,2022,"Engineer, aeronautical",1899.33,8.3
Ray,Joshua,male,Rwanda,6,2021,Air traffic controller,2020.13,7.7
Arias,Alexander,male,Cook Islands,11,2022,"Engineer, aeronautical",1926.63,7.9
Harvey,Alex,male,Rwanda,5,2022,Nature conservation officer,2035.36,5.5
Goodman,Lucas,male,Cook Islands,11,2020,Air traffic controller,2010.44,5.0
Quinn,Joseph,male,Albania,8,2021,"Designer, ceramics/pottery",1923.81,10.0
Barajas,Chad,male,Cook Islands,4,2020,Air traffic controller,2009.84,7.8
Miller,Thomas,male,Rwanda,11,2023,"Engineer, aeronautical",1964.59,5.3
Levine,Ethan,male,Albania,12,2022,Air traffic controller,1832.49,10.0
Shepard,Jimmy,male,Albania,3,2020,"Engineer, aeronautical",2041.78,7.2
Roberts,James,male,Libyan Arab Jamahiriya,2,2023,"Engineer, aeronautical",1923.81,6.7
Cook,Jacob,male,Bangladesh,10,2023,"Designer, ceramics/pottery",2060.79,5.8
Montgomery,Jared,male,Cook Islands,6,2020,"Engineer, aeronautical",1887.5,8.9
Norman,Kenneth,female,Bangladesh,1,2022,"Designer, ceramics/pottery",2028.34,9.1
Castillo,Steve,male,Albania,6,2020,Air traffic controller,1900.24,8.4
Terrell,Richard,male,Rwanda,7,2020,"Engineer, aeronautical",1954.16,5.2
Andersen,James,female,Rwanda,2,2022,"Designer, ceramics/pottery",1992.71,8.9
Johnson,Victor,male,Cook Islands,9,2022,Nature conservation officer,1908.69,10.0
West,James,male,Cook Islands,4,2023,"Engineer, aeronautical",2106.57,5.6
Fisher,Jeffrey,female,Rwanda,7,2022,"Designer, ceramics/pottery",1820.28,6.0
Myers,Edward,male,Bangladesh,10,2021,Air traffic controller,1993.95,9.0
Henderson,Keith,male,Cook Islands,2,2021,Nature conservation officer,1966.02,6.3
Lopez,Kelly,male,Rwanda,10,2020,Nature conservation officer,1961.18,7.6
Wallace,David,male,Bangladesh,8,2021,"Engineer, aeronautical",2143.13,8.1
Riggs,Henry,female,Cook Islands,11,2020,Nature conservation officer,2266.95,9.7
Perkins,Robert,male,Bangladesh,9,2021,"Designer, ceramics/pottery",1993.04,6.4
Reyes,Keith,male,Libyan Arab Jamahiriya,8,2021,"Designer, ceramics/pottery",2150.16,5.9
Leach,Brian,male,Rwanda,8,2022,Nature conservation officer,2122.94,5.6
