last_name,first_name,gender,country,month,year,job,payment,rating
Cox,Isaac,male,Albania,11,2023,Patent examiner,1962.4,9.1
Taylor,Steven,male,Guinea-Bissau,11,2022,Air broker,1983.3,6.0
Velazquez,Andrew,male,Philippines,6,2022,Patent examiner,1826.7,6.9
Vargas,Dustin,male,Venezuela,1,2021,Air broker,2061.03,9.3
Kerr,Peter,male,Albania,5,2020,Air broker,1895.22,6.5
Smith,Keith,male,Monaco,10,2022,Patent examiner,1844.88,9.6
Wright,David,male,Monaco,10,2022,Air broker,1913.43,7.0
Hutchinson,James,male,Philippines,7,2021,Patent examiner,1984.77,7.8
Burns,Matthew,male,Albania,1,2022,Air broker,1947.68,5.4
Doyle,Blake,male,Tokelau,8,2023,"Research officer, trade union",1936.75,9.4
Guerrero,Marvin,male,Monaco,7,2021,Patent examiner,1898.01,8.9
Phelps,Kevin,male,Venezuela,10,2020,Patent examiner,1883.19,9.8
Perez,Carlos,male,Guinea-Bissau,6,2020,Air broker,1908.35,8.3
Walsh,Jacob,male,Philippines,7,2022,Arts administrator,2220.08,7.1
Galvan,Brian,male,Monaco,1,2021,Air broker,1810.75,5.7
Richardson,Gary,male,Tokelau,1,2021,"Research officer, trade union",2070.3,7.9
Mora,Jonathan,male,Tokelau,3,2021,Patent examiner,1965.67,9.3
Lopez,John,male,Albania,2,2022,Arts administrator,1920.74,6.0
Watson,Jonathan,male,Venezuela,5,2023,"Research officer, trade union",1786.35,7.1
Vargas,Rodney,male,Philippines,5,2020,Patent examiner,1885.81,5.6
Klein,Michael,male,Venezuela,1,2020,Patent examiner,1983.9,8.7
White,Alexander,male,Albania,11,2023,"Research officer, trade union",1997.53,9.1
Patterson,Thomas,male,Tokelau,6,2023,Arts administrator,1940.42,10.0
Stevenson,Christopher,male,Guinea-Bissau,11,2022,Air broker,2035.25,9.1
Hensley,Jeff,male,Guinea-Bissau,9,2020,Air broker,2029.97,7.2
Keller,Jacob,male,Venezuela,9,2020,Arts administrator,2020.19,9.3
Bullock,Trevor,male,Venezuela,10,2021,Arts administrator,1962.14,6.0
Gibson,Brad,male,Guinea-Bissau,3,2023,Patent examiner,1953.0,8.8
Davis,Charles,male,Tokelau,2,2022,Arts administrator,2027.12,7.8
Haney,John,male,Venezuela,10,2020,Arts administrator,1973.48,5.9
Henderson,Craig,male,Tokelau,8,2023,Air broker,2082.41,7.3
Summers,Joel,male,Venezuela,10,2021,Air broker,2055.54,7.6
James,James,male,Venezuela,11,2020,Air broker,1952.07,5.9
Butler,Max,male,Venezuela,5,2023,Air broker,1990.16,9.6
Montoya,Joel,male,Albania,5,2020,Patent examiner,2043.68,8.2
Benjamin,Austin,male,Guinea-Bissau,6,2020,Patent examiner,2008.61,7.2
Roberson,John,male,Venezuela,7,2020,Patent examiner,1901.08,6.6
Terry,Sean,male,Monaco,11,2023,"Research officer, trade union",1945.12,6.4
Allen,Jason,male,Venezuela,10,2022,Air broker,1890.64,5.4
Camacho,Andrew,male,Philippines,5,2022,Air broker,1969.7,6.2
Lamb,Steven,male,Guinea-Bissau,7,2020,Arts administrator,2168.99,9.0
Hicks,Christopher,male,Tokelau,7,2020,"Research officer, trade union",2124.36,8.9
Guzman,Vincent,male,Monaco,4,2020,Air broker,1910.81,5.9
