last_name,first_name,gender,country,month,year,job,payment,rating
Beard,Cameron,male,Egypt,4,2021,Health visitor,2129.54,5.0
Mills,George,female,Andorra,2,2021,"Engineer, communications",1970.0,9.7
Singh,Patrick,female,Tuvalu,5,2020,Health visitor,2013.94,9.2
Bailey,Cameron,female,Andorra,5,2021,"Therapist, sports",1856.97,8.3
Page,Christopher,female,Haiti,5,2023,Financial risk analyst,2148.53,8.1
Stephens,Jacob,female,Haiti,3,2021,Sports therapist,1892.57,9.6
Robinson,Andrew,female,Egypt,3,2021,Financial risk analyst,2098.89,5.5
Snow,John,female,Palau,6,2020,Health visitor,1869.5,6.7
Gray,Edwin,female,Dominican Republic,6,2023,Sports therapist,2085.5,8.9
Cooper,Daniel,female,Maldives,7,2021,Health visitor,1849.83,6.7
Santos,John,female,Zimbabwe,8,2021,"Therapist, sports",1832.03,7.4
King,Antonio,female,Palau,11,2021,"Engineer, communications",2150.55,5.7
Liu,Brian,female,Dominican Republic,6,2021,"Engineer, communications",1908.97,6.1
Carter,Nathan,female,Palau,8,2020,"Engineer, communications",1930.26,6.7
Cole,David,female,Zimbabwe,10,2021,"Therapist, sports",2110.97,8.4
Donaldson,James,female,Dominican Republic,3,2023,"Engineer, communications",2071.22,9.0
Nelson,Jerry,female,Egypt,1,2020,"Engineer, communications",1988.86,8.5
Reyes,Mario,female,Palau,5,2021,Health visitor,2039.43,9.5
Baker,Jeff,male,Maldives,8,2023,"Engineer, communications",1912.58,9.4
Harrison,Andres,female,Egypt,1,2020,Financial risk analyst,2103.81,8.1
Lewis,Mark,male,Dominican Republic,5,2022,Health visitor,1844.55,7.8
Romero,Michael,female,Andorra,10,2020,Sports therapist,2043.34,6.3
White,Robert,male,Haiti,12,2021,Sports therapist,2075.36,7.1
Ryan,Peter,female,Zimbabwe,8,2021,Health visitor,1938.53,5.7
Stanley,Robert,female,Tuvalu,10,2021,"Therapist, sports",2052.76,9.8
Fernandez,Christopher,female,Andorra,2,2020,"Therapist, sports",1896.8,8.9
Lopez,George,female,Egypt,8,2023,Health visitor,1931.35,6.4
Edwards,Robert,female,Palau,4,2022,"Therapist, sports",2161.87,6.6
Walter,Robert,female,Egypt,1,2021,Sports therapist,1779.95,7.5
Davis,Michael,female,Maldives,2,2020,"Therapist, sports",2003.71,5.9
Martin,Vincent,female,Tuvalu,12,2020,Financial risk analyst,1925.79,8.2
Martin,Gary,female,Andorra,12,2022,Sports therapist,1855.39,9.2
Neal,Christopher,female,Zimbabwe,7,2021,Financial risk analyst,2200.87,5.8
Shields,Oscar,female,Andorra,5,2021,Financial risk analyst,2120.67,9.2
Gutierrez,Robert,female,Maldives,9,2020,Sports therapist,1977.62,7.5
Perkins,Daniel,female,Zimbabwe,12,2023,Financial risk analyst,2014.41,9.4
Davis,Joseph,female,Andorra,8,2020,Health visitor,2055.47,6.6
Kemp,Richard,female,Egypt,7,2023,Sports therapist,1997.79,6.4
Kelley,Gregory,female,Maldives,3,2021,Sports therapist,2080.26,9.1
Dixon,Jose,female,Andorra,2,2020,Financial risk analyst,2040.64,9.8
White,James,female,Palau,3,2023,Health visitor,1856.12,9.8
Jones,Ryan,female,Andorra,12,2023,Financial risk analyst,1719.11,6.7
Walsh,Gregory,female,Egypt,10,2021,"Therapist, sports",1964.8,8.6
Reed,Tracy,female,Andorra,12,2023,Financial risk analyst,1894.55,9.2
Powell,Derek,male,Tuvalu,1,2021,"Engineer, communications",2175.56,6.3
Brown,Robert,female,Egypt,8,2020,Financial risk analyst,2105.79,8.6
Roberts,Brian,female,Andorra,12,2021,"Therapist, sports",1881.33,9.6
Shah,Keith,female,Palau,5,2021,Sports therapist,2062.51,6.0
Perez,Joshua,female,Dominican Republic,5,2020,"Engineer, communications",2072.58,6.7
Turner,Jonathon,female,Haiti,1,2023,Sports therapist,2186.72,9.1
Irwin,Travis,female,Palau,9,2021,"Engineer, communications",1873.29,6.0
Harrison,Ronald,female,Zimbabwe,4,2020,"Therapist, sports",1908.02,6.8
Lang,Alejandro,female,Dominican Republic,4,2022,Health visitor,1836.29,5.5
Mcgee,Drew,female,Zimbabwe,7,2023,"Therapist, sports",2000.34,6.1
Stone,Jerry,female,Palau,7,2023,"Therapist, sports",1772.26,5.3
Ballard,Joseph,female,Palau,11,2020,Financial risk analyst,2108.56,5.7
Cruz,John,female,Dominican Republic,8,2022,"Engineer, communications",1986.82,7.7
Martin,Derek,female,Palau,12,2022,"Engineer, communications",2005.26,6.8
Harris,Frank,female,Maldives,6,2021,"Engineer, communications",1932.16,5.1
Lewis,Richard,female,Egypt,6,2021,"Engineer, communications",1790.31,8.9
Allen,Michael,female,Palau,8,2020,"Engineer, communications",1800.98,5.4
Warner,Joseph,female,Palau,11,2021,Health visitor,1874.39,8.3
Colon,Daniel,male,Haiti,3,2021,"Therapist, sports",1945.78,9.2
Nichols,Michael,female,Zimbabwe,3,2020,"Engineer, communications",2043.06,8.9
Reese,Christopher,female,Tuvalu,6,2022,Financial risk analyst,1940.96,8.3
Cooke,Joseph,female,Andorra,8,2023,"Engineer, communications",1848.47,5.3
Harmon,Justin,male,Zimbabwe,4,2021,"Therapist, sports",2123.44,7.2
Fuller,Gerald,female,Haiti,9,2020,"Therapist, sports",1873.24,10.0
Brown,Terry,female,Egypt,9,2021,Sports therapist,2086.43,6.8
Love,William,female,Egypt,12,2023,Health visitor,2310.41,6.1
Henderson,Travis,female,Andorra,5,2020,"Therapist, sports",1875.18,6.8
Jackson,Mark,female,Zimbabwe,6,2022,"Engineer, communications",2084.6,5.5
Thomas,Scott,female,Tuvalu,6,2021,"Therapist, sports",1969.48,9.0
Summers,Jacob,female,Andorra,5,2023,Health visitor,2244.46,7.7
Knight,Cody,female,Palau,11,2020,Health visitor,2032.14,7.7
Smith,Zachary,female,Zimbabwe,5,2022,Sports therapist,1940.58,9.5
Edwards,Benjamin,female,Egypt,10,2020,"Engineer, communications",1932.51,8.8
Carlson,Dennis,female,Andorra,3,2022,Sports therapist,1822.74,7.0
Dunn,James,female,Palau,4,2023,Health visitor,1913.35,6.7
Dougherty,Scott,male,Zimbabwe,11,2023,Sports therapist,2120.31,6.9
Morrison,Robert,female,Dominican Republic,7,2023,"Therapist, sports",1965.07,9.0
Brooks,Brandon,female,Dominican Republic,5,2022,Financial risk analyst,2108.0,6.0
Young,David,female,Palau,1,2023,"Engineer, communications",2056.66,6.4
Schwartz,Robert,female,Zimbabwe,11,2023,"Engineer, communications",1947.06,7.5
Yu,Patrick,male,Andorra,3,2023,Health visitor,1933.66,7.4
Moreno,Ryan,male,Andorra,5,2020,Sports therapist,1801.96,9.1
Morton,Bill,female,Andorra,6,2021,"Engineer, communications",2007.52,8.4
Mack,William,female,Egypt,2,2023,Health visitor,2005.67,8.6
West,Stanley,female,Zimbabwe,12,2023,Health visitor,1963.36,8.7
Hayes,Joseph,male,Palau,6,2021,Health visitor,2053.22,5.8
