last_name,first_name,gender,country,month,year,job,payment,rating
Cook,William,female,Palau,1,2023,Automotive engineer,1924.85,8.1
Smith,David,female,Palau,8,2021,Automotive engineer,1992.59,10.0
Price,Kevin,female,Palau,8,2023,Cytogeneticist,2059.58,7.1
Church,Jeffrey,male,Colombia,5,2023,Surgeon,2050.87,9.3
Cummings,Christopher,female,Poland,4,2020,"Scientist, biomedical",1989.04,9.9
Williams,Dennis,female,Bolivia,11,2021,"Scientist, biomedical",2037.11,9.8
Todd,Daniel,male,Colombia,1,2023,Surgeon,1897.23,6.9
Hammond,Nathaniel,female,Palau,7,2023,Automotive engineer,2200.64,8.2
Smith,Michael,female,Bolivia,11,2020,Automotive engineer,1957.42,6.8
Bender,Christian,male,Colombia,8,2023,Cytogeneticist,1940.32,6.7
Brown,Thomas,female,Slovakia (Slovak Republic),1,2023,Automotive engineer,1932.01,6.0
Barber,Troy,female,Colombia,10,2023,Automotive engineer,1873.79,9.2
Cole,Brad,female,Slovakia (Slovak Republic),12,2023,Automotive engineer,1982.23,6.5
Perkins,Tracy,female,Slovakia (Slovak Republic),10,2022,"Scientist, biomedical",2010.2,6.8
Sanders,Benjamin,female,Palau,12,2020,"Scientist, biomedical",1952.87,10.0
Rice,Robert,female,Luxembourg,12,2021,Automotive engineer,1914.36,7.8
Haas,Peter,male,Philippines,5,2021,Cytogeneticist,1963.02,5.9
Kane,James,female,Palau,5,2021,"Scientist, biomedical",2020.99,9.9
Kennedy,Anthony,male,Palau,8,2023,"Scientist, biomedical",2094.83,9.0
Hickman,Ryan,female,Palau,11,2022,Automotive engineer,2069.7,10.0
Andrews,James,male,Bolivia,8,2020,Cytogeneticist,2102.01,6.3
Allen,Miguel,male,Philippines,8,2022,Automotive engineer,1950.53,5.2
Morales,Patrick,female,Slovakia (Slovak Republic),2,2022,Surgeon,1936.73,5.5
Miller,Derrick,male,Philippines,7,2021,Cytogeneticist,2005.66,10.0
Cordova,Jason,female,Philippines,4,2022,Cytogeneticist,1942.56,9.6
Leonard,Bryan,male,Slovakia (Slovak Republic),9,2023,"Scientist, biomedical",1937.5,6.3
Patterson,Hector,female,Poland,5,2020,"Scientist, biomedical",1922.52,6.2
Williams,Travis,male,Palau,8,2022,"Scientist, biomedical",1948.75,9.2
Flores,Zachary,female,Slovakia (Slovak Republic),6,2021,"Scientist, biomedical",2105.07,8.4
Williams,Jeffrey,female,Luxembourg,12,2021,Cytogeneticist,1928.54,7.5
Miller,Scott,male,Slovakia (Slovak Republic),12,2022,Transport planner,2008.69,8.6
Dennis,Adam,female,Slovakia (Slovak Republic),7,2020,Cytogeneticist,1995.72,9.3
Cook,Robert,male,Philippines,7,2022,"Scientist, biomedical",2009.47,7.1
Merritt,John,male,Philippines,8,2022,"Scientist, biomedical",1946.5,9.6
Thompson,Howard,male,Slovakia (Slovak Republic),2,2020,"Scientist, biomedical",1955.29,5.7
Clark,Javier,male,Bolivia,6,2022,"Scientist, biomedical",2018.73,6.3
Dudley,Richard,male,Luxembourg,9,2021,Cytogeneticist,1869.8,9.6
Lewis,Mark,male,Bolivia,12,2023,Cytogeneticist,2145.43,9.4
Reynolds,Gary,female,Bolivia,2,2020,Cytogeneticist,1793.47,5.1
Wallace,Samuel,male,Poland,10,2021,Automotive engineer,1985.53,9.6
Mcgee,Todd,male,Palau,3,2023,Transport planner,2039.57,9.7
Berry,James,male,Palau,9,2022,Cytogeneticist,2041.54,10.0
Harris,Stephen,male,Bolivia,12,2020,Cytogeneticist,2095.27,5.4
