last_name,first_name,gender,country,month,year,job,payment,rating
Ward,Robert,male,Congo,8,2022,Clothing/textile technologist,1964.96,6.0
Perez,Donald,male,Grenada,5,2023,Television camera operator,2078.76,9.5
Williams,Michael,male,Dominica,9,2020,Systems analyst,1915.09,6.3
Fox,Andrew,male,Congo,2,2021,Clothing/textile technologist,1990.31,9.7
Robinson,Ian,male,Grenada,12,2020,Systems analyst,2035.34,5.5
Brown,Kyle,male,Congo,10,2023,Analytical chemist,1999.58,6.4
Harris,Jimmy,male,Grenada,2,2020,Clothing/textile technologist,1930.01,5.8
Rodriguez,Matthew,male,Congo,7,2022,Metallurgist,2118.59,8.0
Howe,Richard,male,Congo,10,2022,Metallurgist,2110.26,5.5
Pineda,Kenneth,male,Grenada,8,2022,Systems analyst,1954.56,7.4
Wong,Joe,male,Kiribati,12,2023,Systems analyst,1999.92,10.0
Adams,Marcus,male,Palestinian Territory,11,2022,Analytical chemist,1999.33,6.0
Jenkins,Michael,male,Dominica,4,2023,Systems analyst,2112.73,6.8
Valdez,Joshua,male,Kiribati,7,2023,Systems analyst,2198.85,9.4
Ochoa,Nicholas,female,Congo,12,2022,Clothing/textile technologist,2048.55,7.7
Wilson,Daniel,male,Congo,10,2022,Clothing/textile technologist,2076.97,8.3
Martinez,James,male,Palestinian Territory,7,2021,Metallurgist,1947.56,5.1
Williams,Kevin,female,Dominica,4,2021,Clothing/textile technologist,1935.26,9.0
May,Omar,female,Congo,5,2023,Metallurgist,1961.89,6.1
Anderson,Matthew,female,Grenada,9,2020,Systems analyst,2018.06,9.3
Hill,Steven,male,Palestinian Territory,11,2023,Chartered accountant,1875.78,6.9
Schmidt,William,male,Kiribati,6,2023,Clothing/textile technologist,1859.88,8.4
Rubio,Marcus,female,Bahrain,5,2022,Analytical chemist,2061.07,7.6
Franco,Dustin,male,Kiribati,2,2021,Television camera operator,2062.0,10.0
Delgado,Daniel,male,Congo,10,2022,Systems analyst,2025.39,7.8
Phillips,Dennis,male,Congo,11,2023,Television camera operator,2068.72,8.4
Cantrell,Matthew,female,Palestinian Territory,9,2020,Metallurgist,2072.41,5.4
Coleman,Peter,male,Dominica,4,2021,Metallurgist,1997.4,6.4
Patterson,Ruben,male,Kiribati,12,2020,Television camera operator,1887.22,8.9
Schmitt,Jose,male,Congo,7,2020,Metallurgist,1956.74,9.4
Delgado,Edward,male,Congo,7,2021,Systems analyst,2195.13,9.6
Brown,Dennis,male,Grenada,4,2022,Systems analyst,1994.28,8.6
Armstrong,Steven,male,Palestinian Territory,1,2020,Systems analyst,2103.47,5.3
Martin,John,female,Dominica,3,2020,Metallurgist,2057.01,9.7
Rogers,Jacob,male,Palestinian Territory,4,2020,Systems analyst,1959.4,7.7
Scott,Darrell,male,Kiribati,12,2020,Systems analyst,1922.04,9.7
Brooks,Matthew,male,Congo,10,2022,Systems analyst,2074.38,7.3
Haas,Juan,male,Bahrain,11,2023,Television camera operator,2133.33,9.3
Anderson,Eric,male,Kiribati,9,2021,Metallurgist,2072.26,9.3
Ryan,Michael,male,Congo,12,2022,Metallurgist,2039.76,5.6
Villarreal,Max,male,Kiribati,6,2022,Systems analyst,2166.0,7.0
Williams,Alexander,male,Palestinian Territory,5,2022,Analytical chemist,1840.73,6.5
West,Connor,female,Palestinian Territory,6,2022,Metallurgist,2100.45,5.2
Stephenson,John,female,Palestinian Territory,1,2020,Chartered accountant,1861.31,8.5
Thompson,Roy,male,Palestinian Territory,7,2020,Clothing/textile technologist,2016.27,9.2
Cummings,Charles,female,Palestinian Territory,7,2020,Systems analyst,2095.99,7.5
Johnson,Jay,male,Palestinian Territory,1,2022,Television camera operator,2099.33,5.6
Morrow,Rodney,male,Dominica,4,2023,Television camera operator,2040.15,6.1
Kirby,Luke,male,Kiribati,6,2020,Systems analyst,2132.56,10.0
Martinez,Brandon,female,Bahrain,12,2021,Metallurgist,1838.77,5.8
Chambers,Nathan,male,Congo,10,2023,Clothing/textile technologist,2021.37,8.6
Howard,Christian,male,Dominica,7,2021,Metallurgist,2009.72,9.2
Johnson,John,male,Kiribati,3,2020,Analytical chemist,1938.96,7.3
