last_name,first_name,gender,country,month,year,job,payment,rating
Gilmore,Matthew,male,Samoa,1,2021,"Copywriter, advertising",2027.48,6.5
Flores,Ryan,male,Greece,7,2021,Energy engineer,2076.04,7.9
Green,John,female,Samoa,5,2022,Energy engineer,1912.42,5.1
Torres,Anthony,female,Greece,5,2023,"Copywriter, advertising",1896.79,9.3
Perez,Joseph,male,Andorra,5,2022,Arboriculturist,1866.85,8.1
Perez,David,female,Dominica,10,2020,Energy engineer,1879.03,10.0
Gardner,Timothy,male,Samoa,3,2021,Arboriculturist,1868.64,9.5
Smith,Michael,female,Samoa,11,2021,Arboriculturist,2039.19,9.0
Daniels,Joseph,female,Andorra,7,2021,Arboriculturist,2121.97,5.1
Vega,Adam,male,Greece,1,2022,Psychotherapist,2091.7,9.9
Curtis,Christian,male,Greece,5,2021,Energy engineer,1824.24,5.3
Dorsey,Bernard,female,Madagascar,3,2023,"Copywriter, advertising",2012.76,5.1
Vasquez,John,male,Greece,9,2020,"Copywriter, advertising",1948.64,9.3
Klein,David,male,Nauru,6,2021,Energy engineer,2036.37,9.3
Patel,Brandon,female,Ecuador,1,2020,Arboriculturist,1939.65,7.6
Cherry,Stanley,female,Samoa,7,2022,Arboriculturist,2039.53,7.3
Neal,Shawn,female,Madagascar,4,2023,Energy engineer,2104.33,6.6
Benson,Scott,female,Greece,10,2023,Psychotherapist,1995.98,10.0
Ramirez,John,female,Tonga,9,2021,Psychotherapist,1983.78,5.3
Owens,David,male,Tonga,8,2020,Psychotherapist,1935.43,9.6
Ramirez,Billy,female,Greece,4,2022,"Copywriter, advertising",2104.89,6.5
Jones,Micheal,male,Samoa,1,2021,"Copywriter, advertising",1739.05,7.2
Olson,Nicholas,female,Madagascar,11,2020,Psychotherapist,2171.58,9.2
Flores,Ross,female,Samoa,9,2021,Psychotherapist,1903.82,5.0
Miles,Kevin,male,Greece,9,2023,Psychotherapist,1977.58,7.8
Sims,Jose,male,Tonga,4,2022,"Copywriter, advertising",2024.26,8.6
Evans,Gary,female,Madagascar,8,2021,Energy engineer,2015.05,5.1
Jenkins,Jonathan,female,Vanuatu,10,2020,Energy engineer,2077.75,9.2
Hall,Michael,male,Greece,8,2020,Energy engineer,2081.29,6.3
Stone,Gene,male,Dominica,9,2020,Energy engineer,1935.61,10.0
Nguyen,David,female,Madagascar,1,2020,Psychotherapist,2026.33,5.1
Griffin,Gary,male,Ecuador,1,2021,Psychotherapist,2104.07,7.6
Cisneros,Brandon,male,Andorra,12,2022,Psychotherapist,2078.02,7.6
Adams,Justin,female,Madagascar,6,2020,Arboriculturist,1933.44,6.8
Torres,Barry,male,Ecuador,1,2023,"Copywriter, advertising",1962.82,5.3
Hernandez,Johnny,male,Madagascar,6,2021,"Copywriter, advertising",2146.05,5.3
Gray,Michael,female,Greece,8,2023,Psychotherapist,1871.89,7.9
Chen,Shawn,female,Madagascar,8,2020,Arboriculturist,2180.82,9.6
Hawkins,Derek,male,Greece,1,2021,Psychotherapist,2045.0,8.5
Bailey,Robert,female,Madagascar,6,2023,Energy engineer,2020.4,8.6
Baker,Nathan,female,Nauru,7,2020,Psychotherapist,1873.58,5.6
Arnold,Taylor,male,Tonga,7,2023,"Copywriter, advertising",1944.15,9.8
Wells,Daniel,male,Samoa,1,2021,"Copywriter, advertising",2042.53,9.0
Thompson,Keith,male,Samoa,8,2021,Arboriculturist,2114.38,5.4
Sutton,Scott,male,Madagascar,4,2021,Energy engineer,2173.11,9.5
