last_name,first_name,gender,country,month,year,job,payment,rating
Juarez,Michael,male,Iceland,8,2023,Theme park manager,2075.33,5.1
Barron,Andrew,male,Portugal,8,2020,"Engineer, chemical",1949.05,10.0
Mendoza,Jesse,female,Greece,1,2023,"Geologist, wellsite",2209.82,6.3
Strickland,David,male,Turkey,8,2023,"Geologist, wellsite",1989.29,5.3
Carroll,Joe,male,Andorra,4,2023,Theme park manager,2094.96,9.1
Lyons,Marcus,male,Saudi Arabia,9,2020,"Geologist, wellsite",1983.09,8.6
Johnson,Jorge,male,Iceland,1,2023,Theme park manager,1871.77,8.0
Baker,Samuel,female,Andorra,12,2022,"Engineer, chemical",2111.25,5.6
Davidson,Noah,female,Greece,1,2022,Theme park manager,2098.66,7.7
Robinson,Jason,male,Saudi Arabia,10,2023,"Engineer, chemical",1971.3,9.6
Anderson,Oscar,female,Portugal,9,2020,Counselling psychologist,1870.74,7.7
Smith,Andrew,male,Saudi Arabia,2,2021,Counselling psychologist,1978.99,9.5
Bauer,James,female,Congo,7,2023,"Engineer, chemical",1967.99,9.3
Moore,Matthew,female,Portugal,5,2023,"Geologist, wellsite",2137.78,7.1
Rose,Andres,male,Greece,8,2022,"Geologist, wellsite",1944.94,8.3
Clark,Alan,male,Portugal,11,2021,"Engineer, chemical",1923.41,7.9
Barrett,Jacob,male,Tonga,3,2021,"Geologist, wellsite",1943.94,9.4
Melton,Jonathan,male,Turkey,4,2023,"Geologist, wellsite",2061.05,9.5
Powers,Jacob,male,Iceland,5,2023,"Engineer, chemical",2093.97,8.7
Hamilton,Matthew,female,Saudi Arabia,7,2023,"Engineer, chemical",2032.47,9.4
Brewer,Danny,female,Iceland,2,2020,"Geologist, wellsite",1938.6,8.4
Lopez,Erik,male,Congo,8,2021,Theme park manager,2115.23,5.7
Parker,Bruce,male,Turkey,8,2021,Counselling psychologist,2128.0,9.1
Torres,Benjamin,male,Iceland,5,2021,"Geologist, wellsite",2020.57,9.3
Barron,Justin,female,Anguilla,12,2020,"Geologist, wellsite",2061.56,10.0
King,Phillip,male,Andorra,1,2020,"Engineer, chemical",2114.06,9.2
Martinez,Leslie,male,Greece,12,2020,Counselling psychologist,2000.36,9.5
Butler,Andrew,male,Iceland,12,2023,"Geologist, wellsite",2052.59,8.2
Ferguson,Aaron,female,Turkey,12,2023,"Engineer, chemical",1922.21,6.0
Lee,William,male,Tonga,3,2023,"Engineer, chemical",2023.99,6.2
Stewart,Eric,male,Andorra,1,2023,"Geologist, wellsite",1987.74,8.0
Sanford,Kevin,female,Iceland,11,2020,"Engineer, chemical",2116.73,8.9
Anderson,Eric,male,Portugal,7,2022,"Geologist, wellsite",1808.41,9.8
Garcia,Francisco,male,Congo,9,2021,Theme park manager,2027.36,8.9
Gomez,Craig,male,Anguilla,2,2022,"Engineer, chemical",2097.94,10.0
Jenkins,Howard,male,Tonga,7,2022,Counselling psychologist,2000.73,6.3
Thomas,Nicholas,male,Tonga,12,2021,Theme park manager,1958.18,9.5
Hinton,Donald,female,Greece,12,2022,Counselling psychologist,1879.96,5.8
Park,Daniel,male,Iceland,5,2020,"Geologist, wellsite",2205.22,7.4
Ward,Matthew,female,Congo,3,2022,"Geologist, wellsite",2029.29,6.1
Hill,Philip,female,Iceland,9,2020,"Geologist, wellsite",1942.57,6.2
Bennett,Michael,male,Iceland,5,2023,"Engineer, chemical",1886.98,8.7
Rasmussen,Michael,female,Saudi Arabia,5,2023,"Engineer, chemical",2071.83,9.7
Bonilla,Cody,female,Congo,10,2021,"Geologist, wellsite",1984.64,8.5
Smith,Brandon,male,Greece,4,2022,"Geologist, wellsite",1811.82,5.9
Mason,Willie,female,Congo,6,2022,Counselling psychologist,1846.72,6.7
Hobbs,Joshua,male,Anguilla,11,2021,Theme park manager,1997.52,10.0
Peterson,Jeffery,female,Greece,8,2023,"Geologist, wellsite",1960.77,8.8
West,Michael,female,Saudi Arabia,9,2022,"Geologist, wellsite",2094.23,8.5
James,Daniel,female,Turkey,11,2020,"Geologist, wellsite",1790.98,5.3
Rogers,Sean,female,Greece,7,2022,Counselling psychologist,2145.49,7.7
Stout,Jason,male,Congo,9,2020,Theme park manager,1909.93,9.4
Luna,Richard,male,Greece,6,2022,"Geologist, wellsite",2140.78,8.8
Evans,Jacob,male,Iceland,4,2023,"Geologist, wellsite",1907.76,9.4
Bass,Jeffrey,female,Greece,3,2022,"Geologist, wellsite",1841.09,5.9
Williams,Joel,male,Congo,12,2023,"Engineer, chemical",2015.65,9.7
Young,Thomas,male,Andorra,7,2022,"Geologist, wellsite",2026.92,9.9
Zuniga,Daniel,female,Congo,6,2023,"Geologist, wellsite",2057.66,5.6
Luna,Corey,male,Iceland,1,2020,"Engineer, chemical",1953.23,5.2
Martinez,Mark,female,Portugal,5,2022,"Geologist, wellsite",2105.66,9.7
Osborn,Chris,male,Saudi Arabia,12,2023,"Geologist, wellsite",1889.24,5.6
Mcfarland,Robert,female,Andorra,8,2023,Theme park manager,1922.31,6.2
Arnold,Todd,female,Turkey,5,2022,"Geologist, wellsite",2157.65,5.5
Deleon,Edward,male,Portugal,8,2020,"Geologist, wellsite",1875.94,5.5
Powers,Matthew,female,Anguilla,1,2021,Theme park manager,1975.32,10.0
Davis,Michael,male,Andorra,12,2021,"Engineer, chemical",1921.34,9.5
Cline,Bradley,male,Congo,5,2020,Counselling psychologist,2015.12,7.1
Gibson,Michael,male,Portugal,8,2021,Theme park manager,2148.25,8.8
Cortez,Nicholas,female,Saudi Arabia,8,2020,Counselling psychologist,1983.14,8.5
Hickman,Derrick,female,Turkey,12,2022,"Geologist, wellsite",1869.39,9.5
Lewis,Roy,male,Tonga,2,2021,Theme park manager,2064.77,6.3
Williams,Robert,female,Anguilla,2,2021,Theme park manager,2088.98,7.5
Davis,Bradley,male,Turkey,3,2020,Counselling psychologist,2085.24,8.6
Davis,Keith,male,Greece,11,2020,Theme park manager,2112.35,6.5
Burnett,Michael,male,Andorra,11,2020,"Geologist, wellsite",2073.41,5.8
Brown,Alex,female,Iceland,12,2020,"Geologist, wellsite",1941.12,6.1
Hayes,Phillip,female,Tonga,8,2021,"Geologist, wellsite",2008.13,7.0
Wilson,Walter,female,Iceland,5,2023,Theme park manager,2133.94,7.9
Stevenson,Nathan,male,Greece,9,2023,"Geologist, wellsite",1893.57,9.9
Wagner,Todd,male,Iceland,10,2021,"Engineer, chemical",2132.49,5.3
Fritz,Hector,female,Turkey,7,2023,Theme park manager,1902.76,6.9
Wilson,Kenneth,male,Congo,12,2022,Theme park manager,2122.03,6.9
Bailey,Vincent,male,Greece,6,2021,"Geologist, wellsite",1788.34,9.3
Russell,James,male,Greece,6,2020,"Geologist, wellsite",1977.0,7.3
Moore,Calvin,male,Congo,12,2023,"Engineer, chemical",2071.3,7.1
Boyle,Dustin,male,Greece,4,2021,"Geologist, wellsite",1936.61,7.4
Jackson,David,male,Andorra,6,2020,"Geologist, wellsite",2008.82,9.9
Skinner,Mark,male,Iceland,10,2021,Theme park manager,2010.03,8.5
Jenkins,Brian,female,Congo,9,2020,"Geologist, wellsite",1867.52,5.4
Mills,Matthew,male,Greece,1,2021,"Geologist, wellsite",2179.41,7.9
Shah,Nicholas,male,Saudi Arabia,6,2021,Counselling psychologist,2107.78,8.0
Miller,Ricardo,male,Saudi Arabia,6,2021,"Engineer, chemical",1983.08,5.8
Savage,Andrew,male,Anguilla,6,2020,"Geologist, wellsite",1732.1,9.3
Sheppard,George,male,Iceland,8,2021,"Engineer, chemical",2197.08,6.1
Castro,Patrick,male,Greece,2,2022,"Geologist, wellsite",1891.09,8.1
Moore,George,male,Greece,10,2021,"Engineer, chemical",1983.56,9.4
Evans,Ricky,male,Turkey,12,2022,Counselling psychologist,1889.87,8.0
Patterson,Sean,female,Iceland,7,2023,Theme park manager,1930.09,5.9
Washington,Mark,male,Andorra,7,2021,Counselling psychologist,2156.39,7.7
Green,Ricky,female,Congo,9,2020,"Geologist, wellsite",1972.63,8.9
