last_name,first_name,gender,country,month,year,job,payment,rating
Miller,Thomas,female,Chile,1,2022,"Psychologist, educational",2026.1,8.4
Spencer,Christopher,female,Canada,7,2021,"Psychologist, educational",1975.82,9.7
York,Austin,female,Hong Kong,9,2022,Publishing copy,2033.5,9.7
Williams,Michael,female,Uzbekistan,11,2020,"Psychologist, educational",1994.52,5.6
Long,Jay,female,Bouvet Island (Bouvetoya),7,2023,Publishing copy,1737.98,7.4
Watts,Bobby,male,Uzbekistan,1,2022,"Psychologist, educational",2084.72,7.7
Hanson,Kevin,female,Canada,7,2022,"Psychologist, educational",2091.51,9.7
Ramos,Brian,male,Uzbekistan,6,2023,Educational psychologist,2050.4,7.5
Salazar,David,male,Chile,8,2022,Educational psychologist,1908.89,6.3
West,Todd,female,Niger,5,2021,Educational psychologist,2042.99,7.3
Thompson,Henry,female,Niger,11,2020,Publishing copy,2163.81,5.7
Austin,Carlos,female,Uzbekistan,12,2021,Music tutor,2030.53,6.6
Mccarty,William,male,Niger,8,2021,Publishing copy,2002.04,6.6
Reyes,Mark,male,Uzbekistan,3,2020,Educational psychologist,1859.14,7.6
Mayer,John,male,Chile,2,2021,Publishing copy,2047.12,7.1
Vasquez,Darryl,male,Niger,10,2020,"Psychologist, educational",2032.94,7.4
Robinson,Noah,female,Uzbekistan,8,2023,Publishing copy,1934.4,5.1
Scott,Mark,female,Chile,9,2021,Music tutor,1913.78,7.5
Adams,Mark,female,Canada,4,2021,"Psychologist, educational",1981.18,7.2
Grimes,Michael,male,Niger,6,2023,Music tutor,2037.48,6.4
Edwards,Marcus,female,Grenada,2,2021,Educational psychologist,1989.28,9.6
Burton,Joseph,male,Niger,12,2020,"Psychologist, educational",2076.8,7.8
Meyer,Kenneth,male,Grenada,8,2020,Music tutor,2186.26,8.7
Adams,Robert,female,Chile,9,2022,Publishing copy,1806.71,8.4
Lindsey,Joseph,female,Uzbekistan,9,2022,Music tutor,2015.07,8.7
Allen,David,male,Niger,3,2023,Educational psychologist,1965.48,7.2
Barnes,Juan,female,Bouvet Island (Bouvetoya),5,2022,Educational psychologist,2011.73,5.2
Guerrero,Juan,male,Canada,9,2020,"Psychologist, educational",1856.36,8.1
Ball,Zachary,male,Niger,6,2022,Publishing copy,1928.09,9.6
Kennedy,David,female,Chile,6,2022,Music tutor,1979.32,7.4
Moore,Matthew,male,Chile,11,2023,Publishing copy,2081.07,8.5
Castro,Alan,female,Hong Kong,6,2020,Publishing copy,1943.45,7.6
Johnson,Jeffrey,male,Bouvet Island (Bouvetoya),12,2022,"Psychologist, educational",1925.53,9.3
Mendez,Jay,male,Chile,5,2023,Publishing copy,2013.05,8.0
Stafford,Jose,female,Chile,7,2022,Educational psychologist,2117.71,6.4
Smith,Joe,male,Canada,10,2021,Music tutor,1813.97,8.2
Mccarthy,Dominic,female,Grenada,9,2020,"Psychologist, educational",1978.46,5.4
Bowman,Darrell,male,Canada,7,2022,Publishing copy,1888.01,9.0
Ross,Luke,male,Chile,11,2023,Music tutor,2001.24,5.2
Deleon,Kevin,female,Canada,5,2021,Educational psychologist,1929.54,8.6
Snyder,Curtis,male,Bouvet Island (Bouvetoya),10,2022,Educational psychologist,1967.7,9.2
Ali,Robert,female,Hong Kong,9,2022,Educational psychologist,1726.24,7.0
Mendez,James,male,Canada,12,2020,Educational psychologist,2047.89,7.7
Lopez,Anthony,male,Grenada,7,2023,"Psychologist, educational",1968.86,5.2
Morrison,Eugene,male,Uzbekistan,7,2021,Music tutor,1996.7,5.7
Waller,Michael,male,Grenada,3,2022,Educational psychologist,1968.57,5.3
Walls,Dennis,female,Canada,12,2021,Publishing copy,1974.3,9.4
Martinez,Tommy,male,Hong Kong,6,2020,Music tutor,1984.36,9.0
Curtis,Randy,female,Bouvet Island (Bouvetoya),7,2023,Educational psychologist,1922.28,5.4
Vaughan,Edgar,female,Niger,7,2023,"Psychologist, educational",2055.54,6.4
Kim,Joseph,male,Uzbekistan,1,2021,Publishing copy,2012.87,6.6
Mathews,Joseph,male,Bouvet Island (Bouvetoya),1,2023,Publishing copy,1989.42,9.7
Lopez,Michael,male,Niger,2,2020,Educational psychologist,2019.36,6.0
Sullivan,Jack,female,Canada,8,2021,Music tutor,1871.84,7.9
Allen,John,male,Chile,9,2022,Publishing copy,1973.92,8.2
Richardson,Harold,male,Canada,1,2020,Music tutor,2128.17,10.0
Barrett,Max,male,Bouvet Island (Bouvetoya),8,2021,Music tutor,1958.05,9.7
Cline,Curtis,male,Chile,1,2023,Educational psychologist,2074.73,7.0
Schwartz,Sean,female,Grenada,12,2023,Publishing copy,2016.03,8.2
Glass,Christopher,male,Niger,11,2023,Educational psychologist,2001.81,10.0
Burns,Joseph,male,Uzbekistan,1,2023,Educational psychologist,2155.3,8.1
Dunn,Marcus,male,Niger,7,2022,Educational psychologist,1996.26,5.3
Jackson,James,female,Grenada,3,2020,"Psychologist, educational",1878.56,5.6
Parker,William,male,Uzbekistan,1,2021,Publishing copy,2091.41,5.7
