last_name,first_name,gender,country,month,year,job,payment,rating
Garcia,William,female,Montserrat,3,2022,Tree surgeon,2012.41,9.3
Owens,James,male,Western Sahara,7,2022,Insurance underwriter,2068.39,6.7
Myers,Tony,male,Eritrea,10,2021,Insurance underwriter,2035.04,8.5
Cross,Glen,male,Timor-Leste,7,2020,Graphic designer,2167.46,7.7
Wright,Darren,male,Western Sahara,6,2022,Artist,2047.61,6.7
Obrien,David,male,Greece,12,2022,Insurance underwriter,1880.38,9.4
Duncan,Kevin,male,Timor-Leste,4,2021,Artist,2028.39,5.3
Marshall,Michael,male,Myanmar,8,2020,Tree surgeon,2021.59,6.7
Johnson,James,male,Greece,3,2020,Artist,2114.48,9.1
White,David,male,Timor-Leste,4,2023,Tree surgeon,1910.89,7.0
Flores,Brett,male,Montserrat,7,2020,Bonds trader,2099.36,9.7
Ruiz,Jason,male,Myanmar,5,2023,Tree surgeon,2138.82,5.7
Cooper,Charles,male,Eritrea,1,2023,Tree surgeon,2019.34,7.7
Coleman,Roger,male,Eritrea,3,2020,Insurance underwriter,1782.31,8.3
Torres,Edward,male,Timor-Leste,5,2022,Insurance underwriter,2037.98,8.4
Adams,Robert,male,Timor-Leste,6,2021,Insurance underwriter,1846.52,7.4
Washington,John,male,Myanmar,5,2020,Tree surgeon,2024.79,5.2
Clark,David,male,Eritrea,10,2023,Artist,1890.79,6.8
Patel,David,male,Eritrea,2,2022,Graphic designer,2052.31,6.0
Morales,Christian,male,Myanmar,3,2023,Artist,1830.89,5.9
Lopez,Ian,male,Timor-Leste,3,2020,Artist,2002.84,6.7
Robles,Jeremy,male,Timor-Leste,8,2023,Tree surgeon,2053.17,8.4
Moody,John,male,Myanmar,5,2021,Bonds trader,1968.82,7.6
Foster,Tyler,male,Montserrat,1,2020,Tree surgeon,1935.94,9.0
Munoz,Robert,female,Eritrea,2,2023,Insurance underwriter,2048.81,5.2
Gutierrez,James,male,Greece,2,2020,Bonds trader,1997.83,10.0
Clark,Eric,male,Timor-Leste,11,2023,Insurance underwriter,1926.04,7.2
Pearson,Michael,female,Greece,9,2023,Tree surgeon,2208.49,9.6
Cherry,Jonathon,male,Eritrea,11,2023,Artist,2022.84,6.5
Salinas,Brian,male,Greece,2,2022,Insurance underwriter,2057.57,8.7
Adams,Jacob,male,Eritrea,8,2022,Artist,2085.3,9.6
Baker,Clifford,male,Eritrea,8,2023,Bonds trader,1905.66,8.6
Wright,Keith,male,Timor-Leste,10,2021,Artist,2138.21,9.8
Arnold,Dylan,male,Timor-Leste,12,2022,Bonds trader,1989.25,5.1
Phillips,Alan,female,Timor-Leste,12,2022,Insurance underwriter,2233.63,6.3
Mitchell,Michael,male,Eritrea,12,2021,Artist,2116.02,5.7
Bernard,Timothy,female,Myanmar,5,2021,Insurance underwriter,1958.73,9.0
Dawson,Robert,male,Timor-Leste,6,2020,Graphic designer,1907.55,7.0
Jackson,Jeremy,male,Eritrea,9,2020,Insurance underwriter,1873.53,9.9
Smith,James,male,Timor-Leste,3,2023,Artist,1997.34,9.2
Beasley,Jonathan,male,Montserrat,10,2022,Bonds trader,1929.35,5.3
Deleon,Christian,female,Western Sahara,10,2020,Artist,1884.45,8.7
Conrad,John,male,Greece,1,2023,Artist,2048.14,8.6
Baldwin,Patrick,female,Myanmar,8,2022,Artist,1987.06,7.8
Williams,David,male,Timor-Leste,5,2020,Insurance underwriter,2064.54,7.4
Tapia,Timothy,male,Myanmar,8,2022,Tree surgeon,1837.37,9.1
Crane,Brian,male,Eritrea,11,2022,Insurance underwriter,2119.83,6.2
Bauer,Dylan,male,Western Sahara,12,2020,Artist,1995.07,9.0
Lopez,Richard,male,Timor-Leste,7,2022,Artist,1942.38,5.0
Murphy,Juan,male,Greece,12,2021,Tree surgeon,2018.99,10.0
Roberts,Kenneth,female,Timor-Leste,12,2020,Artist,1935.06,9.4
Boyd,Derrick,female,Timor-Leste,5,2023,Tree surgeon,1863.56,6.0
Montgomery,Christopher,male,Eritrea,4,2020,Tree surgeon,2043.92,8.6
Rice,Michael,female,Montserrat,5,2022,Insurance underwriter,2025.23,5.8
Coleman,Thomas,male,Montserrat,5,2023,Artist,1908.35,6.0
Hamilton,Jeffrey,male,Eritrea,8,2022,Insurance underwriter,2041.37,6.3
Collins,Louis,male,Myanmar,7,2020,Insurance underwriter,2016.21,5.7
Joseph,Steven,male,Montserrat,10,2023,Bonds trader,2207.39,5.1
Scott,Jacob,male,Eritrea,10,2021,Artist,2122.7,5.3
Mckinney,Jacob,male,Myanmar,11,2023,Insurance underwriter,2063.04,8.3
Holder,Brandon,female,Greece,1,2023,Graphic designer,2099.85,7.5
Harrington,Bobby,male,Timor-Leste,5,2020,Artist,2129.12,5.8
Hall,Jeremy,male,Eritrea,10,2023,Graphic designer,1918.72,5.3
Green,Tony,male,Myanmar,11,2022,Graphic designer,2056.44,7.3
Bennett,Tony,female,Western Sahara,7,2023,Graphic designer,2020.05,8.1
Allen,Scott,male,Eritrea,9,2021,Bonds trader,1897.43,5.7
Dalton,Jason,male,Timor-Leste,7,2021,Bonds trader,2045.27,9.3
Davis,Christian,female,Eritrea,1,2021,Graphic designer,1983.51,6.9
Johnson,Andrew,female,Western Sahara,9,2023,Graphic designer,1880.15,8.0
Morales,Gabriel,male,Eritrea,7,2021,Artist,1917.2,5.9
Johnson,Keith,male,Eritrea,7,2023,Artist,2029.15,8.9
Thompson,Bruce,male,Eritrea,12,2023,Tree surgeon,2037.87,5.7
Clarke,Adrian,female,Myanmar,6,2023,Insurance underwriter,2032.32,6.3
Gomez,Michael,male,Myanmar,4,2020,Tree surgeon,1956.6,8.5
Stewart,Jason,male,Myanmar,8,2020,Artist,1998.88,8.3
Shah,Luis,male,Eritrea,2,2022,Artist,1799.21,7.1
Meza,Anthony,male,Eritrea,5,2022,Artist,2057.32,5.3
Martinez,Juan,male,Western Sahara,8,2022,Bonds trader,2219.0,8.5
Miller,William,male,Montserrat,10,2021,Bonds trader,2038.55,5.1
Hall,Daniel,female,Myanmar,3,2021,Graphic designer,1995.89,8.8
Chen,Francisco,male,Myanmar,4,2023,Insurance underwriter,1939.37,6.9
Long,Raymond,male,Greece,9,2020,Artist,2002.18,10.0
Hill,Joseph,male,Eritrea,7,2023,Insurance underwriter,1935.99,7.9
Swanson,William,male,Myanmar,7,2021,Insurance underwriter,2034.68,9.9
Jackson,Samuel,male,Eritrea,12,2021,Insurance underwriter,1920.23,6.9
Brown,Michael,female,Montserrat,11,2020,Tree surgeon,2096.14,9.3
Webb,Robert,female,Myanmar,12,2021,Insurance underwriter,2101.09,6.7
Lowe,Michael,female,Montserrat,12,2021,Artist,1869.92,8.7
Ross,William,male,Western Sahara,3,2022,Bonds trader,2003.86,8.5
Nichols,James,male,Myanmar,7,2022,Insurance underwriter,2032.61,7.0
Martinez,Alex,female,Montserrat,2,2023,Graphic designer,1941.6,5.7
Lynch,James,female,Timor-Leste,10,2020,Graphic designer,2121.35,9.9
Price,Jason,female,Montserrat,11,2022,Artist,2006.9,9.1
Rhodes,Michael,female,Myanmar,5,2022,Tree surgeon,2156.36,5.2
Hernandez,Brandon,male,Myanmar,4,2020,Bonds trader,2073.2,5.2
Carlson,Michael,male,Timor-Leste,8,2021,Graphic designer,1928.49,8.0
Russo,Frank,male,Timor-Leste,7,2023,Tree surgeon,1945.67,7.8
Moon,Christopher,male,Montserrat,10,2023,Insurance underwriter,1929.53,6.8
Day,Timothy,female,Timor-Leste,4,2020,Artist,2050.58,8.3
Harris,Robert,male,Myanmar,7,2023,Graphic designer,1917.16,8.7
Bass,Steve,female,Western Sahara,8,2020,Artist,2036.57,8.4
Benson,Dakota,male,Greece,8,2022,Bonds trader,1923.41,8.7
Parker,Jack,male,Eritrea,11,2022,Artist,2106.76,6.0
Bridges,Jeffrey,male,Eritrea,2,2021,Insurance underwriter,1930.96,10.0
Bowers,John,male,Greece,4,2022,Insurance underwriter,1771.57,9.9
Guzman,Steven,female,Myanmar,5,2021,Graphic designer,2010.98,7.7
Griffin,David,female,Myanmar,9,2021,Artist,2056.99,9.6
Martin,Thomas,male,Timor-Leste,8,2020,Insurance underwriter,1933.61,5.7
Massey,Gavin,male,Greece,6,2021,Graphic designer,1963.91,10.0
Simmons,Fred,male,Greece,12,2023,Graphic designer,2018.03,9.4
Gates,James,female,Western Sahara,11,2020,Graphic designer,1896.13,6.2
Larsen,Patrick,male,Western Sahara,6,2020,Bonds trader,2040.71,8.9
Walton,Brian,male,Western Sahara,11,2023,Graphic designer,2065.69,6.0
Cardenas,Joe,female,Timor-Leste,3,2022,Artist,1974.35,5.8
Butler,Dan,female,Montserrat,7,2023,Tree surgeon,1948.12,5.7
Davis,Curtis,female,Montserrat,8,2020,Artist,1841.32,7.8
Harris,Anthony,female,Timor-Leste,1,2022,Bonds trader,2040.45,5.5
Phillips,Fernando,male,Eritrea,1,2020,Tree surgeon,2061.07,6.0
Kennedy,Joshua,male,Myanmar,11,2022,Bonds trader,1770.0,7.9
Jones,Taylor,female,Timor-Leste,4,2023,Insurance underwriter,1803.46,8.9
Smith,Michael,female,Montserrat,11,2023,Insurance underwriter,1871.11,6.7
Davis,David,female,Myanmar,4,2022,Insurance underwriter,2085.02,5.7
Robinson,James,male,Myanmar,11,2020,Artist,1917.64,6.4
Young,Robert,male,Myanmar,7,2021,Artist,2113.79,5.8
Orozco,Stephen,male,Myanmar,2,2020,Insurance underwriter,1948.29,6.0
Wilson,Thomas,female,Montserrat,8,2021,Artist,1871.33,9.9
Krause,Mathew,male,Eritrea,1,2023,Insurance underwriter,2141.38,5.8
Buck,Mark,male,Timor-Leste,1,2022,Insurance underwriter,2049.58,8.0
Oneill,David,male,Timor-Leste,7,2021,Tree surgeon,1983.22,8.0
Mason,Christopher,female,Greece,12,2020,Tree surgeon,1968.84,10.0
Nguyen,Michael,female,Timor-Leste,10,2020,Artist,1941.75,8.3
Campbell,Christopher,male,Myanmar,4,2023,Artist,1926.57,8.7
Richardson,Justin,female,Myanmar,1,2020,Bonds trader,2035.92,6.9
Vang,Bryan,male,Eritrea,8,2021,Artist,1913.38,8.3
Knight,Steven,male,Eritrea,5,2020,Artist,2050.1,6.5
Lewis,John,male,Myanmar,6,2021,Insurance underwriter,2036.58,9.7
Williams,Zachary,male,Eritrea,7,2023,Tree surgeon,1901.73,8.5
Clayton,Dan,male,Timor-Leste,3,2023,Tree surgeon,1837.37,9.1
Johnson,Michael,male,Myanmar,8,2021,Insurance underwriter,2284.37,6.0
Gutierrez,Mark,male,Myanmar,5,2021,Artist,1921.79,6.0
Reeves,Mark,male,Montserrat,10,2021,Tree surgeon,1982.73,6.6
Wood,Alejandro,male,Montserrat,5,2023,Insurance underwriter,2153.63,10.0
Jones,Anthony,male,Western Sahara,11,2021,Graphic designer,2007.82,7.2
Davis,William,female,Myanmar,10,2020,Bonds trader,1915.25,5.1
Freeman,Michael,male,Myanmar,7,2023,Graphic designer,2108.54,7.1
Schneider,Matthew,male,Myanmar,1,2022,Insurance underwriter,2084.3,6.2
Gallegos,Matthew,male,Eritrea,2,2023,Tree surgeon,2056.4,7.8
Boone,Dale,female,Eritrea,5,2021,Graphic designer,1985.54,9.7
Coffey,Daniel,male,Eritrea,1,2021,Artist,1967.6,9.8
