last_name,first_name,gender,country,month,year,job,payment,rating
Hayes,Greg,female,Australia,7,2022,Best boy,1930.31,6.3
Reed,Bradley,female,Australia,2,2022,"Lecturer, higher education",1979.88,6.2
Smith,Dennis,female,Northern Mariana Islands,6,2022,Warehouse manager,2128.33,8.1
Preston,Andrew,male,Guatemala,9,2021,Best boy,1992.92,9.4
Ramos,Jesus,female,Guatemala,5,2023,Best boy,1928.23,7.3
Perez,David,female,Macao,9,2021,"Lecturer, higher education",1892.41,6.5
West,Dylan,female,Macao,11,2020,Warehouse manager,1843.67,7.2
Hill,Riley,female,Guatemala,11,2022,"Lecturer, higher education",2097.4,5.7
Edwards,Shane,female,Guatemala,8,2022,"Lecturer, higher education",2018.97,9.2
Wheeler,Gregory,male,Egypt,12,2023,Warehouse manager,2218.97,8.5
Ryan,Joseph,female,Australia,11,2020,Best boy,2131.87,6.0
Casey,Arthur,female,Guatemala,2,2022,Best boy,2106.28,5.1
Rodriguez,Philip,female,British Virgin Islands,9,2022,"Lecturer, higher education",2063.77,7.8
Tran,William,male,Guatemala,4,2022,Warehouse manager,1977.96,5.3
Thomas,Jason,female,Egypt,3,2023,Warehouse manager,2014.21,8.4
Nixon,Scott,female,Macao,11,2021,Warehouse manager,2222.96,9.1
Johnston,Jeremy,female,Northern Mariana Islands,8,2020,Warehouse manager,1989.55,7.3
Phillips,James,female,Egypt,10,2021,Warehouse manager,2070.5,6.8
Ferguson,Michael,male,Guatemala,12,2023,Best boy,1992.9,8.9
Hicks,Randy,female,Guatemala,12,2021,Best boy,1825.56,9.4
Turner,Jacob,female,Northern Mariana Islands,2,2021,"Lecturer, higher education",2022.77,7.3
Jones,Chad,female,Northern Mariana Islands,1,2020,Best boy,2019.55,7.5
Watkins,Jeffrey,female,Northern Mariana Islands,1,2022,Best boy,1993.79,7.3
Cortez,Brian,female,Northern Mariana Islands,7,2020,Warehouse manager,1857.72,6.2
Morris,Chad,female,British Virgin Islands,7,2023,Warehouse manager,2012.58,9.2
Cruz,Russell,female,Egypt,6,2021,Warehouse manager,1972.78,8.7
Kelly,Matthew,female,British Virgin Islands,10,2020,Best boy,1972.58,9.9
Garcia,Jason,female,Egypt,8,2021,"Lecturer, higher education",1983.12,8.2
Harrison,Harold,female,British Virgin Islands,11,2023,Warehouse manager,1969.25,10.0
Hill,Paul,female,British Virgin Islands,3,2022,"Lecturer, higher education",1891.01,10.0
Burton,Jon,female,Guatemala,5,2020,"Lecturer, higher education",2065.35,5.4
Martin,Robert,female,Egypt,11,2022,Best boy,2059.93,8.6
Blankenship,Paul,female,Egypt,10,2022,Warehouse manager,1950.05,7.6
Jones,Jake,female,Northern Mariana Islands,2,2022,Warehouse manager,2009.0,9.4
Salinas,Stephen,female,Egypt,9,2022,Warehouse manager,2083.56,7.8
Hill,Thomas,female,Guatemala,12,2022,"Lecturer, higher education",1902.52,9.6
Lawrence,Christopher,female,British Virgin Islands,12,2021,Warehouse manager,1881.4,10.0
Carrillo,Richard,female,Australia,1,2023,Warehouse manager,1991.36,5.1
Riley,Julian,female,Australia,6,2022,Best boy,2108.7,8.2
Gutierrez,Samuel,female,Egypt,10,2023,Warehouse manager,2052.5,9.0
Anderson,Charles,female,Northern Mariana Islands,8,2023,"Lecturer, higher education",2121.79,8.5
Foley,Ryan,female,Australia,6,2022,"Lecturer, higher education",1992.02,8.8
Lee,Daniel,female,Australia,11,2023,Best boy,2001.84,9.7
Thompson,Donald,female,Northern Mariana Islands,8,2022,Warehouse manager,1882.62,5.9
Gay,David,female,Guatemala,2,2021,"Lecturer, higher education",1877.66,7.2
Smith,Kyle,female,British Virgin Islands,9,2020,Best boy,2022.3,10.0
Mills,Jacob,female,Macao,3,2022,Warehouse manager,2100.76,5.5
Cook,Matthew,female,Egypt,12,2022,"Lecturer, higher education",2020.34,5.6
Gonzalez,David,female,Northern Mariana Islands,7,2021,Warehouse manager,2008.45,8.7
Taylor,David,male,British Virgin Islands,12,2023,Warehouse manager,1975.86,9.2
Walker,Jeffrey,male,Egypt,9,2022,Warehouse manager,1877.17,6.0
Branch,David,female,Northern Mariana Islands,5,2020,Warehouse manager,1860.12,9.4
Webb,Charles,female,Northern Mariana Islands,9,2022,Best boy,1859.81,8.3
Cook,Peter,female,Guatemala,10,2020,"Lecturer, higher education",2153.62,9.5
Callahan,Douglas,female,Egypt,12,2021,Warehouse manager,1980.72,8.0
Hayden,Michael,male,Egypt,4,2021,Best boy,2001.24,8.1
Mcfarland,Thomas,female,British Virgin Islands,6,2021,Warehouse manager,1982.14,9.8
Hoffman,Donald,female,British Virgin Islands,12,2021,"Lecturer, higher education",2199.73,10.0
Mack,Samuel,male,Australia,9,2021,"Lecturer, higher education",2134.2,6.5
Sawyer,Ryan,female,Australia,3,2022,Warehouse manager,1964.44,7.3
Wells,James,male,Guatemala,6,2023,Best boy,1917.62,6.1
Hebert,Robert,male,Egypt,9,2021,Best boy,1964.2,5.4
Cardenas,Philip,female,British Virgin Islands,8,2020,Best boy,1877.44,10.0
Huang,Russell,female,Guatemala,1,2020,Warehouse manager,1861.43,9.6
Hutchinson,John,female,Northern Mariana Islands,4,2021,Warehouse manager,2100.86,6.0
Chavez,Steven,female,Guatemala,8,2022,"Lecturer, higher education",1983.4,6.9
Hernandez,John,female,Guatemala,8,2023,Warehouse manager,2166.1,8.8
Short,Joshua,female,Guatemala,4,2022,"Lecturer, higher education",2135.27,9.9
Black,Gary,female,Northern Mariana Islands,2,2020,"Lecturer, higher education",1992.04,9.6
Reynolds,Jesus,female,Northern Mariana Islands,5,2020,Warehouse manager,1911.13,7.2
