last_name,first_name,gender,country,month,year,job,payment,rating
Franklin,Christopher,male,Macao,12,2022,Operational investment banker,2228.39,9.8
Cooper,Jordan,female,Syrian Arab Republic,8,2022,"Sound technician, broadcasting/film/video",2090.75,9.8
Miller,Steve,male,Egypt,6,2022,Chief Financial Officer,2108.51,9.5
Patterson,Christopher,male,Japan,11,2020,Operational investment banker,1969.03,6.5
Herman,James,male,Afghanistan,9,2021,Radiation protection practitioner,1938.74,7.7
Patterson,Eric,male,Macao,8,2021,Regulatory affairs officer,1756.49,5.6
King,Robert,female,Macao,1,2022,Chief Financial Officer,2049.73,5.1
Mitchell,Michael,male,Northern Mariana Islands,8,2021,Nutritional therapist,2068.99,6.8
Cherry,Victor,male,Afghanistan,12,2023,"Sound technician, broadcasting/film/video",1933.32,9.9
Osborne,Joshua,male,Japan,1,2023,Chief Financial Officer,1930.09,9.7
Gonzalez,Andrew,male,Syrian Arab Republic,10,2022,Radiation protection practitioner,2104.51,7.8
Phillips,Martin,male,Japan,6,2021,Regulatory affairs officer,1795.16,5.2
Graham,Stephen,male,Japan,3,2022,Chief Financial Officer,2098.6,7.4
Gomez,Austin,male,Japan,12,2021,Radiation protection practitioner,2131.73,6.3
King,Brandon,female,Afghanistan,9,2020,Nutritional therapist,1998.43,7.6
Sanchez,Jeffrey,male,Belgium,3,2023,Operational investment banker,2061.05,9.0
Johnson,Daniel,male,Northern Mariana Islands,10,2023,Radiation protection practitioner,1822.25,6.4
Herrera,Anthony,female,Belgium,10,2023,Chief Financial Officer,2062.4,5.9
Johnson,Patrick,female,Afghanistan,7,2021,Nutritional therapist,2063.54,9.5
Thompson,Shane,male,Egypt,2,2020,Radiation protection practitioner,1881.82,7.8
Brown,Thomas,male,Afghanistan,12,2020,Radiation protection practitioner,2047.55,6.1
Foster,Christopher,male,Northern Mariana Islands,11,2023,Nutritional therapist,1989.19,7.4
Reid,Joseph,female,Egypt,6,2021,Radiation protection practitioner,2075.17,7.5
Brown,Jonathan,male,Macao,8,2023,"Sound technician, broadcasting/film/video",1724.13,7.9
Jones,Gregory,male,Syrian Arab Republic,9,2021,Radiation protection practitioner,2059.15,6.4
Rodriguez,Richard,female,Afghanistan,1,2021,Radiation protection practitioner,2114.15,6.0
Avery,Dale,female,Syrian Arab Republic,10,2023,Chief Financial Officer,2009.5,9.4
Chavez,Jonathan,female,Egypt,6,2023,Radiation protection practitioner,1958.95,8.1
Schmidt,Robert,male,Egypt,6,2021,"Sound technician, broadcasting/film/video",1990.63,7.4
Smith,Samuel,male,Japan,2,2022,"Sound technician, broadcasting/film/video",1888.55,8.3
Greene,Shawn,male,Belgium,3,2021,Chief Financial Officer,1916.08,8.2
Glass,Michael,male,Macao,10,2021,Regulatory affairs officer,2053.86,9.4
Oconnell,Kyle,female,Japan,12,2021,Operational investment banker,1876.14,5.1
Melton,Michael,female,Egypt,5,2023,Chief Financial Officer,1927.21,7.5
Sanders,Randall,male,Belgium,5,2023,Radiation protection practitioner,2100.21,9.3
Jones,Ronald,female,Egypt,12,2023,Chief Financial Officer,2034.08,7.4
Moran,John,female,Macao,5,2021,Nutritional therapist,1980.44,6.8
Mills,Nicholas,male,Northern Mariana Islands,5,2021,Chief Financial Officer,1944.03,8.4
Lane,Scott,female,Egypt,12,2023,Operational investment banker,2024.53,10.0
Weiss,Michael,male,Belgium,4,2021,Chief Financial Officer,2074.99,7.7
Cook,Steven,male,Belgium,6,2022,Chief Financial Officer,2095.43,6.6
Wagner,Bradley,male,Syrian Arab Republic,3,2021,Chief Financial Officer,1959.13,7.6
Barajas,Craig,female,Belgium,11,2022,Regulatory affairs officer,2041.86,9.2
Smith,Raymond,male,Japan,4,2022,Radiation protection practitioner,2042.73,6.4
Soto,Gregory,male,Afghanistan,1,2022,Chief Financial Officer,1942.64,7.7
Clayton,Brendan,female,Macao,12,2022,Chief Financial Officer,2087.72,9.5
Bauer,Jesse,female,Japan,3,2020,Chief Financial Officer,2194.15,9.0
Allen,Bob,male,Japan,10,2021,"Sound technician, broadcasting/film/video",2149.5,6.3
Mayer,Brian,male,Japan,7,2022,"Sound technician, broadcasting/film/video",2077.01,10.0
Evans,David,male,Macao,12,2022,Chief Financial Officer,2028.95,6.0
Williams,Christopher,female,Macao,6,2021,"Sound technician, broadcasting/film/video",1962.17,8.5
Ali,Corey,male,Northern Mariana Islands,11,2022,Radiation protection practitioner,1918.71,8.5
Hernandez,Robert,male,Belgium,9,2020,Regulatory affairs officer,2034.9,8.6
Smith,Zachary,male,Afghanistan,5,2020,Chief Financial Officer,1992.08,9.5
Lopez,David,male,Northern Mariana Islands,6,2020,Regulatory affairs officer,2013.4,9.7
Lopez,Christopher,male,Macao,1,2023,"Sound technician, broadcasting/film/video",1893.72,8.5
Hartman,Jeremiah,male,Belgium,3,2021,Radiation protection practitioner,2117.1,6.4
Ellison,George,male,Syrian Arab Republic,2,2023,Regulatory affairs officer,2013.29,7.5
Potter,Zachary,male,Japan,12,2022,Operational investment banker,2150.79,8.9
Obrien,Erik,male,Northern Mariana Islands,4,2020,Radiation protection practitioner,2129.68,6.1
Stephenson,Charles,female,Northern Mariana Islands,7,2023,Radiation protection practitioner,1888.6,9.8
Mason,Brian,female,Egypt,11,2023,Radiation protection practitioner,1857.74,9.5
Richardson,Edgar,male,Belgium,1,2022,Chief Financial Officer,1999.05,7.8
Hunt,Brett,male,Egypt,8,2020,Regulatory affairs officer,2039.52,10.0
Daniels,Daniel,female,Egypt,7,2023,Chief Financial Officer,2143.81,10.0
Jackson,Derek,female,Macao,10,2021,Nutritional therapist,1899.39,5.5
Clark,David,female,Afghanistan,10,2023,"Sound technician, broadcasting/film/video",2104.18,8.7
Williams,John,male,Afghanistan,12,2023,Nutritional therapist,2121.2,6.4
Price,Curtis,female,Macao,12,2022,Radiation protection practitioner,1899.16,5.3
Roberts,Tim,female,Afghanistan,3,2021,Nutritional therapist,1882.71,8.5
Woods,Marcus,female,Japan,1,2023,Nutritional therapist,2017.59,7.6
English,Paul,male,Macao,1,2023,Chief Financial Officer,2004.06,9.7
Wall,Richard,male,Egypt,3,2021,Regulatory affairs officer,2067.97,7.3
Douglas,Douglas,male,Japan,6,2023,Chief Financial Officer,1902.32,7.3
Middleton,Sean,male,Macao,7,2021,Radiation protection practitioner,1977.28,7.9
Mccormick,John,male,Belgium,7,2020,Chief Financial Officer,2015.2,5.7
Patel,Robert,male,Afghanistan,10,2023,Operational investment banker,1996.67,6.1
Singleton,Paul,male,Egypt,12,2022,Nutritional therapist,2084.76,7.9
Ramsey,John,female,Egypt,12,2022,Chief Financial Officer,1969.28,7.1
Sims,George,male,Northern Mariana Islands,5,2020,Regulatory affairs officer,1984.38,9.5
Martinez,Aaron,male,Egypt,2,2020,Nutritional therapist,1934.41,10.0
Le,Tony,male,Egypt,6,2021,Radiation protection practitioner,1902.43,10.0
Brown,Travis,female,Afghanistan,11,2020,Chief Financial Officer,1989.58,9.5
Faulkner,Kevin,male,Macao,6,2021,Operational investment banker,2079.31,8.7
Greene,Evan,male,Macao,5,2022,Regulatory affairs officer,1877.96,5.7
Bender,Michael,male,Egypt,10,2022,Radiation protection practitioner,2155.98,9.6
Boyle,Eric,male,Macao,6,2022,"Sound technician, broadcasting/film/video",1900.95,6.7
Alexander,Ricky,male,Northern Mariana Islands,2,2023,Radiation protection practitioner,2009.72,7.4
Valdez,Robert,female,Egypt,5,2021,Nutritional therapist,1897.8,8.3
Warner,Kenneth,female,Northern Mariana Islands,9,2023,Operational investment banker,2005.85,5.1
Davis,James,male,Egypt,6,2022,"Sound technician, broadcasting/film/video",2016.5,9.5
Steele,Jason,female,Syrian Arab Republic,11,2023,Operational investment banker,2167.1,9.3
Payne,Ryan,male,Macao,7,2022,Radiation protection practitioner,2125.64,7.1
Cordova,James,female,Macao,9,2020,Chief Financial Officer,1979.68,6.4
Wheeler,Sean,male,Afghanistan,5,2020,Nutritional therapist,2006.65,8.8
Macias,Scott,female,Japan,11,2023,Nutritional therapist,1940.17,6.1
Dominguez,Tyler,male,Syrian Arab Republic,1,2023,Chief Financial Officer,1962.43,8.2
Lynch,Jonathan,female,Northern Mariana Islands,5,2021,Regulatory affairs officer,1887.85,9.1
Jones,John,male,Macao,4,2020,Operational investment banker,2045.2,6.3
Brown,Brian,male,Egypt,2,2022,Chief Financial Officer,1956.57,8.4
Brown,Wesley,female,Egypt,6,2022,Chief Financial Officer,2088.28,9.7
Thompson,Eugene,female,Egypt,5,2020,Regulatory affairs officer,2163.23,8.3
Higgins,Joseph,male,Afghanistan,2,2022,Chief Financial Officer,1863.38,5.1
Newman,William,male,Belgium,10,2022,Regulatory affairs officer,2082.79,8.7
Allen,Anthony,male,Belgium,5,2021,Nutritional therapist,1929.37,9.4
Oconnor,James,female,Macao,7,2020,Radiation protection practitioner,2060.98,5.3
Carter,Jeffrey,male,Egypt,11,2023,Radiation protection practitioner,1710.89,9.2
Harding,Cody,male,Afghanistan,4,2022,"Sound technician, broadcasting/film/video",2018.5,7.6
Hunter,Gregory,female,Macao,9,2022,Radiation protection practitioner,2114.35,7.5
Adams,Matthew,male,Macao,5,2022,Nutritional therapist,1939.56,5.4
Hill,Benjamin,male,Afghanistan,12,2022,Radiation protection practitioner,1816.65,6.1
Horne,David,female,Egypt,1,2022,Regulatory affairs officer,2027.7,10.0
Vaughn,Ronald,female,Egypt,6,2021,Radiation protection practitioner,1921.22,9.6
Ryan,Paul,male,Belgium,10,2021,Radiation protection practitioner,1985.47,8.7
Harris,Kenneth,female,Belgium,10,2023,"Sound technician, broadcasting/film/video",2079.71,5.2
Jones,Michael,female,Belgium,10,2021,"Sound technician, broadcasting/film/video",2064.7,7.5
Garcia,Paul,male,Japan,8,2020,Chief Financial Officer,1875.78,7.5
Randolph,John,female,Macao,6,2020,Radiation protection practitioner,1970.84,7.3
Wolfe,Omar,male,Afghanistan,2,2022,Radiation protection practitioner,1921.52,5.8
Meyer,Aaron,male,Afghanistan,4,2023,Radiation protection practitioner,2089.1,8.3
Grant,Colin,female,Northern Mariana Islands,7,2023,Operational investment banker,2042.0,7.4
Thompson,Glenn,female,Egypt,10,2023,Chief Financial Officer,1979.2,10.0
Cruz,Jeremy,male,Afghanistan,12,2020,"Sound technician, broadcasting/film/video",2063.52,6.7
Hanson,James,female,Northern Mariana Islands,6,2022,Chief Financial Officer,2120.41,9.4
Anderson,Christopher,female,Afghanistan,8,2022,Operational investment banker,2039.88,6.3
Saunders,Jonathan,male,Macao,5,2021,Chief Financial Officer,1973.01,8.0
Murray,James,male,Belgium,1,2023,Regulatory affairs officer,2034.39,5.5
Brooks,Jared,male,Belgium,12,2021,Regulatory affairs officer,1899.87,7.4
Allen,Douglas,female,Egypt,9,2020,Nutritional therapist,2007.52,10.0
