last_name,first_name,gender,country,month,year,job,payment,rating
Davis,Dennis,female,Congo,8,2022,Armed forces operational officer,1922.13,7.9
Jennings,Mark,female,India,9,2021,Hydrologist,1963.11,9.8
Sosa,Derek,female,Falkland Islands (Malvinas),7,2022,Hydrologist,1996.87,9.4
Buck,Robert,female,Egypt,1,2022,Hydrologist,2073.18,7.5
Curtis,Andrew,female,Egypt,5,2021,Hydrologist,1899.36,6.0
Peterson,Michael,female,Congo,1,2022,Armed forces operational officer,1917.49,6.0
Kramer,Joshua,female,India,1,2020,Interpreter,2044.22,9.4
Freeman,Richard,female,India,9,2023,Hydrologist,1883.12,10.0
Owens,Alan,female,Egypt,5,2021,Armed forces operational officer,2109.14,9.7
Flores,Aaron,female,Congo,8,2022,Professor Emeritus,1924.2,9.0
Clark,Kevin,female,Falkland Islands (Malvinas),1,2023,Hydrologist,2125.35,9.2
Williams,John,male,India,7,2023,Interpreter,1946.4,10.0
Henry,James,female,Falkland Islands (Malvinas),9,2021,Interpreter,2066.51,8.9
Johnson,Brian,female,Falkland Islands (Malvinas),8,2022,Armed forces operational officer,2090.49,5.6
Lindsey,Jason,female,India,1,2022,Armed forces operational officer,2138.61,10.0
Holt,Justin,female,Egypt,1,2021,Interpreter,2049.14,6.4
Morgan,Zachary,female,Congo,6,2022,Interpreter,1935.93,7.1
Weaver,Darrell,female,Nigeria,6,2023,Hydrologist,2050.26,7.7
Tran,Mark,male,Egypt,6,2023,Interpreter,2116.05,8.6
Bray,Donald,female,Congo,8,2023,Interpreter,1971.5,7.6
Joseph,Robert,female,United States Virgin Islands,5,2022,Hydrologist,2006.0,9.8
Oneill,Joshua,female,Congo,4,2021,Armed forces operational officer,2058.52,6.5
Kirk,Rodney,female,Congo,8,2023,Professor Emeritus,2025.02,8.6
Bartlett,Paul,female,Falkland Islands (Malvinas),9,2022,Interpreter,1977.38,8.3
Burgess,Matthew,female,Falkland Islands (Malvinas),2,2023,Professor Emeritus,2164.04,5.4
Padilla,Michael,female,Falkland Islands (Malvinas),6,2023,Interpreter,1962.85,9.0
Hogan,Michael,female,Egypt,12,2022,Hydrologist,1949.16,7.6
Davies,Chad,female,Egypt,8,2022,Interpreter,2042.42,9.8
Burgess,Cody,female,India,7,2022,Hydrologist,2024.76,7.3
Friedman,Ricardo,female,Falkland Islands (Malvinas),5,2023,Hydrologist,2044.79,6.5
Flynn,Terry,female,Congo,11,2021,Professor Emeritus,2025.95,6.0
Hester,Sean,female,Egypt,11,2021,Armed forces operational officer,1868.66,8.2
Garcia,Joseph,female,Nigeria,7,2020,Hydrologist,2169.29,7.1
Sandoval,Charles,female,Egypt,11,2021,Professor Emeritus,1986.3,6.5
Graham,Robert,female,Congo,9,2022,Armed forces operational officer,2033.66,9.9
Lawrence,Jeffrey,female,India,12,2021,Hydrologist,2073.26,10.0
Rose,Andrew,female,Congo,12,2023,Professor Emeritus,1814.29,7.7
Hall,Michael,female,India,1,2020,Interpreter,1911.96,10.0
Warren,Jacob,female,Congo,9,2020,Professor Emeritus,2161.62,9.6
Warren,Brett,female,Congo,2,2020,Armed forces operational officer,1909.09,8.8
James,John,female,Congo,3,2021,Professor Emeritus,2088.09,7.5
Hanson,John,female,United States Virgin Islands,7,2020,Armed forces operational officer,1961.97,6.5
Hayes,Robert,female,Egypt,5,2022,Hydrologist,2028.84,7.2
Hahn,Matthew,female,India,6,2022,Interpreter,1908.97,10.0
Alvarez,Michael,male,Congo,6,2021,Armed forces operational officer,2008.72,8.1
Young,Phillip,female,Nigeria,8,2021,Hydrologist,1961.35,5.5
Chandler,Richard,female,Egypt,3,2023,Armed forces operational officer,1911.47,6.8
Rivera,Alejandro,female,Egypt,4,2020,Interpreter,2050.75,6.4
Hernandez,Thomas,female,India,5,2020,Armed forces operational officer,1921.81,7.4
Miller,Christopher,male,Falkland Islands (Malvinas),11,2020,Interpreter,2008.82,6.6
Garrett,Christian,female,Nigeria,8,2021,Professor Emeritus,1894.7,8.9
Henderson,Jeffrey,female,Egypt,6,2022,Professor Emeritus,1944.27,8.2
Lindsey,Joseph,female,Falkland Islands (Malvinas),1,2020,Interpreter,1967.41,6.1
Benson,Brent,female,Nigeria,4,2022,Armed forces operational officer,2179.69,5.2
Webb,James,female,India,8,2022,Interpreter,2001.4,7.8
Ford,Carlos,female,Congo,11,2022,Hydrologist,1959.01,8.0
Shaw,Charles,female,Falkland Islands (Malvinas),1,2020,Hydrologist,1914.44,8.0
Juarez,David,female,Falkland Islands (Malvinas),5,2022,Interpreter,1866.56,9.6
Reyes,Nathan,female,Egypt,11,2021,Armed forces operational officer,1948.72,7.9
Brandt,Roberto,female,Nigeria,7,2022,Hydrologist,2088.12,7.2
Phillips,Zachary,female,Nigeria,2,2021,Professor Emeritus,2187.84,6.5
Christian,Shannon,female,Nigeria,4,2022,Interpreter,2032.34,7.7
Roberts,Richard,female,India,7,2022,Professor Emeritus,1984.25,9.9
Nelson,Michael,female,India,5,2022,Professor Emeritus,1951.8,10.0
Campbell,Richard,female,India,6,2021,Interpreter,2010.69,10.0
Lewis,Matthew,female,Congo,7,2023,Interpreter,2046.21,8.5
Chen,Jim,female,India,7,2020,Hydrologist,2124.95,10.0
