last_name,first_name,gender,country,month,year,job,payment,rating
Rich,William,male,Belgium,4,2023,Forest/woodland manager,1781.14,9.4
Scott,Philip,male,Guernsey,10,2022,"Surveyor, building",1961.26,6.3
Anderson,Brandon,female,Kenya,8,2023,"Engineer, civil (consulting)",2045.17,9.0
Krueger,Todd,male,Burkina Faso,6,2020,Forest/woodland manager,1983.13,9.9
Greene,Stephen,male,Togo,12,2020,Forest/woodland manager,2189.24,7.4
Robertson,Kenneth,male,Kenya,9,2022,Technical sales engineer,2182.38,8.8
Scott,Richard,male,Guyana,3,2020,"Secretary, company",2002.54,10.0
Williams,Daniel,male,Togo,1,2021,English as a foreign language teacher,1910.09,7.4
Chavez,Mathew,male,Burkina Faso,4,2022,English as a foreign language teacher,1975.42,8.9
Bradford,Joseph,male,Guyana,4,2022,"Secretary, company",1961.71,8.6
Buckley,Trevor,male,Kenya,12,2020,Technical sales engineer,1936.15,5.7
Barker,Edwin,male,Togo,7,2020,"Engineer, civil (consulting)",1903.84,7.1
Wagner,Brady,male,Guernsey,5,2020,"Surveyor, building",2018.05,8.3
Anderson,Luis,male,Burkina Faso,4,2020,English as a foreign language teacher,1863.97,6.0
Perez,Craig,male,Guernsey,8,2022,"Engineer, civil (consulting)",2145.3,5.8
Bates,Kenneth,male,Senegal,6,2021,"Secretary, company",2043.94,6.0
Rose,Jonathan,male,Kenya,1,2020,Forest/woodland manager,1978.56,9.6
Bond,Daniel,male,Burkina Faso,2,2020,"Surveyor, building",2179.18,5.5
Peterson,Jonathan,male,Guyana,10,2022,"Surveyor, building",1822.4,10.0
Knight,Michael,male,Hong Kong,8,2022,"Surveyor, building",2114.97,7.7
Hopkins,Matthew,male,Guernsey,11,2020,Technical sales engineer,2112.54,8.2
Dillon,Alan,male,Guernsey,5,2021,Forest/woodland manager,1996.88,5.7
Butler,Patrick,male,Hong Kong,12,2020,Forest/woodland manager,2038.98,6.2
Evans,Jacob,male,Guyana,10,2023,Forest/woodland manager,2110.6,10.0
Rivera,Francisco,male,Guernsey,9,2020,"Secretary, company",1971.66,9.4
Bowers,Jason,male,Senegal,5,2022,"Engineer, civil (consulting)",1989.91,7.7
Wilson,Brett,male,Hong Kong,10,2021,"Surveyor, building",2113.44,7.9
Day,Alexander,male,Burkina Faso,11,2021,"Secretary, company",2088.39,6.2
Payne,Nathan,male,Hong Kong,1,2022,"Secretary, company",2119.3,5.2
Mitchell,Thomas,male,Belgium,10,2023,Forest/woodland manager,1923.67,8.6
Terry,Thomas,male,American Samoa,12,2022,English as a foreign language teacher,1991.41,9.7
Knight,Robert,male,Belgium,11,2023,Forest/woodland manager,2033.68,8.7
Carson,Joshua,male,Kenya,8,2021,English as a foreign language teacher,2008.51,5.0
Johnson,Michael,female,American Samoa,1,2022,Forest/woodland manager,2050.67,8.7
Gomez,Anthony,male,Guyana,4,2023,Forest/woodland manager,1959.13,8.0
Hill,Justin,female,Guernsey,9,2020,Forest/woodland manager,1849.06,8.8
Ochoa,Robert,male,Guyana,12,2023,"Engineer, civil (consulting)",2016.68,8.3
Bender,Frank,male,Burkina Faso,6,2020,"Secretary, company",1937.44,6.6
Harmon,Zachary,male,Togo,4,2020,Technical sales engineer,2011.56,6.6
Ponce,Carl,male,Hong Kong,4,2020,English as a foreign language teacher,1951.39,7.8
Haas,Nathan,male,Togo,12,2020,English as a foreign language teacher,2204.65,9.8
Sanchez,James,male,Hong Kong,11,2022,"Secretary, company",1954.54,6.3
Wilson,Jordan,male,Guernsey,7,2023,"Surveyor, building",1962.52,9.1
Howell,James,male,American Samoa,3,2023,English as a foreign language teacher,2046.46,7.7
Sims,Peter,male,Senegal,7,2021,English as a foreign language teacher,2100.55,8.2
Waters,Alexander,male,Hong Kong,9,2021,"Secretary, company",2066.49,9.8
Johnson,Chris,male,Hong Kong,9,2023,"Surveyor, building",2017.28,7.4
Smith,Christian,female,Guyana,3,2023,"Secretary, company",2033.46,7.3
Baker,Mark,male,Togo,9,2023,English as a foreign language teacher,1932.09,8.0
Cook,Richard,male,Kenya,2,2022,Forest/woodland manager,1991.79,10.0
Lara,James,male,Senegal,1,2022,English as a foreign language teacher,1945.69,7.0
Swanson,Michael,male,Belgium,4,2020,English as a foreign language teacher,1959.25,6.7
Ayala,Michael,male,Togo,9,2022,Forest/woodland manager,1994.65,8.7
Rodriguez,Thomas,male,Senegal,6,2023,"Engineer, civil (consulting)",1967.11,5.1
Santiago,Michael,male,Hong Kong,7,2021,"Surveyor, building",2032.62,5.1
Brown,James,female,Belgium,2,2021,English as a foreign language teacher,2067.75,5.2
Dodson,James,male,Togo,8,2023,Technical sales engineer,2037.64,8.9
Ramsey,Gary,male,Guyana,7,2021,Technical sales engineer,1866.78,8.9
Lee,Alexander,male,Senegal,12,2020,Technical sales engineer,2068.83,8.9
Hernandez,Joseph,male,Guernsey,9,2021,"Surveyor, building",2055.61,9.9
Velasquez,Jeffery,male,American Samoa,8,2021,English as a foreign language teacher,1899.8,5.3
Bean,Lawrence,male,Belgium,4,2021,English as a foreign language teacher,1958.2,8.1
Watson,Austin,male,Burkina Faso,5,2020,"Engineer, civil (consulting)",2027.27,9.4
Pena,Jonathan,male,Togo,6,2020,English as a foreign language teacher,1998.31,6.9
