last_name,first_name,gender,country,month,year,job,payment,rating
Perry,Mitchell,female,Guatemala,8,2020,Physiotherapist,1968.66,10.0
Hart,Bryan,female,Tajikistan,2,2023,Petroleum engineer,2061.63,8.8
Wade,David,female,Bahrain,9,2023,Physiotherapist,2148.61,8.8
Smith,Stephen,female,Guatemala,8,2020,Teaching laboratory technician,1922.29,5.0
Colon,Scott,female,Bahrain,6,2022,Petroleum engineer,1947.4,9.5
Parker,Joseph,female,Bhutan,4,2022,Teaching laboratory technician,2024.97,8.8
Gonzalez,Joshua,female,Bahrain,8,2020,Physiotherapist,1916.91,6.1
King,Jack,female,United States Virgin Islands,12,2020,Teaching laboratory technician,1912.06,8.7
Taylor,Christopher,female,Guatemala,1,2023,"Lighting technician, broadcasting/film/video",1964.38,7.3
Shannon,Scott,male,Tajikistan,11,2020,Teaching laboratory technician,2080.78,8.0
Melton,Francisco,female,Bahrain,6,2020,Physiotherapist,1979.99,8.5
Contreras,Kurt,male,Tajikistan,6,2022,Physiotherapist,1966.58,6.6
Watson,John,female,Guatemala,3,2022,"Lighting technician, broadcasting/film/video",2065.34,7.8
Harrington,Joshua,female,Puerto Rico,12,2023,Prison officer,2130.18,10.0
Booker,Jeremy,female,United States Virgin Islands,6,2022,Teaching laboratory technician,2095.6,5.5
Hernandez,Seth,female,Tajikistan,7,2021,Teaching laboratory technician,1968.99,6.9
Holt,John,female,United States Virgin Islands,6,2021,Teaching laboratory technician,2077.36,5.1
Mathews,Mark,female,Bahrain,5,2020,Petroleum engineer,2117.27,7.2
Miller,Justin,female,Guatemala,3,2022,Prison officer,2027.43,9.7
Solis,Michael,female,Puerto Rico,9,2020,"Lighting technician, broadcasting/film/video",1940.36,8.1
Peterson,Anthony,female,Costa Rica,9,2022,"Lighting technician, broadcasting/film/video",1960.67,8.9
Romero,Zachary,female,Bahrain,2,2021,Petroleum engineer,2165.93,8.3
Ward,Anthony,female,Bahrain,11,2022,"Lighting technician, broadcasting/film/video",1919.67,5.6
Allen,Jose,female,Puerto Rico,2,2022,Petroleum engineer,1975.81,7.7
Valencia,Tommy,male,Guatemala,2,2023,Biomedical engineer,1971.88,6.6
Lopez,Samuel,female,Costa Rica,8,2023,Physiotherapist,1808.55,8.9
Fields,William,female,Guatemala,1,2020,"Lighting technician, broadcasting/film/video",1825.74,8.6
Hughes,William,female,United States Virgin Islands,5,2023,Physiotherapist,1949.46,8.5
Payne,Larry,male,Costa Rica,8,2020,Physiotherapist,2093.33,7.6
Lindsey,Austin,female,Bahrain,7,2022,Prison officer,2085.31,9.1
