last_name,first_name,gender,country,month,year,job,payment,rating
Smith,Curtis,male,Yemen,7,2020,"Programmer, systems",1806.76,6.4
Alvarado,David,male,Yemen,6,2021,"Programmer, systems",2051.27,7.2
Patel,Bradley,male,Nigeria,8,2023,Ophthalmologist,2012.5,7.8
Thomas,James,male,Nigeria,7,2022,Ophthalmologist,1934.25,8.4
Martin,Jose,female,Armenia,9,2020,Ophthalmologist,1862.95,8.0
Smith,Frank,male,Nigeria,7,2020,Engineering geologist,1956.19,6.7
Swanson,Mark,female,Armenia,2,2022,Engineering geologist,1959.22,7.9
Schmitt,James,male,Japan,4,2020,Ophthalmologist,1936.58,9.1
Castro,Jordan,female,Armenia,7,2020,"Programmer, systems",2294.81,5.4
Tapia,Douglas,male,Armenia,5,2021,Engineering geologist,2030.04,9.1
Jackson,Robert,male,Nigeria,7,2021,Ophthalmologist,2071.58,7.0
Bradshaw,David,female,Afghanistan,12,2022,Engineering geologist,1971.1,8.8
Long,Brendan,male,Japan,3,2023,"Programmer, systems",2055.96,8.8
Shaffer,Mark,male,Japan,8,2020,Engineering geologist,2012.2,9.0
Duke,Jonathan,male,Nigeria,7,2020,Ophthalmologist,1923.03,5.7
Anderson,George,male,Afghanistan,10,2022,Ophthalmologist,2138.6,7.4
Sanford,John,female,Japan,1,2021,Ophthalmologist,2032.1,10.0
Madden,David,male,Nigeria,2,2021,Engineering geologist,2043.42,5.4
Burke,Lance,female,Armenia,12,2021,Ophthalmologist,2016.17,9.0
Gillespie,David,female,Armenia,2,2021,Engineering geologist,1977.13,5.6
Fletcher,Bryan,female,Armenia,9,2020,"Programmer, systems",2081.47,5.5
Miller,Vincent,female,Yemen,7,2023,"Programmer, systems",1989.49,6.9
Anderson,Jonathan,male,Nigeria,6,2021,Engineering geologist,1901.63,6.3
Hammond,William,male,Nigeria,2,2022,Ophthalmologist,2009.59,5.0
Burns,Joseph,male,Afghanistan,12,2021,Ophthalmologist,1982.61,7.9
Campos,Timothy,male,Japan,1,2021,Ophthalmologist,1889.5,8.6
Bryant,Matthew,male,Japan,12,2023,Ophthalmologist,1828.06,9.6
Vincent,Paul,male,Armenia,3,2023,Ophthalmologist,2052.45,9.5
Medina,Scott,female,Nigeria,9,2021,"Programmer, systems",2054.75,5.5
Flores,Kevin,male,Afghanistan,12,2022,Ophthalmologist,1818.61,8.4
Andrews,Tony,female,Nigeria,4,2021,Ophthalmologist,2112.41,9.4
Gibson,Nicholas,female,Yemen,5,2023,"Programmer, systems",2012.09,7.3
Jackson,Kevin,male,Yemen,5,2021,Engineering geologist,2149.83,8.4
Eaton,Ricky,male,Seychelles,12,2022,Ophthalmologist,1966.96,6.4
Jenkins,Eric,male,Seychelles,11,2023,"Programmer, systems",2115.94,5.9
Frazier,Alan,male,Nigeria,7,2023,Engineering geologist,2022.4,7.1
Williams,Malik,male,Japan,11,2020,"Programmer, systems",2125.45,8.4
Roberts,John,male,Afghanistan,6,2021,Engineering geologist,2015.06,7.9
Jackson,James,male,Yemen,8,2021,Engineering geologist,2006.28,7.3
Young,Mark,female,Armenia,6,2020,"Programmer, systems",2010.55,7.9
Day,Sean,female,Armenia,2,2020,Ophthalmologist,2097.17,9.8
Wall,Jeremiah,male,Seychelles,7,2021,"Programmer, systems",1847.11,7.2
Richmond,Clinton,male,Japan,3,2022,"Programmer, systems",2078.02,8.1
Weiss,William,male,Japan,4,2020,Ophthalmologist,1997.72,7.6
Smith,Seth,female,Nigeria,6,2022,"Programmer, systems",2124.79,7.6
Richards,Corey,female,Armenia,10,2023,Engineering geologist,1964.92,6.1
Mejia,Phillip,male,Afghanistan,12,2021,"Programmer, systems",1648.07,7.9
Moore,Joshua,male,Afghanistan,7,2020,Ophthalmologist,2012.62,6.2
Johnson,Thomas,male,Japan,9,2021,"Programmer, systems",2007.65,9.1
Barron,Robert,male,Afghanistan,1,2020,Ophthalmologist,2125.7,6.9
Howard,Gregg,male,Seychelles,10,2022,"Programmer, systems",1985.5,6.6
Smith,Noah,male,Armenia,6,2023,Ophthalmologist,1833.65,6.1
Jones,Jeremiah,male,Nigeria,4,2023,Ophthalmologist,1902.77,7.8
Rowland,Shawn,male,Afghanistan,9,2021,"Programmer, systems",2114.74,9.0
Keith,Eric,male,Nigeria,7,2023,Ophthalmologist,1749.9,8.4
Walker,Travis,male,Nigeria,4,2022,Engineering geologist,2043.26,9.1
Smith,Matthew,male,Afghanistan,12,2020,"Programmer, systems",1969.22,9.6
Carrillo,Bruce,male,Yemen,8,2023,"Programmer, systems",2026.98,7.1
David,Andrew,female,Japan,7,2021,Ophthalmologist,2041.67,10.0
Hernandez,Joshua,female,Yemen,6,2022,"Programmer, systems",1984.77,7.0
Vang,Edward,male,Yemen,1,2022,Ophthalmologist,1989.28,5.7
Porter,Matthew,male,Armenia,8,2021,Engineering geologist,2005.88,6.9
Dunn,Larry,female,Yemen,6,2022,Ophthalmologist,1935.86,5.1
Watson,Richard,male,Nigeria,9,2022,Ophthalmologist,2009.98,6.7
Gallegos,Leonard,male,Armenia,3,2023,Ophthalmologist,2100.44,6.0
Lee,Michael,male,Armenia,3,2022,Engineering geologist,1764.25,9.1
Ramirez,Jesse,male,Japan,4,2020,Engineering geologist,1975.43,10.0
Gallegos,Julian,female,Armenia,3,2021,Ophthalmologist,2072.79,5.4
Hall,John,male,Nigeria,5,2020,Ophthalmologist,1954.69,9.9
Young,James,male,Yemen,12,2020,Ophthalmologist,2093.07,7.1
Wright,Larry,male,Nigeria,9,2020,Ophthalmologist,1870.67,5.8
Burns,Jesse,male,Nigeria,9,2023,Ophthalmologist,2018.52,7.6
Solomon,Joseph,female,Nigeria,6,2023,Ophthalmologist,1977.0,7.5
Hines,Walter,male,Armenia,1,2020,"Programmer, systems",2018.11,9.2
Yates,Terry,female,Armenia,11,2023,"Programmer, systems",2036.36,9.1
Dawson,Robert,female,Afghanistan,7,2023,Ophthalmologist,1978.44,10.0
Davis,Michael,female,Afghanistan,10,2021,Ophthalmologist,1890.13,5.9
Ritter,Andrew,male,Afghanistan,8,2023,"Programmer, systems",2028.54,5.8
Hall,Pedro,male,Armenia,7,2020,Ophthalmologist,1969.05,7.7
Wheeler,James,male,Nigeria,3,2021,Ophthalmologist,1861.6,6.0
Willis,Daniel,male,Yemen,9,2021,Ophthalmologist,1867.13,7.9
Acosta,Robert,male,Armenia,4,2023,Ophthalmologist,1915.91,6.7
Webster,Russell,female,Nigeria,10,2021,Ophthalmologist,2085.61,9.4
Parrish,Aaron,female,Yemen,9,2021,Engineering geologist,2111.07,8.4
Travis,Isaac,female,Afghanistan,10,2021,Engineering geologist,1866.21,8.4
Walsh,Ralph,male,Yemen,2,2021,Engineering geologist,2074.82,7.1
Jackson,James,female,Armenia,5,2022,Ophthalmologist,2111.5,7.7
Heath,James,male,Japan,12,2020,Ophthalmologist,2122.59,10.0
Bishop,Matthew,female,Armenia,9,2023,Engineering geologist,1906.48,9.0
Bowman,Bruce,female,Afghanistan,7,2021,Ophthalmologist,1971.66,7.2
Barry,Tony,male,Japan,2,2022,"Programmer, systems",1812.95,10.0
Walker,Tyler,female,Nigeria,12,2022,Ophthalmologist,1935.92,7.1
Foster,Tony,female,Yemen,4,2023,"Programmer, systems",1851.67,6.5
Quinn,Richard,male,Afghanistan,6,2022,Ophthalmologist,1928.59,6.8
Pratt,Cody,male,Yemen,5,2023,Ophthalmologist,1982.06,6.7
Robertson,Robert,female,Yemen,12,2021,Ophthalmologist,2013.15,7.4
Tate,Jeffrey,male,Nigeria,4,2021,"Programmer, systems",2055.1,5.7
Pearson,Carlos,female,Seychelles,8,2021,"Programmer, systems",2047.47,7.9
Dean,Ralph,male,Yemen,5,2021,Ophthalmologist,1942.31,5.5
Diaz,Jonathan,male,Afghanistan,5,2022,Engineering geologist,1942.34,6.4
Anthony,Jordan,male,Afghanistan,7,2021,Engineering geologist,1932.85,6.5
Williams,Jared,male,Armenia,8,2023,Ophthalmologist,1886.23,9.0
Rogers,Jeffrey,female,Yemen,1,2023,Ophthalmologist,2170.54,9.5
Flores,Jason,male,Seychelles,7,2020,Ophthalmologist,1951.27,9.7
Davenport,Marcus,female,Nigeria,2,2022,"Programmer, systems",2114.88,6.6
