last_name,first_name,gender,country,month,year,job,payment,rating
Ferguson,Michael,male,Italy,2,2022,Chiropodist,2074.67,6.8
Morrison,Matthew,female,Japan,9,2020,Horticultural consultant,2013.15,10.0
Johnson,Jorge,female,Puerto Rico,5,2022,Cartographer,2221.12,5.4
Bryan,Richard,female,Gambia,6,2022,Cartographer,2030.99,7.0
Hamilton,David,male,Italy,9,2022,Chiropodist,1813.53,7.6
Jones,Walter,female,Puerto Rico,6,2021,Cartographer,2096.75,9.3
Mcdaniel,Richard,female,Italy,10,2021,Horticultural consultant,1902.82,6.8
Byrd,Terry,female,Japan,3,2023,Cartographer,1949.91,5.5
Johnson,Roy,male,Japan,10,2021,Chiropodist,1897.75,5.8
Salinas,William,male,Gambia,12,2023,Horticultural consultant,2062.59,6.4
Gay,Riley,female,Puerto Rico,6,2021,Chiropodist,2028.67,7.0
Lucas,Richard,male,Japan,8,2023,Cartographer,1986.53,9.0
Guerra,Nicholas,female,Japan,3,2020,Cartographer,1944.38,7.0
Hill,Albert,male,Italy,8,2021,Cartographer,1859.19,7.8
Mcdonald,William,female,Gambia,6,2020,Cartographer,2086.97,5.8
Garcia,Alexander,female,Italy,7,2023,Horticultural consultant,1812.47,9.8
Calderon,Darryl,female,Gambia,3,2021,Chiropodist,1860.35,7.6
Summers,Kevin,female,Gambia,2,2020,Cartographer,1946.49,8.7
Hanson,Marc,female,Iraq,4,2023,Cartographer,1969.38,10.0
Jackson,Darren,female,Puerto Rico,7,2023,Horticultural consultant,2099.05,9.2
Day,Eric,female,Iraq,2,2020,Horticultural consultant,2054.0,7.1
Wiggins,Christopher,male,Gambia,1,2022,Cartographer,1969.68,6.2
Chapman,Kenneth,female,Puerto Rico,8,2020,Horticultural consultant,2006.88,8.0
Jones,Michael,female,Puerto Rico,12,2023,Cartographer,2001.53,7.7
Howell,David,female,Japan,10,2023,Horticultural consultant,1939.48,9.7
Chen,Robert,female,Italy,9,2021,Horticultural consultant,1989.71,5.8
Walker,Jesse,female,Gambia,5,2022,Cartographer,1928.11,8.2
Dennis,Jordan,female,Gambia,8,2021,Cartographer,1844.28,8.7
Caldwell,Jason,female,Japan,9,2022,Cartographer,1978.5,5.6
Williams,Charles,female,Gambia,7,2022,Chiropodist,2085.62,9.6
Smith,Justin,male,Italy,9,2023,Cartographer,2186.12,6.7
Perez,Jim,female,Puerto Rico,9,2022,Chiropodist,2031.38,6.9
Johnson,Adam,female,Puerto Rico,4,2022,Horticultural consultant,1950.1,8.2
Stone,Todd,female,Japan,5,2023,Cartographer,1786.73,6.5
Townsend,Daniel,female,Japan,12,2022,Horticultural consultant,1922.86,7.4
Hernandez,Jacob,female,Puerto Rico,3,2021,Chiropodist,1959.12,7.2
Fernandez,Walter,male,Italy,12,2021,Horticultural consultant,1922.91,9.7
Brown,Daniel,female,Gambia,10,2022,Chiropodist,1740.84,8.8
Walker,David,female,Puerto Rico,1,2023,Cartographer,2073.98,5.3
