last_name,first_name,gender,country,month,year,job,payment,rating
Cole,Christopher,female,Slovenia,8,2021,Corporate investment banker,1943.11,8.0
Simpson,Willie,male,Taiwan,1,2021,Air broker,1970.8,6.3
Meyer,Collin,male,Slovenia,5,2023,Corporate investment banker,2014.49,8.6
Silva,Terry,male,Comoros,11,2021,Corporate investment banker,1951.9,10.0
Fisher,Peter,female,Slovenia,10,2023,Air broker,2026.02,8.3
Holder,Robert,female,Albania,8,2020,Corporate investment banker,1943.04,5.7
Clark,Jason,male,Congo,12,2021,Corporate investment banker,1991.73,7.1
Haynes,Kenneth,female,Lithuania,4,2023,Corporate investment banker,2069.63,9.9
Conway,Casey,female,Lithuania,8,2023,Corporate investment banker,1833.42,7.2
Long,Aaron,female,Congo,11,2021,Corporate investment banker,2077.4,5.4
Larson,Angel,male,Comoros,12,2020,Air broker,1749.82,10.0
Gomez,Matthew,male,Albania,9,2020,Air broker,2155.32,9.0
Montgomery,Donald,male,Monaco,5,2021,Corporate investment banker,1999.55,5.2
Clark,William,male,Lithuania,7,2020,Outdoor activities/education manager,2037.36,9.6
Wilson,Nathan,male,Taiwan,12,2022,Air broker,1965.44,5.3
Scott,Jacob,male,Congo,12,2021,Air broker,2097.46,9.0
Santana,Nicholas,female,Slovenia,9,2020,Air broker,1878.84,6.6
Harris,Taylor,male,Comoros,8,2022,Air broker,2023.6,8.4
Martin,Jorge,male,Lithuania,5,2023,Air broker,2090.66,6.0
Moore,Joseph,male,Taiwan,12,2022,Corporate investment banker,2029.24,8.9
Willis,William,male,Slovenia,9,2022,Air broker,1988.4,7.4
Becker,Lee,male,Taiwan,4,2021,Air broker,1846.77,9.2
Harris,Wayne,male,Belgium,8,2023,Air broker,2138.85,7.1
Hall,Peter,male,Belgium,6,2023,Corporate investment banker,1845.79,6.2
Morris,Joel,female,Timor-Leste,7,2020,Corporate investment banker,1982.76,6.8
Duncan,Michael,female,Lithuania,3,2020,Outdoor activities/education manager,2131.23,9.3
Clements,Richard,male,Monaco,9,2020,Corporate investment banker,2149.14,9.1
Alvarez,Jeffrey,male,Belgium,4,2023,Air broker,2188.06,5.3
Warner,Stephen,male,Albania,1,2023,Corporate investment banker,1933.69,6.9
Davis,Daniel,male,Comoros,8,2020,Corporate investment banker,2040.13,9.7
Allen,Adam,male,Congo,10,2020,Corporate investment banker,1929.02,7.8
