last_name,first_name,gender,country,month,year,job,payment,rating
Wilson,Jonathan,male,Lesotho,12,2022,Fitness centre manager,2094.03,9.7
Grant,Ryan,female,Korea,3,2021,Fitness centre manager,1959.47,8.4
Walker,Nathaniel,female,Lesotho,5,2020,Fitness centre manager,1647.48,9.7
Dunn,Cody,female,United Kingdom,7,2020,Farm manager,2104.08,5.2
Hansen,Christian,female,Lesotho,8,2022,"Surveyor, minerals",2045.55,5.4
Medina,Stephen,female,Antarctica (the territory South of 60 deg S),7,2022,"Scientist, forensic",1915.29,6.9
Middleton,Mark,male,Eritrea,1,2022,"Scientist, forensic",2076.9,9.1
Stewart,Joseph,female,Bosnia and Herzegovina,6,2022,Fitness centre manager,1970.72,5.7
Robinson,Earl,female,United Kingdom,1,2023,Farm manager,2094.53,8.0
Wilson,Paul,female,United Kingdom,5,2022,"Surveyor, minerals",1897.89,5.2
Deleon,Jason,female,Bosnia and Herzegovina,2,2022,"Scientist, forensic",1975.27,8.5
Benton,Daniel,female,Antarctica (the territory South of 60 deg S),10,2021,Farm manager,2122.64,7.5
Thompson,Curtis,female,Lesotho,9,2022,"Surveyor, minerals",1940.18,9.0
Chan,Gary,female,Lesotho,12,2023,Farm manager,1933.52,6.8
Ellis,Ruben,female,Korea,12,2023,"Surveyor, minerals",1994.47,5.2
Baker,Kyle,female,Lesotho,2,2022,Fitness centre manager,1951.47,9.0
Walker,John,female,Eritrea,10,2021,"Surveyor, minerals",2003.99,9.0
Mitchell,Matthew,female,Antarctica (the territory South of 60 deg S),2,2022,Farm manager,1998.82,7.4
Thomas,Timothy,female,Korea,4,2021,Farm manager,2098.02,5.1
Harrison,Chad,male,United Kingdom,9,2021,"Scientist, forensic",2038.08,7.3
Lopez,Robert,female,Philippines,9,2020,"Scientist, forensic",2101.38,6.4
Davis,Rick,female,Eritrea,4,2022,Fitness centre manager,1868.86,10.0
Taylor,Michael,female,Tanzania,9,2021,Farm manager,2150.66,9.2
Villarreal,Gregory,female,Lesotho,6,2021,Farm manager,2033.67,8.8
Mcbride,Brandon,female,Lesotho,9,2022,Farm manager,1913.44,8.9
