last_name,first_name,gender,country,month,year,job,payment,rating
Green,Gary,female,Liberia,1,2020,Web designer,2039.43,7.3
Munoz,Bradley,male,British Virgin Islands,10,2022,Web designer,2174.68,6.8
Wood,Ryan,female,British Virgin Islands,7,2023,Web designer,2034.01,9.2
Rice,James,male,Kiribati,4,2022,Solicitor,1964.91,9.4
Robinson,Logan,female,Kiribati,6,2020,Freight forwarder,1994.77,5.5
Reynolds,Joshua,female,British Virgin Islands,6,2021,Solicitor,1730.42,8.1
Calderon,Chase,female,Kiribati,2,2022,Freight forwarder,1975.92,5.3
Vincent,Kenneth,male,Malta,6,2023,Freight forwarder,1965.79,5.7
Leon,David,female,Singapore,12,2022,Solicitor,1937.52,8.3
Smith,Brian,female,Palestinian Territory,12,2020,Web designer,2104.75,9.8
Gordon,Thomas,female,British Virgin Islands,1,2023,Web designer,1954.39,5.7
Rose,Adam,female,Barbados,2,2023,Solicitor,2131.69,7.1
Gonzalez,Daniel,female,British Virgin Islands,1,2020,Freight forwarder,1891.07,6.8
Armstrong,Robert,female,British Virgin Islands,4,2021,Web designer,1874.53,6.1
Howell,Robert,female,Barbados,7,2020,Solicitor,1998.42,7.1
Clark,Jay,female,Liberia,3,2021,Freight forwarder,2114.23,10.0
Murray,Todd,male,Barbados,8,2021,Solicitor,1938.44,6.6
Lane,Jared,male,Barbados,6,2023,Web designer,2148.95,8.9
Kirby,Austin,female,Liberia,6,2021,Web designer,1958.02,6.9
Green,Joe,female,Jamaica,7,2020,Freight forwarder,2180.93,8.9
Fuentes,Chad,female,Jamaica,4,2021,Solicitor,1986.94,9.5
Braun,John,male,Liberia,5,2022,Solicitor,2041.91,6.1
Berger,George,female,British Virgin Islands,7,2021,Freight forwarder,1922.5,5.1
King,William,male,Kiribati,9,2022,Freight forwarder,2106.94,6.0
Sanchez,Samuel,female,Costa Rica,12,2022,Web designer,2050.58,8.0
Frost,Jesse,female,Costa Rica,11,2021,Freight forwarder,2054.86,9.4
Gonzales,William,female,Barbados,3,2020,Web designer,2019.44,7.9
Morgan,Christopher,female,Kiribati,7,2021,Solicitor,1993.12,6.3
Garcia,Michael,female,Malta,5,2021,Freight forwarder,2032.03,7.2
Freeman,Jason,male,Barbados,10,2020,Web designer,1995.09,6.9
Hunt,John,female,British Virgin Islands,12,2022,Web designer,1941.29,9.0
Branch,Michael,female,Kiribati,6,2020,Solicitor,2091.66,5.8
Wilkerson,Marc,female,Singapore,1,2021,Freight forwarder,2012.64,8.2
Cook,David,female,Panama,6,2022,Web designer,2122.59,10.0
Hubbard,Joel,female,Malta,3,2021,Solicitor,2198.98,8.5
Lam,Paul,female,Costa Rica,8,2020,Freight forwarder,1902.79,8.3
Joyce,Stanley,male,Kiribati,9,2023,Web designer,2020.52,6.9
Oconnell,Brandon,male,Barbados,8,2023,Freight forwarder,2258.43,8.9
Chang,Alan,male,Panama,3,2021,Freight forwarder,2119.17,8.5
Cooper,William,female,Liberia,5,2023,Freight forwarder,1932.12,5.3
