last_name,first_name,gender,country,month,year,job,payment,rating
Mahoney,Jason,female,Norway,9,2020,Exercise physiologist,1941.09,6.3
Miller,Joseph,male,Mongolia,3,2023,Soil scientist,2217.7,7.3
Wilkins,Jake,female,Serbia,6,2020,Exercise physiologist,1937.18,7.3
Kane,Jeremy,male,Serbia,5,2022,Technical brewer,2077.18,9.3
Hernandez,Sean,female,Mongolia,3,2021,Technical brewer,2034.37,7.1
Crosby,Alex,male,Serbia,12,2020,Technical brewer,1792.66,7.8
Krause,Christian,female,Mongolia,4,2021,Technical brewer,2069.62,8.0
Barrett,Michael,male,Egypt,1,2022,Technical brewer,2124.81,10.0
Velazquez,Michael,male,Kuwait,2,2021,"Research officer, political party",2092.24,9.8
Yang,Robert,male,Serbia,10,2021,Technical brewer,1687.07,9.3
Mcdonald,Timothy,male,Norway,5,2021,Technical brewer,2067.42,9.2
Booth,Brandon,male,Kuwait,8,2020,Technical brewer,2043.79,8.6
David,Ronnie,male,Norway,11,2023,Exercise physiologist,1841.04,8.5
Sharp,Curtis,female,Mongolia,8,2022,Exercise physiologist,1894.83,6.8
Simon,Antonio,female,Mongolia,1,2021,Technical brewer,1912.48,5.2
Bennett,Samuel,female,Norway,7,2023,Technical brewer,1935.71,5.3
Costa,John,female,Mongolia,8,2020,"Research officer, political party",1985.72,7.5
Bolton,Michael,female,Qatar,3,2020,Exercise physiologist,1868.87,5.4
Gonzalez,Scott,male,Egypt,1,2023,Soil scientist,2101.81,8.0
Williams,Aaron,male,Serbia,11,2022,Exercise physiologist,2014.12,8.8
Obrien,Jay,male,Norway,7,2022,Technical brewer,2175.53,7.7
Benson,Peter,male,Egypt,10,2021,Exercise physiologist,1984.26,7.7
Wilson,Joseph,male,Serbia,4,2022,Soil scientist,2003.26,7.1
Robinson,Wesley,male,Kuwait,8,2021,Exercise physiologist,1808.44,7.8
Nelson,William,female,Serbia,8,2020,"Research officer, political party",2063.12,5.2
Wright,Austin,male,Kuwait,6,2022,Exercise physiologist,2008.48,6.7
Russell,Mark,female,Kuwait,6,2022,"Research officer, political party",2020.5,6.4
Griffin,Matthew,female,Serbia,12,2023,Technical brewer,1951.49,8.0
Cooper,Gregory,male,Kuwait,4,2020,Exercise physiologist,1930.83,6.6
Cole,Alexis,male,Norway,7,2023,Exercise physiologist,1909.13,9.6
Bradshaw,Joshua,male,Kuwait,3,2022,Exercise physiologist,2010.49,5.4
Good,Jay,male,Mongolia,7,2023,"Research officer, political party",1864.27,9.7
Reyes,James,male,Serbia,1,2020,"Research officer, political party",2188.58,8.4
Brown,Daniel,female,Serbia,2,2021,Exercise physiologist,2096.21,8.4
Kirby,Zachary,female,Kuwait,12,2021,Technical brewer,1853.86,9.5
Hernandez,Benjamin,male,Kuwait,5,2022,Exercise physiologist,1960.4,5.5
Harris,Javier,male,Kuwait,8,2023,Soil scientist,1980.16,5.6
Larson,Ryan,male,Norway,6,2023,Exercise physiologist,1897.42,7.2
Lewis,Steven,female,Kuwait,2,2022,Exercise physiologist,2021.26,8.5
Davidson,Jordan,female,Mongolia,12,2022,Soil scientist,2105.29,7.5
Smith,Joseph,female,Norway,8,2022,Soil scientist,2010.01,8.4
Walsh,Curtis,male,Serbia,8,2021,"Research officer, political party",2032.28,9.2
White,Jason,female,Mongolia,6,2023,"Research officer, political party",1836.14,9.9
Pham,Nathaniel,male,Norway,5,2022,"Research officer, political party",1866.98,9.4
Stein,David,male,Serbia,5,2020,Exercise physiologist,2198.39,8.7
Mcmillan,Kyle,male,Mongolia,12,2022,"Research officer, political party",2017.1,8.7
Smith,Ryan,female,Kuwait,6,2021,"Research officer, political party",1890.69,7.8
Miller,Rodney,male,Serbia,5,2020,"Research officer, political party",2097.69,8.3
Romero,Kyle,female,Norway,3,2020,Technical brewer,1925.24,6.1
Smith,Kyle,female,Serbia,12,2021,Exercise physiologist,1840.3,9.1
Ho,Jason,male,Mongolia,5,2022,Exercise physiologist,1858.31,8.7
Jones,Trevor,male,Qatar,2,2021,"Research officer, political party",1958.64,8.5
Long,David,female,Mongolia,1,2023,Exercise physiologist,2158.81,5.5
Wolfe,Shane,male,Serbia,11,2020,Exercise physiologist,1941.69,6.8
Good,Andres,male,Norway,5,2021,Exercise physiologist,1961.17,6.6
Walton,Tony,female,Norway,8,2022,Exercise physiologist,2007.11,8.9
Hebert,Robert,male,Serbia,7,2021,Soil scientist,2156.08,6.6
Oliver,Juan,female,Qatar,12,2021,Exercise physiologist,2108.05,9.9
Mccarthy,Preston,female,Mongolia,8,2022,Exercise physiologist,1938.32,8.3
Landry,Aaron,male,Kuwait,9,2021,Exercise physiologist,1789.13,7.7
Martinez,Jeffrey,female,Serbia,6,2021,"Research officer, political party",1959.59,5.0
Lee,Ryan,male,Mongolia,12,2022,Technical brewer,1804.52,9.3
Jackson,Derek,male,Mongolia,8,2021,Technical brewer,1819.19,8.8
Mason,Rodney,male,Mongolia,5,2022,Soil scientist,1879.7,7.8
Robles,Jacob,female,Kuwait,3,2021,"Research officer, political party",2018.23,5.0
Walker,William,male,Qatar,8,2021,Exercise physiologist,2061.19,8.1
Osborne,Peter,female,Kuwait,3,2020,Technical brewer,2108.23,7.5
Randall,Larry,female,Kuwait,7,2023,Soil scientist,2114.43,7.7
Khan,Kyle,male,Egypt,3,2021,"Research officer, political party",2153.32,7.0
Mcfarland,Andrew,male,Norway,2,2020,Soil scientist,1940.51,9.5
Ware,Jeffrey,female,Kuwait,12,2021,Technical brewer,1942.4,9.2
Perry,Connor,male,Norway,8,2022,"Research officer, political party",2201.74,8.6
Howard,David,female,Mongolia,9,2021,Exercise physiologist,2020.89,7.0
Hamilton,Jacob,female,Qatar,9,2020,Technical brewer,2251.7,5.1
Bentley,Timothy,male,Kuwait,4,2022,Technical brewer,2037.66,9.0
Sanchez,Samuel,male,Kuwait,7,2023,"Research officer, political party",1850.14,7.7
Melendez,John,male,Kuwait,12,2020,Exercise physiologist,2077.92,7.8
Wong,Robert,female,Mongolia,10,2020,Exercise physiologist,2139.72,7.9
Campbell,Donald,female,Norway,6,2023,Technical brewer,1940.58,6.7
Smith,Steven,female,Qatar,9,2023,Soil scientist,1973.5,8.9
King,Steven,female,Mongolia,6,2020,"Research officer, political party",2057.38,9.7
Sullivan,Manuel,female,Kuwait,2,2020,"Research officer, political party",2039.48,7.1
Klein,James,male,Mongolia,7,2022,"Research officer, political party",1933.79,9.1
Montgomery,Carl,male,Kuwait,2,2021,Soil scientist,1915.24,7.2
