last_name,first_name,gender,country,month,year,job,payment,rating
Palmer,Joseph,male,Haiti,12,2022,"Psychotherapist, dance movement",2150.45,5.7
Lopez,Chase,male,Haiti,3,2021,Advice worker,1987.43,8.7
Black,Jeremy,male,Haiti,12,2021,Advice worker,2040.73,5.3
Obrien,Kenneth,male,Haiti,1,2020,"Psychotherapist, dance movement",2009.32,7.8
Carr,Edward,male,Greenland,6,2021,"Psychotherapist, dance movement",2119.83,9.0
Miller,Robert,male,Mauritius,10,2021,"Buyer, retail",1935.68,10.0
Day,Joseph,female,Ghana,11,2021,"Buyer, retail",2032.5,9.9
Hooper,Jared,male,Haiti,10,2020,Advice worker,2012.95,7.4
Hood,Joseph,male,Mauritius,6,2020,Senior tax professional/tax inspector,1771.02,7.7
Roberts,Stephen,male,Greenland,7,2023,"Engineer, materials",1896.46,6.5
Walker,Austin,male,Ghana,6,2022,Senior tax professional/tax inspector,1866.07,7.0
Stafford,Tommy,male,Andorra,2,2023,"Psychotherapist, dance movement",2031.83,5.3
Schultz,Adam,male,Haiti,3,2021,"Buyer, retail",2057.54,7.2
Lewis,Christopher,male,Mayotte,8,2020,"Buyer, retail",1994.28,5.9
Williams,Alex,female,Mayotte,4,2023,"Psychotherapist, dance movement",2055.28,5.4
Campbell,Keith,male,Greenland,10,2021,Advice worker,2162.05,6.3
Shaw,Sean,female,Greenland,6,2022,"Buyer, retail",1978.75,7.1
Garcia,James,male,Greenland,11,2020,"Engineer, materials",1877.18,7.3
Miller,Alan,male,Haiti,5,2022,"Psychotherapist, dance movement",2056.72,6.4
Gallegos,Michael,female,Greenland,1,2020,Advice worker,1910.42,9.0
Blankenship,James,female,Mauritius,4,2020,"Psychotherapist, dance movement",2066.9,10.0
Johnson,Eric,male,Haiti,6,2022,"Psychotherapist, dance movement",1955.08,6.5
Holder,Luis,male,Haiti,10,2021,Advice worker,1887.27,6.8
Gray,Timothy,male,Mauritius,7,2021,Advice worker,1852.52,9.0
Dawson,Roy,female,Ghana,3,2023,Advice worker,1956.47,9.0
Alvarez,Robert,female,Mayotte,6,2020,Advice worker,2003.28,8.4
Fox,Timothy,male,Greenland,12,2020,Senior tax professional/tax inspector,2098.98,6.6
Morris,Joshua,male,Greenland,10,2023,Senior tax professional/tax inspector,1984.31,8.0
Robinson,Ryan,male,Andorra,10,2023,"Engineer, materials",1994.51,7.6
Branch,Kenneth,male,Haiti,3,2023,Financial controller,2099.79,5.9
James,Donald,female,Haiti,5,2023,"Buyer, retail",1771.75,9.2
Booker,Jorge,male,Mayotte,8,2023,Financial controller,2132.51,8.3
Howard,Timothy,male,Haiti,8,2020,Financial controller,2040.18,9.9
Rojas,David,male,Ghana,11,2023,"Psychotherapist, dance movement",1889.87,6.0
King,Jesus,male,Mayotte,1,2023,"Buyer, retail",1983.49,8.0
Rose,Jamie,male,Greenland,9,2023,"Psychotherapist, dance movement",2133.59,9.7
Adams,Mario,male,Andorra,9,2022,Senior tax professional/tax inspector,2173.46,6.3
Mccoy,Aaron,male,Mauritius,3,2022,"Psychotherapist, dance movement",2102.46,10.0
Pruitt,Carlos,male,Mauritius,5,2022,"Psychotherapist, dance movement",1922.06,9.9
Palmer,Jerry,male,Haiti,1,2021,"Buyer, retail",1876.17,9.3
Rodriguez,Gregory,male,Haiti,12,2022,"Engineer, materials",1963.16,7.5
Hanson,Hunter,male,Mauritius,5,2022,Senior tax professional/tax inspector,2191.84,10.0
Parker,Daniel,male,Mauritius,4,2022,Senior tax professional/tax inspector,1862.77,9.1
Leach,Dylan,female,Andorra,3,2021,"Buyer, retail",2094.99,8.1
Freeman,Michael,female,Ghana,1,2022,Senior tax professional/tax inspector,2161.56,9.5
Fowler,Andrew,male,Mauritius,4,2023,Financial controller,2034.5,9.4
Watson,John,male,Haiti,6,2022,Advice worker,1954.8,8.4
Odonnell,Tyler,male,Andorra,5,2021,"Buyer, retail",1913.34,5.9
Carr,Travis,male,Mauritius,3,2023,"Engineer, materials",1823.12,10.0
Watson,Christopher,male,Greenland,9,2022,Financial controller,2039.45,5.1
Tran,Matthew,male,Haiti,8,2021,Advice worker,1991.32,6.4
Williams,Kevin,male,Andorra,12,2022,Advice worker,1991.48,9.3
Johnson,David,male,Ghana,2,2021,"Buyer, retail",1948.37,9.2
Collins,James,male,Andorra,7,2023,"Psychotherapist, dance movement",1874.89,8.5
Russell,John,female,Andorra,11,2020,"Engineer, materials",2093.51,6.3
Aguilar,John,male,Haiti,6,2023,"Buyer, retail",1975.57,8.8
Gray,Randall,male,Mauritius,7,2021,Financial controller,1951.24,7.3
Nielsen,Willie,male,Mayotte,2,2022,"Psychotherapist, dance movement",2007.15,9.0
Miller,Joshua,male,Haiti,1,2022,Advice worker,2017.66,7.6
Murray,Bryan,male,Andorra,5,2021,"Buyer, retail",2110.31,7.7
Grimes,Benjamin,male,Ghana,1,2020,Advice worker,2090.6,7.3
Acosta,Brian,female,Mauritius,8,2021,"Psychotherapist, dance movement",2103.75,8.0
Benton,David,male,Haiti,1,2021,"Engineer, materials",2190.1,8.8
Boone,Russell,male,Greenland,8,2022,Advice worker,2121.64,9.6
Shah,Stephen,male,Mayotte,12,2021,"Psychotherapist, dance movement",2267.83,8.0
Brown,Robert,male,Mauritius,8,2022,"Psychotherapist, dance movement",1974.15,9.4
Jones,Jeffrey,male,Ghana,3,2023,"Psychotherapist, dance movement",2096.75,8.8
Le,Jeremiah,male,Ghana,12,2023,"Engineer, materials",1805.25,5.7
Kim,Timothy,female,Greenland,2,2022,"Buyer, retail",2069.81,9.0
Schneider,Sean,male,Greenland,7,2022,Advice worker,2157.44,8.7
Lawson,Jackson,male,Mauritius,8,2023,Advice worker,1900.9,10.0
Baxter,Brett,male,Mayotte,12,2021,"Psychotherapist, dance movement",2040.2,9.3
Christian,Joel,female,Mayotte,6,2023,Senior tax professional/tax inspector,1895.66,7.7
Nicholson,Peter,male,Ghana,3,2020,Advice worker,1831.55,7.6
Jackson,Matthew,female,Mauritius,10,2020,"Psychotherapist, dance movement",1956.58,10.0
Ortega,Daniel,male,Mayotte,4,2023,Senior tax professional/tax inspector,2107.75,7.9
Barton,Bruce,male,Mauritius,7,2023,Advice worker,2032.51,8.4
Ray,Arthur,male,Ghana,3,2023,"Buyer, retail",2128.91,9.3
Lowery,Matthew,male,Mauritius,6,2021,Senior tax professional/tax inspector,2152.17,10.0
