last_name,first_name,gender,country,month,year,job,payment,rating
Kelley,Jonathan,female,Jordan,7,2023,Psychiatric nurse,2054.86,6.0
Porter,Taylor,male,Jordan,10,2022,Marketing executive,1957.6,9.2
Collins,Gary,female,Grenada,9,2022,Amenity horticulturist,1904.11,6.3
Jackson,Jeffrey,male,Jordan,2,2020,"Engineer, materials",2128.94,8.9
Lawson,Matthew,male,Burundi,12,2022,Amenity horticulturist,1843.62,6.2
Johnson,Jeffrey,male,Bosnia and Herzegovina,12,2022,"Engineer, materials",1960.49,10.0
Smith,Ryan,female,Burundi,10,2021,Chartered certified accountant,1958.9,8.6
Malone,Miguel,male,Grenada,9,2020,"Engineer, materials",2141.16,9.6
Barron,Jeffrey,male,Burundi,10,2023,Chartered certified accountant,2002.13,5.2
Wagner,Juan,female,Burundi,12,2021,Psychiatric nurse,1975.75,5.7
Reynolds,Joshua,female,Bosnia and Herzegovina,8,2022,Marketing executive,1883.01,8.2
Erickson,David,male,Bosnia and Herzegovina,7,2022,"Engineer, materials",1994.39,10.0
Zhang,Kevin,male,Jordan,7,2022,Barrister's clerk,1814.72,8.7
Bradley,Matthew,female,Grenada,5,2023,Amenity horticulturist,1949.23,7.5
Miller,David,male,Grenada,10,2020,Marketing executive,1922.38,6.2
Jenkins,Anthony,male,Bosnia and Herzegovina,1,2020,Chartered certified accountant,2050.13,8.7
Cooper,Gabriel,female,Grenada,7,2023,Amenity horticulturist,1815.56,9.5
Mckinney,Alex,male,Bosnia and Herzegovina,9,2022,Amenity horticulturist,2182.6,7.3
Franklin,Brian,female,Bosnia and Herzegovina,8,2020,Barrister's clerk,1860.17,9.1
Young,George,male,Grenada,5,2021,Marketing executive,2024.92,9.1
Davis,Reginald,male,Grenada,4,2020,Chartered certified accountant,2075.02,6.1
Nelson,David,female,Burundi,11,2020,"Engineer, materials",2101.4,5.5
Khan,Brent,male,Grenada,8,2023,"Engineer, materials",1878.91,8.3
Molina,James,female,Grenada,10,2021,Psychiatric nurse,2146.02,7.0
Johnson,Christopher,male,Burundi,7,2022,Marketing executive,1997.25,6.1
Osborne,Marc,female,Bosnia and Herzegovina,9,2021,Barrister's clerk,2147.88,8.6
Perry,Vincent,male,Mexico,2,2022,"Engineer, materials",2223.46,6.8
Wright,Michael,female,Jordan,6,2023,Amenity horticulturist,2190.27,8.5
Sanchez,Ernest,male,Grenada,11,2023,Amenity horticulturist,1934.34,5.9
Olson,Timothy,female,Mexico,1,2023,Chartered certified accountant,1976.14,9.4
Morgan,Bryan,male,Burundi,11,2023,Amenity horticulturist,1944.47,8.4
Donovan,Howard,male,Jordan,6,2021,Psychiatric nurse,1932.02,9.4
Sanford,Robert,female,Burundi,5,2020,Barrister's clerk,1940.69,6.7
Peterson,Tony,female,Grenada,6,2020,Barrister's clerk,2043.84,5.5
Cox,David,female,Grenada,9,2021,Barrister's clerk,1985.19,7.7
Ball,David,female,Grenada,5,2020,Psychiatric nurse,1952.38,7.3
Murphy,Anthony,female,Burundi,11,2020,Barrister's clerk,2063.29,7.0
Walls,John,male,Mexico,3,2022,Chartered certified accountant,2058.38,6.4
Gonzales,Anthony,male,Grenada,6,2021,Marketing executive,1852.79,5.9
Allen,Patrick,female,Bosnia and Herzegovina,3,2021,Barrister's clerk,1830.15,10.0
Walter,Clinton,female,Burundi,9,2020,Marketing executive,1924.78,8.9
Bush,Ronald,male,Bosnia and Herzegovina,3,2023,Barrister's clerk,1981.91,10.0
Moore,Allen,male,Grenada,12,2020,Psychiatric nurse,2181.07,6.6
Singh,Adam,male,Burundi,5,2023,"Engineer, materials",1998.69,8.2
Bush,Jermaine,male,Jordan,3,2021,Chartered certified accountant,1996.86,8.8
Smith,Kevin,male,Jordan,5,2023,Barrister's clerk,2088.3,5.1
Williams,Edward,male,Mexico,5,2023,Marketing executive,1991.36,8.4
Proctor,Rodney,male,Jordan,4,2023,"Engineer, materials",1783.96,5.5
Rocha,Michael,female,Grenada,1,2023,"Engineer, materials",1978.71,7.1
Jones,Steven,male,Jordan,5,2021,Chartered certified accountant,1904.42,8.0
Simpson,Chad,male,Mexico,5,2020,Amenity horticulturist,1890.26,9.0
Bell,Eric,male,Bosnia and Herzegovina,12,2022,Chartered certified accountant,1937.06,8.5
Lucas,Jeff,female,Burundi,6,2023,Barrister's clerk,1978.54,7.9
Moore,Christopher,male,Bosnia and Herzegovina,9,2022,"Engineer, materials",2043.65,10.0
Barajas,Joel,female,Burundi,10,2022,Chartered certified accountant,2026.02,5.6
Hart,Steven,male,Bosnia and Herzegovina,6,2021,Marketing executive,2014.88,10.0
Foster,Michael,female,Burundi,12,2023,"Engineer, materials",2072.65,9.5
Woodward,Michael,female,Bosnia and Herzegovina,5,2023,Amenity horticulturist,1838.23,10.0
Soto,Thomas,male,Grenada,9,2020,Psychiatric nurse,1900.57,5.9
Smith,Roy,male,Grenada,6,2022,Amenity horticulturist,2027.88,9.2
Bailey,Jonathan,female,Bosnia and Herzegovina,12,2021,Marketing executive,2102.1,10.0
