last_name,first_name,gender,country,month,year,job,payment,rating
Simon,William,male,Mayotte,3,2021,"Designer, ceramics/pottery",1943.08,8.5
Fitzgerald,David,male,Bahrain,7,2021,Field trials officer,2009.47,9.7
Tucker,Carlos,male,Benin,3,2022,Field trials officer,2175.78,5.9
Ward,Austin,male,United Arab Emirates,12,2020,"Designer, ceramics/pottery",1834.79,8.0
Murphy,Earl,male,Benin,7,2020,"Designer, ceramics/pottery",1785.26,6.1
Anderson,Jeremy,male,Angola,7,2021,Field trials officer,1978.95,9.8
Brown,Raymond,male,Azerbaijan,12,2023,"Designer, ceramics/pottery",1813.05,5.8
Hines,William,male,Azerbaijan,5,2022,"Designer, ceramics/pottery",1931.48,6.5
Rogers,Martin,male,United Arab Emirates,3,2020,"Designer, ceramics/pottery",1999.38,7.5
Martin,Christopher,male,Benin,4,2021,"Designer, ceramics/pottery",1994.72,5.8
Scott,Eugene,male,Azerbaijan,12,2023,Field trials officer,2076.84,5.4
Young,Brandon,male,Angola,7,2020,Field trials officer,1847.42,5.8
Thompson,Jason,male,Benin,6,2021,Corporate treasurer,2216.13,8.2
Ramirez,Jonathan,male,Cote d'Ivoire,3,2021,Field trials officer,2077.25,6.2
Pineda,Andrew,male,Benin,3,2023,"Designer, ceramics/pottery",1901.33,8.0
Dixon,Wesley,male,Angola,5,2021,Field trials officer,2088.16,8.8
Love,Joel,female,Mayotte,10,2021,"Designer, ceramics/pottery",1892.37,6.4
Adams,Gabriel,male,United Arab Emirates,3,2023,Corporate treasurer,2083.25,9.8
Munoz,Mark,male,United Arab Emirates,11,2021,"Designer, ceramics/pottery",1873.9,8.8
Bennett,Bradley,male,Cote d'Ivoire,12,2021,Corporate treasurer,2324.24,9.2
May,Brandon,male,Angola,4,2020,Field trials officer,1962.08,6.5
Cobb,Kenneth,male,Benin,7,2022,"Designer, ceramics/pottery",1861.75,9.7
Weaver,James,male,Mayotte,9,2020,"Designer, ceramics/pottery",1978.87,9.1
Tate,Christopher,male,Azerbaijan,7,2022,Corporate treasurer,2008.38,5.7
Wallace,Travis,male,Angola,7,2022,"Designer, ceramics/pottery",2047.14,8.8
Craig,Scott,male,Bahrain,6,2020,"Designer, ceramics/pottery",1873.09,7.6
Roberts,Michael,male,Azerbaijan,3,2021,Field trials officer,2106.45,5.3
Armstrong,Jared,male,Mayotte,11,2022,Field trials officer,2030.85,5.2
Gill,Gary,female,Rwanda,6,2020,"Designer, ceramics/pottery",2046.58,9.6
Adkins,Matthew,male,Bahrain,6,2022,"Designer, ceramics/pottery",1774.8,10.0
Flores,Ryan,female,Benin,11,2023,"Designer, ceramics/pottery",2000.82,8.5
Kelley,Richard,female,Peru,6,2021,Field trials officer,2064.89,5.5
Terrell,William,female,Bahrain,5,2021,"Designer, ceramics/pottery",1977.81,8.9
Drake,Andrew,male,Cote d'Ivoire,5,2022,Field trials officer,2160.28,8.8
Hall,Robert,female,Rwanda,4,2023,Corporate treasurer,1874.74,7.5
Deleon,Rodney,male,Angola,12,2020,Field trials officer,1978.88,6.1
Jimenez,David,male,Cote d'Ivoire,7,2021,"Designer, ceramics/pottery",1984.33,9.9
Jacobs,Jared,male,Bahrain,2,2023,Field trials officer,2058.41,10.0
Gardner,Matthew,male,Rwanda,12,2021,"Designer, ceramics/pottery",1971.59,5.3
Thompson,Bradley,male,Benin,6,2023,Corporate treasurer,2035.17,7.0
Compton,Bradley,male,Mayotte,9,2021,"Designer, ceramics/pottery",1996.6,6.3
Gallegos,Gabriel,male,Angola,9,2023,Field trials officer,2021.57,6.2
Lucas,Miguel,male,Azerbaijan,3,2022,"Designer, ceramics/pottery",2131.3,7.1
Bean,Charles,male,Cote d'Ivoire,7,2022,"Designer, ceramics/pottery",2065.65,8.9
Stewart,Charles,male,Angola,10,2020,Corporate treasurer,2007.62,6.2
Melton,Thomas,female,Bahrain,2,2021,"Designer, ceramics/pottery",1995.98,10.0
Clark,George,male,Cote d'Ivoire,8,2022,Field trials officer,2132.35,10.0
Hall,Richard,male,Cote d'Ivoire,1,2022,"Designer, ceramics/pottery",2041.72,5.6
Farmer,Austin,male,Benin,12,2022,Field trials officer,1948.74,5.8
Simpson,Robert,male,Peru,2,2020,"Designer, ceramics/pottery",1950.82,6.5
Rivera,Mitchell,female,Azerbaijan,1,2023,"Designer, ceramics/pottery",2120.9,8.8
Mueller,Bobby,male,Bahrain,7,2020,"Designer, ceramics/pottery",2008.19,10.0
Phillips,Cameron,male,Peru,3,2023,"Designer, ceramics/pottery",2120.48,9.2
Smith,Scott,male,Cote d'Ivoire,8,2020,"Designer, ceramics/pottery",2066.3,6.1
Dyer,Robert,male,Rwanda,4,2020,"Designer, ceramics/pottery",2076.18,7.8
Jackson,David,male,Azerbaijan,5,2023,"Designer, ceramics/pottery",1971.34,7.8
Rogers,Antonio,male,United Arab Emirates,10,2020,"Designer, ceramics/pottery",2003.59,5.9
Wu,Eric,male,Azerbaijan,11,2020,"Designer, ceramics/pottery",2008.19,9.6
Smith,William,female,Benin,12,2023,"Designer, ceramics/pottery",2019.65,8.3
Lee,Joshua,male,Mayotte,11,2020,"Designer, ceramics/pottery",2031.58,9.3
Simmons,Ryan,female,Rwanda,7,2023,"Designer, ceramics/pottery",1925.95,9.0
Calderon,Taylor,male,Cote d'Ivoire,7,2021,"Designer, ceramics/pottery",2167.55,8.5
Russell,Mark,male,Cote d'Ivoire,4,2020,Corporate treasurer,1904.32,7.8
Roberts,Steven,male,Peru,10,2023,Field trials officer,1951.64,6.6
Terrell,Patrick,male,Cote d'Ivoire,7,2021,"Designer, ceramics/pottery",1936.47,8.9
Short,Edward,male,Azerbaijan,10,2022,Corporate treasurer,1989.31,9.9
White,Austin,male,Angola,6,2022,Field trials officer,2165.56,5.5
Johnson,William,male,Cote d'Ivoire,3,2020,"Designer, ceramics/pottery",1977.35,6.4
Huff,Roger,female,United Arab Emirates,2,2023,Corporate treasurer,1877.63,5.4
Schmitt,Lucas,male,Azerbaijan,4,2023,"Designer, ceramics/pottery",2035.4,7.8
Evans,Willie,male,Angola,7,2020,"Designer, ceramics/pottery",1822.53,5.9
Baker,Thomas,male,Mayotte,10,2023,"Designer, ceramics/pottery",2195.17,5.1
Benjamin,Blake,male,Azerbaijan,3,2022,Corporate treasurer,2104.3,7.1
Thompson,Kevin,female,Cote d'Ivoire,11,2022,Corporate treasurer,2022.47,6.1
Pearson,Travis,male,Bahrain,4,2021,"Designer, ceramics/pottery",2014.06,10.0
Bailey,Dustin,male,Benin,5,2020,Corporate treasurer,2076.88,9.1
Wiggins,Adam,male,Cote d'Ivoire,9,2020,Field trials officer,1875.76,10.0
Grant,Jeffrey,male,United Arab Emirates,5,2023,"Designer, ceramics/pottery",2054.18,7.8
Rivas,Robert,male,Mayotte,4,2022,Field trials officer,2080.7,7.7
Wilson,Chad,male,Peru,7,2022,Field trials officer,1895.73,8.5
Montoya,Christian,male,Benin,12,2021,Corporate treasurer,2027.01,8.6
Salinas,Michael,male,Benin,11,2022,Field trials officer,1928.99,7.6
Chaney,Tony,female,Cote d'Ivoire,11,2021,Corporate treasurer,1916.97,8.3
Ellis,Joshua,female,Peru,7,2020,Field trials officer,2085.24,6.6
Salinas,Raymond,female,Mayotte,5,2020,Corporate treasurer,2021.56,7.3
Brock,Aaron,male,Cote d'Ivoire,1,2022,"Designer, ceramics/pottery",1998.36,8.2
Martin,Dave,male,Angola,7,2021,"Designer, ceramics/pottery",1780.24,9.7
Rodriguez,Andrew,male,Bahrain,6,2020,"Designer, ceramics/pottery",2060.31,10.0
Hopkins,Garrett,male,Benin,6,2020,Field trials officer,1994.88,6.3
Bowman,Daniel,male,Cote d'Ivoire,9,2021,Field trials officer,2039.36,7.1
Michael,John,male,United Arab Emirates,6,2023,"Designer, ceramics/pottery",1869.68,9.6
Mays,Cory,male,Cote d'Ivoire,8,2021,Corporate treasurer,1885.09,9.0
Campbell,Richard,male,Mayotte,4,2023,Field trials officer,2053.38,6.0
Moreno,Anthony,male,Peru,6,2022,Field trials officer,1946.93,7.1
Peterson,Roy,male,Cote d'Ivoire,2,2022,"Designer, ceramics/pottery",2004.85,5.5
Gay,Paul,male,Mayotte,5,2022,Corporate treasurer,1937.41,7.8
Holloway,Eric,male,Benin,5,2021,"Designer, ceramics/pottery",1931.96,6.1
Ramsey,John,male,Angola,6,2021,"Designer, ceramics/pottery",1934.07,6.2
Irwin,George,male,Benin,5,2022,Field trials officer,1947.78,6.0
Stevens,Michael,male,Bahrain,9,2021,"Designer, ceramics/pottery",2068.01,10.0
Taylor,Robert,male,United Arab Emirates,11,2020,Corporate treasurer,1938.61,5.8
Coleman,Richard,female,Angola,5,2021,"Designer, ceramics/pottery",1969.93,7.3
Morris,Michael,female,United Arab Emirates,5,2020,Corporate treasurer,1740.08,7.9
