last_name,first_name,gender,country,month,year,job,payment,rating
Johns,William,male,Mexico,11,2022,"Education officer, museum",2122.46,8.6
Knight,Alex,female,Zambia,10,2021,"Research officer, political party",2056.13,5.3
Smith,Ryan,male,New Caledonia,12,2022,"Lecturer, further education",1967.61,6.9
Anthony,Joseph,male,Costa Rica,4,2021,"Education officer, museum",2033.61,7.0
Frost,Richard,male,Zambia,9,2023,"Research officer, political party",1906.56,7.4
Kirby,Jeffrey,male,New Caledonia,6,2023,"Research officer, political party",2047.44,7.7
Morrison,Joel,male,New Caledonia,2,2021,"Education officer, museum",2089.58,8.8
Wright,Antonio,male,Heard Island and McDonald Islands,8,2021,"Research officer, political party",1981.42,10.0
Clayton,Mark,male,Heard Island and McDonald Islands,2,2023,"Education officer, museum",2044.54,7.7
Collins,Daniel,male,New Caledonia,8,2022,"Research officer, political party",2163.9,5.6
Mullins,Edward,male,Estonia,8,2020,"Education officer, museum",2056.64,7.1
Griffith,Christopher,female,Zambia,9,2021,"Lecturer, further education",2164.7,6.6
Johnson,Richard,male,Costa Rica,11,2022,"Research officer, political party",1788.95,7.8
Brown,David,male,Estonia,6,2022,"Lecturer, further education",2165.16,5.5
White,Keith,male,Zambia,8,2023,"Education officer, museum",2072.13,5.7
Johnson,Anthony,male,Heard Island and McDonald Islands,9,2020,"Research officer, political party",2087.02,8.1
Carr,Nicholas,male,Zambia,3,2020,"Research officer, political party",1873.63,9.0
Ross,Philip,male,Estonia,7,2020,"Education officer, museum",1907.0,9.2
Robinson,Curtis,male,Heard Island and McDonald Islands,7,2021,"Research officer, political party",1941.63,10.0
Fernandez,Cameron,male,Zambia,8,2022,"Education officer, museum",2020.23,9.9
Adkins,Antonio,male,Costa Rica,1,2023,"Research officer, political party",2035.84,9.8
Perez,Jordan,male,Zambia,4,2021,"Education officer, museum",2066.28,9.7
Turner,Roy,female,Heard Island and McDonald Islands,8,2023,"Research officer, political party",2047.29,10.0
Nelson,Steven,male,Heard Island and McDonald Islands,12,2022,"Education officer, museum",2016.48,9.6
Ford,Jerry,female,Estonia,9,2022,"Lecturer, further education",2039.52,5.3
Thomas,Roger,male,Heard Island and McDonald Islands,6,2021,"Education officer, museum",1961.78,9.7
Parker,Bruce,male,Mexico,1,2021,"Research officer, political party",2041.46,9.7
Chen,Michael,male,Sao Tome and Principe,6,2020,"Lecturer, further education",2043.65,6.0
Moreno,Gregory,female,Sao Tome and Principe,11,2021,"Education officer, museum",2062.87,8.6
Hatfield,Shawn,male,Heard Island and McDonald Islands,1,2022,"Education officer, museum",1960.43,10.0
Hall,Jacob,male,Costa Rica,7,2022,"Education officer, museum",1971.7,5.5
Burnett,Jeffrey,male,Heard Island and McDonald Islands,6,2020,"Education officer, museum",1702.91,10.0
Leblanc,Brett,male,Heard Island and McDonald Islands,4,2023,"Research officer, political party",1993.68,10.0
Townsend,Daniel,male,Costa Rica,1,2023,"Research officer, political party",2146.88,8.1
Robinson,Eric,male,Heard Island and McDonald Islands,8,2021,"Education officer, museum",1959.23,10.0
Bullock,Kevin,male,Sao Tome and Principe,10,2021,"Research officer, political party",2142.65,5.6
Ware,Matthew,male,Costa Rica,3,2022,"Research officer, political party",2166.27,5.9
Bailey,Calvin,male,Estonia,12,2020,"Research officer, political party",2014.28,6.4
Hill,Zachary,male,Zambia,7,2021,"Education officer, museum",2016.02,9.0
Moore,Michael,female,Zambia,7,2022,"Research officer, political party",1924.88,8.0
Campbell,Michael,male,Costa Rica,4,2023,"Research officer, political party",1947.43,6.5
Johnson,Joseph,male,Costa Rica,5,2020,"Education officer, museum",2005.26,5.3
