last_name,first_name,gender,country,month,year,job,payment,rating
Guerra,Timothy,female,Switzerland,4,2023,Chartered legal executive (England and Wales),2095.64,9.3
Bishop,Larry,male,Morocco,5,2022,Theatre manager,2110.39,9.6
Patterson,Joshua,female,Czech Republic,10,2020,Theatre manager,1999.9,8.9
Richard,Michael,female,Czech Republic,1,2022,Chartered legal executive (England and Wales),2142.29,6.7
Cunningham,Garrett,female,Heard Island and McDonald Islands,10,2021,Artist,2077.23,9.1
Nash,Danny,male,Morocco,5,2022,Theatre manager,2003.59,8.4
Carter,Joseph,female,Argentina,4,2021,Chartered legal executive (England and Wales),2004.81,7.0
Jensen,Alex,female,Argentina,12,2023,Artist,1836.98,7.5
Turner,Robert,female,Czech Republic,4,2022,Artist,2017.62,7.6
Perez,Johnathan,female,Switzerland,7,2020,Chartered legal executive (England and Wales),2040.16,7.1
Parks,Derek,female,Switzerland,11,2021,Artist,2217.82,10.0
Harrison,Paul,female,Mozambique,2,2023,Theatre manager,2073.08,5.4
Campbell,Benjamin,female,Heard Island and McDonald Islands,8,2023,Artist,1946.5,9.8
Romero,Eric,male,Morocco,8,2022,Theatre manager,2164.79,5.8
Lee,Christopher,female,Switzerland,8,2021,Artist,1919.68,7.5
Preston,Jeffrey,female,Czech Republic,12,2022,Chartered legal executive (England and Wales),2071.95,8.8
Lee,James,female,Morocco,9,2020,Chartered legal executive (England and Wales),2108.54,9.4
Holt,Sean,female,Czech Republic,5,2020,Theatre manager,2056.88,7.0
Lynch,Joseph,male,Argentina,12,2022,Theatre manager,2078.96,7.7
Hunter,Jeremy,female,Czech Republic,11,2021,Artist,1921.2,5.6
Thomas,Chris,female,Heard Island and McDonald Islands,5,2021,Theatre manager,2079.92,8.1
Steele,Kenneth,male,Morocco,8,2023,Chartered legal executive (England and Wales),1997.55,7.9
Cook,Kyle,female,Mozambique,11,2022,Chartered legal executive (England and Wales),2072.73,7.3
Blake,Dustin,female,Czech Republic,5,2021,Artist,1962.82,5.1
Harris,Kelly,female,Switzerland,10,2021,Artist,1933.44,6.1
Parrish,Roy,male,Argentina,7,2022,Theatre manager,2065.66,9.0
Duncan,Guy,female,Czech Republic,4,2023,Artist,2060.95,5.7
Jones,Brian,female,Heard Island and McDonald Islands,8,2021,Artist,1976.73,6.9
Johnson,Brian,female,Heard Island and McDonald Islands,4,2023,Chartered legal executive (England and Wales),1906.89,9.8
Yates,Mario,female,Argentina,11,2020,Artist,1907.08,6.7
Thompson,William,female,Czech Republic,6,2021,Artist,1886.5,9.4
Finley,Jason,male,Heard Island and McDonald Islands,1,2020,Chartered legal executive (England and Wales),2022.45,8.6
Hunter,Robert,female,Mozambique,7,2023,Artist,1960.27,8.4
Conrad,Frank,male,Switzerland,11,2020,Artist,1925.55,8.1
Leblanc,Joshua,female,Heard Island and McDonald Islands,2,2022,Artist,1935.75,7.9
Baldwin,Christopher,female,Switzerland,6,2020,Theatre manager,2068.85,5.8
Gregory,Michael,male,Mozambique,7,2020,Artist,1950.54,5.0
Howell,Anthony,female,Heard Island and McDonald Islands,6,2020,Artist,2036.25,7.8
Morris,Patrick,female,Czech Republic,8,2021,Artist,2105.75,9.2
Johnson,Mark,female,Czech Republic,9,2022,Theatre manager,1994.46,9.7
West,Jacob,female,Mozambique,7,2020,Theatre manager,2014.36,7.1
Morgan,Sean,female,Czech Republic,12,2023,Artist,1970.74,9.2
Giles,Mathew,male,Svalbard & Jan Mayen Islands,12,2020,Artist,2186.18,9.1
Mitchell,Joe,male,Czech Republic,2,2022,Theatre manager,2035.54,7.2
Stewart,Jeffrey,female,Argentina,8,2021,Theatre manager,1851.07,9.0
Myers,Kevin,female,Argentina,6,2020,Theatre manager,2136.22,5.6
Arnold,Calvin,female,Switzerland,11,2022,Theatre manager,1830.4,7.0
Henry,Thomas,male,Argentina,2,2021,Artist,2040.69,8.9
Wallace,Charles,female,Mozambique,12,2020,Chartered legal executive (England and Wales),1943.73,9.5
Mata,Tyler,female,Heard Island and McDonald Islands,2,2021,Chartered legal executive (England and Wales),1916.09,7.5
Payne,Steven,male,Heard Island and McDonald Islands,12,2021,Theatre manager,1980.18,6.8
Williams,Ryan,female,Morocco,1,2023,Chartered legal executive (England and Wales),1985.3,9.0
Chang,Billy,female,Argentina,5,2023,Theatre manager,1974.63,8.4
