last_name,first_name,gender,country,month,year,job,payment,rating
Jones,Jose,male,Andorra,11,2023,Careers adviser,2015.68,10.0
Hart,Jorge,male,Madagascar,5,2021,Exercise physiologist,2002.28,6.8
Espinoza,Thomas,male,Zimbabwe,1,2023,Dietitian,2014.29,8.8
Johnson,Jeffrey,female,Zimbabwe,7,2021,Database administrator,2043.65,5.9
Wagner,Shawn,female,Zimbabwe,7,2023,Careers adviser,1985.9,9.1
Mclaughlin,Mark,male,Zimbabwe,2,2020,Armed forces training and education officer,1987.18,8.6
Schmidt,Mark,male,Madagascar,2,2020,Dietitian,1908.22,6.7
Rodriguez,Gregory,male,Madagascar,11,2022,Database administrator,2025.71,8.6
Montgomery,Jason,male,Andorra,12,2020,Database administrator,2023.6,8.5
Hill,Timothy,female,Andorra,3,2021,Careers adviser,2114.35,9.3
Davis,Vincent,male,Zimbabwe,10,2022,Exercise physiologist,2029.1,6.3
Castaneda,Bradley,male,Andorra,8,2020,Exercise physiologist,2065.43,10.0
Ramsey,Michael,female,Madagascar,9,2022,Database administrator,2122.88,7.9
Jenkins,Christopher,male,Zimbabwe,8,2023,Exercise physiologist,1983.29,5.0
Walter,Michael,male,Madagascar,3,2021,Careers adviser,1849.05,7.4
Miller,William,female,Maldives,7,2021,Dietitian,2050.86,7.0
Pennington,Thomas,male,Madagascar,1,2023,Dietitian,2128.16,6.5
Coleman,Alexis,female,Zimbabwe,4,2021,Armed forces training and education officer,2054.51,7.8
Smith,Juan,male,Zimbabwe,9,2022,Database administrator,1919.63,8.2
Vaughan,Spencer,female,Zimbabwe,7,2023,Database administrator,2011.81,8.4
Petersen,Daniel,female,Madagascar,12,2021,Database administrator,2041.32,8.9
Rivera,Jeff,male,Andorra,6,2022,Dietitian,1985.98,10.0
Price,Martin,male,Zimbabwe,2,2022,Careers adviser,2029.8,9.9
Johnston,William,male,Zimbabwe,4,2021,Database administrator,2001.23,7.7
Schwartz,James,male,Philippines,12,2023,Database administrator,2072.05,5.5
Brooks,Scott,male,Andorra,8,2021,Exercise physiologist,1832.92,8.5
Perez,Brian,male,Maldives,8,2021,Armed forces training and education officer,1963.81,7.5
Duarte,James,male,Zimbabwe,8,2023,Dietitian,2038.11,7.1
Long,Angel,female,Andorra,10,2022,Dietitian,2006.82,8.9
Webster,Kevin,male,Andorra,5,2023,Dietitian,1983.86,8.0
Guerrero,Richard,male,Andorra,7,2022,Database administrator,1937.78,9.8
Hanson,Kevin,male,Zimbabwe,6,2021,Dietitian,1798.4,8.4
Le,James,male,Madagascar,4,2021,Careers adviser,1945.89,5.4
Wells,Richard,male,Maldives,8,2022,Exercise physiologist,2013.3,6.1
Tran,Brandon,male,Philippines,3,2021,Exercise physiologist,2182.68,8.7
Harris,Gary,male,Madagascar,1,2020,Careers adviser,1942.88,10.0
Henry,Ryan,male,Maldives,4,2022,Careers adviser,2114.47,6.9
Estrada,Steven,male,Zimbabwe,5,2021,Armed forces training and education officer,1979.23,5.6
Underwood,Joshua,male,Madagascar,2,2021,Exercise physiologist,1977.99,8.2
Thompson,Shawn,male,Maldives,7,2021,Armed forces training and education officer,2077.02,8.9
Riggs,Jeremy,male,Maldives,6,2022,Careers adviser,1989.21,9.6
Kennedy,Dylan,female,Zimbabwe,5,2022,Careers adviser,2210.6,8.0
Weaver,Sean,male,Andorra,5,2022,Careers adviser,1948.28,9.7
Hendricks,Benjamin,male,Maldives,6,2023,Dietitian,1827.61,5.0
Delgado,Travis,male,Andorra,1,2022,Exercise physiologist,1971.24,10.0
Mullins,Benjamin,male,Philippines,5,2020,Dietitian,2151.43,6.5
