last_name,first_name,gender,country,month,year,job,payment,rating
Flores,Michael,male,Suriname,8,2022,Pensions consultant,1930.52,9.4
Ruiz,Jack,male,Saint Martin,1,2022,Special effects artist,1960.29,5.3
Miller,Ronald,male,Uruguay,7,2021,Dance movement psychotherapist,1952.09,8.5
Rodriguez,Richard,male,Saint Martin,12,2020,Ophthalmologist,1949.46,8.9
Shepherd,Zachary,male,Uruguay,5,2021,Pharmacologist,1843.14,7.6
Patel,Michael,male,Chad,7,2023,"Surveyor, land/geomatics",2038.21,10.0
Harmon,Jonathan,male,Saint Martin,9,2023,Pensions consultant,1811.34,9.8
Kim,Jonathan,male,Saint Pierre and Miquelon,2,2022,Special effects artist,1986.89,5.2
Aguirre,Gregory,female,Saint Martin,12,2021,Pharmacologist,2073.93,8.7
Morgan,Patrick,male,Suriname,6,2020,Pensions consultant,2025.17,7.4
Adams,Corey,male,Saint Pierre and Miquelon,1,2021,Pensions consultant,2012.6,5.1
Lang,Antonio,male,Uruguay,8,2023,Pensions consultant,1989.24,6.2
Williams,Jordan,male,Uruguay,6,2023,Pharmacologist,1943.93,5.1
Cannon,Christopher,male,Uruguay,7,2020,Dance movement psychotherapist,2006.48,6.3
Huerta,Paul,male,Saint Martin,4,2021,Pensions consultant,1960.51,7.8
Frazier,Ronald,male,Chad,12,2021,Pensions consultant,2124.31,8.3
Lopez,Steven,male,Uruguay,2,2021,Pharmacologist,2081.81,6.9
Holmes,William,male,Suriname,7,2023,Special effects artist,2042.01,9.9
Moore,Kevin,female,Saint Martin,6,2022,Special effects artist,2000.76,6.2
Ward,Henry,male,Chad,2,2022,Pensions consultant,1951.44,7.5
Thomas,Nicholas,female,Saint Martin,4,2023,"Surveyor, land/geomatics",1838.55,7.4
Williams,Robert,male,Saint Pierre and Miquelon,6,2020,Pharmacologist,1771.26,8.6
Davidson,Richard,male,Chad,3,2023,Pensions consultant,2159.67,7.5
Chaney,Paul,male,Uruguay,8,2021,Dance movement psychotherapist,2043.08,5.3
Bean,Scott,male,Uruguay,4,2023,Special effects artist,1969.85,9.9
Christian,Jonathan,male,Saint Martin,6,2021,Ophthalmologist,2041.18,5.5
Ross,Robert,male,Saint Pierre and Miquelon,3,2023,Special effects artist,2071.3,8.1
Owen,Dan,male,Saint Martin,5,2020,Dance movement psychotherapist,2123.29,9.7
Beck,Mike,male,Saint Martin,1,2023,Dance movement psychotherapist,2019.62,5.5
Kennedy,Collin,male,Saint Martin,10,2020,Special effects artist,1969.97,5.4
Weaver,Michael,male,Saint Martin,2,2020,Pensions consultant,2038.07,8.6
Wilson,John,male,Saint Pierre and Miquelon,2,2023,Dance movement psychotherapist,2086.42,7.9
Stanley,Travis,female,Uruguay,12,2020,Pharmacologist,2060.54,9.0
Sharp,Peter,male,Chad,10,2021,Dance movement psychotherapist,1930.51,8.2
Barajas,Mark,male,Saint Pierre and Miquelon,8,2021,Pensions consultant,1903.48,5.2
Kelley,Jonathan,male,Suriname,8,2023,Pensions consultant,1889.75,8.5
Dunn,James,female,Saint Pierre and Miquelon,8,2020,Ophthalmologist,1987.4,8.2
Bennett,Alex,male,Saint Pierre and Miquelon,8,2023,Ophthalmologist,2035.64,9.9
Robinson,Christopher,male,Saint Martin,2,2020,Ophthalmologist,2111.91,6.9
Carr,Cody,male,Chad,8,2023,Ophthalmologist,1894.07,9.5
Gonzalez,Derrick,female,Suriname,12,2021,Pensions consultant,1889.83,9.7
Holland,Alex,male,Suriname,7,2020,"Surveyor, land/geomatics",2004.01,9.3
Davis,Michael,male,Suriname,2,2021,Pensions consultant,1964.03,6.4
Murphy,Robert,male,Saint Martin,6,2020,Pensions consultant,1896.67,7.3
Silva,Nicholas,female,Uruguay,12,2023,"Surveyor, land/geomatics",1907.12,9.7
Taylor,George,male,Suriname,7,2021,Ophthalmologist,1994.97,8.2
Vasquez,Robert,male,Saint Martin,12,2023,Dance movement psychotherapist,2093.98,7.7
Robertson,Mark,male,Saint Martin,9,2022,Dance movement psychotherapist,1982.05,6.8
Thomas,Hunter,male,Uruguay,1,2022,Dance movement psychotherapist,1946.85,6.4
Anderson,Joshua,female,Saint Martin,9,2020,Ophthalmologist,2012.71,5.5
Allen,Matthew,female,Saint Martin,12,2020,Dance movement psychotherapist,1926.41,6.1
Solis,Stephen,male,Suriname,9,2020,Dance movement psychotherapist,1902.82,8.7
Anderson,Raymond,male,Saint Pierre and Miquelon,2,2021,Pensions consultant,2040.95,6.8
Russell,Alec,male,Suriname,1,2020,"Surveyor, land/geomatics",2289.39,9.6
