last_name,first_name,gender,country,month,year,job,payment,rating
Thompson,Jason,male,Guadeloupe,6,2022,Medical laboratory scientific officer,1990.73,6.4
Martin,Dillon,female,Libyan Arab Jamahiriya,4,2021,"Engineer, chemical",1951.57,7.9
Lawrence,Cory,male,Guadeloupe,2,2022,Social researcher,2019.43,5.4
Monroe,Aaron,female,Guadeloupe,8,2021,Medical laboratory scientific officer,1913.93,7.1
Brown,Joshua,male,Fiji,3,2021,Social researcher,1920.75,9.4
Johnson,Scott,male,United Kingdom,7,2023,Social researcher,2156.28,9.7
Mahoney,David,female,Fiji,11,2021,Social researcher,2016.13,8.2
Scott,Christopher,male,Fiji,2,2022,Prison officer,2055.71,6.1
Miller,Timothy,female,San Marino,2,2021,Prison officer,1994.33,8.0
Tanner,Austin,male,Libyan Arab Jamahiriya,3,2023,"Engineer, chemical",2096.84,10.0
Brennan,Gregory,male,San Marino,12,2022,"Engineer, chemical",2142.82,7.1
Robertson,Louis,male,San Marino,6,2022,"Engineer, chemical",2028.44,5.1
Chavez,Paul,male,Libyan Arab Jamahiriya,4,2021,Prison officer,2074.47,10.0
Gross,Bruce,male,United Kingdom,6,2022,Social researcher,2037.28,6.8
Thomas,John,male,Guadeloupe,12,2020,Prison officer,1822.67,6.1
Winters,Cory,male,Guadeloupe,12,2023,Social researcher,1929.04,7.3
Bautista,Kyle,female,United Kingdom,12,2023,Prison officer,1848.09,6.0
Jordan,Ryan,male,United Kingdom,9,2021,Social researcher,1743.0,7.7
Paul,David,male,Malaysia,9,2022,Medical laboratory scientific officer,2018.2,6.4
Simon,Michael,male,Guadeloupe,3,2021,Prison officer,2048.43,5.8
Ho,Christopher,female,Guadeloupe,9,2021,Prison officer,2057.59,8.8
Tucker,James,female,United Kingdom,4,2021,Social researcher,2026.12,8.9
Holmes,David,male,Libyan Arab Jamahiriya,3,2020,"Engineer, chemical",1862.0,7.3
Moyer,Ethan,male,San Marino,4,2022,"Engineer, chemical",1995.22,7.0
