last_name,first_name,gender,country,month,year,job,payment,rating
Macias,Steven,male,Heard Island and McDonald Islands,6,2022,Dispensing optician,2152.99,7.0
French,Andrew,female,Switzerland,7,2023,Social researcher,2164.07,7.7
Carter,Paul,female,Netherlands,12,2020,Social researcher,2016.53,8.8
Krause,Anthony,male,Switzerland,4,2023,Learning mentor,2069.82,7.3
French,Michael,female,Heard Island and McDonald Islands,5,2020,Social researcher,2053.21,6.8
Kelly,Victor,male,Heard Island and McDonald Islands,11,2020,Social researcher,1962.82,5.8
Sullivan,Michael,female,Switzerland,9,2022,Social researcher,1903.5,7.3
Petersen,Jon,male,Western Sahara,3,2022,Social researcher,1970.87,5.3
Simon,John,female,Heard Island and McDonald Islands,7,2022,Building services engineer,1873.95,9.0
Russell,Brian,male,Western Sahara,6,2021,Dispensing optician,2185.21,7.4
Clark,Ryan,female,Canada,6,2023,Musician,1950.31,6.8
Cortez,David,female,Netherlands,2,2021,Building services engineer,2047.63,7.7
Smith,Richard,female,Switzerland,3,2023,Building services engineer,1985.36,8.2
Alexander,Jay,female,Canada,3,2022,Building services engineer,1957.38,7.1
Thomas,Henry,female,Canada,6,2020,Building services engineer,2015.17,9.7
Hunter,Daniel,male,Western Sahara,6,2021,Learning mentor,2223.5,9.8
Hale,Christopher,male,Heard Island and McDonald Islands,1,2021,Learning mentor,2094.35,7.0
Kennedy,Steven,female,Canada,4,2021,Dispensing optician,1977.32,6.1
Hernandez,Matthew,female,Netherlands,8,2023,Building services engineer,2083.8,10.0
Roberson,Richard,female,Canada,12,2023,Scientific laboratory technician,1848.02,8.2
Vaughn,Gregory,female,Switzerland,4,2023,Building services engineer,2075.52,8.7
Mccoy,Harold,female,Canada,6,2020,Scientific laboratory technician,1766.96,6.5
Miller,Stephen,female,Switzerland,12,2023,Learning mentor,2046.8,5.0
Key,Ryan,female,Heard Island and McDonald Islands,6,2023,Building services engineer,2105.05,7.5
Bailey,Michael,female,Netherlands,2,2023,Musician,1949.86,10.0
Davis,Craig,female,Canada,8,2020,Building services engineer,2177.44,5.4
Carter,William,female,Canada,5,2023,Social researcher,1949.95,7.3
Riggs,Kevin,female,Canada,8,2022,Building services engineer,2155.74,7.3
Lopez,Troy,female,Heard Island and McDonald Islands,1,2023,Musician,2088.28,9.6
Rivera,Luis,female,Netherlands,10,2020,Building services engineer,1931.13,7.2
Wise,Jason,male,Netherlands,5,2022,Learning mentor,1982.5,10.0
Flores,Lawrence,female,Switzerland,3,2023,Building services engineer,2077.62,7.2
