last_name,first_name,gender,country,month,year,job,payment,rating
Davis,Victor,male,Saint Lucia,7,2023,Amenity horticulturist,2171.91,9.5
Harris,James,female,Saint Lucia,12,2021,Amenity horticulturist,1891.56,6.2
Walker,Brian,female,Taiwan,5,2023,Garment/textile technologist,1972.7,9.6
Rollins,William,female,Belarus,9,2023,"Pharmacist, hospital",2021.52,8.4
Hall,Joseph,female,Taiwan,9,2023,"Pharmacist, hospital",1876.24,8.4
Smith,Thomas,male,Taiwan,8,2020,Amenity horticulturist,1954.25,6.5
Crane,Ivan,male,Bangladesh,11,2021,Amenity horticulturist,2263.8,10.0
Velasquez,William,male,Belarus,1,2020,Amenity horticulturist,1794.52,6.6
Owens,Samuel,male,Taiwan,5,2021,Garment/textile technologist,2034.68,7.0
Wilson,Joseph,male,Estonia,5,2023,Retail banker,2118.92,5.9
Miller,Manuel,female,Bangladesh,9,2021,Retail banker,1956.65,9.6
Morrison,Jamie,female,Estonia,2,2022,Retail banker,1975.01,7.9
Burke,Gabriel,male,Estonia,6,2022,Amenity horticulturist,1899.98,6.5
Lee,Ethan,male,Taiwan,10,2023,"Pharmacist, hospital",1985.58,6.2
Liu,Philip,male,Mayotte,10,2021,Amenity horticulturist,2104.25,5.2
Nelson,Keith,male,Saint Lucia,11,2022,Amenity horticulturist,2113.44,6.0
Martinez,Antonio,male,Mayotte,12,2023,Retail banker,1839.17,7.9
Thomas,Justin,male,Mayotte,5,2021,Garment/textile technologist,2031.99,7.1
Russo,Harold,male,Bangladesh,5,2023,Garment/textile technologist,2082.74,9.5
Estrada,Richard,male,Belarus,8,2020,"Pharmacist, hospital",2116.13,7.8
Small,Ryan,male,Taiwan,3,2022,Amenity horticulturist,2047.4,6.9
Clark,Gregory,male,Taiwan,5,2020,Garment/textile technologist,2001.1,9.1
Johnson,Zachary,male,Estonia,11,2020,Retail banker,1906.02,8.1
Simon,Christopher,female,Mayotte,10,2020,Retail banker,2093.6,8.3
Jacobson,Zachary,male,Estonia,7,2022,"Pharmacist, hospital",2017.48,6.8
Davis,Devin,male,Saint Lucia,9,2021,"Pharmacist, hospital",2062.51,9.3
Harris,Timothy,male,Bangladesh,12,2022,Amenity horticulturist,2165.45,9.8
Crawford,Andrew,male,Mayotte,3,2021,Amenity horticulturist,1920.48,9.8
Morton,Timothy,male,Mayotte,2,2023,"Pharmacist, hospital",1968.88,6.6
Stephens,William,male,Mayotte,1,2020,Amenity horticulturist,2122.75,8.2
Lucas,Billy,male,Mayotte,1,2021,Amenity horticulturist,2377.49,7.1
