last_name,first_name,gender,country,month,year,job,payment,rating
Boyd,Trevor,male,Bermuda,5,2022,Commercial horticulturist,2086.41,7.7
Spencer,Nicholas,male,Monaco,4,2021,Commercial horticulturist,2054.7,7.7
Case,Thomas,male,Monaco,7,2021,Cabin crew,2061.4,8.6
Hodges,Randy,male,Maldives,8,2022,Commercial horticulturist,1831.47,5.9
Espinoza,Keith,male,Bermuda,8,2021,Cabin crew,2041.51,9.1
Thompson,Carlos,male,Maldives,10,2022,Legal executive,1908.26,8.0
Mendez,David,female,Montserrat,5,2023,Legal executive,2180.26,9.8
Gallagher,William,female,Bermuda,7,2023,Legal executive,2096.66,6.4
White,Troy,male,Bermuda,6,2022,Commercial horticulturist,2068.72,8.1
Allen,Carl,male,Maldives,7,2020,Commercial horticulturist,1890.43,9.0
Blevins,Dylan,male,Liechtenstein,5,2023,Armed forces operational officer,1754.65,8.0
Daniel,Justin,female,Bermuda,3,2021,Cabin crew,2067.37,9.5
Joyce,Anthony,male,Maldives,1,2020,Chief of Staff,1973.08,8.1
Thompson,Charles,male,Netherlands Antilles,7,2021,Cabin crew,1950.62,10.0
Harper,William,male,Maldives,8,2023,Commercial horticulturist,1957.67,9.1
Wallace,Timothy,male,Bermuda,2,2020,Cabin crew,1969.52,6.6
Wallace,Craig,male,Guinea-Bissau,3,2021,Cabin crew,1855.94,5.3
Hernandez,Ryan,male,Brunei Darussalam,1,2020,Cabin crew,2059.18,7.0
Acevedo,Anthony,male,Monaco,8,2020,Cabin crew,2061.45,8.8
Salazar,Dakota,male,Maldives,9,2020,Cabin crew,2134.86,8.4
Hines,Andrew,male,Montserrat,11,2020,Armed forces operational officer,2143.86,8.1
Parsons,Trevor,female,Maldives,6,2020,Chief of Staff,1988.41,7.7
Moore,Thomas,male,Liechtenstein,9,2023,Commercial horticulturist,1895.98,6.2
Nelson,Stephen,male,Mexico,11,2021,Chief of Staff,2041.75,7.4
Miller,Thomas,male,Palau,11,2021,Commercial horticulturist,2011.58,8.6
Moss,Matthew,male,Netherlands Antilles,6,2023,Legal executive,2035.99,9.5
Mcdonald,James,male,Monaco,5,2022,Chief of Staff,2102.15,6.3
Daniel,Miguel,male,Liechtenstein,6,2023,Legal executive,2125.46,7.7
Wong,Jordan,male,Liechtenstein,3,2020,Cabin crew,1949.18,9.1
Lozano,Antonio,male,Monaco,1,2020,Commercial horticulturist,2014.02,5.0
Dominguez,Stephen,male,Brunei Darussalam,7,2023,Armed forces operational officer,1997.32,7.1
Wallace,Richard,male,Maldives,11,2022,Chief of Staff,1942.75,9.2
Nguyen,Ryan,male,Mexico,12,2021,Legal executive,1942.58,6.9
Hess,Thomas,male,Netherlands Antilles,5,2022,Chief of Staff,1823.47,5.8
Williams,Daniel,male,Montserrat,10,2023,Armed forces operational officer,2043.29,6.2
Barrett,Michael,male,Bermuda,12,2020,Chief of Staff,2134.68,6.0
Kramer,Gerald,male,Brunei Darussalam,10,2020,Commercial horticulturist,2009.99,7.8
Ford,Mark,male,Liechtenstein,1,2023,Cabin crew,2107.61,9.7
Gardner,Donald,male,Liechtenstein,9,2022,Chief of Staff,1931.82,9.0
Holland,Michael,male,Liechtenstein,7,2023,Chief of Staff,1881.44,6.3
Schroeder,David,male,Brunei Darussalam,6,2020,Commercial horticulturist,2080.75,7.9
Hogan,Randy,male,Monaco,10,2022,Legal executive,2057.26,5.9
Flores,Anthony,male,Liechtenstein,8,2020,Chief of Staff,2024.05,9.6
Frazier,Ryan,male,Bermuda,8,2022,Armed forces operational officer,1937.66,8.1
Campbell,Jonathan,female,Bermuda,2,2021,Cabin crew,2096.7,9.2
Davis,Dennis,female,Palau,2,2022,Chief of Staff,1961.44,10.0
Hart,Donald,male,Bermuda,9,2023,Commercial horticulturist,2048.75,8.7
Baker,Timothy,female,Monaco,11,2023,Commercial horticulturist,2189.73,6.0
Mullen,Michael,female,Palau,2,2023,Cabin crew,1949.41,10.0
Hill,Keith,male,Liechtenstein,8,2020,Armed forces operational officer,1928.04,5.7
Hall,Reginald,male,Maldives,4,2020,Legal executive,1981.75,6.2
Jordan,Eric,male,Maldives,1,2022,Armed forces operational officer,2015.59,8.3
Wilson,Christopher,male,Monaco,9,2023,Chief of Staff,1987.79,9.1
Casey,Jonathan,male,Maldives,4,2022,Cabin crew,1996.31,6.5
Russell,Jeffery,male,Liechtenstein,12,2021,Commercial horticulturist,1870.52,5.0
Walker,Jacob,male,Netherlands Antilles,6,2020,Cabin crew,1887.95,9.0
Beck,Duane,male,Monaco,10,2020,Commercial horticulturist,1976.95,5.8
Green,William,male,Maldives,8,2021,Chief of Staff,2061.58,5.2
Robbins,Preston,male,Netherlands Antilles,12,2022,Armed forces operational officer,2144.01,6.9
Wright,James,male,Maldives,12,2023,Cabin crew,2001.99,5.8
Chan,James,male,Palau,7,2023,Cabin crew,2152.96,8.4
Anderson,Jamie,male,Maldives,5,2023,Chief of Staff,2123.92,9.9
Nunez,Steven,male,Montserrat,1,2023,Cabin crew,1896.78,7.1
Ford,Anthony,male,Bermuda,8,2022,Armed forces operational officer,2018.07,9.3
Cruz,Russell,male,Mexico,3,2020,Cabin crew,2112.74,9.6
Jordan,Cory,female,Liechtenstein,11,2021,Cabin crew,2054.31,6.2
Watson,Robert,male,Brunei Darussalam,6,2023,Legal executive,2008.27,8.6
Johnson,David,male,Guinea-Bissau,6,2022,Cabin crew,1972.47,9.8
Ball,William,male,Liechtenstein,9,2023,Commercial horticulturist,1937.26,5.9
Cole,Phillip,male,Palau,12,2023,Commercial horticulturist,1932.14,10.0
Dominguez,Steven,male,Monaco,2,2023,Commercial horticulturist,1854.21,5.2
Ortiz,Jake,male,Brunei Darussalam,1,2021,Cabin crew,1924.25,6.8
Hopkins,Daniel,male,Netherlands Antilles,5,2021,Armed forces operational officer,1951.74,6.5
Payne,William,male,Monaco,5,2021,Commercial horticulturist,1910.25,10.0
Murray,Robert,male,Guinea-Bissau,7,2023,Chief of Staff,1962.18,9.1
Valenzuela,Jonathan,male,Maldives,11,2022,Commercial horticulturist,2061.26,5.1
Garcia,Mark,female,Liechtenstein,10,2023,Commercial horticulturist,2035.2,5.4
Taylor,Eric,male,Bermuda,11,2022,Commercial horticulturist,1923.46,8.0
Owens,Gary,male,Guinea-Bissau,12,2023,Cabin crew,2203.49,7.3
Ortega,Joseph,male,Netherlands Antilles,9,2020,Cabin crew,1994.87,5.6
Sanchez,James,female,Liechtenstein,5,2022,Cabin crew,2068.81,9.8
Jackson,Logan,male,Mexico,8,2023,Cabin crew,1958.25,5.3
Mosley,Daniel,male,Monaco,6,2022,Commercial horticulturist,1996.9,6.2
Baird,John,male,Netherlands Antilles,2,2023,Cabin crew,1899.92,5.5
Mercer,Martin,male,Mexico,5,2020,Armed forces operational officer,2190.52,7.6
Diaz,Henry,male,Monaco,12,2021,Legal executive,1906.59,9.7
Campbell,Daniel,male,Monaco,11,2020,Commercial horticulturist,1885.29,9.6
Alvarez,James,male,Monaco,7,2021,Commercial horticulturist,2030.51,5.7
Oliver,Timothy,male,Montserrat,5,2023,Armed forces operational officer,2058.35,8.1
Fields,William,male,Bermuda,7,2023,Armed forces operational officer,2048.95,9.6
Garcia,Garrett,male,Netherlands Antilles,11,2022,Chief of Staff,2020.54,5.8
Gonzalez,David,male,Maldives,6,2022,Chief of Staff,2095.98,5.5
Chavez,Todd,male,Palau,5,2021,Armed forces operational officer,2058.48,9.0
Rodriguez,Tyler,male,Bermuda,8,2023,Chief of Staff,2059.21,7.0
Atkinson,Andrew,male,Liechtenstein,3,2022,Commercial horticulturist,2084.97,7.0
Woodard,Richard,female,Guinea-Bissau,2,2020,Cabin crew,1908.52,6.1
Robinson,Joseph,male,Monaco,12,2020,Chief of Staff,1973.46,7.6
Olson,Jeffrey,female,Montserrat,3,2023,Commercial horticulturist,1858.34,9.3
Carson,Steven,male,Maldives,6,2022,Commercial horticulturist,1971.0,7.9
Morgan,Alexander,male,Liechtenstein,6,2023,Commercial horticulturist,2044.33,9.9
Johnson,Jonathan,male,Brunei Darussalam,6,2021,Chief of Staff,2082.94,5.7
Blanchard,Joshua,male,Mexico,8,2022,Legal executive,2183.49,8.8
Anthony,Seth,male,Bermuda,12,2020,Commercial horticulturist,2097.83,7.5
