last_name,first_name,gender,country,month,year,job,payment,rating
Hicks,Michael,female,United States of America,4,2022,Public relations officer,1982.87,5.6
Park,James,female,Saint Vincent and the Grenadines,12,2022,IT technical support officer,2113.32,6.1
Davis,Jerome,female,United States of America,1,2022,"Surveyor, building control",2057.25,8.5
Moreno,Joseph,female,United States of America,5,2020,Public relations officer,1992.11,6.6
Ward,Travis,female,United States of America,8,2023,Public relations officer,2111.14,5.8
Levine,Russell,female,Saint Vincent and the Grenadines,5,2021,Further education lecturer,1939.31,8.5
Diaz,Taylor,female,Saint Vincent and the Grenadines,4,2023,Public relations officer,2018.32,5.0
Lynn,Corey,female,Turks and Caicos Islands,11,2022,Public relations officer,1904.01,7.5
Clark,Jonathan,male,United States of America,6,2023,Hospital doctor,2057.57,9.1
Hammond,Dustin,female,Slovenia,6,2023,Public relations officer,2107.59,8.6
Peterson,Dwayne,female,United States of America,8,2021,IT technical support officer,2128.41,9.3
Johnson,David,female,Albania,12,2021,"Surveyor, building control",1950.82,9.4
Daniels,Mark,male,Saint Vincent and the Grenadines,7,2023,Accounting technician,2169.63,8.1
Bryant,Michael,female,Albania,5,2021,Accounting technician,2011.73,8.0
Ellis,Charles,female,Slovenia,12,2023,Public relations officer,2092.7,5.3
Campbell,Carlos,female,Albania,9,2021,Public relations officer,1944.39,8.1
Valenzuela,Jordan,female,Saint Vincent and the Grenadines,6,2023,Hospital doctor,2001.73,9.3
Luna,Raymond,female,Saint Vincent and the Grenadines,3,2021,Public relations officer,1996.76,8.7
Henry,Aaron,female,Saint Vincent and the Grenadines,12,2022,Hospital doctor,1971.85,8.4
Stewart,Anthony,female,Turks and Caicos Islands,1,2022,Hospital doctor,2018.54,9.0
Bell,David,female,Turks and Caicos Islands,5,2021,Public relations officer,2205.58,9.7
Hoffman,Richard,female,Turks and Caicos Islands,8,2020,Further education lecturer,1933.68,8.9
Harris,William,female,United States of America,5,2023,"Surveyor, building control",2188.44,5.2
