last_name,first_name,gender,country,month,year,job,payment,rating
Velasquez,Benjamin,male,Solomon Islands,2,2021,Educational psychologist,2254.28,8.8
Contreras,Preston,male,Niue,10,2022,Educational psychologist,1866.22,9.3
Pierce,Matthew,male,Oman,1,2021,Clinical cytogeneticist,2036.34,10.0
Tran,Rodney,male,San Marino,9,2022,Educational psychologist,2104.12,6.7
York,Frank,female,Philippines,3,2023,Clinical cytogeneticist,1919.58,8.8
Sharp,Louis,male,Wallis and Futuna,9,2022,Educational psychologist,1929.52,8.6
Mendez,Matthew,male,Niue,5,2020,Clinical cytogeneticist,1867.69,7.2
Alvarado,Devin,male,Philippines,7,2023,Educational psychologist,2005.81,5.9
Jones,Donald,male,Wallis and Futuna,5,2022,Educational psychologist,1900.35,8.3
Coleman,Robert,male,Solomon Islands,12,2022,Educational psychologist,2060.08,7.7
Carroll,Richard,male,Solomon Islands,3,2023,Educational psychologist,2022.34,5.5
Davis,Jamie,female,Niue,12,2021,"Education officer, environmental",2027.53,7.7
Shelton,Spencer,female,San Marino,9,2020,Clinical cytogeneticist,2028.13,6.4
Sanders,Shawn,male,Niue,12,2022,"Education officer, environmental",2093.31,6.9
Kane,Carl,male,Algeria,7,2021,Clinical cytogeneticist,1973.7,5.5
Wade,Patrick,female,Philippines,11,2021,"Education officer, environmental",1976.34,7.2
Adams,Daniel,female,Algeria,8,2022,Educational psychologist,1912.24,8.9
Rodriguez,Jose,male,Svalbard & Jan Mayen Islands,11,2021,Clinical cytogeneticist,1962.14,5.4
Ramirez,Joseph,male,Niue,11,2022,Clinical cytogeneticist,1976.46,6.8
Schultz,Alexander,male,Niue,12,2020,Educational psychologist,1846.01,6.4
Taylor,Matthew,female,South Georgia and the South Sandwich Islands,9,2023,"Education officer, environmental",2059.74,6.6
Whitaker,Wesley,male,San Marino,7,2021,"Education officer, environmental",2066.55,9.9
Johnson,Antonio,female,San Marino,12,2022,"Education officer, environmental",2011.53,8.8
Gonzalez,Cody,male,Niue,1,2022,Educational psychologist,1770.01,5.1
Miller,Mitchell,male,Wallis and Futuna,12,2022,"Education officer, environmental",1933.22,7.1
Moore,Andrew,male,South Georgia and the South Sandwich Islands,5,2022,Clinical cytogeneticist,2142.96,8.9
Adams,James,male,South Georgia and the South Sandwich Islands,6,2021,"Education officer, environmental",1976.3,7.0
Johnson,Johnathan,male,Philippines,9,2022,Educational psychologist,2110.24,5.5
Frank,Mark,male,Svalbard & Jan Mayen Islands,7,2023,"Education officer, environmental",1965.74,7.2
Aguilar,Matthew,male,South Georgia and the South Sandwich Islands,6,2020,Educational psychologist,1794.63,7.9
Sanders,Christopher,male,Philippines,12,2020,Educational psychologist,2213.25,9.8
Garner,David,male,Niue,6,2020,"Education officer, environmental",2012.04,6.8
Stewart,Nathan,female,Wallis and Futuna,7,2023,"Education officer, environmental",2015.81,5.5
Miller,Jeffrey,male,Solomon Islands,7,2020,"Education officer, environmental",1947.97,9.8
Evans,Ricky,male,Niue,11,2022,"Education officer, environmental",1969.8,7.1
Calhoun,William,male,Svalbard & Jan Mayen Islands,7,2023,"Education officer, environmental",1952.87,7.3
Gray,Dwayne,male,Svalbard & Jan Mayen Islands,7,2020,Clinical cytogeneticist,2139.35,7.3
Hernandez,Walter,male,San Marino,12,2020,Educational psychologist,2010.13,7.5
Robertson,Christopher,male,Niue,4,2021,"Education officer, environmental",2009.01,7.6
Summers,James,female,Niue,2,2020,Clinical cytogeneticist,1905.78,7.3
Fuentes,Bradley,female,Philippines,12,2022,"Education officer, environmental",1873.45,9.4
Cox,Joseph,female,Niue,8,2022,Clinical cytogeneticist,1997.13,7.0
Taylor,Joseph,male,Oman,4,2023,"Education officer, environmental",1784.73,7.8
Snyder,Frederick,female,Svalbard & Jan Mayen Islands,5,2022,Clinical cytogeneticist,2030.54,7.7
Morris,Robert,male,Svalbard & Jan Mayen Islands,9,2020,Educational psychologist,2042.36,5.2
Mitchell,William,male,Philippines,5,2023,Clinical cytogeneticist,2099.59,9.3
Brown,Ryan,female,Algeria,3,2021,"Education officer, environmental",1956.58,9.5
Cisneros,David,male,Solomon Islands,5,2023,Clinical cytogeneticist,2129.49,8.8
Frey,Rodney,female,San Marino,1,2023,"Education officer, environmental",2088.17,7.9
Johnson,Edward,female,Wallis and Futuna,6,2020,"Education officer, environmental",2035.56,7.8
Hoover,Jason,male,Svalbard & Jan Mayen Islands,2,2023,Educational psychologist,2008.77,6.6
Marsh,Ian,male,Algeria,8,2020,Clinical cytogeneticist,2004.41,5.9
Johnson,Jeffrey,female,South Georgia and the South Sandwich Islands,7,2022,Clinical cytogeneticist,2041.69,8.6
Weber,Jacob,male,San Marino,8,2021,Clinical cytogeneticist,2062.51,9.4
Gonzalez,Willie,male,Wallis and Futuna,2,2020,"Education officer, environmental",2070.38,8.9
Miller,Bobby,male,Svalbard & Jan Mayen Islands,8,2022,"Education officer, environmental",1753.77,7.7
White,Jeffrey,female,San Marino,8,2022,"Education officer, environmental",2003.37,9.2
Martin,Brian,male,Philippines,8,2020,Educational psychologist,1926.85,7.4
Rhodes,Brandon,male,Svalbard & Jan Mayen Islands,9,2021,"Education officer, environmental",1990.34,5.2
Griffin,John,male,San Marino,12,2022,Educational psychologist,1951.82,6.9
Ward,Curtis,male,Svalbard & Jan Mayen Islands,2,2023,"Education officer, environmental",2006.05,9.9
Whitehead,Tyler,male,San Marino,8,2021,Educational psychologist,1961.23,7.7
Deleon,Matthew,male,San Marino,4,2020,Educational psychologist,1906.69,5.1
Ruiz,William,male,Svalbard & Jan Mayen Islands,2,2020,Educational psychologist,1797.14,6.8
Park,John,male,South Georgia and the South Sandwich Islands,11,2022,Clinical cytogeneticist,2022.52,9.7
Smith,Adam,male,Wallis and Futuna,7,2022,"Education officer, environmental",2086.18,5.4
Matthews,Christopher,female,San Marino,4,2023,Educational psychologist,2012.43,6.6
Moore,Juan,female,Philippines,6,2022,"Education officer, environmental",1972.56,9.0
Martin,Jerry,female,Wallis and Futuna,10,2023,"Education officer, environmental",1706.66,8.3
Jones,Daniel,male,Wallis and Futuna,5,2020,Clinical cytogeneticist,1923.05,5.1
Eaton,Adam,male,Niue,7,2020,Educational psychologist,2012.03,5.8
Miller,Justin,female,Wallis and Futuna,4,2022,"Education officer, environmental",2022.94,9.9
Anderson,Marcus,male,Philippines,9,2022,Clinical cytogeneticist,2098.71,6.8
Russell,Kevin,male,Svalbard & Jan Mayen Islands,9,2023,Educational psychologist,2061.82,5.3
