last_name,first_name,gender,country,month,year,job,payment,rating
Hernandez,Nicholas,male,Greece,5,2022,Editorial assistant,2007.08,9.0
Harper,Jason,male,Latvia,12,2022,Geophysicist/field seismologist,2182.64,9.6
Rhodes,David,male,Greece,10,2022,Geophysicist/field seismologist,1980.45,7.7
Bryant,Thomas,male,Congo,11,2021,Surgeon,1962.03,5.1
Carson,Dan,male,Timor-Leste,11,2020,Surgeon,1914.87,10.0
Lucas,Thomas,male,Latvia,11,2023,Associate Professor,1856.99,8.5
Cook,Jeffrey,male,Netherlands Antilles,12,2021,Surgeon,1991.65,8.1
Woods,William,male,Congo,8,2022,Editorial assistant,1984.62,5.8
Ellis,Wesley,male,Netherlands,9,2020,Technical sales engineer,2073.72,9.8
Ross,Paul,male,Netherlands Antilles,8,2020,Surgeon,2204.79,8.7
Webster,Gene,male,Timor-Leste,9,2022,Editorial assistant,1843.92,8.3
Holt,Jonathan,male,Netherlands,12,2022,Surgeon,2081.12,8.2
Smith,Edward,female,Netherlands,2,2021,Editorial assistant,2016.72,7.2
Barr,Jonathan,female,Latvia,10,2021,Editorial assistant,1731.68,6.6
Dodson,Shane,female,Netherlands Antilles,10,2023,Geophysicist/field seismologist,1966.11,9.3
Monroe,William,male,Latvia,12,2020,Editorial assistant,2033.31,6.0
Flynn,John,male,Latvia,9,2021,Geophysicist/field seismologist,2039.42,5.5
Jones,Scott,male,Latvia,7,2022,Technical sales engineer,2092.86,8.7
Leblanc,Douglas,male,Timor-Leste,12,2023,Associate Professor,1793.11,9.2
Johnson,Maurice,female,Timor-Leste,12,2022,Associate Professor,1939.96,8.5
Price,Ricky,male,Brunei Darussalam,1,2022,Technical sales engineer,1871.03,5.7
Powers,James,male,Greece,6,2023,Editorial assistant,2038.71,8.4
Ellis,Robert,male,Greece,3,2021,Geophysicist/field seismologist,1840.65,8.6
Miller,Jeffrey,male,Latvia,5,2020,Associate Professor,2028.92,9.2
Lewis,Joseph,male,Timor-Leste,10,2020,Editorial assistant,1963.88,9.0
Oconnor,Eric,male,Greece,12,2021,Technical sales engineer,2075.15,6.1
Porter,Jacob,male,Netherlands,8,2021,Editorial assistant,1925.55,5.4
Hensley,James,male,Timor-Leste,12,2022,Associate Professor,2013.64,10.0
Steele,Austin,male,Greece,3,2022,Technical sales engineer,2097.41,9.5
Lamb,Phillip,male,Latvia,12,2022,Technical sales engineer,1849.62,9.4
West,Patrick,male,Congo,11,2020,Editorial assistant,1875.64,8.5
Nelson,Aaron,male,Greece,12,2020,Geophysicist/field seismologist,1855.63,5.8
Aguilar,Christopher,male,Congo,4,2021,Editorial assistant,1944.66,5.1
Brown,Donald,male,Timor-Leste,3,2021,Associate Professor,1913.57,10.0
Kane,Luis,male,Netherlands,4,2022,Editorial assistant,2068.52,7.8
Evans,Maurice,male,Netherlands Antilles,5,2022,Geophysicist/field seismologist,1858.15,9.9
Brooks,Matthew,male,Congo,9,2022,Editorial assistant,1889.47,8.5
Grant,David,male,Netherlands Antilles,5,2020,Technical sales engineer,2022.38,8.8
Bennett,Casey,male,Netherlands Antilles,7,2022,Editorial assistant,1995.5,9.2
Lewis,Jeremy,male,Netherlands Antilles,5,2022,Technical sales engineer,1949.64,5.0
Alvarado,Ronald,male,Congo,9,2021,Surgeon,2026.15,6.3
Lynch,Anthony,male,Netherlands Antilles,9,2023,Editorial assistant,2223.31,5.5
Taylor,Richard,male,Greece,10,2022,Geophysicist/field seismologist,1977.39,5.3
Richmond,Dennis,male,Brunei Darussalam,6,2023,Editorial assistant,1846.32,6.6
Chambers,Michael,male,Brunei Darussalam,10,2022,Associate Professor,1808.77,9.5
Drake,Jeremy,male,Netherlands,5,2023,Associate Professor,1937.2,6.9
Russo,David,male,Latvia,8,2023,Editorial assistant,1872.47,8.5
Johnson,Brian,female,Congo,5,2022,Geophysicist/field seismologist,2056.54,7.1
Martinez,Daniel,female,Latvia,6,2021,Associate Professor,1939.29,5.4
Tanner,Willie,female,Netherlands Antilles,5,2020,Associate Professor,1996.97,7.4
Taylor,William,male,Greece,1,2020,Surgeon,1857.78,6.5
Bell,Donald,male,Latvia,5,2020,Associate Professor,2122.6,5.2
Logan,David,male,Latvia,7,2020,Editorial assistant,2134.47,7.0
Watson,Kevin,male,Brunei Darussalam,3,2022,Associate Professor,2108.75,9.5
Berg,Clifford,male,Timor-Leste,3,2022,Technical sales engineer,2082.18,8.7
Tran,Chad,male,Latvia,3,2021,Associate Professor,2026.99,9.0
Mahoney,Michael,male,Greece,4,2022,Technical sales engineer,1997.71,7.2
Alvarez,Tyler,male,Netherlands,5,2022,Technical sales engineer,2036.41,6.9
Franco,Jason,male,Latvia,12,2023,Technical sales engineer,1862.41,5.5
Crosby,Mark,male,Netherlands,4,2022,Editorial assistant,1933.44,5.3
Rivera,Ricardo,male,Netherlands,2,2021,Associate Professor,1821.2,6.9
Butler,James,male,Brunei Darussalam,11,2021,Editorial assistant,1852.98,9.5
Woods,Gary,male,Latvia,12,2022,Editorial assistant,1963.51,10.0
Kelley,Daniel,female,Brunei Darussalam,8,2023,Technical sales engineer,1946.48,7.0
Wong,Joseph,male,Timor-Leste,6,2023,Technical sales engineer,2076.17,9.2
Harding,Shawn,male,Brunei Darussalam,9,2022,Technical sales engineer,1885.18,8.1
Parks,Richard,male,Latvia,7,2020,Editorial assistant,1958.4,8.6
Gonzales,Michael,male,Netherlands,11,2022,Associate Professor,2070.04,5.5
Harris,Clifford,male,Timor-Leste,9,2023,Associate Professor,2110.42,10.0
Richardson,Jason,male,Netherlands,3,2022,Associate Professor,2224.88,5.5
Mcneil,Leonard,male,Latvia,11,2022,Geophysicist/field seismologist,1947.38,6.3
Park,Edward,male,Netherlands,2,2021,Associate Professor,2038.51,5.3
Diaz,Gregory,male,Netherlands,11,2023,Surgeon,2027.43,7.4
Walker,Tommy,male,Netherlands Antilles,6,2020,Associate Professor,1923.0,6.1
Willis,Adrian,male,Netherlands,12,2023,Associate Professor,2257.55,8.2
Hunter,Jason,male,Netherlands,6,2021,Technical sales engineer,2110.35,6.2
Glover,Mark,male,Netherlands Antilles,6,2022,Technical sales engineer,1954.11,9.6
Soto,Gavin,male,Netherlands,8,2020,Editorial assistant,1970.51,9.6
Bailey,Edgar,male,Timor-Leste,9,2021,Associate Professor,1986.26,7.3
Snyder,James,male,Greece,9,2020,Associate Professor,1988.28,9.3
Brooks,Paul,male,Netherlands,11,2020,Editorial assistant,1986.62,8.9
Thomas,Juan,male,Timor-Leste,6,2020,Associate Professor,2002.82,10.0
Landry,Michael,male,Latvia,2,2021,Editorial assistant,1967.45,5.3
Smith,Ronald,male,Latvia,8,2022,Technical sales engineer,1861.46,5.4
Chavez,James,female,Congo,7,2020,Technical sales engineer,2021.72,8.3
Mitchell,Ernest,male,Latvia,2,2021,Editorial assistant,1931.7,6.6
Mendez,Ruben,male,Netherlands,5,2022,Surgeon,1976.34,8.1
Kaiser,Michael,male,Latvia,7,2021,Associate Professor,1994.65,10.0
Taylor,Paul,female,Netherlands,12,2021,Editorial assistant,2015.24,6.5
Gibson,Jesse,female,Latvia,9,2023,Editorial assistant,2016.64,7.9
Johnson,Robert,male,Latvia,9,2021,Geophysicist/field seismologist,1981.85,7.7
Nguyen,Gerald,male,Netherlands Antilles,8,2020,Technical sales engineer,2272.91,5.1
Ramos,Charles,male,Brunei Darussalam,8,2020,Associate Professor,2106.15,6.2
