last_name,first_name,gender,country,month,year,job,payment,rating
Gallagher,Lee,male,Tunisia,3,2022,"Psychologist, educational",1977.99,9.5
Howard,Dylan,female,Norway,1,2022,Leisure centre manager,1973.41,8.3
Davis,John,female,Yemen,1,2021,"Psychologist, educational",2041.22,9.5
Crawford,Tommy,male,Norfolk Island,3,2021,IT consultant,1981.28,9.4
Doyle,Christopher,female,Norfolk Island,7,2022,"Sales professional, IT",2263.92,9.7
Duarte,Johnathan,male,Norfolk Island,1,2021,Leisure centre manager,2123.33,5.6
Bradley,Douglas,male,Tunisia,3,2020,"Psychologist, educational",1924.49,6.8
Wright,David,male,Bulgaria,11,2022,Leisure centre manager,2001.26,8.5
Hill,Joseph,male,Gibraltar,4,2023,"Psychologist, educational",2043.63,6.7
Daniel,Timothy,male,Tokelau,2,2022,"Psychologist, educational",2211.53,8.3
Glover,Curtis,male,Norway,5,2022,"Sales professional, IT",2122.83,7.5
Morris,Frederick,male,Tokelau,6,2023,"Sales professional, IT",1779.71,5.3
Camacho,Steven,male,Norway,3,2023,"Psychologist, educational",2116.02,5.8
Adams,Philip,male,Gibraltar,6,2020,"Sales professional, IT",2057.08,7.8
Vasquez,Douglas,female,Norfolk Island,12,2021,"Psychologist, educational",2026.43,6.1
Campbell,Kyle,male,Norfolk Island,8,2023,IT consultant,2036.39,7.8
Watson,Joseph,male,Bulgaria,3,2023,IT consultant,2099.56,9.9
Johnson,Scott,male,Gibraltar,11,2021,Leisure centre manager,2043.61,8.4
Ayala,Ryan,male,Norfolk Island,10,2022,Leisure centre manager,2061.01,5.9
Martin,Jose,male,Bulgaria,3,2023,"Psychologist, educational",2011.54,10.0
Stafford,Joshua,male,Bulgaria,1,2023,IT consultant,2129.57,10.0
Shaffer,Daniel,male,Yemen,1,2023,"Sales professional, IT",2023.52,8.4
Downs,Eric,male,Tunisia,5,2023,"Sales professional, IT",2063.1,5.0
Blackwell,Tony,male,Tokelau,1,2022,"Sales professional, IT",2121.05,7.1
Austin,David,male,Tokelau,7,2021,"Psychologist, educational",1893.99,5.8
Myers,Keith,male,Dominican Republic,6,2023,"Sales professional, IT",1770.16,8.4
Petersen,Edwin,male,Dominican Republic,5,2021,"Sales professional, IT",2202.88,8.3
Peck,David,male,Norway,12,2021,IT consultant,1906.55,6.6
Young,Daniel,male,Dominican Republic,9,2020,"Sales professional, IT",1798.88,9.8
Mccormick,Michael,male,Bulgaria,5,2021,IT consultant,1888.01,7.4
Smith,Peter,male,Gibraltar,4,2023,"Sales professional, IT",2059.62,7.6
Hall,Gary,male,Norfolk Island,2,2022,Leisure centre manager,2035.56,8.8
Williams,Benjamin,male,Gibraltar,8,2021,"Sales professional, IT",1868.14,9.2
Carlson,Paul,male,Yemen,1,2022,Leisure centre manager,1964.01,7.1
Browning,Kevin,male,Bulgaria,1,2021,Leisure centre manager,2121.36,7.4
Weaver,Gary,male,Tunisia,11,2020,Leisure centre manager,1858.59,6.1
Woodard,Nicholas,male,Yemen,3,2021,"Sales professional, IT",1878.6,8.3
Maldonado,Adrian,male,Norway,9,2020,Leisure centre manager,2011.27,8.7
Horne,Christopher,male,Norfolk Island,7,2023,"Sales professional, IT",1915.0,7.6
Davidson,Alexis,male,Bulgaria,6,2022,Leisure centre manager,2090.52,10.0
Khan,Christopher,male,Tokelau,2,2020,"Psychologist, educational",1801.01,5.8
Bennett,Robert,female,Tokelau,5,2021,"Psychologist, educational",2054.47,5.2
Newton,Timothy,male,Norfolk Island,4,2022,Leisure centre manager,1922.78,7.3
Rodriguez,Matthew,male,Tunisia,9,2022,Leisure centre manager,2055.64,6.3
Wilson,Nathan,female,Gibraltar,12,2020,"Psychologist, educational",2078.41,8.4
Nelson,Jeffrey,male,Norway,9,2021,"Sales professional, IT",2079.12,6.8
Peters,Jesse,male,Norfolk Island,3,2022,"Psychologist, educational",2033.99,8.9
Williamson,Benjamin,male,Gibraltar,7,2023,"Psychologist, educational",1929.47,7.2
Ponce,Kyle,male,Norway,5,2020,IT consultant,1880.18,7.3
Richardson,Ronald,male,Norway,7,2021,"Sales professional, IT",1893.13,7.0
Welch,Christian,male,Gibraltar,11,2023,Leisure centre manager,1762.36,10.0
Franco,Christopher,male,Norfolk Island,2,2022,Leisure centre manager,2149.12,5.9
Russo,Jeff,female,Dominican Republic,5,2020,"Psychologist, educational",2026.15,6.1
Smith,Joseph,male,Tokelau,12,2023,"Psychologist, educational",2018.02,5.6
Noble,Michael,male,Tunisia,12,2022,Leisure centre manager,1969.04,5.9
Martin,Timothy,male,Yemen,9,2022,"Sales professional, IT",2175.97,9.5
May,Justin,female,Norfolk Island,7,2022,Leisure centre manager,2110.48,5.7
Oneill,Alan,male,Tunisia,7,2020,Leisure centre manager,2088.08,6.7
Gonzalez,Andrew,male,Norfolk Island,12,2023,Leisure centre manager,2056.63,5.1
Chandler,Aaron,male,Tunisia,2,2022,"Psychologist, educational",1918.13,5.5
Colon,Robert,male,Norway,12,2022,Leisure centre manager,1908.13,5.2
Jones,Vincent,male,Dominican Republic,8,2021,"Sales professional, IT",2189.74,8.7
Ellis,Troy,male,Tunisia,8,2021,"Psychologist, educational",1907.46,6.3
Aguilar,Randall,male,Bulgaria,2,2023,"Psychologist, educational",2022.27,7.8
Shepard,David,male,Yemen,12,2023,"Psychologist, educational",1915.91,5.9
Rodriguez,Joseph,male,Yemen,8,2020,"Sales professional, IT",2092.08,5.5
