last_name,first_name,gender,country,month,year,job,payment,rating
Evans,Erik,male,Algeria,7,2020,Restaurant manager,2068.91,5.5
Hernandez,Jay,male,British Virgin Islands,9,2020,"Editor, film/video",1878.97,5.5
Williams,Nicholas,male,Afghanistan,5,2023,Commercial art gallery manager,2211.46,6.9
Green,Caleb,male,Netherlands,10,2021,Restaurant manager,2032.93,7.7
English,Michael,female,Afghanistan,6,2020,Restaurant manager,2006.94,9.7
Barnett,Juan,male,Jersey,12,2020,Restaurant manager,1872.74,9.4
Figueroa,Timothy,male,New Zealand,3,2023,Commercial art gallery manager,1949.79,10.0
Jacobson,Wesley,female,Niue,4,2023,"Editor, film/video",1950.98,8.7
Clark,Tony,male,British Virgin Islands,11,2022,Restaurant manager,2031.27,9.5
Klein,Shannon,male,Czech Republic,5,2020,Restaurant manager,1984.09,7.4
Ryan,James,male,Czech Republic,4,2023,Commercial art gallery manager,2075.35,5.4
Powers,Nicholas,male,Jersey,6,2021,"Editor, film/video",1897.81,8.6
Jones,David,female,New Zealand,11,2022,"Editor, film/video",1859.36,8.4
Holland,Tim,male,Monaco,8,2021,"Editor, film/video",2009.43,7.0
Ward,Kevin,male,Czech Republic,12,2020,"Editor, film/video",1929.46,5.1
Moody,Daniel,female,British Virgin Islands,9,2020,Commercial art gallery manager,1973.87,7.7
Miller,Brian,male,Monaco,5,2023,"Editor, film/video",1945.5,8.7
Ortega,Jeffrey,male,New Zealand,7,2020,"Editor, film/video",1879.4,7.8
Mcintosh,Joshua,male,New Zealand,1,2020,Commercial art gallery manager,1863.58,9.2
Hunt,Mark,male,Algeria,1,2023,Commercial art gallery manager,1998.33,7.5
Henry,Andrew,female,New Zealand,12,2023,Restaurant manager,2020.85,10.0
Reed,John,female,Afghanistan,6,2020,Commercial art gallery manager,2016.02,5.5
Smith,Joseph,male,Monaco,11,2020,Restaurant manager,2047.24,5.7
Ramsey,Paul,female,Afghanistan,7,2023,Restaurant manager,2010.01,5.2
Gonzales,Stephen,female,Jersey,3,2020,Restaurant manager,2044.53,6.0
Rowland,Benjamin,female,Algeria,7,2021,Restaurant manager,2067.49,5.4
Jordan,Michael,male,Algeria,8,2022,Commercial art gallery manager,2115.92,7.0
Archer,Jose,male,Algeria,6,2020,Restaurant manager,1932.5,6.6
Vasquez,Hunter,male,New Zealand,8,2023,Restaurant manager,1924.75,7.3
Thomas,James,female,Czech Republic,6,2021,Restaurant manager,2162.88,5.6
Holt,Daniel,male,New Zealand,11,2023,Commercial art gallery manager,1943.46,10.0
Simmons,David,male,New Zealand,1,2023,Commercial art gallery manager,1979.95,9.5
Huynh,Charles,male,New Zealand,8,2022,Restaurant manager,2110.45,8.4
Williams,John,female,New Zealand,4,2020,Commercial art gallery manager,1916.54,10.0
Hall,Paul,male,Monaco,12,2021,Commercial art gallery manager,2177.44,7.1
Hardy,Paul,male,British Virgin Islands,8,2023,"Editor, film/video",2092.16,7.8
Marshall,James,female,Monaco,12,2022,"Editor, film/video",1946.52,6.0
Davis,Larry,male,Czech Republic,4,2021,Restaurant manager,1934.16,9.4
Martinez,John,male,Jersey,6,2021,"Editor, film/video",1992.5,6.4
James,Kevin,female,Netherlands,6,2021,Restaurant manager,1936.73,7.5
Forbes,Duane,female,New Zealand,5,2021,"Editor, film/video",1902.55,8.7
Perry,Michael,male,Czech Republic,10,2023,"Editor, film/video",2001.7,7.1
Moore,Louis,male,New Zealand,9,2023,Restaurant manager,2132.5,8.4
Martin,Joseph,male,Netherlands,11,2023,Restaurant manager,2023.35,8.6
Carpenter,Kurt,female,British Virgin Islands,5,2021,Commercial art gallery manager,1978.13,5.7
James,Robert,male,British Virgin Islands,7,2021,Restaurant manager,1978.4,10.0
Gonzalez,Steve,male,New Zealand,8,2021,Commercial art gallery manager,2030.21,8.6
Davenport,Jeremy,male,Afghanistan,1,2022,Commercial art gallery manager,2106.09,8.4
Brooks,Jonathan,male,Monaco,5,2022,Restaurant manager,1899.48,8.3
White,Paul,male,British Virgin Islands,1,2021,Restaurant manager,1771.53,9.3
Soto,Nicholas,female,Afghanistan,8,2021,Commercial art gallery manager,1872.55,9.6
Davis,Matthew,male,New Zealand,8,2023,Restaurant manager,2111.14,10.0
Peterson,Eric,female,British Virgin Islands,11,2021,Restaurant manager,2110.17,5.7
Parker,Andrew,male,Jersey,3,2020,Restaurant manager,1908.88,7.1
Norton,Steven,male,New Zealand,6,2023,Restaurant manager,1975.56,10.0
Huang,Christopher,male,Algeria,1,2022,Commercial art gallery manager,1942.91,8.7
Moore,Daniel,male,Niue,11,2022,"Editor, film/video",1944.78,8.0
Mason,Lawrence,male,Algeria,3,2021,Restaurant manager,1932.72,9.1
Salinas,Kyle,female,British Virgin Islands,12,2023,"Editor, film/video",2141.44,5.6
Ellis,Aaron,female,Monaco,9,2021,"Editor, film/video",2035.04,8.6
Heath,Scott,male,British Virgin Islands,12,2022,Commercial art gallery manager,1970.91,7.3
Stone,Jonathan,male,Niue,2,2022,Restaurant manager,2018.77,5.5
Powell,Richard,male,New Zealand,10,2023,"Editor, film/video",1963.12,8.7
Douglas,Craig,male,Netherlands,1,2022,"Editor, film/video",2155.78,6.9
Roman,Carlos,male,Jersey,7,2020,"Editor, film/video",1937.14,5.1
Romero,Jeremy,male,Niue,8,2022,Restaurant manager,2034.17,6.7
Hall,Ian,male,British Virgin Islands,6,2021,"Editor, film/video",2038.1,6.1
Miller,Jackson,male,Netherlands,3,2021,Restaurant manager,1983.23,5.8
Brown,Kevin,male,Netherlands,8,2021,Restaurant manager,2035.55,5.0
Brooks,Michael,male,Czech Republic,4,2021,Restaurant manager,1976.23,9.2
Duarte,Bradley,male,Japan,8,2021,Commercial art gallery manager,2090.92,9.4
Nguyen,Andrew,male,Algeria,2,2021,"Editor, film/video",1952.81,8.6
Taylor,Daniel,male,Netherlands,7,2022,Commercial art gallery manager,1964.23,8.8
Lee,James,male,British Virgin Islands,7,2022,Restaurant manager,1992.43,7.1
Moore,Evan,male,Algeria,8,2023,Restaurant manager,2154.7,7.7
Walker,Ryan,male,Algeria,10,2020,Commercial art gallery manager,2040.21,8.4
Garcia,Justin,male,British Virgin Islands,8,2021,Commercial art gallery manager,2043.57,6.1
Moreno,Gabriel,male,Monaco,10,2023,Restaurant manager,2008.45,7.8
Hall,Devon,female,Algeria,5,2023,"Editor, film/video",2111.74,7.5
Moore,Brandon,female,New Zealand,3,2023,"Editor, film/video",2059.18,10.0
Rhodes,David,female,Jersey,1,2021,Commercial art gallery manager,2080.05,5.0
