last_name,first_name,gender,country,month,year,job,payment,rating
Wilson,Brandon,male,Mauritania,5,2022,Environmental health practitioner,2035.05,7.9
Chase,James,male,Belize,4,2022,Estate manager/land agent,2103.31,9.2
Walter,Tyler,male,Fiji,12,2023,Furniture conservator/restorer,2083.23,7.5
Smith,Richard,male,Micronesia,6,2020,Furniture conservator/restorer,1565.89,7.2
Rivera,Kevin,male,Micronesia,8,2021,Occupational psychologist,1963.96,9.1
Schwartz,Samuel,male,Micronesia,7,2023,Estate manager/land agent,1890.79,8.8
Miller,Jared,male,Egypt,12,2022,Estate manager/land agent,1872.25,7.2
Wilson,David,male,Togo,7,2021,Environmental health practitioner,2106.04,5.1
Barker,Luis,male,Belize,6,2020,Plant breeder/geneticist,2074.15,9.2
Webb,Alexander,male,Fiji,6,2020,Occupational psychologist,1943.67,6.9
Villanueva,Charles,male,Micronesia,11,2023,Furniture conservator/restorer,1779.7,9.3
Wright,Nicholas,male,Vietnam,11,2023,Furniture conservator/restorer,2121.8,5.4
Collier,Connor,male,Mauritania,1,2021,Occupational psychologist,1907.62,7.8
Robinson,Michael,male,Sudan,2,2023,Furniture conservator/restorer,2030.13,7.5
Fowler,John,male,Mauritania,6,2020,Occupational psychologist,1977.2,7.6
Sanchez,Kyle,male,Mauritania,11,2022,Environmental health practitioner,1950.27,7.0
Johnson,Paul,male,Belize,6,2020,Occupational psychologist,2030.88,6.6
Brown,Robert,male,Belize,5,2020,Estate manager/land agent,2027.84,8.1
Melton,Thomas,male,Micronesia,7,2022,Environmental health practitioner,1912.1,8.5
Cook,Justin,male,Sudan,1,2022,Environmental health practitioner,1996.38,7.4
Thomas,Daniel,male,Belize,1,2022,Estate manager/land agent,1889.26,9.7
Brewer,Charles,male,Vietnam,6,2021,Occupational psychologist,2063.65,7.1
Burgess,Casey,male,Egypt,12,2020,Estate manager/land agent,2033.12,6.1
Walker,Nicholas,male,Mauritania,1,2020,Occupational psychologist,1983.3,8.8
Wagner,Douglas,male,Micronesia,7,2023,Furniture conservator/restorer,1798.29,8.2
Henderson,Gary,male,Vietnam,12,2020,Plant breeder/geneticist,1958.14,5.8
Taylor,Martin,male,Belize,6,2023,Plant breeder/geneticist,1952.9,9.5
Wilson,Eric,male,Micronesia,12,2023,Occupational psychologist,2051.97,8.6
Wood,Michael,male,Sudan,4,2020,Environmental health practitioner,1932.83,9.3
Moore,Jeffery,female,Egypt,3,2022,Estate manager/land agent,2011.86,5.2
Scott,Mark,male,Micronesia,3,2021,Estate manager/land agent,1835.79,6.5
Sanders,Ryan,male,Belize,9,2020,Environmental health practitioner,2091.18,8.8
Henderson,Duane,male,Egypt,4,2020,Plant breeder/geneticist,1939.13,7.8
White,Michael,male,Micronesia,6,2022,Estate manager/land agent,2054.62,9.3
Myers,Erik,male,Mauritania,4,2022,Occupational psychologist,1922.54,8.5
Brown,Zachary,male,Togo,2,2023,Environmental health practitioner,2204.95,7.9
Hill,Jay,male,Fiji,8,2023,Furniture conservator/restorer,1910.22,9.6
Wong,Bradley,male,Belize,3,2023,Estate manager/land agent,1955.47,6.1
Dyer,Jonathan,male,Belize,6,2021,Occupational psychologist,2151.4,6.9
Daugherty,Andrew,male,Vietnam,10,2020,Environmental health practitioner,1964.63,9.9
Johnson,Stephen,male,Togo,12,2020,Environmental health practitioner,2068.4,5.1
Lopez,Justin,female,Egypt,5,2020,Environmental health practitioner,1940.13,9.2
Rhodes,Andre,female,Mauritania,10,2022,Furniture conservator/restorer,1815.55,8.5
Murray,Daniel,female,Mauritania,5,2021,Occupational psychologist,2099.16,8.4
Bailey,Dennis,male,Micronesia,3,2020,Furniture conservator/restorer,1909.04,9.7
Scott,Rodney,male,Mauritania,2,2022,Occupational psychologist,1822.84,8.5
Clark,Justin,female,Vietnam,12,2023,Environmental health practitioner,1907.16,6.2
Thomas,Eric,male,Micronesia,3,2021,Plant breeder/geneticist,1927.0,6.6
Harris,Christian,male,Sudan,8,2021,Furniture conservator/restorer,1918.07,7.0
Sanchez,Nicolas,male,Egypt,10,2022,Plant breeder/geneticist,2153.84,7.7
Benitez,Brendan,male,Mauritania,11,2023,Estate manager/land agent,2018.36,7.7
Yu,Michael,male,Egypt,5,2023,Environmental health practitioner,2131.6,7.5
Parker,Robert,female,Belize,5,2022,Plant breeder/geneticist,1962.48,5.7
Peters,David,male,Belize,7,2022,Plant breeder/geneticist,2049.53,5.1
Swanson,Thomas,male,Egypt,12,2021,Environmental health practitioner,1958.75,8.6
Curtis,Charles,male,Vietnam,6,2023,Occupational psychologist,2038.37,6.8
Sampson,Luis,female,Togo,11,2023,Furniture conservator/restorer,2001.95,9.5
Williams,Mark,female,Fiji,3,2021,Environmental health practitioner,2082.78,6.5
Pratt,James,male,Mauritania,12,2023,Occupational psychologist,2054.5,9.2
Rivera,Richard,male,Fiji,7,2021,Furniture conservator/restorer,1998.68,6.7
King,Carl,male,Belize,7,2022,Plant breeder/geneticist,1989.35,7.6
Pacheco,Scott,male,Egypt,2,2021,Estate manager/land agent,2145.66,8.4
Hernandez,Robert,male,Mauritania,5,2022,Occupational psychologist,1951.87,9.8
Cooper,Christopher,male,Belize,12,2022,Plant breeder/geneticist,1974.35,5.2
Stewart,William,male,Egypt,9,2023,Furniture conservator/restorer,2015.86,6.4
Berry,John,male,Micronesia,8,2021,Occupational psychologist,1802.1,5.2
Fletcher,Paul,male,Egypt,8,2021,Plant breeder/geneticist,2135.33,9.2
Crawford,Brian,male,Mauritania,5,2023,Occupational psychologist,2014.86,8.0
Shannon,Justin,female,Fiji,3,2022,Occupational psychologist,2001.72,9.2
Gomez,Douglas,female,Vietnam,5,2021,Plant breeder/geneticist,2030.36,7.3
Willis,Kevin,male,Micronesia,4,2022,Estate manager/land agent,2054.9,8.5
Randall,Daniel,male,Micronesia,11,2021,Occupational psychologist,1976.47,6.8
Morris,John,male,Fiji,12,2020,Plant breeder/geneticist,1775.92,9.9
Krause,Larry,male,Vietnam,4,2021,Estate manager/land agent,1736.34,9.9
Brown,Alan,male,Micronesia,8,2020,Plant breeder/geneticist,1953.27,6.2
Miller,Ian,male,Egypt,5,2023,Furniture conservator/restorer,2191.41,5.1
White,Anthony,male,Mauritania,10,2023,Occupational psychologist,2050.62,10.0
Neal,Jeff,male,Belize,11,2022,Environmental health practitioner,1966.49,8.0
Arnold,Barry,male,Micronesia,8,2021,Occupational psychologist,2001.04,9.9
Mckay,Todd,male,Egypt,11,2022,Occupational psychologist,1888.23,9.3
