last_name,first_name,gender,country,month,year,job,payment,rating
Pierce,James,male,Grenada,8,2023,Database administrator,1965.21,5.4
Smith,Ryan,male,Grenada,10,2020,Psychiatrist,1905.86,5.1
Cuevas,Willie,male,Aruba,4,2020,Psychiatrist,2032.7,9.0
Gonzalez,Terry,male,Grenada,10,2023,"Engineer, site",1830.94,8.7
Greer,Daniel,female,Germany,5,2023,"Engineer, automotive",2101.02,10.0
Nguyen,Allen,male,Aruba,11,2020,Psychiatrist,1920.76,7.3
Robinson,Jared,male,United States of America,8,2021,Psychiatrist,1970.7,5.5
Martinez,Roy,male,Dominican Republic,6,2023,Psychiatrist,1977.35,7.1
Oliver,Keith,male,Aruba,9,2022,"Engineer, automotive",1974.55,7.1
Wu,Ryan,male,Austria,10,2021,"Engineer, automotive",1960.31,9.3
Flores,James,male,Austria,12,2020,Dispensing optician,2104.95,5.6
Ortiz,Joshua,male,Dominican Republic,2,2022,Psychiatrist,2101.84,7.6
English,James,male,Dominica,5,2021,"Engineer, site",2111.42,9.0
Robinson,Erik,male,Dominica,10,2021,Database administrator,1925.15,5.3
Holmes,Adam,male,Austria,5,2023,"Engineer, automotive",2070.06,7.5
Jones,Roger,male,Austria,6,2023,Psychiatrist,2009.53,7.7
Robertson,Ryan,male,Grenada,10,2021,Psychiatrist,2045.58,9.8
Krause,Caleb,male,Dominica,2,2023,"Engineer, automotive",2166.89,6.6
Bryan,Scott,female,Austria,4,2020,"Engineer, civil (contracting)",2218.27,9.9
Clay,David,male,Austria,3,2021,Dispensing optician,2020.42,7.5
Pearson,Tyler,male,Grenada,9,2022,Psychiatrist,1906.22,6.9
Moore,Paul,male,Tuvalu,12,2021,"Engineer, automotive",2109.18,8.0
Mitchell,Seth,female,Aruba,6,2020,Psychiatrist,2004.45,5.6
Torres,David,female,Austria,10,2023,Psychiatrist,1988.07,6.5
Lawrence,John,male,Grenada,8,2023,"Engineer, automotive",1779.47,10.0
Jones,Brandon,female,Germany,11,2023,"Engineer, site",1885.77,10.0
Lowe,James,female,Austria,6,2023,Psychiatrist,1847.67,9.0
Blake,Thomas,male,Austria,7,2022,"Engineer, site",2085.99,8.1
Spears,David,male,Dominican Republic,4,2022,Psychiatrist,2177.05,5.0
Johnson,John,male,Dominican Republic,5,2023,"Engineer, site",1962.44,6.1
