last_name,first_name,gender,country,month,year,job,payment,rating
Liu,Charles,female,Kenya,3,2022,Conference centre manager,2041.85,5.9
May,Richard,female,Brazil,4,2020,IT trainer,2059.16,6.4
Black,Roy,female,San Marino,8,2023,Herpetologist,2061.3,9.6
Baker,Oscar,female,San Marino,8,2023,IT trainer,2051.7,8.7
Reid,James,female,San Marino,9,2022,Conference centre manager,2197.86,5.9
Anderson,Daniel,male,Thailand,5,2020,Herpetologist,1981.39,10.0
Davis,Richard,female,Brazil,8,2020,Herpetologist,2049.55,6.6
Nichols,Brad,female,Algeria,12,2021,IT trainer,2069.73,6.8
Salazar,Thomas,female,Kenya,7,2023,IT trainer,2062.72,8.1
Murray,Jason,female,Lesotho,3,2021,Mudlogger,1962.47,8.5
Williams,Robert,female,El Salvador,4,2022,Conference centre manager,2009.61,6.2
Harris,Lee,female,Kenya,9,2021,Herpetologist,2065.86,5.8
Silva,Paul,female,Thailand,12,2020,Conference centre manager,2165.23,9.4
Blair,Chris,male,Georgia,10,2022,Mudlogger,2113.96,9.2
Clark,Joseph,female,Thailand,6,2023,Mudlogger,1961.09,8.1
Leon,Craig,female,Israel,12,2023,Mudlogger,1810.48,9.5
Newman,Travis,male,San Marino,11,2022,IT trainer,2014.37,8.0
Reed,Dylan,female,Lesotho,6,2020,Conference centre manager,1997.72,8.4
Robinson,Juan,female,San Marino,4,2023,Mudlogger,1909.98,5.6
Jones,Joseph,female,Georgia,6,2020,Conference centre manager,2071.47,5.6
Manning,Mike,male,El Salvador,6,2021,Conference centre manager,1998.45,5.8
Lawson,Kyle,male,Peru,7,2021,Conference centre manager,1901.19,8.9
Mcgee,Mark,female,Georgia,6,2021,Conference centre manager,1986.83,8.2
Perez,Hunter,female,Peru,8,2021,Conference centre manager,2038.85,5.1
Stanton,Christian,female,Algeria,11,2023,IT trainer,1802.93,6.9
Meyer,Andrew,female,Lesotho,1,2023,IT trainer,1854.25,9.5
Allen,Daniel,female,Peru,1,2020,IT trainer,2132.6,6.2
Parker,Jeffrey,female,El Salvador,5,2021,Conference centre manager,1962.56,5.9
Gonzalez,Brady,male,El Salvador,2,2022,Conference centre manager,1942.55,7.6
Moore,David,female,Algeria,4,2020,Conference centre manager,2107.63,6.7
Miller,Joshua,female,Lesotho,2,2023,Herpetologist,1843.43,7.1
Pacheco,Michael,female,Israel,4,2021,Conference centre manager,1808.67,6.3
Rogers,David,female,Israel,12,2021,Conference centre manager,1918.25,9.8
Marshall,Bradley,male,Kenya,9,2022,Conference centre manager,1861.73,6.9
