last_name,first_name,gender,country,month,year,job,payment,rating
Hammond,David,female,Paraguay,9,2020,"Engineer, control and instrumentation",2001.33,5.7
Sullivan,Matthew,female,Paraguay,8,2020,Operational researcher,1918.77,9.4
Smith,Alex,female,Liechtenstein,12,2021,Media planner,2219.98,6.4
Cervantes,Joshua,male,Paraguay,12,2021,Operational researcher,2050.77,6.0
Phillips,Austin,female,Liechtenstein,7,2023,Operational researcher,1856.33,7.4
Armstrong,Keith,female,Congo,4,2020,Operational researcher,2036.44,7.0
Nelson,Philip,female,Liechtenstein,1,2021,"Engineer, control and instrumentation",1910.72,5.3
Berry,Robert,female,Paraguay,7,2023,Operational researcher,1829.44,7.6
Hicks,Jared,female,Liechtenstein,9,2022,Media planner,1986.22,7.1
Glenn,David,male,Congo,2,2022,Optometrist,1963.56,8.4
Allen,Marvin,male,Congo,9,2022,Media planner,1913.49,5.1
Robertson,Thomas,male,Switzerland,6,2021,Media planner,2053.25,8.6
Johnson,Daniel,female,United States Virgin Islands,9,2023,Optometrist,1838.82,9.9
Stafford,Gabriel,male,Papua New Guinea,11,2023,Operational researcher,2186.17,9.1
Turner,Eric,male,Congo,4,2023,"Engineer, control and instrumentation",2309.38,8.9
Mora,Mark,female,Papua New Guinea,12,2023,Optometrist,2004.92,6.4
Richards,Scott,female,Congo,2,2021,Optometrist,1867.79,5.4
Harris,Jose,male,Papua New Guinea,6,2021,Media planner,1902.36,6.3
Lee,Randall,female,Paraguay,12,2021,"Engineer, control and instrumentation",2113.4,8.4
White,Randy,female,Liechtenstein,2,2023,Operational researcher,2100.44,5.6
Singh,Michael,female,Papua New Guinea,12,2020,Optometrist,2025.84,9.0
Cook,Jacob,male,United States Virgin Islands,5,2020,Operational researcher,1930.16,8.7
Harvey,Justin,male,Papua New Guinea,8,2023,Media planner,1823.96,5.3
Mckay,Travis,male,Switzerland,6,2021,Media planner,1922.76,5.7
Parker,Micheal,male,Congo,7,2022,Media planner,2117.0,6.0
Carroll,Alexander,female,Liechtenstein,1,2021,Operational researcher,2063.32,8.8
Black,Ricky,male,Papua New Guinea,1,2023,Operational researcher,1947.85,7.5
Knight,Alexander,female,Liechtenstein,9,2021,Operational researcher,1911.56,7.3
Padilla,Mike,female,United States Virgin Islands,7,2021,Media planner,1945.17,8.6
Watson,Jeremy,male,Greenland,5,2021,"Engineer, control and instrumentation",1898.35,6.4
Morris,Thomas,male,Greenland,6,2023,Media planner,1861.24,9.2
Ryan,Chad,female,Congo,3,2022,"Engineer, control and instrumentation",2002.71,7.9
Burgess,Justin,male,Greenland,8,2020,Optometrist,2039.81,7.8
Cross,James,male,United States Virgin Islands,5,2022,"Engineer, control and instrumentation",1752.56,7.7
Fields,James,male,Congo,4,2021,Media planner,2060.66,6.3
Dodson,Lance,male,Greenland,2,2021,Operational researcher,2093.06,8.0
Turner,Andrew,female,Papua New Guinea,12,2022,Media planner,1932.93,5.2
Woodard,Shawn,female,Paraguay,11,2021,Media planner,2102.11,9.0
Mills,Ernest,female,United States Virgin Islands,8,2020,"Engineer, control and instrumentation",2078.37,10.0
Harrison,Travis,male,Paraguay,12,2023,Media planner,2023.16,8.0
Russell,Justin,male,Paraguay,12,2020,Optometrist,1867.4,5.7
Kennedy,Kirk,male,Papua New Guinea,7,2021,Operational researcher,1988.47,7.5
Riley,Sergio,male,Paraguay,12,2020,Optometrist,2191.02,9.2
Thomas,Shawn,male,Liechtenstein,12,2023,Optometrist,2055.19,8.9
Larson,Marcus,female,Switzerland,5,2021,Optometrist,1926.82,5.7
Smith,James,male,Papua New Guinea,5,2022,Media planner,2038.85,5.2
Dominguez,Gregory,male,Paraguay,12,2021,"Engineer, control and instrumentation",2035.74,9.6
Ward,Douglas,female,Liechtenstein,11,2023,Media planner,2099.73,6.6
Johns,Charles,male,Congo,6,2023,Operational researcher,2068.75,7.0
Johnson,Philip,male,Greenland,11,2023,"Engineer, control and instrumentation",1964.03,7.8
Cook,Jose,male,United States Virgin Islands,10,2021,Operational researcher,1829.96,10.0
Blanchard,Jesus,male,United States Virgin Islands,10,2021,Media planner,1972.24,9.4
Powell,Jason,male,Paraguay,3,2022,Media planner,1903.09,8.2
Lowe,Brian,female,Papua New Guinea,10,2020,Media planner,1979.39,6.8
Lambert,Ryan,female,Paraguay,2,2020,Media planner,2019.32,7.5
Collins,Robert,male,Papua New Guinea,12,2023,Media planner,2037.65,6.1
Hernandez,Samuel,male,Papua New Guinea,4,2021,Operational researcher,1951.47,9.6
Robles,Gerald,female,Switzerland,5,2023,"Engineer, control and instrumentation",1997.89,6.9
Torres,Francisco,male,Congo,7,2023,Operational researcher,2092.49,8.1
Morrow,Jeffrey,female,Congo,12,2023,Media planner,1939.4,9.3
Copeland,Kenneth,female,United States Virgin Islands,7,2020,Operational researcher,2228.12,10.0
Perez,Kenneth,male,Papua New Guinea,2,2020,Media planner,2052.24,5.9
Knight,Sean,female,Papua New Guinea,3,2022,Optometrist,2102.78,7.4
Wang,Hunter,female,Congo,3,2023,"Engineer, control and instrumentation",1868.18,9.0
Forbes,Michael,female,Switzerland,5,2021,Optometrist,2026.44,7.7
Lopez,David,male,Liechtenstein,3,2022,Operational researcher,1998.81,7.5
Ruiz,Kenneth,female,Congo,9,2023,Operational researcher,2091.48,8.7
Robinson,Nicholas,female,Congo,8,2022,Operational researcher,2164.92,5.5
Castro,Jonathan,female,Greenland,1,2021,Optometrist,2150.17,5.2
Graves,Christopher,male,Paraguay,9,2021,Media planner,2111.9,9.3
Benton,Jesse,female,Paraguay,2,2023,Media planner,2224.82,7.0
Nelson,Kyle,female,Papua New Guinea,8,2023,Operational researcher,2011.74,5.6
Clark,Riley,male,Paraguay,3,2021,Media planner,1943.21,9.7
Jackson,Joshua,male,United States Virgin Islands,1,2021,"Engineer, control and instrumentation",2065.94,10.0
Carpenter,Joseph,female,Greenland,8,2021,Optometrist,1977.71,6.7
Green,Daniel,female,Papua New Guinea,3,2020,Operational researcher,1888.3,6.3
Moreno,Joseph,female,Paraguay,1,2020,Media planner,2038.61,6.6
Robbins,Daniel,female,Liechtenstein,11,2020,"Engineer, control and instrumentation",2039.69,7.4
Blevins,Samuel,male,Greenland,3,2022,Media planner,2023.02,5.8
Edwards,Dalton,male,Congo,4,2023,Optometrist,1943.49,5.2
Benjamin,Richard,male,Switzerland,12,2021,Optometrist,1858.13,6.8
Schroeder,Raymond,female,Papua New Guinea,1,2020,"Engineer, control and instrumentation",2130.55,5.1
James,Brent,male,United States Virgin Islands,2,2020,"Engineer, control and instrumentation",1986.96,9.2
Sullivan,Albert,male,Switzerland,1,2022,Optometrist,1932.07,8.4
Schneider,Joseph,male,Greenland,8,2022,Optometrist,1815.89,5.3
Tanner,Oscar,male,Greenland,1,2021,"Engineer, control and instrumentation",2009.41,7.3
King,Terry,male,Switzerland,9,2021,Operational researcher,2082.75,6.8
Taylor,Martin,female,Paraguay,5,2023,"Engineer, control and instrumentation",2097.43,7.4
Campos,Chase,male,Greenland,8,2023,Media planner,1997.42,9.4
Miller,Cory,female,Congo,8,2022,Optometrist,2030.44,5.2
Wade,Jose,male,Paraguay,9,2021,Operational researcher,1984.26,10.0
Jones,Ryan,male,Congo,11,2020,Media planner,1821.78,5.2
Peterson,James,male,Papua New Guinea,4,2023,Media planner,1943.41,9.9
Hayden,Ryan,female,United States Virgin Islands,11,2021,Optometrist,1925.25,7.2
Fowler,Cody,male,Congo,9,2021,Media planner,1922.82,9.9
Miller,Christopher,male,Liechtenstein,2,2022,Optometrist,2111.35,5.0
Glenn,Kyle,male,Liechtenstein,6,2021,Media planner,1891.33,9.0
Strickland,Daniel,male,Paraguay,9,2020,Operational researcher,2063.92,6.8
Miller,Christopher,male,Congo,1,2023,Operational researcher,1949.64,5.8
Martinez,Nathan,male,Papua New Guinea,3,2022,Operational researcher,2036.35,7.0
Knight,Bradley,female,Paraguay,9,2020,Optometrist,2048.38,6.8
Weeks,Shawn,male,Paraguay,11,2022,Media planner,2217.15,7.6
Smith,Brendan,female,Paraguay,8,2021,Media planner,2070.87,7.9
Wang,Alex,female,Congo,2,2021,"Engineer, control and instrumentation",2005.47,7.5
Edwards,Jason,male,Switzerland,6,2023,Operational researcher,2154.53,7.1
Miller,Adam,female,Switzerland,12,2022,Operational researcher,1967.15,6.0
Graham,Michael,female,Congo,5,2023,Media planner,1898.79,9.2
Leonard,George,male,Greenland,4,2021,Optometrist,2001.0,8.3
Black,Christopher,female,Papua New Guinea,6,2021,Operational researcher,2047.56,6.2
Henderson,Jon,male,United States Virgin Islands,5,2022,Optometrist,2150.86,9.8
Hudson,Timothy,male,Papua New Guinea,8,2021,Operational researcher,1997.69,6.1
Tucker,Christopher,male,Congo,4,2020,Media planner,1929.44,9.5
Lopez,Jonathan,male,Papua New Guinea,7,2022,Operational researcher,1990.35,8.0
Weber,Michael,male,United States Virgin Islands,1,2022,"Engineer, control and instrumentation",1954.0,8.7
Austin,Jesse,male,Congo,7,2022,Optometrist,1929.98,7.7
Riley,Norman,female,Papua New Guinea,5,2023,Optometrist,2065.83,9.4
Ramsey,Michael,male,Liechtenstein,8,2023,Optometrist,2036.55,8.1
Chambers,Nicholas,male,United States Virgin Islands,5,2021,Optometrist,1923.34,9.7
Clark,Andrew,female,Greenland,1,2022,Optometrist,1997.64,7.5
Young,Douglas,female,United States Virgin Islands,5,2023,Operational researcher,2177.73,9.6
Hoffman,Bradley,female,Greenland,9,2020,Media planner,1972.74,6.2
Grimes,Tim,male,United States Virgin Islands,1,2023,"Engineer, control and instrumentation",1958.28,10.0
Roberts,William,male,Congo,8,2022,Media planner,1992.23,6.0
Reyes,Willie,male,Paraguay,5,2023,Media planner,1929.19,8.6
Simmons,Dennis,female,Paraguay,6,2023,Media planner,1995.07,8.0
Sherman,Ronald,female,Paraguay,7,2023,Operational researcher,1862.1,8.2
Smith,William,male,Congo,8,2021,"Engineer, control and instrumentation",1926.36,5.5
Estrada,Bryan,female,Switzerland,5,2022,Operational researcher,1942.9,5.6
Willis,Lucas,female,Liechtenstein,4,2020,"Engineer, control and instrumentation",1997.67,7.7
Perry,James,male,Greenland,1,2020,"Engineer, control and instrumentation",1912.08,9.6
Salazar,Maxwell,female,Switzerland,6,2023,"Engineer, control and instrumentation",2077.38,6.4
Burgess,Anthony,male,Paraguay,5,2020,Media planner,1880.16,5.2
Crawford,Hector,male,Congo,2,2023,Media planner,2050.05,8.5
