last_name,first_name,gender,country,month,year,job,payment,rating
Valenzuela,William,female,Croatia,1,2020,Production manager,2097.57,9.8
Costa,Brian,female,Trinidad and Tobago,9,2023,Psychiatric nurse,1795.08,8.2
Crawford,Jonathan,male,Croatia,9,2022,Production manager,2076.87,7.2
Frazier,Joshua,male,Luxembourg,9,2022,Psychiatric nurse,2139.32,7.7
Foster,Todd,male,Fiji,9,2021,Production manager,2063.32,9.0
Ayala,John,female,Lithuania,7,2023,Psychiatric nurse,2105.08,9.9
Martin,Dale,male,Suriname,10,2022,Psychiatric nurse,2050.21,7.8
Nguyen,Carl,female,Fiji,1,2020,Production manager,1873.04,9.2
Douglas,Arthur,male,Lithuania,11,2023,Production manager,2104.77,9.2
Johnson,Darren,male,Luxembourg,9,2020,Psychiatric nurse,2013.13,8.6
Smith,Jason,female,Jordan,12,2022,Production manager,2054.39,7.7
Parker,Carlos,male,Jordan,12,2020,Production manager,1865.78,8.1
Knight,Thomas,female,Turkmenistan,2,2022,Production manager,1874.02,7.3
Turner,Gary,female,Anguilla,10,2021,Production manager,2074.92,8.4
Taylor,Christopher,male,Croatia,2,2020,Art gallery manager,1964.11,10.0
Garcia,Michael,female,Fiji,5,2021,Production manager,2031.38,5.4
Wilson,Robert,male,Christmas Island,9,2023,Production manager,1965.62,8.1
Moyer,Roy,male,Croatia,2,2022,Art gallery manager,2240.83,10.0
Olsen,Thomas,female,Jordan,3,2020,Production manager,1893.97,10.0
Clements,James,male,Lithuania,10,2021,Psychiatric nurse,1964.52,9.8
Wheeler,Charles,male,Luxembourg,9,2022,Psychiatric nurse,2121.18,6.1
Gallagher,Aaron,male,Trinidad and Tobago,12,2023,Psychiatric nurse,1986.67,5.2
Henry,Gary,female,Suriname,6,2021,Art gallery manager,1917.92,9.2
Walker,Kevin,male,Fiji,1,2022,Art gallery manager,2108.62,8.8
Bates,Peter,male,Croatia,9,2020,Production manager,1907.82,10.0
Hudson,Brett,female,Croatia,8,2021,Art gallery manager,2115.23,9.3
Bartlett,Michael,male,Jordan,1,2022,Psychiatric nurse,2119.43,9.2
White,Cory,female,Croatia,4,2023,Psychiatric nurse,1872.5,7.6
Decker,Randy,male,Lithuania,5,2021,Production manager,1921.52,5.4
Mccall,Robert,female,Turkmenistan,5,2021,Psychiatric nurse,1912.49,7.1
Little,Gary,female,Anguilla,3,2020,Production manager,2220.78,5.1
Marquez,Jerry,male,Croatia,9,2021,Production manager,2007.93,7.7
Kim,Jason,male,Lithuania,1,2021,Psychiatric nurse,1901.38,8.8
Santos,Joshua,female,Turkmenistan,11,2021,Psychiatric nurse,2159.49,9.0
Harmon,Kevin,female,Turkmenistan,5,2023,Art gallery manager,1894.35,6.1
Anderson,Christopher,male,Fiji,11,2022,Psychiatric nurse,1990.87,9.5
Soto,Logan,female,Croatia,7,2022,Psychiatric nurse,1944.44,7.9
Fitzpatrick,Jerry,male,Suriname,6,2022,Production manager,1973.03,9.2
Brown,Grant,female,Lithuania,9,2020,Psychiatric nurse,1952.93,7.1
Grant,Samuel,male,Suriname,2,2020,Production manager,2016.29,7.6
Erickson,Scott,male,Fiji,5,2023,Production manager,1957.86,5.5
Rogers,Joshua,female,Lithuania,5,2021,Art gallery manager,1917.57,7.0
Little,Ryan,female,Lithuania,11,2020,Production manager,2083.79,5.2
Rodriguez,Richard,male,Christmas Island,6,2022,Psychiatric nurse,2048.22,6.1
Johnson,Frederick,female,Croatia,2,2021,Art gallery manager,1899.02,10.0
Moore,Willie,female,Suriname,12,2023,Psychiatric nurse,1993.43,9.0
Calderon,Christopher,female,Lithuania,1,2023,Production manager,1947.7,6.2
Lane,Raymond,female,Lithuania,6,2020,Psychiatric nurse,2014.67,9.6
Brooks,Jonathan,female,Turkmenistan,10,2021,Production manager,2105.12,7.0
Smith,Calvin,male,Turkmenistan,3,2020,Psychiatric nurse,1956.54,9.5
Fields,Jared,female,Fiji,10,2023,Art gallery manager,1944.35,8.8
Glenn,David,female,Trinidad and Tobago,2,2021,Production manager,2055.96,5.7
Stevens,Adam,male,Luxembourg,5,2023,Production manager,2000.99,7.8
Kerr,Joe,male,Trinidad and Tobago,5,2023,Art gallery manager,1932.49,7.3
